X.1,SNP,Chromosome,Position,P.value,MAF,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P.values,effect,Adj.P.P.value,Ind.SNP,PS,Software,Method,Trait.name,PVE,QTN.effect,LOD.score,Genotype.for.code.1,Var_error,Var_phen..total.,X,P.value.1,MAF.1,PVE.1
133,PstI.TP1160897,10,17579080,9.17E-06,0.169401471,124,0.47753826,0.575567849,0.021879847,0.368217578,0.021879847,124+36088im,PS_Y,GAPIT,GLM,CmN,9.802958956,NA,NA,NA,NA,NA,NA,9.00E-06,0.1694,9.803
134,PstI.TP704102,3,72097083,1.25E-05,0.056265773,124,0.47753826,0.572331683,0.025392856,0.50941979,0.025392856,124+36088im,PS_Y,GAPIT,GLM,CmN,9.479342304,NA,NA,NA,NA,NA,NA,1.00E-05,0.05627,9.479
135,PstI.TP190549,7,57197488,1.26E-05,0.100284219,124,0.47753826,0.572302578,0.025392856,0.475410587,0.025392856,124+36088im,PS_Y,GAPIT,GLM,CmN,9.476431787,NA,NA,NA,NA,NA,NA,1.00E-05,0.1003,9.476
136,NsiI.TP675510,11,17441,1.59E-05,0.061118645,124,0.47753826,0.56991105,0.029758312,-0.585243608,0.029758312,124+36088im,PS_Y,GAPIT,GLM,CmN,9.237279056,NA,NA,NA,NA,NA,NA,2.00E-05,0.06112,9.237
137,PstI.TP1188898,11,8399,1.81E-05,0.294635237,124,0.47753826,0.568595431,0.030942063,0.314666704,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,9.1057171,NA,NA,NA,NA,NA,NA,2.00E-05,0.2946,9.106
138,PstI.TP1016686,11,7060,2.03E-05,0.386302345,124,0.47753826,0.567422079,0.030942063,0.338081218,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,8.988381911,NA,NA,NA,NA,NA,NA,2.00E-05,0.3863,8.988
139,PstI.TP609962,5,53907385,2.23E-05,0.155964764,124,0.47753826,0.566453666,0.030942063,0.354233549,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,8.891540634,NA,NA,NA,NA,NA,NA,2.00E-05,0.156,8.892
140,NsiI.TP613708,11,16706,2.53E-05,0.181556864,124,0.47753826,0.565171611,0.030942063,-0.534737077,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,8.763335153,NA,NA,NA,NA,NA,NA,3.00E-05,0.1816,8.763
141,PstI.TP1212724,1,72123046,2.78E-05,0.070687416,124,0.47753826,0.564206978,0.030942063,0.473058166,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,8.666871779,NA,NA,NA,NA,NA,NA,3.00E-05,0.07069,8.667
142,NsiI.TP415654,1,75354964,2.83E-05,0.070388735,124,0.47753826,0.564033141,0.030942063,0.496957119,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,8.649488154,NA,NA,NA,NA,NA,NA,3.00E-05,0.07039,8.649
143,PstI.TP846513,11,5867,2.87E-05,0.071706742,124,0.47753826,0.5638659,0.030942063,0.474723672,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,8.632764064,NA,NA,NA,NA,NA,NA,3.00E-05,0.07171,8.633
144,GFSSContig15563_263,9,58912474,2.91E-05,0.144527751,124,0.47753826,0.563747658,0.030942063,-0.350405329,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,8.62093986,NA,NA,NA,NA,NA,NA,3.00E-05,0.1445,8.621
145,PstI.TP1090311,6,47330022,2.96E-05,0.077465787,124,0.47753826,0.563573096,0.030942063,0.43399225,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,8.603483587,NA,NA,NA,NA,NA,NA,3.00E-05,0.07747,8.603
146,PstI.TP53013,9,59327122,2.99E-05,0.071683585,124,0.47753826,0.563469436,0.030942063,-0.418191032,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,8.59311766,NA,NA,NA,NA,NA,NA,3.00E-05,0.07168,8.593
147,PstI.TP724007,11,4995,3.11E-05,0.070452978,124,0.47753826,0.563061559,0.030942063,0.435661791,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,8.552329972,NA,NA,NA,NA,NA,NA,3.00E-05,0.07045,8.552
148,NsiI.TP443125,4,52156961,3.26E-05,0.116221577,124,0.47753826,0.562599006,0.030942063,-0.375562356,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,8.5060746,NA,NA,NA,NA,NA,NA,3.00E-05,0.1162,8.506
149,NsiI.TP465791,1,74820948,3.34E-05,0.111828595,124,0.47753826,0.562363998,0.030942063,0.430927176,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,8.482573815,NA,NA,NA,NA,NA,NA,3.00E-05,0.1118,8.483
150,PstI.TP140756,11,1171,3.41E-05,0.266891118,124,0.47753826,0.562140554,0.030942063,-0.293860609,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,8.460229411,NA,NA,NA,NA,NA,NA,3.00E-05,0.2669,8.46
151,PstI.TP875140,2,72930521,3.42E-05,0.2249631,124,0.47753826,0.562111049,0.030942063,0.359799167,0.030942063,124+36088im,PS_Y,GAPIT,GLM,CmN,8.457278975,NA,NA,NA,NA,NA,NA,3.00E-05,0.225,8.457
152,PstI.TP588590,11,4212,3.68E-05,0.138703019,124,0.47753826,0.561367497,0.032201835,-0.399341223,0.032201835,124+36088im,PS_Y,GAPIT,GLM,CmN,8.3829237,NA,NA,NA,NA,NA,NA,4.00E-05,0.1387,8.383
153,NsiI.TP415575,9,53923129,4.02E-05,0.048539535,124,0.47753826,0.560486558,0.032657331,-0.543455598,0.032657331,124+36088im,PS_Y,GAPIT,GLM,CmN,8.294829803,NA,NA,NA,NA,NA,NA,4.00E-05,0.04854,8.295
154,NsiI.TP777080,11,18691,4.03E-05,0.41520043,124,0.47753826,0.560468231,0.032657331,0.256713298,0.032657331,124+36088im,PS_Y,GAPIT,GLM,CmN,8.292997097,NA,NA,NA,NA,NA,NA,4.00E-05,0.4152,8.293
155,PstI.TP139250,11,1151,4.42E-05,0.070258334,124,0.47753826,0.559541512,0.032657331,0.430085855,0.032657331,124+36088im,PS_Y,GAPIT,GLM,CmN,8.20032523,NA,NA,NA,NA,NA,NA,4.00E-05,0.07026,8.2
156,PstI.TP771300,8,5124822,4.54E-05,0.172995992,124,0.47753826,0.559254576,0.032657331,-0.594709356,0.032657331,124+36088im,PS_Y,GAPIT,GLM,CmN,8.171631608,NA,NA,NA,NA,NA,NA,5.00E-05,0.173,8.172
157,PstI.TP1235909,4,64295006,4.63E-05,0.157475997,124,0.47753826,0.55906139,0.032657331,-0.317430907,0.032657331,124+36088im,PS_Y,GAPIT,GLM,CmN,8.152313069,NA,NA,NA,NA,NA,NA,5.00E-05,0.1575,8.152
158,PstI.TP77980,10,10346907,4.63E-05,0.316980924,124,0.47753826,0.559060644,0.032657331,0.34971895,0.032657331,124+36088im,PS_Y,GAPIT,GLM,CmN,8.152238422,NA,NA,NA,NA,NA,NA,5.00E-05,0.317,8.152
159,NsiI.TP753743,9,41089177,4.73E-05,0.080123575,124,0.47753826,0.558851678,0.032657331,-0.404424245,0.032657331,124+36088im,PS_Y,GAPIT,GLM,CmN,8.13134178,NA,NA,NA,NA,NA,NA,5.00E-05,0.08012,8.131
160,PstI.TP607682,6,57995101,4.82E-05,0.18400751,124,0.47753826,0.558674923,0.032657331,0.301923883,0.032657331,124+36088im,PS_Y,GAPIT,GLM,CmN,8.113666318,NA,NA,NA,NA,NA,NA,5.00E-05,0.184,8.114
161,PstI.TP465891,11,3546,4.85E-05,0.07072161,124,0.47753826,0.558593598,0.032657331,-0.463400921,0.032657331,124+36088im,PS_Y,GAPIT,GLM,CmN,8.105533861,NA,NA,NA,NA,NA,NA,5.00E-05,0.07072,8.106
162,PstI.TP1044533,10,781197,5.32E-05,0.456741837,124,0.47753826,0.557683656,0.034258634,-0.273535244,0.034258634,124+36088im,PS_Y,GAPIT,GLM,CmN,8.014539604,NA,NA,NA,NA,NA,NA,5.00E-05,0.4567,8.015
163,PstI.TP597057,11,4238,5.35E-05,0.210616117,124,0.47753826,0.557615388,0.034258634,0.322091258,0.034258634,124+36088im,PS_Y,GAPIT,GLM,CmN,8.007712804,NA,NA,NA,NA,NA,NA,5.00E-05,0.2106,8.008
164,PstI.TP1128716,3,65668248,5.84E-05,0.120836378,124,0.47753826,0.556756334,0.035896066,0.349236829,0.035896066,124+36088im,PS_Y,GAPIT,GLM,CmN,7.921807446,NA,NA,NA,NA,NA,NA,6.00E-05,0.1208,7.922
165,NsiI.TP750615,1,12653027,5.88E-05,0.065351233,124,0.47753826,0.556674795,0.035896066,1.165373215,0.035896066,124+36088im,PS_Y,GAPIT,GLM,CmN,7.913653569,NA,NA,NA,NA,NA,NA,6.00E-05,0.06535,7.914
166,NsiI.TP154371,4,5011408,6.12E-05,0.077233923,124,0.47753826,0.556290513,0.036431226,0.528048715,0.036431226,124+36088im,PS_Y,GAPIT,GLM,CmN,7.87522534,NA,NA,NA,NA,NA,NA,6.00E-05,0.07723,7.875
167,NsiI.TP466452,11,14696,6.37E-05,0.302700771,124,0.47753826,0.555882757,0.036431226,0.236859211,0.036431226,124+36088im,PS_Y,GAPIT,GLM,CmN,7.834449709,NA,NA,NA,NA,NA,NA,6.00E-05,0.3027,7.834
168,PstI.TP253210,11,2060,6.41E-05,0.097255022,124,0.47753826,0.555828083,0.036431226,0.362111396,0.036431226,124+36088im,PS_Y,GAPIT,GLM,CmN,7.828982333,NA,NA,NA,NA,NA,NA,6.00E-05,0.09726,7.829
169,NsiI.TP509742,9,47862370,6.53E-05,0.206932922,124,0.47753826,0.555642461,0.036431226,-0.408878368,0.036431226,124+36088im,PS_Y,GAPIT,GLM,CmN,7.810420085,NA,NA,NA,NA,NA,NA,7.00E-05,0.2069,7.81
170,NsiI.TP575555,2,2228424,6.80E-05,0.060544226,124,0.47753826,0.555232295,0.037175884,0.535323691,0.037175884,124+36088im,PS_Y,GAPIT,GLM,CmN,7.769403491,NA,NA,NA,NA,NA,NA,7.00E-05,0.06054,7.769
171,PstI.TP719892,5,64652954,7.13E-05,0.161340151,124,0.47753826,0.554761765,0.037177379,0.282907177,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.722350518,NA,NA,NA,NA,NA,NA,7.00E-05,0.1613,7.722
172,NsiI.TP762015,7,823818,7.31E-05,0.057243541,124,0.47753826,0.554524145,0.037177379,-0.41648943,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.698588519,NA,NA,NA,NA,NA,NA,7.00E-05,0.05724,7.699
173,PstI.TP908218,11,6342,7.51E-05,0.073335767,124,0.47753826,0.55424425,0.037177379,-0.431470491,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.670598986,NA,NA,NA,NA,NA,NA,8.00E-05,0.07334,7.671
174,PstI.TP257951,4,14228269,7.57E-05,0.065225894,124,0.47753826,0.554166579,0.037177379,-0.449424251,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.662831902,NA,NA,NA,NA,NA,NA,8.00E-05,0.06523,7.663
175,NsiI.TP609571,11,16656,7.57E-05,0.46191415,124,0.47753826,0.55416577,0.037177379,0.505759016,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.662750999,NA,NA,NA,NA,NA,NA,8.00E-05,0.4619,7.663
176,NsiI.TP473151,11,14822,7.97E-05,0.053116165,124,0.47753826,0.553659551,0.037177379,-0.516091679,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.612129155,NA,NA,NA,NA,NA,NA,8.00E-05,0.05312,7.612
177,PstI.TP1029642,11,7158,8.02E-05,0.122250924,124,0.47753826,0.553600177,0.037177379,0.315913664,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.606191731,NA,NA,NA,NA,NA,NA,8.00E-05,0.1223,7.606
178,PstI.TP713758,7,53864081,8.34E-05,0.079707982,124,0.47753826,0.553206914,0.037177379,-0.494464869,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.566865401,NA,NA,NA,NA,NA,NA,8.00E-05,0.07971,7.567
179,PstI.TP663163,2,69910554,8.40E-05,0.050134413,124,0.47753826,0.553138341,0.037177379,-0.506193578,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.560008169,NA,NA,NA,NA,NA,NA,8.00E-05,0.05013,7.56
180,NsiI.TP159695,6,57820247,8.41E-05,0.182779557,124,0.47753826,0.553126009,0.037177379,0.40587796,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.558774897,NA,NA,NA,NA,NA,NA,8.00E-05,0.1828,7.559
181,GFSSContig17477_775,2,67954599,8.44E-05,0.05325437,124,0.47753826,0.553100272,0.037177379,-0.443843187,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.556201219,NA,NA,NA,NA,NA,NA,8.00E-05,0.05325,7.556
182,PstI.TP1237979,11,8717,8.53E-05,0.047053154,124,0.47753826,0.552989985,0.037177379,-0.536763266,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.545172524,NA,NA,NA,NA,NA,NA,9.00E-05,0.04705,7.545
183,PstI.TP1250993,4,666401,8.66E-05,0.105813688,124,0.47753826,0.552841741,0.037177379,0.365075055,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.530348133,NA,NA,NA,NA,NA,NA,9.00E-05,0.1058,7.53
184,PstI.TP850835,1,6117705,8.99E-05,0.116935484,124,0.47753826,0.552474541,0.037177379,-0.381468916,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.493628117,NA,NA,NA,NA,NA,NA,9.00E-05,0.1169,7.494
185,NsiI.TP324732,11,12703,9.19E-05,0.272200165,124,0.47753826,0.552250553,0.037177379,0.324834853,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.471229329,NA,NA,NA,NA,NA,NA,9.00E-05,0.2722,7.471
186,PstI.TP230112,11,1898,9.41E-05,0.215278155,124,0.47753826,0.552018516,0.037177379,0.279167227,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.448025605,NA,NA,NA,NA,NA,NA,9.00E-05,0.2153,7.448
187,NsiI.TP172212,1,67605060,9.43E-05,0.317402956,124,0.47753826,0.552001374,0.037177379,0.369028214,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.446311417,NA,NA,NA,NA,NA,NA,9.00E-05,0.3174,7.446
188,PstI.TP344899,7,61484903,9.61E-05,0.055942223,124,0.47753826,0.551816866,0.037177379,0.407965197,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.427860599,NA,NA,NA,NA,NA,NA,1.00E-04,0.05594,7.428
189,NsiI.TP11666,7,14339016,9.65E-05,0.06373091,124,0.47753826,0.551769812,0.037177379,-0.431329433,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.423155205,NA,NA,NA,NA,NA,NA,1.00E-04,0.06373,7.423
190,NsiI.TP448134,11,14419,9.78E-05,0.061388829,124,0.47753826,0.551638169,0.037177379,-0.50760379,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.409990955,NA,NA,NA,NA,NA,NA,1.00E-04,0.06139,7.41
191,PstI.TP485114,9,57032697,9.91E-05,0.05591008,124,0.47753826,0.551507972,0.037177379,-0.405545285,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.396971207,NA,NA,NA,NA,NA,NA,1.00E-04,0.05591,7.397
192,NsiI.TP441664,11,14308,0.000100598,0.088739551,124,0.47753826,0.551363703,0.037177379,0.424016878,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.38254433,NA,NA,NA,NA,NA,NA,1.00E-04,0.08874,7.383
193,PstI.TP1187427,6,50717397,0.000100617,0.06101341,124,0.47753826,0.551361793,0.037177379,-0.502802636,0.037177379,124+36088im,PS_Y,GAPIT,GLM,CmN,7.38235333,NA,NA,NA,NA,NA,NA,1.00E-04,0.06101,7.382
194,PstI.TP1248844,8,1028461,0.000102204,0.079488535,124,0.47753826,0.551207784,0.037239335,-0.342438054,0.037239335,124+36088im,PS_Y,GAPIT,GLM,CmN,7.366952426,NA,NA,NA,NA,NA,NA,1.00E-04,0.07949,7.367
195,NsiI.TP616137,6,57075072,0.000111822,0.117853699,124,0.47753826,0.550323919,0.040185468,0.347028641,0.040185468,124+36088im,PS_Y,GAPIT,GLM,CmN,7.278565929,NA,NA,NA,NA,NA,NA,1.00E-04,0.1179,7.279
196,PstI.TP45703,11,389,0.000116647,0.064980329,124,0.47753826,0.549909345,0.041150735,-0.513561433,0.041150735,124+36088im,PS_Y,GAPIT,GLM,CmN,7.237108519,NA,NA,NA,NA,NA,NA,1.00E-04,0.06498,7.237
197,PstI.TP737551,6,57757179,0.000117645,0.07875967,124,0.47753826,0.54982581,0.041150735,-0.432137149,0.041150735,124+36088im,PS_Y,GAPIT,GLM,CmN,7.228754999,NA,NA,NA,NA,NA,NA,1.00E-04,0.07876,7.229
198,NsiI.TP656422,11,17204,0.000126482,0.120768045,124,0.47753826,0.549116145,0.042786104,0.583014378,0.042786104,124+36088im,PS_Y,GAPIT,GLM,CmN,7.157788575,NA,NA,NA,NA,NA,NA,1.00E-04,0.1208,7.158
199,NsiI.TP51472,11,9740,0.000128714,0.044481278,124,0.47753826,0.548944949,0.042786104,0.464832577,0.042786104,124+36088im,PS_Y,GAPIT,GLM,CmN,7.140668935,NA,NA,NA,NA,NA,NA,1.00E-04,0.04448,7.141
200,PstI.TP132940,3,8690384,0.000129822,0.065801276,124,0.47753826,0.54886112,0.042786104,-0.817555189,0.042786104,124+36088im,PS_Y,GAPIT,GLM,CmN,7.132286031,NA,NA,NA,NA,NA,NA,1.00E-04,0.0658,7.132
201,PstI.TP977299,11,6780,0.00013101,0.051868404,124,0.47753826,0.548771942,0.042786104,0.514535441,0.042786104,124+36088im,PS_Y,GAPIT,GLM,CmN,7.123368242,NA,NA,NA,NA,NA,NA,1.00E-04,0.05187,7.123
202,PstI.TP788810,3,8503251,0.000131612,0.439516129,124,0.47753826,0.548727117,0.042786104,-0.237375471,0.042786104,124+36088im,PS_Y,GAPIT,GLM,CmN,7.11888573,NA,NA,NA,NA,NA,NA,1.00E-04,0.4395,7.119
203,NsiI.TP115990,11,10376,0.000132106,0.348730894,124,0.47753826,0.548690472,0.042786104,-0.285235132,0.042786104,124+36088im,PS_Y,GAPIT,GLM,CmN,7.115221189,NA,NA,NA,NA,NA,NA,1.00E-04,0.3487,7.115
204,PstI.TP916844,11,6407,0.000135057,0.051202152,124,0.47753826,0.548474475,0.043208397,0.486927703,0.043208397,124+36088im,PS_Y,GAPIT,GLM,CmN,7.093621517,NA,NA,NA,NA,NA,NA,1.00E-04,0.0512,7.094
205,PstI.TP385678,2,45782629,0.000140017,0.332369094,124,0.47753826,0.548122107,0.044255395,0.279479796,0.044255395,124+36088im,PS_Y,GAPIT,GLM,CmN,7.058384678,NA,NA,NA,NA,NA,NA,1.00E-04,0.3324,7.058
206,NsiI.TP255006,6,59462133,0.000141899,0.178490184,124,0.47753826,0.547991686,0.044316495,0.297023777,0.044316495,124+36088im,PS_Y,GAPIT,GLM,CmN,7.045342625,NA,NA,NA,NA,NA,NA,1.00E-04,0.1785,7.045
207,PstI.TP758246,10,10804856,0.000145782,0.054017553,124,0.47753826,0.547728177,0.044514072,-0.465709323,0.044514072,124+36088im,PS_Y,GAPIT,GLM,CmN,7.018991704,NA,NA,NA,NA,NA,NA,1.00E-04,0.05402,7.019
208,PstI.TP323391,11,2564,0.000147285,0.109310418,124,0.47753826,0.54762811,0.044514072,-0.467822878,0.044514072,124+36088im,PS_Y,GAPIT,GLM,CmN,7.008984991,NA,NA,NA,NA,NA,NA,1.00E-04,0.1093,7.009
209,NsiI.TP667008,8,1326292,0.000147626,0.324789183,124,0.47753826,0.547605589,0.044514072,-0.243801661,0.044514072,124+36088im,PS_Y,GAPIT,GLM,CmN,7.006732939,NA,NA,NA,NA,NA,NA,1.00E-04,0.3248,7.007
210,PstI.TP747686,5,191126,0.000149319,0.088539192,124,0.47753826,0.547494353,0.044514072,-0.399959669,0.044514072,124+36088im,PS_Y,GAPIT,GLM,CmN,6.995609278,NA,NA,NA,NA,NA,NA,1.00E-04,0.08854,6.996
211,PstI.TP356174,11,2816,0.000153479,0.048887926,124,0.47753826,0.54722647,0.045240138,0.458911905,0.045240138,124+36088im,PS_Y,GAPIT,GLM,CmN,6.968821004,NA,NA,NA,NA,NA,NA,2.00E-04,0.04889,6.969
212,NsiI.TP443023,2,56699414,0.000158911,0.068716975,124,0.47753826,0.546887683,0.0463207,-0.399266417,0.0463207,124+36088im,PS_Y,GAPIT,GLM,CmN,6.934942354,NA,NA,NA,NA,NA,NA,2.00E-04,0.06872,6.935
213,NsiI.TP128678,3,69000501,0.000162332,0.425568537,124,0.47753826,0.546680343,0.046797857,0.37907759,0.046797857,124+36088im,PS_Y,GAPIT,GLM,CmN,6.914208284,NA,NA,NA,NA,NA,NA,2.00E-04,0.4256,6.914
214,NsiI.TP681203,1,8181678,0.000165941,0.051250437,124,0.47753826,0.546466341,0.046937189,-0.435418895,0.046937189,124+36088im,PS_Y,GAPIT,GLM,CmN,6.892808168,NA,NA,NA,NA,NA,NA,2.00E-04,0.05125,6.893
215,NsiI.TP241298,11,11843,0.000167422,0.079048834,124,0.47753826,0.546379911,0.046937189,-0.430221389,0.046937189,124+36088im,PS_Y,GAPIT,GLM,CmN,6.884165173,NA,NA,NA,NA,NA,NA,2.00E-04,0.07905,6.884
216,NsiI.TP84023,11,10066,0.000168182,0.158122365,124,0.47753826,0.546335872,0.046937189,-0.547504475,0.046937189,124+36088im,PS_Y,GAPIT,GLM,CmN,6.879761258,NA,NA,NA,NA,NA,NA,2.00E-04,0.1581,6.88
217,PstI.TP111833,1,67205643,0.000170285,0.058196756,124,0.47753826,0.546215081,0.047023685,0.625120947,0.047023685,124+36088im,PS_Y,GAPIT,GLM,CmN,6.867682097,NA,NA,NA,NA,NA,NA,2.00E-04,0.0582,6.868
218,PstI.TP241242,10,7791807,0.000175468,0.440981863,124,0.47753826,0.545923678,0.047082008,-0.221853552,0.047082008,124+36088im,PS_Y,GAPIT,GLM,CmN,6.838541794,NA,NA,NA,NA,NA,NA,2.00E-04,0.441,6.839
219,PstI.TP485051,1,7260226,0.000176025,0.169354839,124,0.47753826,0.545892883,0.047082008,-0.289098642,0.047082008,124+36088im,PS_Y,GAPIT,GLM,CmN,6.835462368,NA,NA,NA,NA,NA,NA,2.00E-04,0.1694,6.835
220,PstI.TP321657,11,2549,0.000176647,0.061239248,124,0.47753826,0.545858658,0.047082008,-0.450287236,0.047082008,124+36088im,PS_Y,GAPIT,GLM,CmN,6.832039871,NA,NA,NA,NA,NA,NA,2.00E-04,0.06124,6.832
221,NsiI.TP319204,11,12621,0.000177675,0.046817817,124,0.47753826,0.545802291,0.047082008,0.47817647,0.047082008,124+36088im,PS_Y,GAPIT,GLM,CmN,6.826403105,NA,NA,NA,NA,NA,NA,2.00E-04,0.04682,6.826
222,NsiI.TP215181,11,11521,0.000181095,0.050588435,124,0.47753826,0.545617171,0.047355051,-0.435306025,0.047355051,124+36088im,PS_Y,GAPIT,GLM,CmN,6.807891093,NA,NA,NA,NA,NA,NA,2.00E-04,0.05059,6.808
223,PstI.TP543083,7,7619505,0.000183369,0.204847273,124,0.47753826,0.545496056,0.047355051,0.297973994,0.047355051,124+36088im,PS_Y,GAPIT,GLM,CmN,6.795779593,NA,NA,NA,NA,NA,NA,2.00E-04,0.2048,6.796
224,NsiI.TP459060,10,497104,0.000184192,0.103128413,124,0.47753826,0.545452577,0.047355051,-0.500811896,0.047355051,124+36088im,PS_Y,GAPIT,GLM,CmN,6.791431712,NA,NA,NA,NA,NA,NA,2.00E-04,0.1031,6.791
225,NsiI.TP230244,11,11712,0.000185926,0.178907721,124,0.47753826,0.545361694,0.047355051,-0.253644387,0.047355051,124+36088im,PS_Y,GAPIT,GLM,CmN,6.782343388,NA,NA,NA,NA,NA,NA,2.00E-04,0.1789,6.782
226,NsiI.TP390222,4,58488770,0.000190606,0.098383651,124,0.47753826,0.545120551,0.048080449,-0.392512556,0.048080449,124+36088im,PS_Y,GAPIT,GLM,CmN,6.758229175,NA,NA,NA,NA,NA,NA,2.00E-04,0.09838,6.758
227,PstI.TP1164803,11,8190,0.000193136,0.331473476,124,0.47753826,0.544992751,0.048254523,-0.195850032,0.048254523,124+36088im,PS_Y,GAPIT,GLM,CmN,6.745449162,NA,NA,NA,NA,NA,NA,2.00E-04,0.3315,6.745
886,PstI.TP411848,11,3188,2.35E-05,0.476415094,106,0.325720217,0.463137998,0.037507947,-0.277131882,0.037507947,C106+4202,PS_Y,GAPIT,GLM,CmN,13.74177811,NA,NA,NA,NA,NA,NA,2.00E-05,0.4764,13.74
