SNP,Gene,chr,start,end,width,strand
NsiI.TP515167,Sobic.004G351600,Chr04,68019739,68025304,5566,+
NsiI.TP515167,Sobic.004G351600,Chr04,68019739,68025344,5606,+
NsiI.TP515167,Sobic.004G351600,Chr04,68019739,68025356,5618,+
NsiI.TP515167,Sobic.004G351600,Chr04,68020858,68025379,4522,+
NsiI.TP525011,Sobic.010G005401,Chr10,448862,451672,2811,+
NsiI.TP525011,Sobic.010G005500,Chr10,451673,455105,3433,-
NsiI.TP575555,Sobic.002G023900,Chr02,2228532,2234882,6351,+
NsiI.TP575618,Sobic.007G039100,Chr07,3776104,3779183,3080,+
NsiI.TP616137,Sobic.006G225200,Chr06,57073099,57075527,2429,+
NsiI.TP617177,Sobic.002G166800,Chr02,52051169,52057433,6265,+
NsiI.TP667008,Sobic.008G016000,Chr08,1325600,1330859,5260,+
NsiI.TP667008,Sobic.008G016000,Chr08,1326551,1330859,4309,+
NsiI.TP681203,Sobic.001G106200,Chr01,8180004,8187693,7690,+
NsiI.TP726681,Sobic.003G287400,Chr03,62053854,62061425,7572,+
NsiI.TP753743,Sobic.009G102600,Chr09,41081738,41088543,6806,-
NsiI.TP762015,Sobic.007G008800,Chr07,820415,824800,4386,+
NsiI.TP779177,Sobic.004G298250,Chr04,63761872,63762755,884,+
NsiI.TP779177,Sobic.004G298300,Chr04,63763373,63767729,4357,+
NsiI.TP90957,Sobic.009G253500,Chr09,58752077,58753372,1296,-
NsiI.TP90957,Sobic.009G253600,Chr09,58754868,58755845,978,-
PstI.TP1026977,Sobic.004G279300,Chr04,62205986,62209047,3062,+
PstI.TP1044533,Sobic.010G009466,Chr10,780383,783170,2788,+
PstI.TP107240,Sobic.008G192700,Chr08,62617685,62621880,4196,+
PstI.TP107240,Sobic.008G192800,Chr08,62622079,62627522,5444,+
PstI.TP107240,Sobic.008G192800,Chr08,62622079,62627794,5716,+
PstI.TP107240,Sobic.008G192800,Chr08,62622079,62627817,5739,+
PstI.TP1090311,Sobic.006G103000,Chr06,47328961,47330684,1724,-
PstI.TP1098463,Sobic.004G315400,Chr04,65165615,65168511,2897,+
PstI.TP1098463,Sobic.004G315400,Chr04,65166044,65168511,2468,+
PstI.TP1100764,Sobic.002G244800,Chr02,63346258,63346900,643,-
PstI.TP1100764,Sobic.002G244901,Chr02,63346816,63351078,4263,-
PstI.TP111833,Sobic.001G384600,Chr01,67201155,67205912,4758,+
PstI.TP1123778,Sobic.002G227900,Chr02,61957542,61959386,1845,-
PstI.TP1128002,Sobic.002G205700,Chr02,59726662,59729516,2855,+
