Chrom,Start,End,Start.1,End.1,ID,ID.1,Name,Trait.name,Group2,Group,Colors,Group3,
1,69204551,69204551,69204551,69204551,CS.Bcirc,Bcirc(Current Study),PstI.TP754866,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,70529598,70529598,70529598,70529598,CS.Bcirc,Bcirc(Current Study),PstI.TP663427,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,70558586,70558586,70558586,70558586,CS.Bcirc,Bcirc(Current Study),PstI.TP969142,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,72131324,72131324,72131324,72131324,CS.Bcirc,Bcirc(Current Study),NsiI.TP211798,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,74036176,74036176,74036176,74036176,CS.Bcirc,Bcirc(Current Study),PstI.TP326891,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,76101544,76101544,76101544,76101544,(2).CS.Bcirc,Bcirc(Current Study),PstI.TP744556,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,76403176,76403176,76403176,76403176,NA,Bcirc(Current Study),NsiI.TP404457,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,76937565,76937584,76927565,76947584,Clark..2019..BC,BC(Clark.et.al.(2019)),NsiI.TP674441,Basal circumference,BC,BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(BC)
1,78991651,78991703,78981651,79001703,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),NsiI.TP631089,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
2,186613,186613,186613,186613,CS.Bcirc,Bcirc(Current Study),NsiI.TP39740,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
2,699673,699673,699673,699673,CS.Bcirc,Bcirc(Current Study),PstI.TP790069,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
2,2239025,2259025,0,3959119,,BC1(Gifford.et.al.(2015)),BC1,basal circumference,BC,BC1(Gifford(2015)),Purple,Gifford_et_al_(2015),Gifford_et_al_(2015)_______(BC)
2,2888124,2888124,2888124,2888124,CS.Bcirc,Bcirc(Current Study),PstI.TP312941,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
2,2974246,77256362,71987708,77256362,,BC(Dong.et.al.(2017)),BC LG3 86.8 cM,basal circumference,BC,BC(Dong2017)),Green,Dong_et_al_(2017),Dong_et_al_(2017)_______(BC)
2,55394288,55394288,55394288,55394288,CS.Bcirc,Bcirc(Current Study),PstI.TP476886,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
2,57544768,57544790,57534768,57554790,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),PstI.TP1114827,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
2,64681502,64681502,64681502,64681502,CS.Bcirc,Bcirc(Current Study),PstI.TP838455,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
2,66877781,66887781,66877781,68556864,NA,CCBC2(Gifford.et.al.(2015)),CCBC2,compressed circumference/basal circumference,CCBC,CCBC2(Gifford(2015)),Purple,Gifford_et_al_(2015),Gifford_et_al_(2015)_______(CCBC)
2,70172526,70172526,70172526,70172526,CS.Bcirc,Bcirc(Current Study),PstI.TP995173,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
2,71277610,71277610,71277610,71277610,CS.Bcirc,Bcirc(Current Study),PstI.TP1025634,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
2,73095782,73095782,73095782,73095782,CS.Bcirc,Bcirc(Current Study),PstI.TP503391,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
2,75226780,75226780,75226780,75226780,CS.Bcirc,Bcirc(Current Study),PstI.TP426528,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
2,75254560,13526667,2605801,13526667,NA,BC(Dong.et.al.(2017)),BC LG3 41.4 cM,basal circumference,BC,BC(Dong2017)),Green,Dong_et_al_(2017),Dong_et_al_(2017)_______(BC)
2,76754510,76754522,76744510,76764522,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019))BC(Dong.et.al.(2017)),PstI.TP718837,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
3,2577255,2577255,2577255,2577255,CS.Bcirc,Bcirc(Current Study),PstI.TP513843,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
3,2660294,2660294,2660294,2660294,CS.Bcirc,Bcirc(Current Study),NsiI.TP441693,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
3,3528771,3528771,3528771,3528771,CS.Bcirc,Bcirc(Current Study),PstI.TP1032333,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
3,4545043,4545043,4545043,4545043,CS.Bcirc,Bcirc(Current Study),PstI.TP1280049,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
3,6088178,6088178,6088178,6088178,CS.Bcirc,Bcirc(Current Study),PstI.TP188641,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
3,7414396,7414396,7414396,7414396,CS.Bcirc,Bcirc(Current Study),PstI.TP202435,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
3,13084031,13084031,13084031,13084031,CS.Bcirc,Bcirc(Current Study),NsiI.TP563229,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
3,51796050,51796050,51796050,51796050,CS.Bcirc,Bcirc(Current Study),NsiI.TP218789,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
3,62102763,62102826,62092763,62112826,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),NsiI.TP771371,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
3,66708999,66708999,66708999,66708999,CS.Bcirc,Bcirc(Current Study),PstI.TP940999,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
3,69705214,69725214,62633062,70486999,NA,BC2(Gifford.et.al.(2015)),BC2,basal circumference,BC,BC2(Gifford2015)),Purple,Gifford_et_al_(2015),Gifford_et_al_(2015)_______(BC)
3,70340078,70340091,70330078,70350091,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),PstI.TP1143155,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
4,2136493,2136493,2136493,2136493,CS.Bcirc,Bcirc(Current Study),PstI.TP1198406,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
4,5155593,5155593,5155593,5155593,CS.Bcirc,Bcirc(Current Study),PstI.TP504809,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
4,9915378,9915378,9915378,9915378,CS.Bcirc,Bcirc(Current Study),PstI.TP697156,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
4,16356431,16376431,7489329,5395966,CCBC1(Gifford.et.al.(2015)),CCBC1(Gifford.et.al.(2015)),CCBC1,compressed circumference/basal circumference,CCBC,CCBC1(Gifford(2015)),Purple,Gifford_et_al_(2015),Gifford_et_al_(2015)_______(CCBC)
4,51121423,51121423,51121423,51121423,CS.Bcirc,Bcirc(Current Study),PstI.TP852023,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
4,54844080,54844080,54844080,54844080,CS.Bcirc,Bcirc(Current Study),PstI.TP1040729,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
4,57917174,57917206,57907174,57927206,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),NsiI.TP668768,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
4,60109935,60109935,60109935,60109935,CS.Bcirc,Bcirc(Current Study),PstI.TP648736,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
4,61346996,61347042,61336996,61357042,Clark..2019..CC/BC,NA,PstI.TP637804,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
4,62405613,62405613,62405613,62405613,CS.Bcirc,Bcirc(Current Study),PstI.TP714069,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
4,62592587,62592587,62592587,62592587,CS.Bcirc,Bcirc(Current Study),NsiI.TP391506,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
4,64652944,64652977,64642944,64662977,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),PstI.TP796634,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
4,67780882,67780901,67770882,67790901,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),NsiI.TP71276,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
4,67938088,67938088,67938088,67938088,CS.Bcirc,Bcirc(Current Study),NsiI.TP346008,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
5,9422605,9442605,7657485,15122225,BC(Dong.et.al.(2017)),BC(Dong.et.al.(2017)),BC LG10 31 cM,basal circumference,BC,BC(Dong2017)),Green,Dong_et_al_(2017),Dong_et_al_(2017)_______(BC)
5,9422605,13381050,4686232,13381050,CC/BC(Dong.et.al.(2017)),CC/BC(Dong.et.al.(2017)),CC/BC LG10 31 cM,compressed circumference/basal circumference,CC/BC,CC/BC(Dong2017)),Green,Dong_et_al_(2017),Dong_et_al_(2017)_______(CC/BC)
5,12143539,59272634,3135389,59272634,BC(Dong.et.al.(2017)),BC(Dong.et.al.(2017)),BC LG9 49.2 cM,basal circumference,BC,BC(Dong2017)),Green,Dong_et_al_(2017),Dong_et_al_(2017)_______(BC)
5,51649977,51669977,10486456,64927267,BC4(Gifford.et.al.(2015)),BC4(Gifford.et.al.(2015)),BC4,basal circumference,BC,BC4(Gifford2015)),Purple,Gifford_et_al_(2015),Gifford_et_al_(2015)_______(BC)
6,1375822,1375822,1375822,1375822,CS.Bcirc,Bcirc(Current Study),PstI.TP298201,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
6,1911989,1911989,1911989,1911989,CS.Bcirc,Bcirc(Current Study),PstI.TP774963,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
6,3182336,3182336,3182336,3182336,CS.Bcirc,Bcirc(Current Study),NsiI.TP762935,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
6,3914949,3914949,3914949,3914949,CS.Bcirc,Bcirc(Current Study),PstI.TP434866,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
6,44312976,44312976,44312976,44312976,CS.Bcirc,Bcirc(Current Study),PstI.TP75301,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
6,45894338,45894338,45894338,45894338,CS.Bcirc,Bcirc(Current Study),PstI.TP710636,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
6,47759284,47759301,47749284,47769301,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),PstI.TP1094542,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
6,47930110,47930110,47930110,47930110,CS.Bcirc,Bcirc(Current Study),PstI.TP148994,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
6,50586809,50586809,50586809,50586809,CS.Bcirc,Bcirc(Current Study),PstI.TP18079,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
6,51284200,51304200,49893387,52583057,NA,BC6(Gifford.et.al.(2015)),BC6,basal circumference,BC,BC6(Gifford2015)),Purple,Gifford_et_al_(2015),Gifford_et_al_(2015)_______(BC)
6,56339998,56339998,56339998,56339998,CS.Bcirc,Bcirc(Current Study),NsiI.TP647736,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
6,57442567,57442567,57442567,57442567,CS.Bcirc,Bcirc(Current Study),PstI.TP788586,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
6,57879722,57879722,57879722,57879722,CS.Bcirc,Bcirc(Current Study),PstI.TP849929,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
6,59157096,59157101,59147096,59167101,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),PstI.TP720319,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
7,1673100,1673100,1673100,1673100,NA,CCBC3(Gifford.et.al.(2015)),CCBC3,compressed circumference/basal circumference,CCBC,CCBC3(Gifford2015)),Purple,Gifford_et_al_(2015),Gifford_et_al_(2015)_______(CCBC)
7,5038310,5038310,5038310,5038310,CS.Bcirc,Bcirc(Current Study),NsiI.TP765320,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
7,5385966,5405966,11187274,5102124,NA,BC3(Gifford.et.al.(2015)),BC3,basal circumference,BC,BC3(Gifford2015)),Purple,Gifford_et_al_(2015),Gifford_et_al_(2015)_______(BC)
7,7489329,5395966,7489329,5395966,NA,CCBC1(Gifford.et.al.(2015)),CCBC1,compressed circumference/basal circumference,CCBC,CCBC1(Gifford2015)),Purple,Gifford_et_al_(2015),Gifford_et_al_(2015)_______(CCBC)
7,65362120,65362140,65352120,65372140,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),NsiI.TP562946,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
8,53906246,53906301,53896246,53916301,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),NsiI.TP669291,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
8,61280127,61280140,61270127,61290140,Clark..2019..BC,BC(Clark.et.al.(2019)),PstI.TP22102,Basal circumference,BC,BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(BC)
8,61954442,61954442,61954442,61954442,CS.Bcirc,Bcirc(Current Study),PstI.TP161086,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
9,5056498,5056498,5056498,5056498,CS.Bcirc,Bcirc(Current Study),NsiI.TP250072,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
9,42418711,42418738,42408711,42428738,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),NsiI.TP243719,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
9,49933625,49933625,49933625,49933625,CS.Bcirc,Bcirc(Current Study),NsiI.TP296932,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
9,51572610,51572610,51572610,51572610,CS.Bcirc,Bcirc(Current Study),PstI.TP134129,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
9,51662064,51662076,51652064,51672076,Clark..2019..CC/BC,NA,NsiI.TP427326,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
9,55207270,55207278,55197270,55217278,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),PstI.TP1126093,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
9,57621267,57621267,57621267,57621267,CS.Bcirc,Bcirc(Current Study),PstI.TP976305,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
9,58253929,58253929,58253929,58253929,CS.Bcirc,Bcirc(Current Study),PstI.TP548121,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
10,6028036,6028043,6018036,6038043,Clark..2019..BC,BC(Clark.et.al.(2019)),PstI.TP1279997,Basal circumference,BC,BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(BC)
10,7488785,7488785,7488785,7488785,CS.Bcirc,Bcirc(Current Study),NsiI.TP296881,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
10,41353679,41353679,41353679,41353679,CS.Bcirc,Bcirc(Current Study),NsiI.TP648509,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
10,42833148,42833172,42823148,42843172,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),NsiI.TP44049,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
10,56178550,56198550,55158232,58161744,NA,BC5(Gifford.et.al.(2015)),BC5,basal circumference,BC,BC(Gifford2015)),Purple,Gifford_et_al_(2015),Gifford_et_al_(2015)_______(BC)
10,56178550,56198550,55158232,58161744,NA,CCBC4(Gifford.et.al.(2015))BC5(Gifford.et.al.(2015)),CCBC4,compressed circumference/basal circumference,CCBC,CCBC4(Gifford2015)),Purple,Gifford_et_al_(2015),Gifford_et_al_(2015)_______(CCBC)
10,56296082,56296082,56296082,56296082,CS.Bcirc,Bcirc(Current Study),NsiI.TP330963,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
10,60109953,60785154,58627987,60785154,NA,CC/BC(Dong.et.al.(2017)),CC/BC LG19 88.6 cM,compressed circumference/basal circumference,CC/BC,CC/BC(Dong2017)),Green,Dong_et_al_(2017),Dong_et_al_(2017)_______(CC/BC)
10,60139620,60139620,60139620,60139620,CS.Bcirc,Bcirc(Current Study),PstI.TP65527,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
10,60930249,60930307,60920249,60940307,Clark..2019..CC/BC,CC/BC(Clark.et.al.(2019)),PstI.TP751019,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(CC/BC)
