Chrom,Start.1,End.1,Start,End,ID,ID.1,Name,Trait.name,Group2,Group,Colors,Group3
8,53906246,53906301,53896246,53916301,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP669291,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
9,42418711,42418738,42408711,42428738,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP243719,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
9,51662064,51662076,51652064,51672076,NA,NA,NsiI.TP427326,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
9,55207270,55207278,55197270,55217278,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP1126093,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
10,42833148,42833172,42823148,42843172,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP44049,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
10,60930249,60930307,60920249,60940307,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP751019,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
1,75697426,75697441,75687426,75707441,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP488333,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
1,58490850,58490873,58480850,58500873,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP1205830,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
1,20807843,20807868,20797843,20817868,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP187958,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
1,74969259,74969305,74959259,74979305,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP304860,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
1,77868388,77868398,77858388,77878398,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP425825,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
2,527130,527149,517130,537149,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP245177,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
2,76404658,76404670,76394658,76414670,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP29500,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
2,70869244,70869265,70859244,70879265,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP1045751,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
3,71291869,71291896,71281869,71301896,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP328854,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
3,5764183,5764222,5754183,5774222,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP768975,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
3,59388031,59388087,59378031,59398087,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP21924,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
4,66046880,66046928,66036880,66056928,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP243370,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
4,65501761,65501807,65491761,65511807,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP470794,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
4,60813260,60813301,60803260,60823301,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP264924,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
5,67425654,67425675,67415654,67435675,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP152466,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
5,67518297,67518317,67508297,67528317,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP181332,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
5,67426709,67426770,67416709,67436770,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP751681,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,42480801,42480830,42470801,42490830,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP1092536,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,60916847,60916879,60906847,60926879,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP17741,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,6308560,6308579,6298560,6318579,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP250403,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
7,61269928,61269970,61259928,61279970,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP590314,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
8,8195380,8195389,8185380,8205389,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP334052,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
8,12156318,12156336,12146318,12166336,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP788570,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
9,2690781,2690819,2680781,2700819,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP38877,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
9,57094909,57094929,57084909,57104929,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP440846,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
9,55967593,55967635,55957593,55977635,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP116355,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
9,53145027,53145062,53135027,53155062,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP989741,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,60410029,60410043,60400029,60420043,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP213211,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,6643969,6643993,6633969,6653993,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP443003,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,55228808,55228841,55218808,55238841,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP725489,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
2,58552388,58552434,58542388,58562434,CmL(Clark(2019)),CmL(Clark.et.al.(2019)),PstI.TP1215799,Culm length,CmL,CmL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
2,59309823,59309858,59299823,59319858,CmL(Clark(2019)),CmL(Clark.et.al.(2019)),PstI.TP122680,Culm length,CmL,CmL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
3,67274456,67274500,67264456,67284500,CmL(Clark(2019)),CmL(Clark.et.al.(2019)),NsiI.TP400051,Culm length,CmL,CmL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
4,58163544,58163559,58153544,58173559,CmL(Clark(2019)),CmL(Clark.et.al.(2019)),NsiI.TP6292,Culm length,CmL,CmL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
4,8676888,8676929,8666888,8686929,CmL(Clark(2019)),CmL(Clark.et.al.(2019)),PstI.TP168674,Culm length,CmL,CmL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
4,60023766,60023820,60013766,60033820,CmL(Clark(2019)),CmL(Clark.et.al.(2019)),PstI.TP977760,Culm length,CmL,CmL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,46381019,46381031,46371019,46391031,CmL(Clark(2019)),CmL(Clark.et.al.(2019)),PstI.TP38210,Culm length,CmL,CmL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,51076759,51076780,51066759,51086780,CmL(Clark(2019)),CmL(Clark.et.al.(2019)),PstI.TP714414,Culm length,CmL,CmL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
7,58039006,58039037,58029006,58049037,CmL(Clark(2019)),CmL(Clark.et.al.(2019)),NsiI.TP546382,Culm length,CmL,CmL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
9,59219545,59219551,59209545,59229551,CmL(Clark(2019)),CmL(Clark.et.al.(2019)),PstI.TP780454,Culm length,CmL,CmL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
1,8153076,8153110,8143076,8163110,CmNdN(Clark(2019)),CmNdN(Clark.et.al.(2019)),NsiI.TP137978,Culm node number,CmNdN,CmNdN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
3,72330951,72330993,72320951,72340993,CmNdN(Clark(2019)),CmNdN(Clark.et.al.(2019)),PstI.TP279809,Culm node number,CmNdN,CmNdN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
4,16499950,16499951,16489950,16509951,CmNdN(Clark(2019)),CmNdN(Clark.et.al.(2019)),PstI.TP603951,Culm node number,CmNdN,CmNdN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
5,1808298,1808304,1798298,1818304,CmNdN(Clark(2019)),CmNdN(Clark.et.al.(2019)),PstI.TP1140941,Culm node number,CmNdN,CmNdN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
7,14386519,14386558,14376519,14396558,CmNdN(Clark(2019)),CmNdN(Clark.et.al.(2019)),NsiI.TP750071,Culm node number,CmNdN,CmNdN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,60122682,60122723,60112682,60132723,CmNdN(Clark(2019)),CmNdN(Clark.et.al.(2019)),PstI.TP993513,Culm node number,CmNdN,CmNdN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
2,63992445,63992469,63982445,64002469,CmV(Clark(2019)),CmV(Clark.et.al.(2019)),PstI.TP213479,Culm volume,CmV,CmV(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
1,9570135,9570148,9560135,9580148,DBI(Clark(2019)),DBI(Clark.et.al.(2019)),PstI.TP1193219,Diameter of basal internode,DBI,DBI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
2,63992445,63992469,63982445,64002469,DBI(Clark(2019)),DBI(Clark.et.al.(2019)),PstI.TP213479,Diameter of basal internode,DBI,DBI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
3,57894675,57894680,57884675,57904680,DBI(Clark(2019)),DBI(Clark.et.al.(2019)),NsiI.TP78904,Diameter of basal internode,DBI,DBI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,58243820,58243864,58233820,58253864,DBI(Clark(2019)),DBI(Clark.et.al.(2019)),NsiI.TP2617,Diameter of basal internode,DBI,DBI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,9087139,9087147,9077139,9097147,DBI(Clark(2019)),DBI(Clark.et.al.(2019)),PstI.TP1071406,Diameter of basal internode,DBI,DBI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,43096195,43096238,43086195,43106238,DBI(Clark(2019)),DBI(Clark.et.al.(2019)),NsiI.TP789052,Diameter of basal internode,DBI,DBI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
1,21845522,21845560,21835522,21855560,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP834121,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
1,9570135,9570148,9560135,9580148,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),PstI.TP1193219,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
2,3765042,3765100,3755042,3775100,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP391602,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
2,65378296,65378339,65368296,65388339,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP563232,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
3,10065198,10065212,10055198,10075212,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP755529,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
3,68567949,68567976,68557949,68577976,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),PstI.TP167782,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
3,70870909,70870928,70860909,70880928,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),PstI.TP44584,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
4,68562475,68562524,68552475,68572524,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP259300,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
4,9160201,9160208,9150201,9170208,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),PstI.TP408444,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,45061320,45061369,45051320,45071369,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP17846,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Green,Clark_et_al_(2019)
6,52472440,52472448,52462440,52482448,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP711779,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,9087139,9087147,9077139,9097147,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),PstI.TP1071406,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
7,57293639,57293650,57283639,57303650,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),PstI.TP326785,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,58500611,58500616,58490611,58510616,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP324486,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,43096195,43096238,43086195,43106238,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP789052,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,61172978,61173000,61162978,61183000,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),PstI.TP1280479,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
1,72666012,72666037,72656012,72676037,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),NsiI.TP388887,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
1,64885884,64885908,64875884,64895908,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),NsiI.TP627040,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
1,3550164,3550216,3540164,3560216,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),NsiI.TP829914,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
1,4369514,4369536,4359514,4379536,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP314275,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
1,3006542,3006566,2996542,3016566,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP528703,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
2,68613623,68613645,68603623,68623645,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),NsiI.TP169221,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
3,2806993,2807000,2796993,2817000,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP1112819,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
3,72330951,72330993,72320951,72340993,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP279809,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
3,3764827,3764828,3754827,3774828,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP362300,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
4,58163544,58163559,58153544,58173559,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),NsiI.TP6292,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
4,58501136,58501198,58491136,58511198,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP31016,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,42101740,42101760,42091740,42111760,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),NsiI.TP447271,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,51990200,51990247,51980200,52000247,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP1077958,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
7,5604445,5604465,5594445,5614465,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP938285,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
8,56756599,56756625,56746599,56766625,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP962832,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
9,56906828,56906861,56896828,56916861,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP1023013,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
9,57856480,57856522,57846480,57866522,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP228440,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
9,52327446,52327480,52317446,52337480,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP919066,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,43096195,43096249,43086195,43106249,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),NsiI.TP785032,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,60872085,60872117,60862085,60882117,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP1054932,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,4946260,4946269,4936260,4956269,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP1092160,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,6039889,6039925,6029889,6049925,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP186628,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,57156229,57156281,57146229,57166281,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP44184,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,53743913,53743947,53733913,53753947,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP790645,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
2,17982184,17982247,17972184,17992247,RCmN/TCmN(Clark(2019)),RCmN/TCmN(Clark.et.al.(2019)),NsiI.TP798729,Proportion of reproductive culms,RCmN/TCmN,RCmN/TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
2,65531289,65531306,65521289,65541306,RCmN/TCmN(Clark(2019)),RCmN/TCmN(Clark.et.al.(2019)),PstI.TP315378,Proportion of reproductive culms,RCmN/TCmN,RCmN/TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,6308560,6308579,6298560,6318579,RCmN/TCmN(Clark(2019)),RCmN/TCmN(Clark.et.al.(2019)),PstI.TP250403,Proportion of reproductive culms,RCmN/TCmN,RCmN/TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,58980435,58980452,58970435,58990452,RCmN/TCmN(Clark(2019)),RCmN/TCmN(Clark.et.al.(2019)),PstI.TP661820,Proportion of reproductive culms,RCmN/TCmN,RCmN/TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
8,6143783,6143843,6133783,6153843,RCmN/TCmN(Clark(2019)),RCmN/TCmN(Clark.et.al.(2019)),NsiI.TP357738,Proportion of reproductive culms,RCmN/TCmN,RCmN/TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,47749856,47749872,47739856,47759872,RCmN/TCmN(Clark(2019)),RCmN/TCmN(Clark.et.al.(2019)),NsiI.TP704429,Proportion of reproductive culms,RCmN/TCmN,RCmN/TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
