,SNP,ID,Chromosome,Position,Trait.name,PS,Ind.SNP,SUPER,FarmCPU,mrMLM,rrBLUP,GLM,MAF.1.x,PVE.1.y,Gene,chr,start,end,width,strand,dis_start.positon,dis_positon.end
36,NsiI.TP128678,Yld_kg.4,3,69000501,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(124+36088im(1)),,Yld_kg(FarmCPU(1)),,,,0.4086,1.872,Sobic.003G375200.1,Chr03,68999883,69007574,7692,+,-618,-7073
37,NsiI.TP128678,CmN.8,3,69000501,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.4256,6.914,Sobic.003G375200.1,Chr03,68999883,69007574,7692,+,-618,-7073
38,NsiI.TP128678,CmN.8,3,69000501,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.4256,6.914,Sobic.003G375200.1,Chr03,68999883,69007574,7692,+,-618,-7073
39,NsiI.TP128678,CmN.8,3,69000501,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.4256,6.914,Sobic.003G375200.1,Chr03,68999883,69007574,7692,+,-618,-7073
40,NsiI.TP128678,SDW_kg.3,3,69000501,SDW_kg,SDW_kg(PS_N(1)),SDW_kg(124+36088im(1)),,SDW_kg(FarmCPU(1)),,,,0.4086,0.9569,Sobic.003G375200.1,Chr03,68999883,69007574,7692,+,-618,-7073
41,NsiI.TP128678,SDW_kg.3,3,69000501,SDW_kg,SDW_kg(PS_N(1)),SDW_kg(124+36088im(1)),,SDW_kg(FarmCPU(1)),,,,0.4086,0.9569,Sobic.003G375200.1,Chr03,68999883,69007574,7692,+,-618,-7073
42,NsiI.TP128678,SDW_kg.3,3,69000501,SDW_kg,SDW_kg(PS_N(1)),SDW_kg(124+36088im(1)),,SDW_kg(FarmCPU(1)),,,,0.4086,0.9569,Sobic.003G375200.1,Chr03,68999883,69007574,7692,+,-618,-7073
43,NsiI.TP128897,CmDW_g.2,6,56190559,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,,CmDW_g(pKWmEB(1)),,,0.4556,4.294,Sobic.006G213300.1,Chr06,56185793,56191223,5431,-,-4766,-664
44,NsiI.TP128897,CmDW_g.2,6,56190559,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,,CmDW_g(pKWmEB(1)),,,0.4556,4.294,Sobic.006G213300.2,Chr06,56185793,56191223,5431,-,-4766,-664
45,NsiI.TP128897,CmDW_g.2,6,56190559,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,,CmDW_g(pKWmEB(1)),,,0.4556,4.294,Sobic.006G213300.2,Chr06,56185793,56191223,5431,-,-4766,-664
46,NsiI.TP128897,CmDW_g.2,6,56190559,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,,CmDW_g(pKWmEB(1)),,,0.4556,4.294,Sobic.006G213300.1,Chr06,56185793,56191223,5431,-,-4766,-664
47,NsiI.TP128897,CmD_BI_mm.1,6,56190559,CmD_BI_mm,CmD_BI_mm(PS_N(2);PS_Y(3)),CmD_BI_mm(124+36088im(5)),,,CmD_BI_mm(FASTmrMLM(1)ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(2)),,,0.459,13.25,Sobic.006G213300.1,Chr06,56185793,56191223,5431,-,-4766,-664
48,NsiI.TP128897,CmD_BI_mm.1,6,56190559,CmD_BI_mm,CmD_BI_mm(PS_N(2);PS_Y(3)),CmD_BI_mm(124+36088im(5)),,,CmD_BI_mm(FASTmrMLM(1)ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(2)),,,0.459,13.25,Sobic.006G213300.2,Chr06,56185793,56191223,5431,-,-4766,-664
49,NsiI.TP128897,CmD_BI_mm.1,6,56190559,CmD_BI_mm,CmD_BI_mm(PS_N(2);PS_Y(3)),CmD_BI_mm(124+36088im(5)),,,CmD_BI_mm(FASTmrMLM(1)ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(2)),,,0.459,13.25,Sobic.006G213300.2,Chr06,56185793,56191223,5431,-,-4766,-664
50,NsiI.TP128897,CmD_BI_mm.1,6,56190559,CmD_BI_mm,CmD_BI_mm(PS_N(2);PS_Y(3)),CmD_BI_mm(124+36088im(5)),,,CmD_BI_mm(FASTmrMLM(1)ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(2)),,,0.459,13.25,Sobic.006G213300.1,Chr06,56185793,56191223,5431,-,-4766,-664
54,NsiI.TP159695,CmN.10,6,57820247,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1828,7.559,Sobic.006G236700.1,Chr06,57815633,57822442,6810,-,-4614,-2195
55,NsiI.TP159695,CmN.10,6,57820247,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1828,7.559,Sobic.006G236700.2,Chr06,57815633,57820884,5252,-,-4614,-637
56,NsiI.TP159695,CmN.10,6,57820247,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1828,7.559,Sobic.006G236700.3,Chr06,57815633,57820884,5252,-,-4614,-637
57,NsiI.TP164112,Cml_cm.2,2,75774037,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(C116+3293(1)),,Cml_cm(FarmCPU(1)),,,,0.1034,0.1395,Sobic.002G409000.1,Chr02,75773614,75775575,1962,-,-423,-1538
60,NsiI.TP195403,Cml_cm.3,1,75432709,Cml_cm,Cml_cm(PS_Y(1)),Cml_cm(124+36088im(1)),,,Cml_cm(mrMLM(1)),,,0.3566,8.463,Sobic.001G482800.1,Chr01,75429377,75432763,3387,+,-3332,-54
61,NsiI.TP211798,Bcirc_cm.1,1,72131324,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),,,Bcirc_cm(mrMLM(1)),,,0.0492,9.731,Sobic.001G444100.1,Chr01,72126363,72130476,4114,+,-4961,848
62,NsiI.TP211798,Bcirc_cm.1,1,72131324,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),,,Bcirc_cm(mrMLM(1)),,,0.0492,9.731,Sobic.001G444100.2,Chr01,72126363,72130476,4114,+,-4961,848
63,NsiI.TP211798,Bcirc_cm.1,1,72131324,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),,,Bcirc_cm(mrMLM(1)),,,0.0492,9.731,Sobic.001G444200.1,Chr01,72130897,72132804,1908,-,-427,-1480
66,NsiI.TP217838,CmN.13,3,3586934,CmN,CmN(PS_Y(2)),CmN(C106+4202(2)),CmN(MLM+SUPER(1)),,,,CmN(GLM(1)),0.05189,11.36,Sobic.003G038400.2,Chr03,3586678,3591433,4756,-,-256,-4499
67,NsiI.TP217838,CmN.13,3,3586934,CmN,CmN(PS_Y(2)),CmN(C106+4202(2)),CmN(MLM+SUPER(1)),,,,CmN(GLM(1)),0.05189,11.36,Sobic.003G038400.1,Chr03,3586678,3591433,4756,-,-256,-4499
68,NsiI.TP218789,Bcirc_cm.2,3,51796050,Bcirc_cm,Bcirc_cm(PS_Y(2)),Bcirc_cm(C106+4202(1);C116+3293(1)),,,Bcirc_cm(mrMLM(2)),,,0.2456,7.029,Sobic.003G194500.1,Chr03,51790405,51796572,6168,+,-5645,-522
69,NsiI.TP218789,Bcirc_cm.2,3,51796050,Bcirc_cm,Bcirc_cm(PS_Y(2)),Bcirc_cm(C106+4202(1);C116+3293(1)),,,Bcirc_cm(mrMLM(2)),,,0.2456,7.029,Sobic.003G194500.1,Chr03,51790405,51796572,6168,+,-5645,-522
70,NsiI.TP218789,Cml_cm.4,3,51796050,Cml_cm,Cml_cm(PS_N(1);PS_Y(1)),Cml_cm(C116+3293(2)),,Cml_cm(FarmCPU(1)),Cml_cm(FASTmrMLM(1)),,,0.25,3.664,Sobic.003G194500.1,Chr03,51790405,51796572,6168,+,-5645,-522
71,NsiI.TP218789,Cml_cm.4,3,51796050,Cml_cm,Cml_cm(PS_N(1);PS_Y(1)),Cml_cm(C116+3293(2)),,Cml_cm(FarmCPU(1)),Cml_cm(FASTmrMLM(1)),,,0.25,3.664,Sobic.003G194500.1,Chr03,51790405,51796572,6168,+,-5645,-522
79,NsiI.TP249634,Cml_cm.7,9,5342948,Cml_cm,Cml_cm(PS_N(2)),Cml_cm(124+36088im(2)),,,Cml_cm(ISIS EM-BLASSO(1)mrMLM(1)),,,0.2746,7.204,Sobic.009G052800.1,Chr09,5341442,5342418,977,+,-1506,530
81,NsiI.TP250072,Bcirc_cm.4,9,5056498,Bcirc_cm,Bcirc_cm(PS_Y(2)),Bcirc_cm(124+36088im(2)),,,Bcirc_cm(FASTmrMLM(1)ISIS EM-BLASSO(1)),,,0.0685,1.938,Sobic.009G050900.2,Chr09,5048810,5056136,7327,+,-7688,362
82,NsiI.TP250072,Bcirc_cm.4,9,5056498,Bcirc_cm,Bcirc_cm(PS_Y(2)),Bcirc_cm(124+36088im(2)),,,Bcirc_cm(FASTmrMLM(1)ISIS EM-BLASSO(1)),,,0.0685,1.938,Sobic.009G050900.1,Chr09,5048810,5056136,7327,+,-7688,362
83,NsiI.TP255006,CmN.18,6,59462133,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1785,7.045,Sobic.006G258600.2,Chr06,59461747,59466525,4779,+,-386,-4392
84,NsiI.TP255006,CmN.18,6,59462133,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1785,7.045,Sobic.006G258600.1,Chr06,59461747,59465981,4235,+,-386,-3848
85,NsiI.TP257077,Bcirc_cm.5,1,6103539,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),,,Bcirc_cm(ISIS EM-BLASSO(1)),,,0.4556,3.433,Sobic.001G079401.1,Chr01,6101772,6103638,1867,-,-1767,-99
86,NsiI.TP257077,Bcirc_cm.5,1,6103539,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),,,Bcirc_cm(ISIS EM-BLASSO(1)),,,0.4556,3.433,Sobic.001G079500.1,Chr01,6104059,6105842,1784,+,520,-2303
87,NsiI.TP273928,Yld_kg.6,6,57836261,Yld_kg,Yld_kg(PS_Y(1)),Yld_kg(124+36088im(1)),,,Yld_kg(mrMLM(1)),,,0.0574,16.03,Sobic.006G236800.1,Chr06,57835757,57839348,3592,+,-504,-3087
88,NsiI.TP273928,Yld_kg.6,6,57836261,Yld_kg,Yld_kg(PS_Y(1)),Yld_kg(124+36088im(1)),,,Yld_kg(mrMLM(1)),,,0.0574,16.03,Sobic.006G236800.1,Chr06,57835757,57839348,3592,+,-504,-3087
89,NsiI.TP273928,SDW_kg.5,6,57836261,SDW_kg,SDW_kg(PS_Y(1)),SDW_kg(124+36088im(1)),,,SDW_kg(mrMLM(1)),,,0.0574,19.63,Sobic.006G236800.1,Chr06,57835757,57839348,3592,+,-504,-3087
90,NsiI.TP273928,SDW_kg.5,6,57836261,SDW_kg,SDW_kg(PS_Y(1)),SDW_kg(124+36088im(1)),,,SDW_kg(mrMLM(1)),,,0.0574,19.63,Sobic.006G236800.1,Chr06,57835757,57839348,3592,+,-504,-3087
91,NsiI.TP282888,CmN.19,2,675031,CmN,CmN(PS_Y(1)),CmN(C116+3293(1)),CmN(CMLM+SUPER(1)),,,,,0.06897,1.977,Sobic.002G006900.1,Chr02,663961,674299,10339,+,-11070,732
92,NsiI.TP282888,CmN.19,2,675031,CmN,CmN(PS_Y(1)),CmN(C116+3293(1)),CmN(CMLM+SUPER(1)),,,,,0.06897,1.977,Sobic.002G006900.2,Chr02,663961,674302,10342,+,-11070,729
93,NsiI.TP282888,CmN.19,2,675031,CmN,CmN(PS_Y(1)),CmN(C116+3293(1)),CmN(CMLM+SUPER(1)),,,,,0.06897,1.977,Sobic.002G007000.2,Chr02,674662,676476,1815,-,-369,-1445
94,NsiI.TP296881,Bcirc_cm.6,10,7488785,Bcirc_cm,Bcirc_cm(PS_N(3);PS_Y(1)),Bcirc_cm(124+36088im(4)),,,Bcirc_cm(ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(2)),,,0.0369,5.317,Sobic.010G087300.1,Chr10,7481503,7488404,6902,-,-7282,381
95,NsiI.TP296881,Bcirc_cm.6,10,7488785,Bcirc_cm,Bcirc_cm(PS_N(3);PS_Y(1)),Bcirc_cm(124+36088im(4)),,,Bcirc_cm(ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(2)),,,0.0369,5.317,Sobic.010G087300.2,Chr10,7481503,7488404,6902,-,-7282,381
96,NsiI.TP296881,Bcirc_cm.6,10,7488785,Bcirc_cm,Bcirc_cm(PS_N(3);PS_Y(1)),Bcirc_cm(124+36088im(4)),,,Bcirc_cm(ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(2)),,,0.0369,5.317,Sobic.010G087300.3,Chr10,7481503,7488404,6902,-,-7282,381
97,NsiI.TP296932,CmN.20,9,49933625,CmN,CmN(PS_N(1)),CmN(124+36088im(1)),,,CmN(mrMLM(1)),,,0.1025,38.92,Sobic.009G142000.2,Chr09,49932745,49941367,8623,+,-880,-7742
98,NsiI.TP296932,CmN.20,9,49933625,CmN,CmN(PS_N(1)),CmN(124+36088im(1)),,,CmN(mrMLM(1)),,,0.1025,38.92,Sobic.009G142000.2,Chr09,49932745,49941367,8623,+,-880,-7742
99,NsiI.TP296932,CmN.20,9,49933625,CmN,CmN(PS_N(1)),CmN(124+36088im(1)),,,CmN(mrMLM(1)),,,0.1025,38.92,Sobic.009G142000.1,Chr09,49932745,49941367,8623,+,-880,-7742
100,NsiI.TP296932,CmN.20,9,49933625,CmN,CmN(PS_N(1)),CmN(124+36088im(1)),,,CmN(mrMLM(1)),,,0.1025,38.92,Sobic.009G142000.1,Chr09,49932745,49941367,8623,+,-880,-7742
101,NsiI.TP296932,Bcirc_cm.7,9,49933625,Bcirc_cm,Bcirc_cm(PS_N(3);PS_Y(1)),Bcirc_cm(124+36088im(4)),,,Bcirc_cm(ISIS EM-BLASSO(1)mrMLM(2)pKWmEB(1)),,,0.1025,30.57,Sobic.009G142000.2,Chr09,49932745,49941367,8623,+,-880,-7742
102,NsiI.TP296932,Bcirc_cm.7,9,49933625,Bcirc_cm,Bcirc_cm(PS_N(3);PS_Y(1)),Bcirc_cm(124+36088im(4)),,,Bcirc_cm(ISIS EM-BLASSO(1)mrMLM(2)pKWmEB(1)),,,0.1025,30.57,Sobic.009G142000.2,Chr09,49932745,49941367,8623,+,-880,-7742
103,NsiI.TP296932,Bcirc_cm.7,9,49933625,Bcirc_cm,Bcirc_cm(PS_N(3);PS_Y(1)),Bcirc_cm(124+36088im(4)),,,Bcirc_cm(ISIS EM-BLASSO(1)mrMLM(2)pKWmEB(1)),,,0.1025,30.57,Sobic.009G142000.1,Chr09,49932745,49941367,8623,+,-880,-7742
104,NsiI.TP296932,Bcirc_cm.7,9,49933625,Bcirc_cm,Bcirc_cm(PS_N(3);PS_Y(1)),Bcirc_cm(124+36088im(4)),,,Bcirc_cm(ISIS EM-BLASSO(1)mrMLM(2)pKWmEB(1)),,,0.1025,30.57,Sobic.009G142000.1,Chr09,49932745,49941367,8623,+,-880,-7742
107,NsiI.TP308953,Yld_kg.8,8,16086302,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(124+36088im(1)),,,Yld_kg(mrMLM(1)),,,0.2705,14.12,Sobic.008G084100.1,Chr08,16086555,16090281,3727,+,253,-3979
111,NsiI.TP327757,CmN.24,3,71119897,CmN,CmN(PS_N(1)),CmN(124+36088im(1)),,CmN(FarmCPU(1)),,,,0.1986,1.145,Sobic.003G403300.1,Chr03,71114880,71120454,5575,-,-5017,-557
113,NsiI.TP33138,Cml_cm.8,5,57403,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(124+36088im(1)),,,Cml_cm(pKWmEB(1)),,,0.0847,3.002,Sobic.005G000500.1,Chr05,57205,63652,6448,-,-198,-6249
114,NsiI.TP33138,Cml_cm.8,5,57403,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(124+36088im(1)),,,Cml_cm(pKWmEB(1)),,,0.0847,3.002,Sobic.005G000400.1,Chr05,56051,56996,946,+,-1352,407
116,NsiI.TP332475,CmN.25,3,64344627,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),CmN(CMLM+SUPER(1)),,,,,0.2026,2.971,Sobic.003G315700.3,Chr03,64344076,64352994,8919,-,-551,-8367
117,NsiI.TP332475,CmN.25,3,64344627,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),CmN(CMLM+SUPER(1)),,,,,0.2026,2.971,Sobic.003G315800.2,Chr03,64343406,64343947,542,+,-1221,680
118,NsiI.TP332475,CmN.25,3,64344627,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),CmN(CMLM+SUPER(1)),,,,,0.2026,2.971,Sobic.003G315700.1,Chr03,64344076,64352994,8919,-,-551,-8367
119,NsiI.TP338132,CmN.26,3,59218088,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),CmN(CMLM+SUPER(1)),,,,,0.1477,0.8388,Sobic.003G253500.1,Chr03,59214043,59217830,3788,-,-4045,258
121,NsiI.TP34193,Cml_cm.9,6,47900218,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(C124+2560(1)),,Cml_cm(FarmCPU(1)),,,,0.1411,7.784,Sobic.006G110200.2,Chr06,47901100,47909899,8800,-,882,-9681
122,NsiI.TP34193,Cml_cm.9,6,47900218,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(C124+2560(1)),,Cml_cm(FarmCPU(1)),,,,0.1411,7.784,Sobic.006G110200.1,Chr06,47901100,47910049,8950,-,882,-9831
123,NsiI.TP346008,Bcirc_cm.10,4,67938088,Bcirc_cm,Bcirc_cm(PS_N(2)),Bcirc_cm(C106+4202(2)),,,Bcirc_cm(FASTmrMLM(1)mrMLM(1)),,,0.1154,3.557,Sobic.004G350700.1,Chr04,67934120,67938364,4245,-,-3968,-276
124,NsiI.TP352026,CmN.28,6,555824,CmN,CmN(PS_N(1);PS_Y(3)),CmN(124+36088im(4)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),CmN(FarmCPU(1)),,,CmN(GLM(1)),0.06707,12.81,Sobic.006G003600.1,Chr06,548123,560425,12303,-,-7701,-4601
125,NsiI.TP358081,CmN.29,6,42784766,CmN,CmN(PS_N(1)),CmN(C116+3293(1)),,,CmN(ISIS EM-BLASSO(1)),,,0.1422,2.193,Sobic.006G067600.1,Chr06,42785485,42802516,17032,+,719,-17750
