"","Ind.SNP","Method","Trait.name","Freq"
"289","124+36088im","MLM+SUPER","CmN",53
"290","C106+4202","MLM+SUPER","CmN",25
"291","C116+3293","MLM+SUPER","CmN",11
"292","C124+2560","MLM+SUPER","CmN",14
"293","124+36088im","mrMLM","CmN",7
"294","C106+4202","mrMLM","CmN",5
"295","C116+3293","mrMLM","CmN",7
"296","C124+2560","mrMLM","CmN",5
"297","124+36088im","pKWmEB","CmN",0
"298","C106+4202","pKWmEB","CmN",0
"299","C116+3293","pKWmEB","CmN",0
"300","C124+2560","pKWmEB","CmN",7
"301","124+36088im","pLARmEB","CmN",17
"302","C106+4202","pLARmEB","CmN",7
"303","C116+3293","pLARmEB","CmN",6
"304","C124+2560","pLARmEB","CmN",8
"305","124+36088im","rrBLUP","CmN",1
"306","C106+4202","rrBLUP","CmN",1
"307","C116+3293","rrBLUP","CmN",1
"308","C124+2560","rrBLUP","CmN",0
"309","124+36088im","CMLM+SUPER","SDW",0
"310","C106+4202","CMLM+SUPER","SDW",0
"311","C116+3293","CMLM+SUPER","SDW",0
"312","C124+2560","CMLM+SUPER","SDW",0
"313","124+36088im","FarmCPU","SDW",8
"314","C106+4202","FarmCPU","SDW",4
"315","C116+3293","FarmCPU","SDW",3
"316","C124+2560","FarmCPU","SDW",6
"317","124+36088im","FASTmrEMMA","SDW",0
"318","C106+4202","FASTmrEMMA","SDW",2
"319","C116+3293","FASTmrEMMA","SDW",1
"320","C124+2560","FASTmrEMMA","SDW",1
"321","124+36088im","FASTmrMLM","SDW",11
"322","C106+4202","FASTmrMLM","SDW",2
"323","C116+3293","FASTmrMLM","SDW",2
"324","C124+2560","FASTmrMLM","SDW",3
"325","124+36088im","GLM","SDW",0
"326","C106+4202","GLM","SDW",0
"327","C116+3293","GLM","SDW",0
"328","C124+2560","GLM","SDW",0
"329","124+36088im","ISIS EM-BLASSO","SDW",8
"330","C106+4202","ISIS EM-BLASSO","SDW",3
"331","C116+3293","ISIS EM-BLASSO","SDW",3
"332","C124+2560","ISIS EM-BLASSO","SDW",4
"333","124+36088im","MLM+SUPER","SDW",0
"334","C106+4202","MLM+SUPER","SDW",0
"335","C116+3293","MLM+SUPER","SDW",0
"336","C124+2560","MLM+SUPER","SDW",0
"337","124+36088im","mrMLM","SDW",11
"338","C106+4202","mrMLM","SDW",4
"339","C116+3293","mrMLM","SDW",2
"340","C124+2560","mrMLM","SDW",4
"341","124+36088im","pKWmEB","SDW",0
"342","C106+4202","pKWmEB","SDW",0
"343","C116+3293","pKWmEB","SDW",0
"344","C124+2560","pKWmEB","SDW",3
"345","124+36088im","pLARmEB","SDW",9
"346","C106+4202","pLARmEB","SDW",7
"347","C116+3293","pLARmEB","SDW",3
"348","C124+2560","pLARmEB","SDW",6
"349","124+36088im","rrBLUP","SDW",1
"350","C106+4202","rrBLUP","SDW",0
"351","C116+3293","rrBLUP","SDW",0
"352","C124+2560","rrBLUP","SDW",0
"353","124+36088im","CMLM+SUPER","Yld",0
"354","C106+4202","CMLM+SUPER","Yld",0
"355","C116+3293","CMLM+SUPER","Yld",0
"356","C124+2560","CMLM+SUPER","Yld",0
"357","124+36088im","FarmCPU","Yld",6
"358","C106+4202","FarmCPU","Yld",0
"359","C116+3293","FarmCPU","Yld",3
"360","C124+2560","FarmCPU","Yld",7
"361","124+36088im","FASTmrEMMA","Yld",0
"362","C106+4202","FASTmrEMMA","Yld",4
"363","C116+3293","FASTmrEMMA","Yld",2
"364","C124+2560","FASTmrEMMA","Yld",2
"365","124+36088im","FASTmrMLM","Yld",8
"366","C106+4202","FASTmrMLM","Yld",4
"367","C116+3293","FASTmrMLM","Yld",3
"368","C124+2560","FASTmrMLM","Yld",3
"369","124+36088im","GLM","Yld",0
"370","C106+4202","GLM","Yld",0
"371","C116+3293","GLM","Yld",0
"372","C124+2560","GLM","Yld",0
"373","124+36088im","ISIS EM-BLASSO","Yld",6
"374","C106+4202","ISIS EM-BLASSO","Yld",4
"375","C116+3293","ISIS EM-BLASSO","Yld",7
"376","C124+2560","ISIS EM-BLASSO","Yld",4
"377","124+36088im","MLM+SUPER","Yld",0
"378","C106+4202","MLM+SUPER","Yld",0
"379","C116+3293","MLM+SUPER","Yld",0
"380","C124+2560","MLM+SUPER","Yld",0
"381","124+36088im","mrMLM","Yld",9
"382","C106+4202","mrMLM","Yld",4
"383","C116+3293","mrMLM","Yld",5
"384","C124+2560","mrMLM","Yld",3
"385","124+36088im","pKWmEB","Yld",0
"386","C106+4202","pKWmEB","Yld",0
"387","C116+3293","pKWmEB","Yld",0
"388","C124+2560","pKWmEB","Yld",0
"389","124+36088im","pLARmEB","Yld",14
"390","C106+4202","pLARmEB","Yld",8
"391","C116+3293","pLARmEB","Yld",4
"392","C124+2560","pLARmEB","Yld",4
"393","124+36088im","rrBLUP","Yld",1
"394","C106+4202","rrBLUP","Yld",0
"395","C116+3293","rrBLUP","Yld",0
"396","C124+2560","rrBLUP","Yld",0
