"","X","SNP","Gene","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"13",57,"NsiI.TP164112","Sobic.002G409000","Cml_cm.2",2,75774037,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(C116+3293(1))","","Cml_cm(FarmCPU(1))","","","",0.1034,0.1395,1,"Chr02",75773614,75775575,1962,"-",-423,-1538,37953670,"Sobic.002G409000","Sobic.002G409000.1","Sobic.002G409000.1.p","PF00657","PTHR22835,PTHR22835:SF147","","3.1.1.3","","GO:0016788","AT2G23540.1","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os07g47210.1",NA,"GDSL-like lipase/acylhydrolase, putative, expressed"
"14",60,"NsiI.TP195403","Sobic.001G482800","Cml_cm.3",1,75432709,"Cml_cm","Cml_cm(PS_Y(1))","Cml_cm(124+36088im(1))","","","Cml_cm(mrMLM(1))","","",0.3566,8.463,1,"Chr01",75429377,75432763,3387,"+",-3332,-54,37938978,"Sobic.001G482800","Sobic.001G482800.1","Sobic.001G482800.1.p","PF09425,PF06200","PTHR33077,PTHR33077:SF1","","","K13464","","AT5G20900.1","JAZ12,TIFY3B","jasmonate-zim-domain protein 12","LOC_Os03g08310.1",NA,"ZIM domain containing protein, putative, expressed"
"15",61,"NsiI.TP211798","Sobic.001G444100","Bcirc_cm.1",1,72131324,"Bcirc_cm","Bcirc_cm(PS_Y(1))","Bcirc_cm(124+36088im(1))","","","Bcirc_cm(mrMLM(1))","","",0.0492,9.731,1,"Chr01",72126363,72130476,4114,"+",-4961,848,37939021,"Sobic.001G444100","Sobic.001G444100.1","Sobic.001G444100.1.p","PF00854","PTHR11654,PTHR11654:SF153","","","K14638","GO:0016020,GO:0006810,GO:0005215","AT2G02040.1","ATPTR2,ATPTR2-B,NTR1,PTR2,PTR2-B","peptide transporter 2","LOC_Os03g13240.1",NA,"peptide transporter, putative, expressed"
"16",63,"NsiI.TP211798","Sobic.001G444200","Bcirc_cm.1",1,72131324,"Bcirc_cm","Bcirc_cm(PS_Y(1))","Bcirc_cm(124+36088im(1))","","","Bcirc_cm(mrMLM(1))","","",0.0492,9.731,1,"Chr01",72130897,72132804,1908,"-",-427,-1480,37941228,"Sobic.001G444200","Sobic.001G444200.1","Sobic.001G444200.1.p","PF12854,PF13812,PF14432,PF13041,PF01535","PTHR24015,PTHR24015:SF97","","","","","AT4G37170.1","","Pentatricopeptide repeat (PPR) superfamily protein","LOC_Os03g13230.1",NA,"pentatricopeptide, putative, expressed"
"17",66,"NsiI.TP217838","Sobic.003G038400","CmN.13",3,3586934,"CmN","CmN(PS_Y(2))","CmN(C106+4202(2))","CmN(MLM+SUPER(1))","","","","CmN(GLM(1))",0.05189,11.36,2,"Chr03",3586678,3591433,4756,"-",-256,-4499,37916344,"Sobic.003G038400","Sobic.003G038400.2","Sobic.003G038400.2.p","PF07889","PTHR31903,PTHR31903:SF3","","","","","AT1G27000.1","","Protein of unknown function (DUF1664)","LOC_Os05g08980.2",NA,"expressed protein"
"18",68,"NsiI.TP218789","Sobic.003G194500","Bcirc_cm.2",3,51796050,"Bcirc_cm","Bcirc_cm(PS_Y(2))","Bcirc_cm(C106+4202(1);C116+3293(1))","","","Bcirc_cm(mrMLM(2))","","",0.2456,7.029,1,"Chr03",51790405,51796572,6168,"+",-5645,-522,37914041,"Sobic.003G194500","Sobic.003G194500.1","Sobic.003G194500.1.p","PF00642","PTHR13119","","","","GO:0046872","AT5G56930.1","emb1789","CCCH-type zinc finger family protein","LOC_Os01g39100.1",NA,"zinc finger C-x8-C-x5-C-x3-H type family protein, expressed"
"19",79,"NsiI.TP249634","Sobic.009G052800","Cml_cm.7",9,5342948,"Cml_cm","Cml_cm(PS_N(2))","Cml_cm(124+36088im(2))","","","Cml_cm(ISIS EM-BLASSO(1)mrMLM(1))","","",0.2746,7.204,1,"Chr09",5341442,5342418,977,"+",-1506,530,37921367,"Sobic.009G052800","Sobic.009G052800.1","Sobic.009G052800.1.p","","","","","","","","","","LOC_Os05g06520.1",NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
"20",81,"NsiI.TP250072","Sobic.009G050900","Bcirc_cm.4",9,5056498,"Bcirc_cm","Bcirc_cm(PS_Y(2))","Bcirc_cm(124+36088im(2))","","","Bcirc_cm(FASTmrMLM(1)ISIS EM-BLASSO(1))","","",0.0685,1.938,2,"Chr09",5048810,5056136,7327,"+",-7688,362,37922652,"Sobic.009G050900","Sobic.009G050900.2","Sobic.009G050900.2.p","PF07786","PTHR31061,PTHR31061:SF7","KOG4683","2.3.1.78","K10532","","AT5G47900.1","","Protein of unknown function (DUF1624)","LOC_Os05g06360.1",NA,"heparan-alpha-glucosaminide N-acetyltransferase, putative, expressed"
"21",83,"NsiI.TP255006","Sobic.006G258600","CmN.18",6,59462133,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","","","CmN(GLM(1))",0.1785,7.045,2,"Chr06",59461747,59466525,4779,"+",-386,-4392,37946261,"Sobic.006G258600","Sobic.006G258600.2","Sobic.006G258600.2.p","PF04134","PTHR34290,PTHR34290:SF2","","","","","AT5G50100.1","","Putative thiol-disulphide oxidoreductase DCC","LOC_Os04g57310.1",NA,"thiol-disulphide oxidoreductase DCC, putative, expressed"
"22",85,"NsiI.TP257077","Sobic.001G079401","Bcirc_cm.5",1,6103539,"Bcirc_cm","Bcirc_cm(PS_Y(1))","Bcirc_cm(124+36088im(1))","","","Bcirc_cm(ISIS EM-BLASSO(1))","","",0.4556,3.433,1,"Chr01",6101772,6103638,1867,"-",-1767,-99,37944514,"Sobic.001G079401","Sobic.001G079401.1","Sobic.001G079401.1.p","","","","","","","","","","",NA,""
"23",86,"NsiI.TP257077","Sobic.001G079500","Bcirc_cm.5",1,6103539,"Bcirc_cm","Bcirc_cm(PS_Y(1))","Bcirc_cm(124+36088im(1))","","","Bcirc_cm(ISIS EM-BLASSO(1))","","",0.4556,3.433,1,"Chr01",6104059,6105842,1784,"+",520,-2303,37944454,"Sobic.001G079500","Sobic.001G079500.1","Sobic.001G079500.1.p","PF13912","PTHR26374","","","","","AT1G27730.1","STZ,ZAT10","salt tolerance zinc finger","LOC_Os03g55540.1",NA,"ZOS3-18 - C2H2 zinc finger protein, expressed"
"24",87,"NsiI.TP273928","Sobic.006G236800","Yld_kg.6",6,57836261,"Yld_kg","Yld_kg(PS_Y(1))","Yld_kg(124+36088im(1))","","","Yld_kg(mrMLM(1))","","",0.0574,16.03,1,"Chr06",57835757,57839348,3592,"+",-504,-3087,37948912,"Sobic.006G236800","Sobic.006G236800.1","Sobic.006G236800.1.p","PF00307,PF03271","PTHR10623,PTHR10623:SF19","KOG3000","","K10436","GO:0005515,GO:0008017","AT3G47690.1","ATEB1A,ATEB1H2,EB1A","microtubule end binding protein EB1A","LOC_Os04g54940.1",NA,"ATEB1A-like microtubule associated protein, putative, expressed"
"25",91,"NsiI.TP282888","Sobic.002G006900","CmN.19",2,675031,"CmN","CmN(PS_Y(1))","CmN(C116+3293(1))","CmN(CMLM+SUPER(1))","","","","",0.06897,1.977,1,"Chr02",663961,674299,10339,"+",-11070,732,37950226,"Sobic.002G006900","Sobic.002G006900.1","Sobic.002G006900.1.p","PF13371,PF13414","PTHR23083,PTHR23083:SF443","KOG0547","","","","AT4G37460.1","SRFR1","Tetratricopeptide repeat (TPR)-like superfamily protein","LOC_Os07g02300.1",NA,"tetratricopeptide repeat domain containing protein, expressed"
"26",93,"NsiI.TP282888","Sobic.002G007000","CmN.19",2,675031,"CmN","CmN(PS_Y(1))","CmN(C116+3293(1))","CmN(CMLM+SUPER(1))","","","","",0.06897,1.977,2,"Chr02",674662,676476,1815,"-",-369,-1445,37953601,"Sobic.002G007000","Sobic.002G007000.2","Sobic.002G007000.2.p","PF14432,PF13041,PF01535","PTHR24015,PTHR24015:SF433","","","","","AT4G37380.1","","Tetratricopeptide repeat (TPR)-like superfamily protein","LOC_Os07g02280.1",NA,"pentatricopeptide, putative, expressed"
"29",107,"NsiI.TP308953","Sobic.008G084100","Yld_kg.8",8,16086302,"Yld_kg","Yld_kg(PS_N(1))","Yld_kg(124+36088im(1))","","","Yld_kg(mrMLM(1))","","",0.2705,14.12,1,"Chr08",16086555,16090281,3727,"+",253,-3979,37927383,"Sobic.008G084100","Sobic.008G084100.1","Sobic.008G084100.1.p","PF05191,PF00406","PTHR23359,PTHR23359:SF99","KOG3078","2.7.4.3","K00939","GO:0004017,GO:0019205,GO:0006139,GO:0005524","AT5G63400.1","ADK1","adenylate kinase 1","LOC_Os11g20790.1",NA,"adenylate kinase, putative, expressed"
"30",111,"NsiI.TP327757","Sobic.003G403300","CmN.24",3,71119897,"CmN","CmN(PS_N(1))","CmN(124+36088im(1))","","CmN(FarmCPU(1))","","","",0.1986,1.145,1,"Chr03",71114880,71120454,5575,"-",-5017,-557,37912830,"Sobic.003G403300","Sobic.003G403300.1","Sobic.003G403300.1.p","PF00862,PF05116,PF00534","PTHR12526,PTHR12526:SF360","KOG0853","2.4.1.14","K00696","GO:0016157,GO:0005985","AT1G04920.1","ATSPS3F,SPS3F","sucrose phosphate synthase 3F","LOC_Os01g69030.2",NA,"sucrose-phosphate synthase, putative, expressed"
"31",113,"NsiI.TP33138","Sobic.005G000500","Cml_cm.8",5,57403,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(124+36088im(1))","","","Cml_cm(pKWmEB(1))","","",0.0847,3.002,1,"Chr05",57205,63652,6448,"-",-198,-6249,37924498,"Sobic.005G000500","Sobic.005G000500.1","Sobic.005G000500.1.p","PF00225","PTHR24115,PTHR24115:SF517","","3.6.4.4","K10398","GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871","AT3G45850.1","","P-loop containing nucleoside triphosphate hydrolases superfamily protein","LOC_Os05g02670.1",NA,"kinesin motor domain containing protein, putative, expressed"
"32",114,"NsiI.TP33138","Sobic.005G000400","Cml_cm.8",5,57403,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(124+36088im(1))","","","Cml_cm(pKWmEB(1))","","",0.0847,3.002,1,"Chr05",56051,56996,946,"+",-1352,407,37923073,"Sobic.005G000400","Sobic.005G000400.1","Sobic.005G000400.1.p","PF06203","PTHR31319,PTHR31319:SF12","","","","GO:0005515","AT5G41380.1","","CCT motif family protein","LOC_Os11g01074.4",NA,"RNase P subunit p30, putative, expressed"
"33",116,"NsiI.TP332475","Sobic.003G315700","CmN.25",3,64344627,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","CmN(CMLM+SUPER(1))","","","","",0.2026,2.971,3,"Chr03",64344076,64352994,8919,"-",-551,-8367,37916416,"Sobic.003G315700","Sobic.003G315700.3","Sobic.003G315700.3.p","PF12169,PF00004","PTHR11669,PTHR11669:SF12","KOG0989","2.7.7.7","","GO:0003887,GO:0005524","AT2G02480.1","STI","AAA-type ATPase family protein","LOC_Os12g10670.1",NA,"AAA-type ATPase family protein, putative, expressed"
"34",117,"NsiI.TP332475","Sobic.003G315800","CmN.25",3,64344627,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","CmN(CMLM+SUPER(1))","","","","",0.2026,2.971,2,"Chr03",64343406,64343947,542,"+",-1221,680,37915964,"Sobic.003G315800","Sobic.003G315800.2","Sobic.003G315800.2.p","","PTHR34114:SF4,PTHR34114","","","","","","","","",NA,""
"35",119,"NsiI.TP338132","Sobic.003G253500","CmN.26",3,59218088,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","CmN(CMLM+SUPER(1))","","","","",0.1477,0.8388,1,"Chr03",59214043,59217830,3788,"-",-4045,258,37917799,"Sobic.003G253500","Sobic.003G253500.1","Sobic.003G253500.1.p","PF13837","PTHR31307,PTHR31307:SF10","KOG4282","","","","AT3G14180.1","","sequence-specific DNA binding transcription factors","LOC_Os01g48320.1",NA,"transcription factor like protein, putative, expressed"
"36",121,"NsiI.TP34193","Sobic.006G110200","Cml_cm.9",6,47900218,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(C124+2560(1))","","Cml_cm(FarmCPU(1))","","","",0.1411,7.784,2,"Chr06",47901100,47909899,8800,"-",882,-9681,37949303,"Sobic.006G110200","Sobic.006G110200.2","Sobic.006G110200.2.p","PF01985","PTHR31846,PTHR31846:SF12","KOG1990","","","GO:0003723","AT3G01370.1","ATCFM2,CFM2","CRM family member 2","LOC_Os04g39060.2",NA,"CRS1/YhbY domain containing protein, expressed"
"37",123,"NsiI.TP346008","Sobic.004G350700","Bcirc_cm.10",4,67938088,"Bcirc_cm","Bcirc_cm(PS_N(2))","Bcirc_cm(C106+4202(2))","","","Bcirc_cm(FASTmrMLM(1)mrMLM(1))","","",0.1154,3.557,1,"Chr04",67934120,67938364,4245,"-",-3968,-276,37932843,"Sobic.004G350700","Sobic.004G350700.1","Sobic.004G350700.1.p","PF01344,PF13418,PF07646","PTHR23244,PTHR23244:SF321","KOG4693","","","GO:0005515","AT5G04420.3","","Galactose oxidase/kelch repeat superfamily protein","LOC_Os02g57690.1",NA,"kelch repeat protein, putative, expressed"
"38",124,"NsiI.TP352026","Sobic.006G003600","CmN.28",6,555824,"CmN","CmN(PS_N(1);PS_Y(3))","CmN(124+36088im(4))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","CmN(FarmCPU(1))","","","CmN(GLM(1))",0.06707,12.81,1,"Chr06",548123,560425,12303,"-",-7701,-4601,37946338,"Sobic.006G003600","Sobic.006G003600.1","Sobic.006G003600.1.p","PF07690","PTHR23500,PTHR23500:SF33","KOG0254","","","GO:0055085,GO:0016021","AT1G34580.1","","Major facilitator superfamily protein","LOC_Os04g37990.1",NA,"transporter family protein, putative, expressed"
"39",125,"NsiI.TP358081","Sobic.006G067600","CmN.29",6,42784766,"CmN","CmN(PS_N(1))","CmN(C116+3293(1))","","","CmN(ISIS EM-BLASSO(1))","","",0.1422,2.193,1,"Chr06",42785485,42802516,17032,"+",719,-17750,37946292,"Sobic.006G067600","Sobic.006G067600.1","Sobic.006G067600.1.p","PF00850","PTHR10625,PTHR10625:SF124","","3.5.1.98","K06067","","AT3G44680.1","HDA09,HDA9","histone deacetylase 9","LOC_Os04g33480.1",NA,"histone deacetylase, putative, expressed"
"40",126,"NsiI.TP358081","Sobic.006G067500","CmN.29",6,42784766,"CmN","CmN(PS_N(1))","CmN(C116+3293(1))","","","CmN(ISIS EM-BLASSO(1))","","",0.1422,2.193,1,"Chr06",42781244,42785442,4199,"-",-3522,-676,37945651,"Sobic.006G067500","Sobic.006G067500.1","Sobic.006G067500.1.p","PF00149","PTHR24032,PTHR24032:SF1","KOG0374","3.1.3.16","","GO:0016787","AT3G09970.1","","Calcineurin-like metallo-phosphoesterase superfamily protein","LOC_Os04g33470.1",NA,"Ser/Thr protein phosphatase family protein, putative, expressed"
"41",129,"NsiI.TP359278","Sobic.006G175500","CmN.30",6,53064783,"CmN","CmN(PS_Y(1))","CmN(C106+4202(1))","CmN(MLM+SUPER(1))","","","","",0.1132,10.39,3,"Chr06",53062306,53080184,17879,"-",-2477,-15401,37946073,"Sobic.006G175500","Sobic.006G175500.3","Sobic.006G175500.3.p","PF14215,PF00010","PTHR11514,PTHR11514:SF37","","","","GO:0046983","AT1G63650.3","ATMYC-2,EGL1,EGL3","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","LOC_Os04g47080.1",NA,"anthocyanin regulatory Lc protein, putative, expressed"
"42",130,"NsiI.TP361622","Sobic.001G413100","CCirc_cm.3",1,69534233,"CCirc_cm","CCirc_cm(PS_N(1))","CCirc_cm(124+36088im(1))","","CCirc_cm(FarmCPU(1))","","","",0.2193,1.77,1,"Chr01",69531328,69535760,4433,"-",-2905,-1527,37942491,"Sobic.001G413100","Sobic.001G413100.1","Sobic.001G413100.1.p","","","","","","","AT5G02740.1","","Ribosomal protein S24e family protein","LOC_Os03g17450.1",NA,"nucleotide binding protein, putative, expressed"
"43",131,"NsiI.TP370880","Sobic.003G363600","CmN.31",3,68111215,"CmN","CmN(PS_Y(3))","CmN(124+36088im(3))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","CmN(GLM(1))",0.05394,11.51,4,"Chr03",68107465,68115976,8512,"-",-3750,-4761,37916999,"Sobic.003G363600","Sobic.003G363600.4","Sobic.003G363600.4.p","PF00170,PF14144","PTHR22952,PTHR22952:SF173","","","K14431","GO:0043565,GO:0006355,GO:0003700,GO:0006351","AT1G08320.1","bZIP21,TGA9","bZIP transcription factor family protein","LOC_Os01g64020.1",NA,"transcription factor, putative, expressed"
"44",143,"NsiI.TP390222","Sobic.004G237000","CmN.32",4,58488770,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","","","CmN(GLM(1))",0.09838,6.758,1,"Chr04",58488864,58490438,1575,"+",94,-1668,37928998,"Sobic.004G237000","Sobic.004G237000.1","Sobic.004G237000.1.p","PF00010","PTHR12565,PTHR12565:SF84","","","","GO:0046983","AT1G26945.1","KDR","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","LOC_Os02g51320.1",NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
"45",148,"NsiI.TP39740","Sobic.002G001300","Bcirc_cm.12",2,186613,"Bcirc_cm","Bcirc_cm(PS_N(1))","Bcirc_cm(C116+3293(1))","","Bcirc_cm(FarmCPU(1))","","","",0.06897,0.2789,3,"Chr02",184995,187169,2175,"-",-1618,-556,37955030,"Sobic.002G001300","Sobic.002G001300.3","Sobic.002G001300.3.p","PF00394,PF07731","PTHR11709,PTHR11709:SF111","KOG1263","1.10.3.2","K05909","GO:0055114,GO:0016491,GO:0005507","AT3G09220.1","LAC7","laccase 7","LOC_Os07g01110.1",NA,"laccase precursor protein, putative, expressed"
"46",150,"NsiI.TP402511","Sobic.004G231700","CmN.33",4,58096507,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","CmN(MLM+SUPER(1))","","","","",0.1443,0.2021,1,"Chr04",58095962,58097637,1676,"+",-545,-1130,37929442,"Sobic.004G231700","Sobic.004G231700.1","Sobic.004G231700.1.p","PF00249","PTHR10641,PTHR10641:SF480","","","K09422","","AT1G34670.1","AtMYB93,MYB93","myb domain protein 93","LOC_Os06g11780.1",NA,"MYB family transcription factor, putative, expressed"
"47",151,"NsiI.TP404457","Sobic.001G495000","Bcirc_cm.13",1,76403176,"Bcirc_cm","Bcirc_cm(PS_Y(1))","Bcirc_cm(124+36088im(1))","Bcirc_cm(MLM+SUPER(1))","","","","",0.2045,0.1099,2,"Chr01",76403349,76412452,9104,"-",173,-9276,37941217,"Sobic.001G495000","Sobic.001G495000.2","Sobic.001G495000.2.p","PF00134","PTHR10026,PTHR10026:SF74","KOG0834","","K15188","GO:0019901,GO:0006355,GO:0000079","AT5G45190.1","","Cyclin family protein","LOC_Os12g30020.2",NA,"cyclin-T1-4, putative, expressed"
"48",152,"NsiI.TP404457","Sobic.001G494950","Bcirc_cm.13",1,76403176,"Bcirc_cm","Bcirc_cm(PS_Y(1))","Bcirc_cm(124+36088im(1))","Bcirc_cm(MLM+SUPER(1))","","","","",0.2045,0.1099,1,"Chr01",76400530,76402484,1955,"-",-2646,692,37941903,"Sobic.001G494950","Sobic.001G494950.1","Sobic.001G494950.1.p","","","","","","","","","","",NA,""
"49",154,"NsiI.TP409721","Sobic.002G266400","CmN.34",2,65096533,"CmN","CmN(PS_Y(2))","CmN(124+36088im(2))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","",0.0915,0.04129,1,"Chr02",65095981,65096349,369,"-",-552,184,37953048,"Sobic.002G266400","Sobic.002G266400.1","Sobic.002G266400.1.p","","","","","","","","","","",NA,""
"50",155,"NsiI.TP409721","Sobic.002G266300","CmN.34",2,65096533,"CmN","CmN(PS_Y(2))","CmN(124+36088im(2))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","",0.0915,0.04129,1,"Chr02",65090573,65095550,4978,"-",-5960,983,37953120,"Sobic.002G266300","Sobic.002G266300.1","Sobic.002G266300.1.p","PF05770","PTHR14217,PTHR14217:SF1","","2.7.1.159,2.7.1.134","","GO:0052726,GO:0052725,GO:0047325,GO:0032957,GO:0005622,GO:0005524,GO:0000287","AT2G43980.1","AtITPK4,ITPK4","inositol 1,3,4-trisphosphate 5/6-kinase 4","LOC_Os09g34300.1",NA,"Inositol 1, 3, 4-trisphosphate 5/6-kinase, putative, expressed"
"51",156,"NsiI.TP409721","Sobic.002G266500","CmN.34",2,65096533,"CmN","CmN(PS_Y(2))","CmN(124+36088im(2))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","",0.0915,0.04129,2,"Chr02",65097219,65098349,1131,"+",686,-1816,37952755,"Sobic.002G266500","Sobic.002G266500.2","Sobic.002G266500.2.p","","","","","","","","","","LOC_Os05g05860.1",NA,"retrotransposon protein, putative, unclassified, expressed"
