"","Ind.SNP","Method","Trait.name","Freq"
"60","C124+2560","FASTmrMLM","CCirc",4
"65","124+36088im","ISIS EM-BLASSO","CCirc",7
"66","C106+4202","ISIS EM-BLASSO","CCirc",3
"67","C116+3293","ISIS EM-BLASSO","CCirc",3
"68","C124+2560","ISIS EM-BLASSO","CCirc",2
"73","124+36088im","mrMLM","CCirc",5
"74","C106+4202","mrMLM","CCirc",5
"75","C116+3293","mrMLM","CCirc",3
"76","C124+2560","mrMLM","CCirc",2
"80","C124+2560","pKWmEB","CCirc",3
"81","124+36088im","pLARmEB","CCirc",13
"82","C106+4202","pLARmEB","CCirc",4
"83","C116+3293","pLARmEB","CCirc",3
"84","C124+2560","pLARmEB","CCirc",4
"89","124+36088im","CMLM+SUPER","CmD_BI",1
"93","124+36088im","FarmCPU","CmD_BI",6
"94","C106+4202","FarmCPU","CmD_BI",6
"95","C116+3293","FarmCPU","CmD_BI",6
"96","C124+2560","FarmCPU","CmD_BI",9
"98","C106+4202","FASTmrEMMA","CmD_BI",4
"99","C116+3293","FASTmrEMMA","CmD_BI",2
"100","C124+2560","FASTmrEMMA","CmD_BI",4
"101","124+36088im","FASTmrMLM","CmD_BI",12
"102","C106+4202","FASTmrMLM","CmD_BI",4
"103","C116+3293","FASTmrMLM","CmD_BI",5
"104","C124+2560","FASTmrMLM","CmD_BI",4
"109","124+36088im","ISIS EM-BLASSO","CmD_BI",8
"110","C106+4202","ISIS EM-BLASSO","CmD_BI",7
"111","C116+3293","ISIS EM-BLASSO","CmD_BI",8
"112","C124+2560","ISIS EM-BLASSO","CmD_BI",8
"117","124+36088im","mrMLM","CmD_BI",11
"118","C106+4202","mrMLM","CmD_BI",4
"119","C116+3293","mrMLM","CmD_BI",3
"120","C124+2560","mrMLM","CmD_BI",5
"125","124+36088im","pLARmEB","CmD_BI",15
"126","C106+4202","pLARmEB","CmD_BI",5
"127","C116+3293","pLARmEB","CmD_BI",4
"128","C124+2560","pLARmEB","CmD_BI",9
"132","C124+2560","rrBLUP","CmD_BI",1
"137","124+36088im","FarmCPU","CmD_LI",8
"138","C106+4202","FarmCPU","CmD_LI",8
"139","C116+3293","FarmCPU","CmD_LI",3
"140","C124+2560","FarmCPU","CmD_LI",5
"142","C106+4202","FASTmrEMMA","CmD_LI",3
"143","C116+3293","FASTmrEMMA","CmD_LI",2
"144","C124+2560","FASTmrEMMA","CmD_LI",1
"145","124+36088im","FASTmrMLM","CmD_LI",10
"146","C106+4202","FASTmrMLM","CmD_LI",6
"147","C116+3293","FASTmrMLM","CmD_LI",2
"148","C124+2560","FASTmrMLM","CmD_LI",4
"153","124+36088im","ISIS EM-BLASSO","CmD_LI",8
"154","C106+4202","ISIS EM-BLASSO","CmD_LI",3
"155","C116+3293","ISIS EM-BLASSO","CmD_LI",2
"156","C124+2560","ISIS EM-BLASSO","CmD_LI",4
"161","124+36088im","mrMLM","CmD_LI",11
"162","C106+4202","mrMLM","CmD_LI",2
"163","C116+3293","mrMLM","CmD_LI",2
"164","C124+2560","mrMLM","CmD_LI",2
"166","C106+4202","pKWmEB","CmD_LI",1
"168","C124+2560","pKWmEB","CmD_LI",1
"169","124+36088im","pLARmEB","CmD_LI",7
"170","C106+4202","pLARmEB","CmD_LI",5
"171","C116+3293","pLARmEB","CmD_LI",3
"172","C124+2560","pLARmEB","CmD_LI",4
"178","C106+4202","CMLM+SUPER","CmDW",3
"181","124+36088im","FarmCPU","CmDW",9
"182","C106+4202","FarmCPU","CmDW",3
"183","C116+3293","FarmCPU","CmDW",4
"184","C124+2560","FarmCPU","CmDW",8
"186","C106+4202","FASTmrEMMA","CmDW",4
"187","C116+3293","FASTmrEMMA","CmDW",4
"188","C124+2560","FASTmrEMMA","CmDW",3
"189","124+36088im","FASTmrMLM","CmDW",12
"190","C106+4202","FASTmrMLM","CmDW",7
"191","C116+3293","FASTmrMLM","CmDW",4
"192","C124+2560","FASTmrMLM","CmDW",2
"197","124+36088im","ISIS EM-BLASSO","CmDW",10
"198","C106+4202","ISIS EM-BLASSO","CmDW",6
"199","C116+3293","ISIS EM-BLASSO","CmDW",6
"200","C124+2560","ISIS EM-BLASSO","CmDW",8
"205","124+36088im","mrMLM","CmDW",13
"206","C106+4202","mrMLM","CmDW",4
"207","C116+3293","mrMLM","CmDW",2
"208","C124+2560","mrMLM","CmDW",4
"210","C106+4202","pKWmEB","CmDW",3
"213","124+36088im","pLARmEB","CmDW",9
"214","C106+4202","pLARmEB","CmDW",7
"215","C116+3293","pLARmEB","CmDW",4
"216","C124+2560","pLARmEB","CmDW",8
"217","124+36088im","rrBLUP","CmDW",1
"219","C116+3293","rrBLUP","CmDW",1
"220","C124+2560","rrBLUP","CmDW",1
"224","C124+2560","CMLM+SUPER","Cml",1
"225","124+36088im","FarmCPU","Cml",9
"226","C106+4202","FarmCPU","Cml",7
"227","C116+3293","FarmCPU","Cml",8
"228","C124+2560","FarmCPU","Cml",4
"230","C106+4202","FASTmrEMMA","Cml",3
"231","C116+3293","FASTmrEMMA","Cml",1
"232","C124+2560","FASTmrEMMA","Cml",3
"233","124+36088im","FASTmrMLM","Cml",14
"234","C106+4202","FASTmrMLM","Cml",5
"235","C116+3293","FASTmrMLM","Cml",6
"236","C124+2560","FASTmrMLM","Cml",8
"241","124+36088im","ISIS EM-BLASSO","Cml",12
"242","C106+4202","ISIS EM-BLASSO","Cml",5
"243","C116+3293","ISIS EM-BLASSO","Cml",7
"244","C124+2560","ISIS EM-BLASSO","Cml",7
"247","C116+3293","MLM+SUPER","Cml",2
"248","C124+2560","MLM+SUPER","Cml",1
"249","124+36088im","mrMLM","Cml",13
"250","C106+4202","mrMLM","Cml",5
"251","C116+3293","mrMLM","Cml",5
"252","C124+2560","mrMLM","Cml",3
"255","C116+3293","pKWmEB","Cml",2
"256","C124+2560","pKWmEB","Cml",5
"257","124+36088im","pLARmEB","Cml",12
"258","C106+4202","pLARmEB","Cml",5
"259","C116+3293","pLARmEB","Cml",3
"260","C124+2560","pLARmEB","Cml",6
"265","124+36088im","CMLM+SUPER","CmN",71
"266","C106+4202","CMLM+SUPER","CmN",12
"267","C116+3293","CMLM+SUPER","CmN",20
"268","C124+2560","CMLM+SUPER","CmN",14
"269","124+36088im","FarmCPU","CmN",11
"270","C106+4202","FarmCPU","CmN",1
"271","C116+3293","FarmCPU","CmN",6
"272","C124+2560","FarmCPU","CmN",9
"274","C106+4202","FASTmrEMMA","CmN",5
"275","C116+3293","FASTmrEMMA","CmN",4
"276","C124+2560","FASTmrEMMA","CmN",2
"277","124+36088im","FASTmrMLM","CmN",17
"278","C106+4202","FASTmrMLM","CmN",7
"279","C116+3293","FASTmrMLM","CmN",4
"280","C124+2560","FASTmrMLM","CmN",8
"281","124+36088im","GLM","CmN",105
"282","C106+4202","GLM","CmN",6
"283","C116+3293","GLM","CmN",11
"284","C124+2560","GLM","CmN",4
"285","124+36088im","ISIS EM-BLASSO","CmN",5
"286","C106+4202","ISIS EM-BLASSO","CmN",4
"287","C116+3293","ISIS EM-BLASSO","CmN",5
"288","C124+2560","ISIS EM-BLASSO","CmN",7
"289","124+36088im","MLM+SUPER","CmN",53
"290","C106+4202","MLM+SUPER","CmN",25
"291","C116+3293","MLM+SUPER","CmN",11
"292","C124+2560","MLM+SUPER","CmN",14
"293","124+36088im","mrMLM","CmN",7
"294","C106+4202","mrMLM","CmN",5
"295","C116+3293","mrMLM","CmN",7
"296","C124+2560","mrMLM","CmN",5
"300","C124+2560","pKWmEB","CmN",7
"301","124+36088im","pLARmEB","CmN",17
"302","C106+4202","pLARmEB","CmN",7
"303","C116+3293","pLARmEB","CmN",6
"304","C124+2560","pLARmEB","CmN",8
"305","124+36088im","rrBLUP","CmN",1
"306","C106+4202","rrBLUP","CmN",1
"307","C116+3293","rrBLUP","CmN",1
"313","124+36088im","FarmCPU","SDW",8
"314","C106+4202","FarmCPU","SDW",4
"315","C116+3293","FarmCPU","SDW",3
"316","C124+2560","FarmCPU","SDW",6
"318","C106+4202","FASTmrEMMA","SDW",2
"319","C116+3293","FASTmrEMMA","SDW",1
"320","C124+2560","FASTmrEMMA","SDW",1
"321","124+36088im","FASTmrMLM","SDW",11
"322","C106+4202","FASTmrMLM","SDW",2
"323","C116+3293","FASTmrMLM","SDW",2
"324","C124+2560","FASTmrMLM","SDW",3
"329","124+36088im","ISIS EM-BLASSO","SDW",8
"330","C106+4202","ISIS EM-BLASSO","SDW",3
"331","C116+3293","ISIS EM-BLASSO","SDW",3
"332","C124+2560","ISIS EM-BLASSO","SDW",4
"337","124+36088im","mrMLM","SDW",11
"338","C106+4202","mrMLM","SDW",4
"339","C116+3293","mrMLM","SDW",2
"340","C124+2560","mrMLM","SDW",4
"344","C124+2560","pKWmEB","SDW",3
"345","124+36088im","pLARmEB","SDW",9
"346","C106+4202","pLARmEB","SDW",7
"347","C116+3293","pLARmEB","SDW",3
"348","C124+2560","pLARmEB","SDW",6
"349","124+36088im","rrBLUP","SDW",1
"357","124+36088im","FarmCPU","Yld",6
"359","C116+3293","FarmCPU","Yld",3
"360","C124+2560","FarmCPU","Yld",7
"362","C106+4202","FASTmrEMMA","Yld",4
"363","C116+3293","FASTmrEMMA","Yld",2
"364","C124+2560","FASTmrEMMA","Yld",2
"365","124+36088im","FASTmrMLM","Yld",8
"366","C106+4202","FASTmrMLM","Yld",4
"367","C116+3293","FASTmrMLM","Yld",3
"368","C124+2560","FASTmrMLM","Yld",3
"373","124+36088im","ISIS EM-BLASSO","Yld",6
"374","C106+4202","ISIS EM-BLASSO","Yld",4
"375","C116+3293","ISIS EM-BLASSO","Yld",7
"376","C124+2560","ISIS EM-BLASSO","Yld",4
"381","124+36088im","mrMLM","Yld",9
"382","C106+4202","mrMLM","Yld",4
"383","C116+3293","mrMLM","Yld",5
"384","C124+2560","mrMLM","Yld",3
"389","124+36088im","pLARmEB","Yld",14
"390","C106+4202","pLARmEB","Yld",8
"391","C116+3293","pLARmEB","Yld",4
"392","C124+2560","pLARmEB","Yld",4
"393","124+36088im","rrBLUP","Yld",1
