"","X","SNP","Gene","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"98",329,"NsiI.TP713636","Sobic.005G148100","CmD_BI_mm.15",5,61642341,"CmD_BI_mm","CmD_BI_mm(PS_Y(1))","CmD_BI_mm(124+36088im(1))","","","CmD_BI_mm(mrMLM(1))","","",0.1639,41.21,2,"Chr05",61641003,61642030,1028,"-",-1338,311,37923048,"Sobic.005G148100","Sobic.005G148100.2","Sobic.005G148100.2.p","","","","","","","","","","",NA,""
"103",346,"NsiI.TP741199","Sobic.002G204050","CmD_LI_mm.13",2,59555953,"CmD_LI_mm","CmD_LI_mm(PS_N(1))","CmD_LI_mm(124+36088im(1))","","","CmD_LI_mm(mrMLM(1))","","",0.2008,5.383,1,"Chr02",59554397,59555205,809,"-",-1556,748,37955542,"Sobic.002G204050","Sobic.002G204050.1","Sobic.002G204050.1.p","","","","","","","","","","",NA,""
"114",379,"NsiI.TP779177","Sobic.004G298250","CmN.75",4,63763133,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","CmN(ISIS EM-BLASSO(1))","","",0.2944,2.344,1,"Chr04",63761872,63762755,884,"+",-1261,378,37932419,"Sobic.004G298250","Sobic.004G298250.1","Sobic.004G298250.1.p","","","","","","","","","","",NA,""
"124",413,"PstI.TP1040729","Sobic.004G197300","SDW_kg.13",4,54844080,"SDW_kg","SDW_kg(PS_N(1))","SDW_kg(C106+4202(1))","","","SDW_kg(mrMLM(1))","","",0.2212,22.36,1,"Chr04",54843306,54844272,967,"-",-774,-192,37929334,"Sobic.004G197300","Sobic.004G197300.1","Sobic.004G197300.1.p","","","","","","","","","","",NA,""
"125",429,"PstI.TP1040925","Sobic.001G233800","SDW_kg.14",1,23057306,"SDW_kg","SDW_kg(PS_Y(1))","SDW_kg(124+36088im(1))","","","SDW_kg(mrMLM(1))","","",0.0779,2.927,1,"Chr01",23056373,23058487,2115,"+",-933,-1181,37944890,"Sobic.001G233800","Sobic.001G233800.1","Sobic.001G233800.1.p","PF08879","PTHR34680","","","","","","","","LOC_Os10g30890.1",NA,"expressed protein"
"137",458,"PstI.TP1090311","Sobic.006G103000","CmN.91",6,47330022,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","","","CmN(GLM(1))",0.07747,8.603,1,"Chr06",47328961,47330684,1724,"-",-1061,-662,37945602,"Sobic.006G103000","Sobic.006G103000.1","Sobic.006G103000.1.p","","PTHR35503,PTHR35503:SF1","","","","","","","","LOC_Os04g38320.1",NA,"expressed protein"
"140",497,"PstI.TP1100764","Sobic.002G244901","CmN.94",2,63346042,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","CmN(FASTmrMLM(1))","","",0.3226,1.928,1,"Chr02",63346816,63351078,4263,"-",774,-5036,37953780,"Sobic.002G244901","Sobic.002G244901.1","Sobic.002G244901.1.p","","","","","","","","","","",NA,""
"141",498,"PstI.TP1100764","Sobic.002G244800","CmN.94",2,63346042,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","CmN(FASTmrMLM(1))","","",0.3226,1.928,1,"Chr02",63346258,63346900,643,"-",216,-858,37951523,"Sobic.002G244800","Sobic.002G244800.1","Sobic.002G244800.1.p","","","","","","","","","","",NA,""
"145",540,"PstI.TP1128002","Sobic.002G205700","CmN.99",2,59726913,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","CmN(mrMLM(1))","","",0.0246,14.63,1,"Chr02",59726662,59729516,2855,"+",-251,-2603,37951499,"Sobic.002G205700","Sobic.002G205700.1","Sobic.002G205700.1.p","","","","","","","","","","",NA,""
"168",650,"PstI.TP1214992","Sobic.003G220266","CCirc_cm.19",3,55546977,"CCirc_cm","CCirc_cm(PS_Y(1))","CCirc_cm(124+36088im(1))","","","CCirc_cm(ISIS EM-BLASSO(1))","","",0.1975,2.03,1,"Chr03",55546852,55547957,1106,"+",-125,-980,37913792,"Sobic.003G220266","Sobic.003G220266.1","Sobic.003G220266.1.p","","","","","","","","","","",NA,""
"170",655,"PstI.TP1225179","Sobic.006G219400","CmN.114",6,56654494,"CmN","CmN(PS_Y(1))","CmN(C116+3293(1))","CmN(CMLM+SUPER(1))","","","","",0.07759,3.076,1,"Chr06",56654817,56655429,613,"+",323,-935,37947185,"Sobic.006G219400","Sobic.006G219400.1","Sobic.006G219400.1.p","","","","","","","","","","",NA,""
"172",659,"PstI.TP1226186","Sobic.003G085100","CmN.115",3,7342289,"CmN","CmN(PS_Y(2))","CmN(C124+2560(2))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","",0.3024,2.003,1,"Chr03",7340557,7343742,3186,"+",-1732,-1453,37915652,"Sobic.003G085100","Sobic.003G085100.1","Sobic.003G085100.1.p","PF11805","PTHR36891,PTHR36891:SF1","","","","","","","","LOC_Os01g03660.3",NA,"MYB family transcription factor, putative, expressed"
"180",674,"PstI.TP1254872","Sobic.007G137750","CmN.122",7,56573064,"CmN","CmN(PS_Y(3))","CmN(C106+4202(1);C116+3293(2))","CmN(CMLM+SUPER(1)MLM+SUPER(2))","","","","",0.07759,9.303,2,"Chr07",56573347,56575999,2653,"+",283,-2935,37935690,"Sobic.007G137750","Sobic.007G137750.2","Sobic.007G137750.2.p","","","","","","","","","","",NA,""
"196",722,"PstI.TP148994","Sobic.006G110500","Cml_cm.38",6,47930110,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(124+36088im(1))","","","Cml_cm(ISIS EM-BLASSO(1))","","",0.121,3.469,2,"Chr06",47927268,47929907,2640,"-",-2842,203,37947445,"Sobic.006G110500","Sobic.006G110500.2","Sobic.006G110500.2.p","PF00161","","","","","GO:0017148,GO:0030598","","","","LOC_Os11g35425.1",NA,"expressed protein"
"197",723,"PstI.TP148994","Sobic.006G110600","Cml_cm.38",6,47930110,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(124+36088im(1))","","","Cml_cm(ISIS EM-BLASSO(1))","","",0.121,3.469,1,"Chr06",47929464,47932464,3001,"+",-646,-2354,37948568,"Sobic.006G110600","Sobic.006G110600.1","Sobic.006G110600.1.p","","","","","","","","","","",NA,""
"209",755,"PstI.TP197493","Sobic.007G033700","CCirc_cm.23",7,2953287,"CCirc_cm","CCirc_cm(PS_N(1))","CCirc_cm(124+36088im(1))","","","CCirc_cm(mrMLM(1))","","",0.0342,3.428,1,"Chr07",2950375,2954296,3922,"-",-2912,-1009,37936092,"Sobic.007G033700","Sobic.007G033700.1","Sobic.007G033700.1.p","","PTHR33207,PTHR33207:SF7","","","","","","","","LOC_Os09g08620.1",NA,"OsFBX309 - F-box domain containing protein, expressed"
"219",794,"PstI.TP246674","Sobic.004G057500","CmN.141",4,4598220,"CmN","CmN(PS_Y(1))","CmN(C116+3293(1))","","","","","CmN(GLM(1))",0.07328,8.35,1,"Chr04",4599194,4602709,3516,"+",974,-4489,37930926,"Sobic.004G057500","Sobic.004G057500.1","Sobic.004G057500.1.p","PF01486","PTHR11945,PTHR11945:SF206","","","","GO:0006355,GO:0005634,GO:0003700","","","","LOC_Os03g11614.1",NA,"OsMADS1 - MADS-box family gene with MIKCc type-box, expressed"
"227",812,"PstI.TP292268","Sobic.005G037700","CmN.147",5,3450082,"CmN","CmN(PS_N(2);PS_Y(9))","CmN(C106+4202(3);C116+3293(4);C124+2560(4))","CmN(CMLM+SUPER(3)MLM+SUPER(3))","CmN(FarmCPU(2))","CmN(FASTmrMLM(1)mrMLM(1))","","CmN(GLM(1))",0.08871,65.99,1,"Chr05",3448722,3450155,1434,"+",-1360,-73,37925229,"Sobic.005G037700","Sobic.005G037700.1","Sobic.005G037700.1.p","PF12937","PTHR20995,PTHR20995:SF26","","","","GO:0005515","","","","LOC_Os10g10420.1",NA,"OsFBX378 - F-box domain containing protein, expressed"
"228",816,"PstI.TP292777","Sobic.007G213500","CmN.148",7,64227793,"CmN","CmN(PS_N(1);PS_Y(5))","CmN(C106+4202(1);C116+3293(2);C124+2560(3))","CmN(CMLM+SUPER(2)MLM+SUPER(3))","CmN(FarmCPU(1))","","","",0.05242,8.07,1,"Chr07",64227573,64229696,2124,"+",-220,-1903,37937245,"Sobic.007G213500","Sobic.007G213500.1","Sobic.007G213500.1.p","","PTHR33698,PTHR33698:SF2","","","","","","","","LOC_Os08g39320.1",NA,"expressed protein"
"244",880,"PstI.TP385678","Sobic.002G153200","CmN.159",2,45782629,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","","","CmN(GLM(1))",0.3324,7.058,2,"Chr02",45781720,45783353,1634,"+",-909,-724,37952888,"Sobic.002G153200","Sobic.002G153200.2","Sobic.002G153200.2.p","","","","","","","","","","",NA,""
"262",976,"PstI.TP458366","Sobic.008G109200","CCirc_cm.34",8,50730872,"CCirc_cm","CCirc_cm(PS_N(1))","CCirc_cm(C106+4202(1))","","CCirc_cm(FarmCPU(1))","","","",0.07547,0.8657,1,"Chr08",50729348,50731114,1767,"-",-1524,-242,37928449,"Sobic.008G109200","Sobic.008G109200.1","Sobic.008G109200.1.p","","","","","","","","","","",NA,""
"282",1206,"PstI.TP5429","Sobic.002G393266","CmD_BI_mm.54",2,74605041,"CmD_BI_mm","CmD_BI_mm(PS_N(1))","CmD_BI_mm(124+36088im(1))","","CmD_BI_mm(FarmCPU(1))","","","",0.2011,0.7893,1,"Chr02",74604422,74609738,5317,"+",-619,-4697,37952531,"Sobic.002G393266","Sobic.002G393266.1","Sobic.002G393266.1.p","","","","","","","","","","",NA,""
"283",1207,"PstI.TP543083","Sobic.007G068300","CmN.185",7,7619505,"CmN","CmN(PS_Y(2))","CmN(124+36088im(2))","CmN(CMLM+SUPER(1))","","","","CmN(GLM(1))",0.2048,6.796,1,"Chr07",7617494,7620027,2534,"+",-2011,-522,37936316,"Sobic.007G068300","Sobic.007G068300.1","Sobic.007G068300.1.p","PF12142,PF12143,PF00264","PTHR11474,PTHR11474:SF16","","1.10.3.1","K00422","GO:0055114,GO:0004097,GO:0016491,GO:0008152","","","","LOC_Os01g58100.1",NA,"polyphenol oxidase, putative, expressed"
"292",1313,"PstI.TP58391","Sobic.007G220150","CmN.190",7,64850518,"CmN","CmN(PS_Y(1))","CmN(C106+4202(1))","CmN(MLM+SUPER(1))","","","","",0.1085,0.5988,1,"Chr07",64847295,64850360,3066,"+",-3223,158,37936791,"Sobic.007G220150","Sobic.007G220150.1","Sobic.007G220150.1.p","","","","","","","","","","",NA,""
"298",1329,"PstI.TP617554","Sobic.007G035900","CmN.197",7,3245920,"CmN","CmN(PS_N(1))","CmN(C124+2560(1))","","CmN(FarmCPU(1))","","","",0.1048,13.51,1,"Chr07",3245212,3246147,936,"-",-708,-227,37934538,"Sobic.007G035900","Sobic.007G035900.1","Sobic.007G035900.1.p","","PTHR34838,PTHR34838:SF3","","","","","","","","LOC_Os08g04640.1",NA,"expressed protein"
"305",1346,"PstI.TP650798","Sobic.002G292000","SDW_kg.38",2,67010862,"SDW_kg","SDW_kg(PS_Y(1))","SDW_kg(124+36088im(1))","","","SDW_kg(mrMLM(1))","","",0.2664,6.891,1,"Chr02",67008667,67010027,1361,"+",-2195,835,37953324,"Sobic.002G292000","Sobic.002G292000.1","Sobic.002G292000.1.p","","","","","","","","","","",NA,""
"314",1365,"PstI.TP676875","Sobic.003G039600","SDW_kg.40",3,3702504,"SDW_kg","SDW_kg(PS_N(1))","SDW_kg(124+36088im(1))","","","SDW_kg(mrMLM(1))","","",0.3197,24.55,2,"Chr03",3701476,3702424,949,"-",-1028,80,37914229,"Sobic.003G039600","Sobic.003G039600.2","Sobic.003G039600.2.p","","PTHR33120,PTHR33120:SF3","","","","","","","","LOC_Os05g08860.1",NA,"expressed protein"
"324",1432,"PstI.TP710636","Sobic.006G089266","Yld_kg.45",6,45894338,"Yld_kg","Yld_kg(PS_N(1))","Yld_kg(C124+2560(1))","","","Yld_kg(ISIS EM-BLASSO(1))","","",0.1895,16.01,1,"Chr06",45890642,45893572,2931,"+",-3696,766,37948911,"Sobic.006G089266","Sobic.006G089266.1","Sobic.006G089266.1.p","","","","","","","","","","",NA,""
"340",1578,"PstI.TP753385","Sobic.008G149450","Yld_kg.50",8,58262070,"Yld_kg","Yld_kg(PS_N(1))","Yld_kg(124+36088im(1))","","Yld_kg(FarmCPU(1))","","","",0.1795,14.16,1,"Chr08",58261135,58262523,1389,"-",-935,-453,37926449,"Sobic.008G149450","Sobic.008G149450.1","Sobic.008G149450.1.p","","","","","","","","","","",NA,""
"358",1705,"PstI.TP795667","Sobic.008G006400","Cml_cm.64",8,528900,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(124+36088im(1))","","Cml_cm(FarmCPU(1))","","","",0.06863,14.57,1,"Chr08",527846,528916,1071,"+",-1054,-16,37928843,"Sobic.008G006400","Sobic.008G006400.1","Sobic.008G006400.1.p","","PTHR33127,PTHR33127:SF1","","","","","","","","LOC_Os01g66260.1",NA,"expressed protein"
"359",1706,"PstI.TP795667","Sobic.008G006500","Cml_cm.64",8,528900,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(124+36088im(1))","","Cml_cm(FarmCPU(1))","","","",0.06863,14.57,1,"Chr08",529177,532714,3538,"+",277,-3814,37926690,"Sobic.008G006500","Sobic.008G006500.1","Sobic.008G006500.1.p","","PTHR33075,PTHR33075:SF4","","","","","","","","LOC_Os06g28300.1",NA,"zinc knuckle family protein, expressed"
"361",1710,"PstI.TP797446","Sobic.003G129600","CmN.221",3,12140520,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","CmN(CMLM+SUPER(1))","","","","",0.1945,1.728,1,"Chr03",12133834,12140553,6720,"-",-6686,-33,37917292,"Sobic.003G129600","Sobic.003G129600.1","Sobic.003G129600.1.p","","PTHR36893","","","","","","","","",NA,""
"365",1721,"PstI.TP815977","Sobic.008G100801","CmN.223",8,47698137,"CmN","CmN(PS_N(1))","CmN(C124+2560(1))","","","CmN(pKWmEB(1))","","",0.3306,3.642,1,"Chr08",47697853,47699186,1334,"+",-284,-1049,37927612,"Sobic.008G100801","Sobic.008G100801.1","Sobic.008G100801.1.p","","","","","","","","","","",NA,""
"386",1808,"PstI.TP892749","Sobic.001G540250","CmN.235",1,80310797,"CmN","CmN(PS_N(1);PS_Y(1))","CmN(124+36088im(2))","","","CmN(FASTmrMLM(1)mrMLM(1))","","",0.1393,3.761,1,"Chr01",80310404,80311199,796,"-",-393,-402,37939427,"Sobic.001G540250","Sobic.001G540250.1","Sobic.001G540250.1.p","","","","","","","","","","",NA,""
"388",1810,"PstI.TP901954","Sobic.009G035601","Cml_cm.69",9,3265857,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(124+36088im(1))","","Cml_cm(FarmCPU(1))","","","",0.2998,3.652,1,"Chr09",3265376,3266128,753,"-",-481,-271,37922115,"Sobic.009G035601","Sobic.009G035601.1","Sobic.009G035601.1.p","","","","","","","","","","",NA,""
"414",1894,"PstI.TP998275","Sobic.004G103100","CmN.242",4,9701801,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","CmN(CMLM+SUPER(1))","","","","",0.2775,0.004526,2,"Chr04",9701720,9702196,477,"-",-81,-395,37931967,"Sobic.004G103100","Sobic.004G103100.2","Sobic.004G103100.2.p","","","","","","","","","","",NA,""
