Chrom,Start,End,Start.1,End.1,ID,ID.2,ID.1,Name,Trait.name,Group2,Group,Colors,Group3,New ID
1,77866131,77866184,77856131,77876184,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP549839,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
1,51136397,51136397,51136397,51136397,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP30868,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
2,65378296,65378339,65368296,65388339,Clark_et_al_(2019).DTI,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP563232,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).DTI
2,3949119,3969119,2367836,6698083,Gifford_et_al_(2015).tiller_diameter,TD1(Gifford(2015)),TD1(Gifford.et.al.(2015)),TD1,tiller diameter,tiller_diameter,TD1(Gifford_et_al_(2015)),Purple,Gifford_et_al_(2015),Clark_et_al_(2019).CmDW/V
2,76331901,76331936,76321901,76341936,Clark_et_al_(2019).Yld,Yld(Clark(2019)),Yld(Clark.et.al.(2019)),NsiI.TP616411,Yield,Yld,Yld(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).Yld
3,65981221,65981257,65971221,65991257,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP623090,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
1,64885884,64885908,64875884,64895908,Clark_et_al_(2019).IntL,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),NsiI.TP627040,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).IntL
2,63875851,63875904,63865851,63885904,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP627370,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
4,58163544,58163559,58153544,58173559,Clark_et_al_(2019).CmL,CmL(Clark(2019)),CmL(Clark.et.al.(2019)),NsiI.TP6292,Culm length,CmL,CmL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).CmL
4,58163544,58163559,58153544,58173559,Clark_et_al_(2019).IntL,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),NsiI.TP6292,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).IntL
3,57267937,57267957,57257937,57277957,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP631032,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
1,58622993,58622993,58622993,58622993,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP224601,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
2,69816313,69816370,69806313,69826370,Clark_et_al_(2019).Yld,Yld(Clark(2019)),Yld(Clark.et.al.(2019)),NsiI.TP660927,Yield,Yld,Yld(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).Yld
1,60042002,60042018,60032002,60052018,Clark_et_al_(2019).BC,BC(Clark(2019)),BC(Clark.et.al.(2019)),NsiI.TP45219,Basal circumference,BC,BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).BC
1,60097068,60097068,60097068,60097068,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),PstI.TP457393,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
1,66347924,66347924,66347924,66347924,(2)Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),PstI.TP770722,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
6,50891396,50891417,50881396,50901417,Clark_et_al_(2019).Yld,Yld(Clark(2019)),Yld(Clark.et.al.(2019)),NsiI.TP682471,Yield,Yld,Yld(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).Yld
10,47749856,47749872,47739856,47759872,Clark_et_al_(2019).RCmN/TCmN,RCmN/TCmN(Clark(2019)),RCmN/TCmN(Clark.et.al.(2019)),NsiI.TP704429,Proportion of reproductive culms,RCmN/TCmN,RCmN/TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).RCmN/TCmN
6,52472440,52472448,52462440,52482448,Clark_et_al_(2019).DTI,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP711779,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).DTI
1,66520178,66520178,66520178,66520178,,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP482264,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
4,67780882,67780901,67770882,67790901,Clark_et_al_(2019).TCmN/A,TCmN/A(Clark(2019)),TCmN/A(Clark.et.al.(2019)),NsiI.TP71276,Culms per footprint,TCmN/A,TCmN/A(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN/A
1,79380812,79380852,79370812,79390852,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP743891,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
7,14386519,14386558,14376519,14396558,Clark_et_al_(2019).CmNdN,CmNdN(Clark(2019)),CmNdN(Clark.et.al.(2019)),NsiI.TP750071,Culm node number,CmNdN,CmNdN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).CmNdN
4,67177506,67177516,67167506,67187516,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP752837,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
3,10065198,10065212,10055198,10075212,Clark_et_al_(2019).DTI,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP755529,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).DTI
2,10527282,10527282,10527282,10527282,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP452173,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2019).CmDW/V
1,8330660,8330660,8330660,8330660,Current Study.CCirc,CCirc(Current Study),CCirc(Current Study),PstI.TP308053,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study,Dong_et_al_(2017).CC/BC
10,43096195,43096249,43086195,43106249,Clark_et_al_(2019).IntL,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),NsiI.TP785032,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).IntL
2,13453548,13453548,13453548,13453548,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),NsiI.TP51047,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2019).CmDW/V
2,14521096,14521096,14521096,14521096,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP998491,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2019).DBI
2,15963619,15963619,15963619,15963619,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP108652,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2019).DBI
10,43096195,43096238,43086195,43106238,Clark_et_al_(2019).DTI,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP789052,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).DTI
10,43096195,43096238,43086195,43106238,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP789052,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
9,50389023,50389049,50379023,50399049,Clark_et_al_(2019).Yld,Yld(Clark(2019)),Yld(Clark.et.al.(2019)),NsiI.TP798461,Yield,Yld,Yld(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).Yld
2,17982184,17982247,17972184,17992247,Clark_et_al_(2019).RCmN/TCmN,RCmN/TCmN(Clark(2019)),RCmN/TCmN(Clark.et.al.(2019)),NsiI.TP798729,Proportion of reproductive culms,RCmN/TCmN,RCmN/TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).RCmN/TCmN
4,62124582,62124617,62114582,62134617,Clark_et_al_(2019).TCmN/A,TCmN/A(Clark(2019)),TCmN/A(Clark.et.al.(2019)),NsiI.TP809203,Culms per footprint,TCmN/A,TCmN/A(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN/A
1,3550164,3550216,3540164,3560216,Clark_et_al_(2019).IntL,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),NsiI.TP829914,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).IntL
1,21845522,21845560,21835522,21855560,Clark_et_al_(2019).DTI,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP834121,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).DTI
5,57385200,57385246,57375200,57395246,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),PstI.TP1009093,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
9,56906828,56906861,56896828,56916861,Clark_et_al_(2019).IntL,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP1023013,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).IntL
2,55394288,55394288,55394288,55394288,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP476886,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2019).CmDW/V
10,60872085,60872117,60862085,60882117,Clark_et_al_(2019).IntL,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP1054932,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).IntL
2,59610846,59610846,59610846,59610846,,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP1012416,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2019).DBI
6,9087139,9087147,9077139,9097147,Clark_et_al_(2019).DTI,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),PstI.TP1071406,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).DTI
6,9087139,9087147,9077139,9097147,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),PstI.TP1071406,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
6,51990200,51990247,51980200,52000247,Clark_et_al_(2019).IntL,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP1077958,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).IntL
10,4946260,4946269,4936260,4956269,Clark_et_al_(2019).IntL,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP1092160,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).IntL
2,62659796,62659796,62659796,62659796,(3)Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP631692,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2019).CmDW/V
1,13263569,13263569,13263569,13263569,Current Study.CCirc,CCirc(Current Study),CCirc(Current Study),PstI.TP770895,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study,Clark_et_al_(2019).CC
1,68818244,76221012,60318661,76221012,Dong_et_al_(2017).BC,BC(Dong(2017)),BC(Dong.et.al.(2017)),BC LG2 91.4 cM,basal circumference,BC,BC(Dong2017)),Green,Dong_et_al_(2017),Dong_et_al_(2017).BC
3,2806993,2807000,2796993,2817000,Clark_et_al_(2019).IntL,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),PstI.TP1112819,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).IntL
1,69204551,69204551,69204551,69204551,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),PstI.TP754866,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
1,70529598,70529598,70529598,70529598,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),PstI.TP663427,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
5,1808298,1808304,1798298,1818304,Clark_et_al_(2019).CmNdN,CmNdN(Clark(2019)),CmNdN(Clark.et.al.(2019)),PstI.TP1140941,Culm node number,CmNdN,CmNdN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).CmNdN
1,70558586,70558586,70558586,70558586,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),PstI.TP969142,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
2,63153549,63153549,63153549,63153549,,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP454285,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2019).CmDW/V
3,6089152,6089172,6079152,6099172,Clark_et_al_(2019).Yld,Yld(Clark(2019)),Yld(Clark.et.al.(2019)),PstI.TP1175531,Yield,Yld,Yld(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).Yld
2,63992445,63992469,63982445,64002469,Clark_et_al_(2019).CmV & DBI,CmV(Clark(2019)),CmV(Clark.et.al.(2019)),PstI.TP213479,Culm volume,CmV,CmV(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).DBI
1,9570135,9570148,9560135,9580148,Clark_et_al_(2019).DTI,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),PstI.TP1193219,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).DTI
