Row Labels,Bcirc_cm,CCirc_cm,CmD_BI_mm,CmD_LI_mm,CmDW_g,Cml_cm,CmN,SDW_kg,Yld_kg,(blank),Grand Total
Sobic.001G444200,1,,,,,,,,,,1
Sobic.001G466000,,,,,,,,1,,,1
Sobic.001G467200,1,,,,,,,,,,1
Sobic.001G470800,,1,,,,,,,,,1
Sobic.001G475900,,,,,,,1,1,1,,3
Sobic.001G476000,,,,,,,1,1,1,,3
Sobic.001G482800,,,,,,1,,,,,1
Sobic.001G491200,1,,,,,,,,,,1
Sobic.001G492800,,,,1,,,,,,,1
Sobic.001G494950,1,,,,,,,,,,1
Sobic.001G495000,1,,,,,,,,,,1
Sobic.001G514400,,1,1,,1,1,1,,,,5
Sobic.001G514500,,7,7,,7,7,7,,,,35
Sobic.001G517800,,,,,,,1,,,,1
Sobic.001G530700,,1,,,,,,,,,1
Sobic.001G540250,,,,,,,1,,,,1
Sobic.001G540300,,,,,,,1,,,,1
Sobic.001G544600,,,,,,1,,,,,1
Sobic.002G001300,1,,,,,,,,,,1
Sobic.002G006900,,,,,,,2,,,,2
Sobic.002G007000,,,,,,,1,,,,1
Sobic.002G007400,1,,,,1,,,,,,2
Sobic.002G023900,,,,,,,1,,,,1
Sobic.002G037700,,,,,,,1,,,,1
Sobic.002G049600,,,,1,,,,,,,1
Sobic.002G098500,,,1,,,,,,,,1
Sobic.002G110500,,,1,,,,,,,,1
Sobic.002G111000,,,,,,,,,1,,1
Sobic.002G117600,,,1,,,,1,,,,2
Sobic.002G121300,,,1,,,,,,,,1
Sobic.002G143000,,,,1,,,,,,,1
Sobic.002G153200,,,,,,,1,,,,1
Sobic.002G153700,,,,2,,,,,,,2
Sobic.002G166800,,,,,,,1,,,,1
Sobic.002G175400,1,,1,1,,,,,,,3
Sobic.002G187500,,1,,,,,,,,,1
Sobic.002G194700,,1,,,,,,1,1,,3
Sobic.002G197000,,,,,1,,,,,,1
Sobic.002G200900,,2,,,,,,,,,2
Sobic.002G204050,,,,1,,,,,,,1
Sobic.002G204100,,,,2,,,,,,,2
Sobic.002G204600,,,1,,,,,,,,1
Sobic.002G205700,,,,,,,1,,,,1
Sobic.002G220900,,,,,,,1,,,,1
Sobic.002G221000,,,,,,,1,,,,1
Sobic.002G221400,,,,,2,2,2,2,2,,10
Sobic.002G226700,,,,,1,,,,,,1
Sobic.002G227900,,,,,,,1,,,,1
Sobic.002G229300,,,,,1,,,,,,1
Sobic.002G235700,,,1,,,,,,,,1
Sobic.002G242200,,,1,,,,1,,,,2
Sobic.002G244800,,,,,,,1,,,,1
Sobic.002G244901,,,,,,,1,,,,1
Sobic.002G250900,,,,,1,,,,,,1
Sobic.002G261600,3,,,,,,,,,,3
Sobic.002G265166,,,1,,1,,,,,,2
Sobic.002G266300,,,,,,,1,,,,1
Sobic.002G266400,,,,,,,1,,,,1
Sobic.002G266500,,,,,,,1,,,,1
Sobic.002G276800,,,,1,,,,,,,1
Sobic.002G281300,,,,,1,,,,,,1
Sobic.002G292000,,,,,,,,1,,,1
Sobic.002G292100,,,,,,,,2,,,2
Sobic.002G303700,,,,,,,2,,,,2
Sobic.002G320700,,,,1,,,,,,,1
Sobic.002G320900,,,,1,,,,,,,1
Sobic.002G330400,,,,,,,1,,,,1
Sobic.002G333400,1,,,,,,,1,,,2
Sobic.002G347300,1,,,,,,1,,,,2
Sobic.002G350400,,,,,,,1,,,,1
Sobic.002G393266,,,1,,,,,,,,1
Sobic.002G393600,,,,1,,,,,,,1
Sobic.002G401700,1,,,,,,,,,,1
Sobic.002G405800,,,,,,,1,,,,1
Sobic.002G409000,,,,,,1,,,,,1
Sobic.002G415900,,,,,,,1,,,,1
Sobic.002G416000,,,,,,,1,,,,1
Sobic.003G021800,,,1,,,,,,,,1
Sobic.003G029900,1,,,,,,,,1,,2
Sobic.003G038400,,,,,,,1,,,,1
Sobic.003G039600,,,,,,,,1,,,1
Sobic.003G040000,,,,1,,,,,,,1
Sobic.003G049600,1,,,,,,,,,,1
Sobic.003G071600,1,,1,,,,,,,,2
Sobic.003G085100,,,,,,,1,,,,1
Sobic.003G098401,,,,,,,1,,,,1
Sobic.003G115400,,,,,,,1,,,,1
Sobic.003G119400,,,,,,,,1,1,,2
Sobic.003G128575,,,,,,,1,,,,1
Sobic.003G129600,,,,,,,1,,,,1
Sobic.003G156500,,,,,,,1,,,,1
Sobic.003G161500,,,,,,,,1,,,1
Sobic.003G188100,,2,2,2,2,,,,2,,10
Sobic.003G194500,1,,,,,1,,,,,2
Sobic.003G195900,,,1,,,,,,,,1
Sobic.003G214400,,,,,,3,,,,,3
Sobic.003G215600,,1,1,1,1,1,,1,1,,7
Sobic.003G220200,,1,,,,,,,,,1
Sobic.003G220266,,1,,,,,,,,,1
Sobic.003G234400,,,,,,,1,,,,1
Sobic.003G238900,,,,,,1,,,,,1
Sobic.003G245300,,,,,,,,2,,,2
Sobic.003G246100,,,,,1,,,,,,1
Sobic.003G253500,,,,,,,1,,,,1
Sobic.003G264100,,,,,1,,,1,,,2
Sobic.003G273600,,,,,,1,,,,,1
Sobic.003G277600,,,,,,,1,,,,1
Sobic.003G277700,,,,,,,1,,,,1
Sobic.003G281200,,1,,,,,,,,,1
Sobic.003G281300,,1,,,,,,,,,1
Sobic.003G287400,,,,,,,1,,,,1
Sobic.003G304200,,,1,,,,,,,,1
Sobic.003G305500,,,,,,1,,1,2,,4
Sobic.003G307600,,,,,,1,,,,,1
Sobic.003G315700,,,,,,,1,,,,1
Sobic.003G315800,,,,,,,1,,,,1
Sobic.003G319800,,2,,,,,,2,2,,6
Sobic.003G326500,,,,,,1,,,,,1
Sobic.003G337700,,,,,,,,,1,,1
Sobic.003G346200,10,,,,,,,,,,10
Sobic.003G361200,,,,,1,,,,,,1
Sobic.003G363600,,,,,,,5,,,,5
Sobic.003G375200,,,,,,,1,1,1,,3
Sobic.003G379700,,,2,2,2,,,2,2,,10
Sobic.003G382500,,,,,,,1,,,,1
Sobic.003G403300,,,,,,,1,,,,1
Sobic.003G413800,,,,,,,1,,,,1
Sobic.003G417900,,,,,,,1,,,,1
Sobic.004G007500,,,,,,,1,,,,1
Sobic.004G041100,,,1,,,,,,,,1
Sobic.004G047400,,,,,,,,1,1,,2
Sobic.004G047500,,,,,,,,1,1,,2
Sobic.004G051900,,,2,,2,2,,,,,6
Sobic.004G053600,,,,,,,4,,,,4
Sobic.004G053700,,,,,,,1,,,,1
Sobic.004G057500,,,,,,,4,,,,4
Sobic.004G063900,1,,,,,,1,,,,2
Sobic.004G088900,,,,1,,,,,,,1
Sobic.004G103100,,,,,,,1,,,,1
Sobic.004G105100,1,,,,,,,,,,1
Sobic.004G107200,,,,,,2,,,,,2
Sobic.004G124700,,,1,,1,,,,1,,3
Sobic.004G124800,,,1,,1,,,,1,,3
Sobic.004G153000,,,,,,,1,,,,1
Sobic.004G162200,1,,,1,1,,,,,,3
Sobic.004G162900,,,,,,,1,,,,1
Sobic.004G187100,,,,,,,1,,,,1
Sobic.004G196500,,,,,1,1,1,,,,3
Sobic.004G197300,1,,,,,,,1,1,,3
Sobic.004G197400,1,,,,,,,1,1,,3
Sobic.004G207200,,1,,,,,,,,,1
Sobic.004G222000,,,,,1,,,,,,1
Sobic.004G231700,,,,,,,1,,,,1
Sobic.004G237000,,1,,,,,1,,,,2
Sobic.004G244300,,,,,,,,,1,,1
Sobic.004G244400,,,,,,,,,2,,2
Sobic.004G254800,1,,,,,,,,,,1
Sobic.004G266300,,3,,,,,,,,,3
Sobic.004G266400,,,,1,1,1,,,,,3
Sobic.004G268200,,,2,,,,,,,,2
Sobic.004G279300,,,,,,,1,,,,1
Sobic.004G281800,1,,,,,,,,,,1
Sobic.004G290600,,,,,1,,,,,,1
Sobic.004G297300,,,1,,,,,,,,1
Sobic.004G297400,,,4,,,,,,,,4
Sobic.004G298250,,,,,,,1,,,,1
Sobic.004G298300,,,,,,,1,,,,1
Sobic.004G303700,,,,,,,1,,,,1
Sobic.004G303800,,,,,,,1,,,,1
Sobic.004G306100,,,,,,,,1,1,,2
Sobic.004G306200,,,,,,,,1,1,,2
Sobic.004G315400,,,,,,,2,,,,2
Sobic.004G325000,,,,,,,1,,,,1
Sobic.004G326400,,,,,,1,,,,,1
Sobic.004G344200,,,3,,,,,,,,3
Sobic.004G350700,1,,,,,,,,,,1
Sobic.004G351600,,,,,,,4,,,,4
Sobic.005G000400,,,,,,1,,,,,1
Sobic.005G000500,,,,,,1,,,,,1
Sobic.005G002400,,,,,,,1,,,,1
Sobic.005G025900,,,,1,1,,1,,,,3
Sobic.005G029700,,,,,,,1,,,,1
Sobic.005G037700,,1,,,,,1,,,,2
Sobic.005G054800,,,,1,,,,,,,1
Sobic.005G111000,,2,,,,,,,,,2
Sobic.005G112400,,,,,,1,,,,,1
Sobic.005G118300,,,,,,,,1,,,1
Sobic.005G118400,,,1,,,,,1,,,2
Sobic.005G123500,,,,,,,1,,,,1
Sobic.005G148100,,,1,,,,,,,,1
Sobic.005G167800,,,,,,,1,,,,1
Sobic.005G206300,,,,,,3,3,,,,6
Sobic.005G206500,,1,,,,,,,,,1
Sobic.005G222000,,,1,,1,1,,1,,,4
Sobic.006G003600,,,,,,,1,,,,1
Sobic.006G009200,1,,,,,,,,,,1
Sobic.006G013300,1,,,1,,,,,,,2
Sobic.006G018800,1,1,,,,,,,1,,3
Sobic.006G022200,1,,1,,,,,1,1,,4
Sobic.006G050900,,,,1,,,,,,,1
Sobic.006G051000,,,,1,,,,,,,1
Sobic.006G057300,,,,,,,1,,,,1
Sobic.006G067500,,,,,,,1,,,,1
Sobic.006G067600,,,,,,,2,,,,2
Sobic.006G071096,,,,1,,,,,,,1
Sobic.006G077000,1,,,,,,,,,,1
Sobic.006G086900,,,2,,,2,,2,2,,8
Sobic.006G089266,1,,,1,,,,,1,,3
Sobic.006G089300,2,,,2,,,,,2,,6
Sobic.006G103000,,,,,,,1,,,,1
Sobic.006G110200,,,,,,2,,,,,2
Sobic.006G110500,1,,,,,1,,,,,2
Sobic.006G110600,1,,,,,1,,,,,2
Sobic.006G129000,,,,1,1,1,,,,,3
Sobic.006G136800,,,,1,,,,,,,1
Sobic.006G145400,,,,,,,2,,,,2
Sobic.006G145500,,,,,,,2,,,,2
Sobic.006G150100,,1,,1,,1,,1,1,,5
Sobic.006G171050,,,,,,,,,1,,1
Sobic.006G175500,,,,,,,1,,,,1
Sobic.006G176600,,,,,,,2,,,,2
Sobic.006G213300,,,1,,1,,,,,,2
Sobic.006G215000,,,,,,,,1,,,1
Sobic.006G215400,1,,,,,,,,,,1
Sobic.006G219300,,,,,,,2,,,,2
Sobic.006G219400,,,,,,,1,,,,1
Sobic.006G225200,,,,,,,1,,,,1
Sobic.006G231266,1,,,,,,,,,,1
Sobic.006G231400,1,,,,,,,,,,1
Sobic.006G235700,,,,,,,1,,,,1
Sobic.006G236700,,,,,,,2,,,,2
Sobic.006G236800,,,,,,,,1,1,,2
Sobic.006G239000,,,1,1,1,1,1,,1,,6
Sobic.006G239300,,,,,,,1,,,,1
Sobic.006G258600,,,,,,,2,,,,2
Sobic.006G265900,,,,,,,1,,,,1
Sobic.006G273400,,,,1,,,,,,,1
Sobic.006G277200,,,,1,,,,1,,,2
Sobic.007G008800,,,,,,,1,,,,1
Sobic.007G033700,,1,,,,,,,,,1
Sobic.007G035900,,,,,,,1,,,,1
Sobic.007G039100,,,,,,,1,,,,1
Sobic.007G044100,,,,,,,1,,,,1
Sobic.007G053100,,1,,,,,,,1,,2
Sobic.007G068300,,,,,,,1,,,,1
Sobic.007G084300,,,1,,,,,,,,1
Sobic.007G085300,,,1,,,,,,,,1
Sobic.007G092100,,,1,,,,,,,,1
Sobic.007G105800,,,,,,,1,,,,1
Sobic.007G137000,,,,,1,,,,,,1
Sobic.007G137700,,,,,,,1,,,,1
Sobic.007G137750,,,,,,,1,,,,1
Sobic.007G142100,,,,,,,1,,,,1
Sobic.007G163800,,,,,,2,,,,,2
Sobic.007G164400,,,,,,,1,,,,1
Sobic.007G181600,,,,,,,1,,,,1
Sobic.007G183900,,,,1,,,,,,,1
Sobic.007G192100,,,,,,,1,,,,1
Sobic.007G211000,,4,,,,,,,,,4
Sobic.007G213500,,,,,,,1,,,,1
Sobic.007G220150,,,,,,,1,,,,1
Sobic.007G220200,,,,,,,1,,,,1
Sobic.008G006400,,,,,,1,,,,,1
Sobic.008G006500,,,,,,1,,,,,1
Sobic.008G012300,,,,1,,,1,,,,2
Sobic.008G016000,,,,,,,2,,,,2
Sobic.008G032600,,,,,1,,,,,,1
Sobic.008G034000,,1,,1,,,,1,1,,4
Sobic.008G082800,,,,,,,1,,,,1
Sobic.008G084100,,,,,,,,,1,,1
Sobic.008G084200,,,,1,,,,,,,1
Sobic.008G100700,,,,,,,1,,,,1
Sobic.008G100801,,,,,,,1,,,,1
Sobic.008G109200,,1,,,,,,,,,1
Sobic.008G149450,,,,,,,,,1,,1
Sobic.008G169400,,,1,,,,,,,,1
Sobic.008G185200,1,,,,,,,,,,1
Sobic.008G191800,,,,,,,1,,,,1
Sobic.008G192700,,,,,,,1,,,,1
Sobic.008G192800,,,,,,,3,,,,3
Sobic.009G001300,,,,,2,,,,,,2
Sobic.009G006600,,,,,,,1,,,,1
Sobic.009G008100,,,,,,,1,,,,1
Sobic.009G018200,,,,,,,1,,,,1
Sobic.009G021700,,,1,,1,,1,1,1,,5
Sobic.009G032800,,,,1,1,,,,,,2
Sobic.009G035601,,,,,,1,,,,,1
Sobic.009G050900,1,,,,,,,,,,1
Sobic.009G052800,,,,,,1,,,,,1
Sobic.009G066500,,,,,,,,2,,,2
Sobic.009G071600,,,,,,,3,,,,3
Sobic.009G099000,,,,,,,1,,,,1
Sobic.009G099100,,,,,,,4,,,,4
Sobic.009G102600,,,,,,,1,,,,1
Sobic.009G125400,,,,,,,1,,,,1
Sobic.009G142000,1,,,,,,1,,,,2
Sobic.009G142800,,,3,,3,3,,3,,,12
Sobic.009G145500,,,,,,,1,,,,1
Sobic.009G145600,,,,,,,1,,,,1
Sobic.009G146250,,,,,,1,,,,,1
Sobic.009G146400,,,,,,1,,,,,1
Sobic.009G148000,,,,,,1,,,,,1
Sobic.009G149400,,,,,,,1,,,,1
Sobic.009G149500,,,,,,,1,,,,1
Sobic.009G158000,1,,,,,,,,,,1
Sobic.009G175900,,,,,,,3,,,,3
Sobic.009G186300,,,,,,,1,,,,1
Sobic.009G187100,,,,,,,1,,,,1
Sobic.009G202801,,,,,,,1,,,,1
Sobic.009G210600,,,,,1,,,,,,1
Sobic.009G213500,,,,,,1,,,,,1
Sobic.009G214600,,1,,,,,,,,,1
Sobic.009G218000,,,,,,1,1,,,,2
Sobic.009G229600,,,,,,1,1,,,,2
Sobic.009G229700,,,,,,1,1,,,,2
Sobic.009G238100,1,,,,,,,,,,1
Sobic.009G238500,,,,,,,1,,,,1
Sobic.009G240400,,,1,,,1,,1,1,,4
Sobic.009G247100,1,,,,,,,,,,1
Sobic.009G253500,,,,,,,1,,,,1
Sobic.009G253600,,,,,,,1,,,,1
Sobic.009G255100,,,,,,,1,,,,1
Sobic.009G259900,,,,,,,1,,,,1
Sobic.010G005401,,,,,,,1,,,,1
Sobic.010G005500,,,,,,,1,,,,1
Sobic.010G006100,,,,,,,1,,,,1
Sobic.010G009466,,,,,,,1,,,,1
Sobic.010G054400,,,,,,,1,,,,1
Sobic.010G070100,,,,,,,1,,,,1
Sobic.010G078600,,,,,,1,,,1,,2
Sobic.010G083050,,,1,,,,,,,,1
Sobic.010G085000,,,,,,,1,,,,1
Sobic.010G087300,1,,,,,,,,,,1
Sobic.010G104900,,2,,,2,,2,,,,6
Sobic.010G106900,,,,,,,1,,,,1
Sobic.010G108100,,,,,,1,,,,,1
Sobic.010G146000,1,,1,1,1,1,1,,,,6
Sobic.010G182800,,,,,,1,,,,,1
Sobic.010G183032,,,,,,,,1,1,,2
Sobic.010G188500,,1,,,,,,,,,1
Sobic.010G192600,,,,,,,2,,,,2
Sobic.010G237900,,,1,1,,,,1,,,3
Sobic.010G250400,,,,1,,,,,,,1
Sobic.010G250500,,,,,,,,1,,,1
Sobic.010G251000,,,,,,,1,,,,1
Sobic.010G262300,,,1,,,,,,,,1
Sobic.010G265900,1,,,,,,,,,,1
Sobic.010G268400,,,,,,,1,,,,1
Sobic.010G268500,,,,,,,1,,,,1
Sobic.010G276600,,,,,1,1,,,,,2
Sobic.010G276700,,,,,1,1,,,,,2
(blank),,,,,,,,,,,
Grand Total,75,53,71,52,63,81,213,52,52,,712
,,,,,,,,,,,55
