Chrom,Start,End,Start.1,End.1,ID,ID.1,Name,Trait.name,Group2,Group,Colors,Group3
10,7488785,7488785,7488785,7488785,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP296881,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
10,56296082,56296082,56296082,56296082,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP330963,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
10,41353679,41353679,41353679,41353679,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP648509,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
10,60139620,60139620,60139620,60139620,Bcirc(Current Study),Bcirc(Current Study),PstI.TP65527,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
3,52267500,52267535,52257500,52277535,CC(Clark(2019)),CC(Clark.et.al.(2019)),NsiI.TP307561,Compressed circumference,CC,CC(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,47759284,47759301,47749284,47769301,CC(Clark(2019)),CC(Clark.et.al.(2019)),PstI.TP1094542,Compressed circumference,CC,CC(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,52834381,52834413,52824381,52844413,CC(Clark(2019)),CC(Clark.et.al.(2019)),PstI.TP139094,Compressed circumference,CC,CC(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,42875084,42875099,42865084,42885099,CC(Clark(2019)),CC(Clark.et.al.(2019)),PstI.TP846172,Compressed circumference,CC,CC(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,60831359,60785154,60831359,60785154,CC(Dong(2017)),CC(Dong.et.al.(2017)),CC LG19 95.6 cM,compressed circumference,CC,Cc(Dong_et_al_(2017)),Green,Dong_et_al_(2017)
1,63572513,69555622,63572513,69555622,CC3(Gifford(2015)),CC3(Gifford.et.al.(2015)),CC3,compressed circumference,CC,CC3(Gifford_et_al_(2015)),Purple,Gifford_et_al_(2015)
3,62633062,69829683,62633062,69829683,CC1(Gifford(2015)),CC1(Gifford.et.al.(2015)),CC1,compressed circumference,CC,CC1(Gifford_et_al_(2015)),Purple,Gifford_et_al_(2015)
6,42652850,49893387,42652850,49893387,CC2(Gifford(2015)),CC2(Gifford.et.al.(2015)),CC2,compressed circumference,CC,CC2(Gifford_et_al_(2015)),Purple,Gifford_et_al_(2015)
8,58616300,62621700,58616300,62621700,CC4(Gifford(2015)),CC4(Gifford.et.al.(2015)),CC4,compressed circumference,CC,CC4(Gifford_et_al_(2015)),Purple,Gifford_et_al_(2015)
1,78991651,78991703,78981651,79001703,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP631089,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
2,57544768,57544790,57534768,57554790,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP1114827,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
2,76754510,76754522,76744510,76764522,CC/BC(Clark(2019))BC(Dong(2017)),CC/BC(Clark.et.al.(2019))BC(Dong.et.al.(2017)),PstI.TP718837,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
3,62102763,62102826,62092763,62112826,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP771371,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
3,70340078,70340091,70330078,70350091,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP1143155,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
4,57917174,57917206,57907174,57927206,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP668768,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
4,61346996,61347042,61336996,61357042,NA,NA,PstI.TP637804,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
4,64652944,64652977,64642944,64662977,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP796634,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
4,67780882,67780901,67770882,67790901,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP71276,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
6,47759284,47759301,47749284,47769301,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP1094542,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
6,59157096,59157101,59147096,59167101,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP720319,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
7,65362120,65362140,65352120,65372140,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP562946,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
8,53906246,53906301,53896246,53916301,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP669291,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
9,42418711,42418738,42408711,42428738,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP243719,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
9,51662064,51662076,51652064,51672076,NA,NA,NsiI.TP427326,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
9,55207270,55207278,55197270,55217278,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP1126093,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
10,42833148,42833172,42823148,42843172,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP44049,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
10,60930249,60930307,60920249,60940307,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP751019,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
1,64370037,69825090,64370037,69825090,CC/BC(Dong(2017)),CC/BC(Dong.et.al.(2017)),CC/BC LG1 95.5 cM,compressed circumference/basal circumference,CC/BC,CC/BC(Dong2017)),Green,Dong_et_al_(2017)
5,4686232,13381050,4686232,13381050,CC/BC(Dong(2017)),CC/BC(Dong.et.al.(2017)),CC/BC LG10 31 cM,compressed circumference/basal circumference,CC/BC,CC/BC(Dong2017)),Green,Dong_et_al_(2017)
10,58627987,60785154,58627987,60785154,CC/BC(Dong(2017)),CC/BC(Dong.et.al.(2017)),CC/BC LG19 88.6 cM,compressed circumference/basal circumference,CC/BC,CC/BC(Dong2017)),Green,Dong_et_al_(2017)
2,66877781,68556864,66877781,68556864,CCBC2(Gifford(2015)),CCBC2(Gifford.et.al.(2015)),CCBC2,compressed circumference/basal circumference,CCBC,CCBC2(Gifford(2015)),Purple,Gifford_et_al_(2015)
4,7489329,5395966,7489329,5395966,CCBC1(Gifford(2015)),CCBC1(Gifford.et.al.(2015)),CCBC1,compressed circumference/basal circumference,CCBC,CCBC1(Gifford(2015)),Purple,Gifford_et_al_(2015)
4,16366431,16366431,16366431,16366431,CCBC1(Gifford(2015)),CCBC1(Gifford.et.al.(2015)),CCBC1,compressed circumference/basal circumference,CCBC,CCBC1(Gifford(2015)),Purple,Gifford_et_al_(2015)
7,1663100,1663100,1663100,1663100,CCBC3(Gifford(2015)),CCBC3(Gifford.et.al.(2015)),CCBC3,compressed circumference/basal circumference,CCBC,CCBC3(Gifford2015)),Purple,Gifford_et_al_(2015)
7,7489329,5395966,7489329,5395966,CCBC1(Gifford(2015)),CCBC1(Gifford.et.al.(2015)),CCBC1,compressed circumference/basal circumference,CCBC,CCBC1(Gifford2015)),Purple,Gifford_et_al_(2015)
10,55158232,58161744,55158232,58161744,CCBC4(Gifford(2015))BC5(Gifford(2015)),CCBC4(Gifford.et.al.(2015))BC5(Gifford.et.al.(2015)),CCBC4,compressed circumference/basal circumference,CCBC,CCBC4(Gifford2015)),Purple,Gifford_et_al_(2015)
1,69534233,69534233,69534233,69534233,CCirc(Current Study),CCirc(Current Study),NsiI.TP361622,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
1,2988383,2988383,2988383,2988383,CCirc(Current Study),CCirc(Current Study),PstI.TP1268585,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
1,74361721,74361721,74361721,74361721,CCirc(Current Study),CCirc(Current Study),PstI.TP258621,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
1,8330660,8330660,8330660,8330660,CCirc(Current Study),CCirc(Current Study),PstI.TP308053,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
1,17611146,17611146,17611146,17611146,CCirc(Current Study),CCirc(Current Study),PstI.TP392482,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
1,66632271,66632271,66632271,66632271,CCirc(Current Study),CCirc(Current Study),PstI.TP393536,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
1,60097068,60097068,60097068,60097068,CCirc(Current Study),CCirc(Current Study),PstI.TP457393,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
1,78162057,78162057,78162057,78162057,CCirc(Current Study),CCirc(Current Study),PstI.TP537292,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
1,13263569,13263569,13263569,13263569,CCirc(Current Study),CCirc(Current Study),PstI.TP770895,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
1,79442910,79442910,79442910,79442910,CCirc(Current Study),CCirc(Current Study),PstI.TP898259,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
2,57174602,57174602,57174602,57174602,CCirc(Current Study),CCirc(Current Study),PstI.TP1082141,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
2,59081475,59081475,59081475,59081475,CCirc(Current Study),CCirc(Current Study),PstI.TP584552,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
2,72930521,72930521,72930521,72930521,CCirc(Current Study),CCirc(Current Study),PstI.TP875140,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
2,58286678,58286678,58286678,58286678,CCirc(Current Study),CCirc(Current Study),PstI.TP993272,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
3,6399724,6399724,6399724,6399724,CCirc(Current Study),CCirc(Current Study),NsiI.TP634727,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
3,61619462,61619462,61619462,61619462,CCirc(Current Study),CCirc(Current Study),PstI.TP1158211,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
3,55546977,55546977,55546977,55546977,CCirc(Current Study),CCirc(Current Study),PstI.TP1214992,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
3,50687892,50687892,50687892,50687892,CCirc(Current Study),CCirc(Current Study),PstI.TP704244,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
3,55061314,55061314,55061314,55061314,CCirc(Current Study),CCirc(Current Study),PstI.TP773172,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
3,64754613,64754613,64754613,64754613,CCirc(Current Study),CCirc(Current Study),PstI.TP942675,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
4,58488770,58488770,58488770,58488770,CCirc(Current Study),CCirc(Current Study),NsiI.TP390222,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
4,61084375,61084375,61084375,61084375,CCirc(Current Study),CCirc(Current Study),NsiI.TP750593,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
4,12330408,12330408,12330408,12330408,CCirc(Current Study),CCirc(Current Study),NsiI.TP827851,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
4,55764847,55764847,55764847,55764847,CCirc(Current Study),CCirc(Current Study),PstI.TP982503,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
5,69264081,69264081,69264081,69264081,CCirc(Current Study),CCirc(Current Study),PstI.TP1145813,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
5,3450082,3450082,3450082,3450082,CCirc(Current Study),CCirc(Current Study),PstI.TP292268,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
5,35481232,35481232,35481232,35481232,CCirc(Current Study),CCirc(Current Study),PstI.TP651320,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
6,3182336,3182336,3182336,3182336,CCirc(Current Study),CCirc(Current Study),NsiI.TP762935,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
6,40247059,40247059,40247059,40247059,CCirc(Current Study),CCirc(Current Study),PstI.TP501240,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
6,51146867,51146867,51146867,51146867,CCirc(Current Study),CCirc(Current Study),PstI.TP55941,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
7,5395966,5395966,5395966,5395966,CCirc(Current Study),CCirc(Current Study),GFSSContig18221_1150,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
7,2953287,2953287,2953287,2953287,CCirc(Current Study),CCirc(Current Study),PstI.TP197493,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
7,63993858,63993858,63993858,63993858,CCirc(Current Study),CCirc(Current Study),PstI.TP814417,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
8,3139123,3139123,3139123,3139123,CCirc(Current Study),CCirc(Current Study),PstI.TP315072,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
8,50730872,50730872,50730872,50730872,CCirc(Current Study),CCirc(Current Study),PstI.TP458366,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
9,55961556,55961556,55961556,55961556,CCirc(Current Study),CCirc(Current Study),PstI.TP387329,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
10,52898413,52898413,52898413,52898413,CCirc(Current Study),CCirc(Current Study),NsiI.TP471487,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
10,9880843,9880843,9880843,9880843,CCirc(Current Study),CCirc(Current Study),PstI.TP110898,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study
