"","SNP","Gene","chr","start","end","width","strand"
"45","PstI.TP548121","Sobic.009G247100.1","Chr09",58252379,58255448,3070,"+"
"46","PstI.TP648736","Sobic.004G254800.3","Chr04",60108846,60115112,6267,"-"
"47","PstI.TP648736","Sobic.004G254800.4","Chr04",60108846,60115112,6267,"-"
"48","PstI.TP65527","Sobic.010G265900.1","Chr10",60136399,60140204,3806,"-"
"49","PstI.TP663427","Sobic.001G425300.1","Chr01",70526724,70529971,3248,"-"
"50","PstI.TP697156","Sobic.004G105100.1","Chr04",9913834,9917972,4139,"+"
"51","PstI.TP710636","Sobic.006G089266.1","Chr06",45890642,45893572,2931,"+"
"52","PstI.TP710636","Sobic.006G089300.2","Chr06",45893609,45897184,3576,"-"
"53","PstI.TP710636","Sobic.006G089300.1","Chr06",45893609,45897801,4193,"-"
"54","PstI.TP710636","Sobic.006G089300.3","Chr06",45893609,45897801,4193,"-"
"55","PstI.TP714069","Sobic.004G281800.1","Chr04",62405460,62410611,5152,"+"
"56","PstI.TP744556","Sobic.001G491200.1","Chr01",76097084,76103065,5982,"-"
"57","PstI.TP75301","Sobic.006G077000.2","Chr06",44312344,44314731,2388,"+"
"58","PstI.TP754866","Sobic.001G407900.2","Chr01",69199763,69205422,5660,"-"
"59","PstI.TP770722","Sobic.001G374800.1","Chr01",66343883,66347659,3777,"+"
"60","PstI.TP770722","Sobic.001G374900.1","Chr01",66348484,66349434,951,"+"
"61","PstI.TP774963","Sobic.006G013300.1","Chr06",1909956,1914230,4275,"+"
"62","PstI.TP788586","Sobic.006G231266.1","Chr06",57439537,57442937,3401,"+"
"63","PstI.TP788586","Sobic.006G231400.1","Chr06",57443138,57445069,1932,"+"
"64","PstI.TP790069","Sobic.002G007400.1","Chr02",698947,700577,1631,"-"
"65","PstI.TP838455","Sobic.002G261600.1","Chr02",64673010,64686425,13416,"-"
"66","PstI.TP838455","Sobic.002G261600.2","Chr02",64673010,64686425,13416,"-"
"67","PstI.TP838455","Sobic.002G261600.5","Chr02",64674724,64686425,11702,"-"
"68","PstI.TP838455","Sobic.002G261600.3","Chr02",64678962,64686425,7464,"-"
"69","PstI.TP852023","Sobic.004G162200.1","Chr04",51111914,51121956,10043,"-"
"70","PstI.TP940999","Sobic.003G346200.8","Chr03",66707730,66712581,4852,"-"
"71","PstI.TP940999","Sobic.003G346200.1","Chr03",66707730,66712585,4856,"-"
"72","PstI.TP940999","Sobic.003G346200.2","Chr03",66707730,66713706,5977,"-"
"73","PstI.TP940999","Sobic.003G346200.4","Chr03",66707730,66713724,5995,"-"
"74","PstI.TP940999","Sobic.003G346200.6","Chr03",66707730,66713729,6000,"-"
"75","PstI.TP940999","Sobic.003G346200.9","Chr03",66707730,66713733,6004,"-"
"76","PstI.TP940999","Sobic.003G346200.10","Chr03",66707730,66713758,6029,"-"
"77","PstI.TP940999","Sobic.003G346200.5","Chr03",66707730,66713904,6175,"-"
"78","PstI.TP940999","Sobic.003G346200.3","Chr03",66707730,66713951,6222,"-"
"79","PstI.TP940999","Sobic.003G346200.7","Chr03",66707730,66714083,6354,"-"
"80","PstI.TP969142","Sobic.001G425800.2","Chr01",70551663,70557840,6178,"-"
"81","PstI.TP969142","Sobic.001G425800.1","Chr01",70551947,70557834,5888,"-"
"82","PstI.TP969142","Sobic.001G425800.3","Chr01",70551947,70557834,5888,"-"
"83","PstI.TP969142","Sobic.001G425900.1","Chr01",70559102,70564400,5299,"-"
"84","PstI.TP976305","Sobic.009G238100.2","Chr09",57616677,57620928,4252,"+"
"85","PstI.TP980214","Sobic.001G135500.1","Chr01",10677948,10687148,9201,"+"
"86","PstI.TP980214","Sobic.001G135600.1","Chr01",10687166,10691438,4273,"-"
"87","PstI.TP995173","Sobic.002G333400.1","Chr02",70168822,70173890,5069,"-"
"88","GFSSContig18221_1150","Sobic.007G053100.1","Chr07",5393317,5400889,7573,"+"
"89","NsiI.TP361622","Sobic.001G413100.1","Chr01",69531328,69535760,4433,"-"
"90","NsiI.TP390222","Sobic.004G237000.1","Chr04",58488864,58490438,1575,"+"
"91","NsiI.TP471487","Sobic.010G188500.1","Chr10",52896453,52900041,3589,"+"
"92","NsiI.TP750593","Sobic.004G266300.2","Chr04",61075033,61085127,10095,"-"
"93","NsiI.TP750593","Sobic.004G266300.1","Chr04",61075045,61085127,10083,"-"
"94","NsiI.TP750593","Sobic.004G266300.3","Chr04",61075777,61085127,9351,"-"
"95","NsiI.TP762935","Sobic.006G018800.1","Chr06",3178404,3183167,4764,"+"
"96","PstI.TP1082141","Sobic.002G187500.1","Chr02",57174223,57176527,2305,"+"
"97","PstI.TP110898","Sobic.010G104900.1","Chr10",9875884,9881144,5261,"-"
"98","PstI.TP110898","Sobic.010G104900.3","Chr10",9875884,9881144,5261,"-"
"99","PstI.TP110898","Sobic.010G104900.4","Chr10",9875884,9881144,5261,"-"
"100","PstI.TP110898","Sobic.010G104900.2","Chr10",9876675,9881144,4470,"-"
"101","PstI.TP1145813","Sobic.005G206500.1","Chr05",69260461,69264619,4159,"-"
"102","PstI.TP1158211","Sobic.003G281200.1","Chr03",61615956,61622310,6355,"+"
"103","PstI.TP1158211","Sobic.003G281300.1","Chr03",61620333,61624955,4623,"+"
"104","PstI.TP1214992","Sobic.003G220200.1","Chr03",55538595,55546807,8213,"+"
"105","PstI.TP1214992","Sobic.003G220200.2","Chr03",55538595,55546807,8213,"+"
"106","PstI.TP1214992","Sobic.003G220266.1","Chr03",55546852,55547957,1106,"+"
"107","PstI.TP1214992","Sobic.003G220266.2","Chr03",55546852,55547957,1106,"+"
"108","PstI.TP1268585","Sobic.001G040200.1","Chr01",2987435,2989263,1829,"-"
"109","PstI.TP197493","Sobic.007G033700.1","Chr07",2950375,2954296,3922,"-"
"110","PstI.TP258621","Sobic.001G470800.1","Chr01",74358530,74362956,4427,"+"
"111","PstI.TP292268","Sobic.005G037700.1","Chr05",3448722,3450155,1434,"+"
"112","PstI.TP308053","Sobic.001G107500.1","Chr01",8331250,8334555,3306,"-"
"113","PstI.TP315072","Sobic.008G034000.2","Chr08",3138888,3140962,2075,"-"
"114","PstI.TP387329","Sobic.009G214600.1","Chr09",55959390,55962236,2847,"+"
"115","PstI.TP392482","Sobic.001G196000.1","Chr01",17610486,17622072,11587,"+"
"116","PstI.TP393536","Sobic.001G378200.1","Chr01",66631252,66633147,1896,"-"
"117","PstI.TP457393","Sobic.001G313800.1","Chr01",60096593,60097417,825,"+"
"118","PstI.TP458366","Sobic.008G109200.1","Chr08",50729348,50731114,1767,"-"
"119","PstI.TP537292","Sobic.001G514400.1","Chr01",78160422,78162432,2011,"+"
"120","PstI.TP537292","Sobic.001G514500.3","Chr01",78162706,78168567,5862,"-"
"121","PstI.TP537292","Sobic.001G514500.6","Chr01",78162706,78168571,5866,"-"
"122","PstI.TP537292","Sobic.001G514500.5","Chr01",78162706,78168572,5867,"-"
"123","PstI.TP537292","Sobic.001G514500.10","Chr01",78162706,78168589,5884,"-"
"124","PstI.TP537292","Sobic.001G514500.2","Chr01",78162706,78168595,5890,"-"
"125","PstI.TP537292","Sobic.001G514500.4","Chr01",78162706,78168595,5890,"-"
"126","PstI.TP537292","Sobic.001G514500.8","Chr01",78162706,78168598,5893,"-"
"127","PstI.TP537292","Sobic.001G514500.9","Chr01",78162706,78168598,5893,"-"
"128","PstI.TP537292","Sobic.001G514500.7","Chr01",78162706,78168624,5919,"-"
"129","PstI.TP55941","Sobic.006G150100.1","Chr06",51145123,51147729,2607,"+"
"130","PstI.TP584552","Sobic.002G200900.1","Chr02",59072224,59080793,8570,"+"
"131","PstI.TP584552","Sobic.002G200900.2","Chr02",59072224,59081085,8862,"+"
"132","PstI.TP651320","Sobic.005G111000.1","Chr05",35459895,35482244,22350,"-"
"133","PstI.TP651320","Sobic.005G111000.2","Chr05",35464510,35482244,17735,"-"
"134","PstI.TP704244","Sobic.003G188100.2","Chr03",50686166,50690141,3976,"+"
"135","PstI.TP704244","Sobic.003G188100.3","Chr03",50686717,50690141,3425,"+"
"136","PstI.TP770895","Sobic.001G161200.1","Chr01",13263107,13265447,2341,"+"
"137","PstI.TP770895","Sobic.001G161200.2","Chr01",13263107,13265447,2341,"+"
"138","PstI.TP773172","Sobic.003G215600.1","Chr03",55053821,55062277,8457,"-"
"139","PstI.TP814417","Sobic.007G211000.3","Chr07",63992583,63995898,3316,"-"
"140","PstI.TP814417","Sobic.007G211000.4","Chr07",63992584,63995898,3315,"-"
"141","PstI.TP814417","Sobic.007G211000.5","Chr07",63992606,63995903,3298,"-"
"142","PstI.TP814417","Sobic.007G211000.1","Chr07",63992668,63995898,3231,"-"
"143","PstI.TP898259","Sobic.001G530700.1","Chr01",79440237,79444075,3839,"-"
"144","PstI.TP942675","Sobic.003G319800.1","Chr03",64752392,64755562,3171,"-"
"145","PstI.TP942675","Sobic.003G319800.2","Chr03",64752392,64755562,3171,"-"
"146","PstI.TP942675","Sobic.003G319800.3","Chr03",64753262,64755562,2301,"-"
"147","PstI.TP982503","Sobic.004G207200.1","Chr04",55759003,55765496,6494,"+"
"148","PstI.TP993272","Sobic.002G194700.1","Chr02",58285421,58290186,4766,"+"
"149","NsiI.TP128897","Sobic.006G213300.1","Chr06",56185793,56191223,5431,"-"
"150","NsiI.TP128897","Sobic.006G213300.2","Chr06",56185793,56191223,5431,"-"
"151","NsiI.TP438910","Sobic.004G344200.1","Chr04",67442362,67451137,8776,"+"
"152","NsiI.TP438910","Sobic.004G344200.3","Chr04",67442362,67451589,9228,"+"
"153","NsiI.TP438910","Sobic.004G344200.2","Chr04",67442362,67451659,9298,"+"
"154","NsiI.TP51047","Sobic.002G110500.1","Chr02",13452892,13457488,4597,"+"
"155","NsiI.TP575629","Sobic.004G124700.1","Chr04",14231927,14235182,3256,"+"
"156","NsiI.TP575629","Sobic.004G124800.1","Chr04",14235238,14239251,4014,"-"
"157","NsiI.TP648509","Sobic.010G146000.1","Chr10",41350269,41353669,3401,"-"
"158","NsiI.TP701217","Sobic.008G169400.1","Chr08",60367853,60373737,5885,"-"
"159","NsiI.TP713636","Sobic.005G148100.2","Chr05",61641003,61642030,1028,"-"
"160","NsiI.TP717578","Sobic.010G237900.1","Chr10",58017656,58025166,7511,"+"
"161","PstI.TP1012416","Sobic.002G204600.1","Chr02",59609992,59611962,1971,"+"
"162","PstI.TP1064534","Sobic.003G021800.2","Chr03",1869800,1871472,1673,"+"
"163","PstI.TP108652","Sobic.002G121300.1","Chr02",15956504,15964911,8408,"+"
"164","PstI.TP10996","Sobic.006G239000.1","Chr06",57969070,57983024,13955,"+"
"165","PstI.TP1132955","Sobic.004G297300.1","Chr04",63678188,63683509,5322,"-"
"166","PstI.TP1132955","Sobic.004G297400.3","Chr04",63683622,63687079,3458,"-"
"167","PstI.TP1132955","Sobic.004G297400.4","Chr04",63683622,63687079,3458,"-"
"168","PstI.TP1132955","Sobic.004G297400.7","Chr04",63683622,63687079,3458,"-"
"169","PstI.TP1132955","Sobic.004G297400.2","Chr04",63683622,63687275,3654,"-"
"170","PstI.TP1132955","Sobic.004G297400.5","Chr04",63683622,63687275,3654,"-"
"171","PstI.TP1132955","Sobic.004G297400.1","Chr04",63683851,63687124,3274,"-"
"172","PstI.TP1132955","Sobic.004G297400.6","Chr04",63683856,63687274,3419,"-"
"173","PstI.TP1155086","Sobic.009G142800.4","Chr09",50005037,50008259,3223,"+"
"174","PstI.TP1155086","Sobic.009G142800.3","Chr09",50005042,50008255,3214,"+"
"175","PstI.TP1155086","Sobic.009G142800.5","Chr09",50005632,50008255,2624,"+"
"176","PstI.TP137261","Sobic.001G072900.2","Chr01",5539713,5545111,5399,"+"
"177","PstI.TP14229","Sobic.009G240400.1","Chr09",57788800,57789692,893,"+"
"178","PstI.TP188641","Sobic.003G071600.1","Chr03",6087430,6092352,4923,"+"
"179","PstI.TP197570","Sobic.005G118400.1","Chr05",51808626,51820846,12221,"-"
"180","PstI.TP346744","Sobic.003G195900.1","Chr03",51991307,52014851,23545,"-"
"181","PstI.TP371473","Sobic.010G262300.1","Chr10",59880031,59884762,4732,"-"
"182","PstI.TP376790","Sobic.001G254700.1","Chr01",28682631,28683824,1194,"+"
"183","PstI.TP376790","Sobic.001G254700.2","Chr01",28682631,28683824,1194,"+"
"184","PstI.TP384804","Sobic.002G265166.1","Chr02",65028763,65029198,436,"-"
"185","PstI.TP39944","Sobic.004G041100.1","Chr04",3371442,3376139,4698,"-"
"186","PstI.TP434866","Sobic.006G022200.1","Chr06",3913531,3923044,9514,"+"
"187","PstI.TP446073","Sobic.007G085300.1","Chr07",10754655,10756113,1459,"-"
"188","PstI.TP452173","Sobic.002G098500.2","Chr02",10523637,10527896,4260,"-"
"189","PstI.TP454285","Sobic.002G242200.1","Chr02",63150942,63153974,3033,"-"
"190","PstI.TP459121","Sobic.001G514400.1","Chr01",78160422,78162432,2011,"+"
"191","PstI.TP459121","Sobic.001G514500.3","Chr01",78162706,78168567,5862,"-"
"192","PstI.TP459121","Sobic.001G514500.6","Chr01",78162706,78168571,5866,"-"
"193","PstI.TP459121","Sobic.001G514500.5","Chr01",78162706,78168572,5867,"-"
"194","PstI.TP459121","Sobic.001G514500.10","Chr01",78162706,78168589,5884,"-"
"195","PstI.TP459121","Sobic.001G514500.2","Chr01",78162706,78168595,5890,"-"
"196","PstI.TP459121","Sobic.001G514500.4","Chr01",78162706,78168595,5890,"-"
"197","PstI.TP459121","Sobic.001G514500.8","Chr01",78162706,78168598,5893,"-"
"198","PstI.TP459121","Sobic.001G514500.9","Chr01",78162706,78168598,5893,"-"
"199","PstI.TP459121","Sobic.001G514500.7","Chr01",78162706,78168624,5919,"-"
"200","PstI.TP474390","Sobic.007G092100.1","Chr07",15563546,15569734,6189,"-"
"201","PstI.TP476886","Sobic.002G175400.1","Chr02",55392886,55396332,3447,"+"
"202","PstI.TP478050","Sobic.003G304200.1","Chr03",63458669,63463023,4355,"-"
"203","PstI.TP510424","Sobic.010G083050.1","Chr10",7091012,7092894,1883,"-"
"204","PstI.TP5429","Sobic.002G393266.1","Chr02",74604422,74609738,5317,"+"
"205","PstI.TP57846","Sobic.004G051900.1","Chr04",4197276,4203457,6182,"+"
"206","PstI.TP57846","Sobic.004G051900.3","Chr04",4197618,4203457,5840,"+"
"207","PstI.TP631692","Sobic.002G235700.1","Chr02",62657766,62663108,5343,"+"
"208","PstI.TP704244","Sobic.003G188100.2","Chr03",50686166,50690141,3976,"+"
"209","PstI.TP704244","Sobic.003G188100.3","Chr03",50686717,50690141,3425,"+"
"210","PstI.TP704666","Sobic.004G268200.2","Chr04",61216506,61221364,4859,"+"
"211","PstI.TP704666","Sobic.004G268200.1","Chr04",61216768,61221364,4597,"+"
"212","PstI.TP723544","Sobic.009G021700.1","Chr09",1942720,1944208,1489,"-"
"213","PstI.TP742466","Sobic.005G222000.1","Chr05",70846703,70855117,8415,"-"
"214","PstI.TP745785","Sobic.006G086900.1","Chr06",45613551,45616219,2669,"+"
"215","PstI.TP745785","Sobic.006G086900.2","Chr06",45613551,45616999,3449,"+"
"216","PstI.TP745785","Sobic.006G086900.3","Chr06",45613551,45616999,3449,"+"
"217","PstI.TP761935","Sobic.001G230400.1","Chr01",22258421,22262314,3894,"+"
"218","PstI.TP761935","Sobic.001G230400.2","Chr01",22258421,22262315,3895,"+"
"219","PstI.TP773172","Sobic.003G215600.1","Chr03",55053821,55062277,8457,"-"
"220","PstI.TP789647","Sobic.003G379700.1","Chr03",69351545,69356137,4593,"-"
"221","PstI.TP789647","Sobic.003G379700.2","Chr03",69351545,69356140,4596,"-"
"222","PstI.TP882936","Sobic.001G078300.4","Chr01",5995283,6000823,5541,"+"
"223","PstI.TP882936","Sobic.001G078300.1","Chr01",5995409,6000823,5415,"+"
"224","PstI.TP882936","Sobic.001G078300.3","Chr01",5995409,6000823,5415,"+"
"225","PstI.TP887302","Sobic.007G084300.1","Chr07",10262034,10270154,8121,"-"
"226","PstI.TP887302","Sobic.007G084300.2","Chr07",10262034,10270154,8121,"-"
"227","PstI.TP887302","Sobic.007G084300.3","Chr07",10262034,10270154,8121,"-"
"228","PstI.TP94792","Sobic.001G007500.1","Chr01",728051,731978,3928,"+"
"229","PstI.TP94792","Sobic.001G007600.1","Chr01",732601,736502,3902,"+"
"230","PstI.TP998491","Sobic.002G117600.1","Chr02",14518039,14538095,20057,"-"
"231","GFSSContig17265_1038","Sobic.006G136800.1","Chr06",49923688,49929393,5706,"+"
"232","NsiI.TP41841","Sobic.002G393600.1","Chr02",74626329,74631459,5131,"+"
"233","NsiI.TP471156","Sobic.006G071096.1","Chr06",43353433,43354267,835,"+"
"234","NsiI.TP488716","Sobic.005G054800.1","Chr05",5554693,5556369,1677,"+"
"235","NsiI.TP576208","Sobic.001G216300.1","Chr01",19995777,20001079,5303,"+"
"236","NsiI.TP648509","Sobic.010G146000.1","Chr10",41350269,41353669,3401,"-"
"237","NsiI.TP717578","Sobic.010G237900.1","Chr10",58017656,58025166,7511,"+"
"238","NsiI.TP741199","Sobic.002G204100.3","Chr02",59553871,59556229,2359,"+"
"239","NsiI.TP741199","Sobic.002G204100.2","Chr02",59553903,59555950,2048,"+"
"240","NsiI.TP741199","Sobic.002G204050.1","Chr02",59554397,59555205,809,"-"
"241","NsiI.TP741991","Sobic.002G276800.1","Chr02",65958977,65962368,3392,"+"
"242","NsiI.TP766057","Sobic.007G183900.1","Chr07",61707868,61716228,8361,"-"
"243","NsiI.TP766057","Sobic.007G183900.2","Chr07",61707868,61716228,8361,"-"
"244","NsiI.TP769756","Sobic.001G119800.1","Chr01",9317229,9322526,5298,"+"
"245","NsiI.TP769756","Sobic.001G119800.2","Chr01",9317229,9322526,5298,"+"
"246","NsiI.TP832364","Sobic.001G492800.1","Chr01",76202998,76206852,3855,"-"
"247","PstI.TP10996","Sobic.006G239000.1","Chr06",57969070,57983024,13955,"+"
"248","PstI.TP117081","Sobic.002G153700.2","Chr02",45970904,45987364,16461,"-"
"249","PstI.TP117081","Sobic.002G153700.1","Chr02",45971003,45987364,16362,"-"
"250","PstI.TP1181476","Sobic.005G025900.1","Chr05",2298782,2302410,3629,"-"
"251","PstI.TP1193013","Sobic.006G277200.1","Chr06",60822255,60826353,4099,"+"
"252","PstI.TP1248844","Sobic.008G012300.1","Chr08",1026398,1029238,2841,"-"
"253","PstI.TP126085","Sobic.006G273400.1","Chr06",60495764,60503240,7477,"+"
"254","PstI.TP139651","Sobic.002G320700.1","Chr02",69217722,69224768,7047,"+"
"255","PstI.TP139651","Sobic.002G320900.1","Chr02",69223562,69233455,9894,"-"
"256","PstI.TP139651","Sobic.002G320900.2","Chr02",69223562,69233455,9894,"-"
"257","PstI.TP18098","Sobic.002G143000.1","Chr02",23766685,23770440,3756,"-"
"258","PstI.TP217994","Sobic.004G266400.1","Chr04",61087870,61092609,4740,"+"
"259","PstI.TP262331","Sobic.002G049600.1","Chr02",4689667,4692813,3147,"-"
"260","PstI.TP290055","Sobic.008G084200.1","Chr08",16103148,16104134,987,"+"
"261","PstI.TP299726","Sobic.009G032800.1","Chr09",2969346,2970974,1629,"-"
"262","PstI.TP315072","Sobic.008G034000.2","Chr08",3138888,3140962,2075,"-"
"263","PstI.TP376790","Sobic.001G254700.1","Chr01",28682631,28683824,1194,"+"
"264","PstI.TP376790","Sobic.001G254700.2","Chr01",28682631,28683824,1194,"+"
"265","PstI.TP457393","Sobic.001G313800.1","Chr01",60096593,60097417,825,"+"
"266","PstI.TP476886","Sobic.002G175400.1","Chr02",55392886,55396332,3447,"+"
"267","PstI.TP55941","Sobic.006G150100.1","Chr06",51145123,51147729,2607,"+"
"268","PstI.TP651715","Sobic.010G250400.1","Chr10",58950659,58957087,6429,"+"
"269","PstI.TP704244","Sobic.003G188100.2","Chr03",50686166,50690141,3976,"+"
"270","PstI.TP704244","Sobic.003G188100.3","Chr03",50686717,50690141,3425,"+"
"271","PstI.TP710636","Sobic.006G089266.1","Chr06",45890642,45893572,2931,"+"
"272","PstI.TP710636","Sobic.006G089300.2","Chr06",45893609,45897184,3576,"-"
"273","PstI.TP710636","Sobic.006G089300.1","Chr06",45893609,45897801,4193,"-"
"274","PstI.TP710636","Sobic.006G089300.3","Chr06",45893609,45897801,4193,"-"
"275","PstI.TP736503","Sobic.001G040000.2","Chr01",2977629,2979955,2327,"-"
"276","PstI.TP773172","Sobic.003G215600.1","Chr03",55053821,55062277,8457,"-"
"277","PstI.TP774504","Sobic.004G088900.1","Chr04",7548556,7550015,1460,"-"
"278","PstI.TP774963","Sobic.006G013300.1","Chr06",1909956,1914230,4275,"+"
"279","PstI.TP789647","Sobic.003G379700.1","Chr03",69351545,69356137,4593,"-"
"280","PstI.TP789647","Sobic.003G379700.2","Chr03",69351545,69356140,4596,"-"
"281","PstI.TP840679","Sobic.006G129000.1","Chr06",49383922,49388815,4894,"+"
"282","PstI.TP84880","Sobic.001G347500.1","Chr01",63678651,63687351,8701,"-"
"283","PstI.TP84880","Sobic.001G347500.2","Chr01",63678651,63687351,8701,"-"
"284","PstI.TP852023","Sobic.004G162200.1","Chr04",51111914,51121956,10043,"-"
"285","PstI.TP906726","Sobic.003G040000.1","Chr03",3716333,3721053,4721,"+"
"286","PstI.TP961110","Sobic.001G362001.1","Chr01",65183625,65185565,1941,"-"
"287","PstI.TP96720","Sobic.006G051000.3","Chr06",38026481,38032158,5678,"+"
"288","PstI.TP96720","Sobic.006G050900.1","Chr06",38024503,38025888,1386,"-"
"289","NsiI.TP127922","Sobic.004G196500.1","Chr04",54753647,54755468,1822,"+"
"290","NsiI.TP128897","Sobic.006G213300.1","Chr06",56185793,56191223,5431,"-"
"291","NsiI.TP128897","Sobic.006G213300.2","Chr06",56185793,56191223,5431,"-"
"292","NsiI.TP46196","Sobic.001G297600.1","Chr01",57777901,57781542,3642,"-"
"293","NsiI.TP46196","Sobic.001G297600.2","Chr01",57777901,57781542,3642,"-"
"294","NsiI.TP488601","Sobic.001G082900.1","Chr01",6405202,6408722,3521,"+"
"295","NsiI.TP488601","Sobic.001G083000.1","Chr01",6408709,6412370,3662,"-"
"296","NsiI.TP571832","Sobic.002G250900.1","Chr02",63803062,63803858,797,"+"
"297","NsiI.TP575629","Sobic.004G124700.1","Chr04",14231927,14235182,3256,"+"
"298","NsiI.TP575629","Sobic.004G124800.1","Chr04",14235238,14239251,4014,"-"
"299","NsiI.TP576208","Sobic.001G216300.1","Chr01",19995777,20001079,5303,"+"
"300","NsiI.TP608372","Sobic.009G001300.1","Chr09",145958,153440,7483,"-"
"301","NsiI.TP608372","Sobic.009G001300.4","Chr09",145958,153440,7483,"-"
"302","NsiI.TP608372","Sobic.009G001300.5","Chr09",145958,153440,7483,"-"
"303","NsiI.TP608372","Sobic.009G001300.2","Chr09",145958,153464,7507,"-"
"304","NsiI.TP608372","Sobic.009G001300.3","Chr09",145958,153464,7507,"-"
"305","NsiI.TP648509","Sobic.010G146000.1","Chr10",41350269,41353669,3401,"-"
"306","NsiI.TP717913","Sobic.004G222000.1","Chr04",57220820,57224296,3477,"+"
"307","NsiI.TP89701","Sobic.004G290600.2","Chr04",63139321,63163626,24306,"+"
"308","PstI.TP1083673","Sobic.007G137000.4","Chr07",56445832,56450594,4763,"+"
"309","PstI.TP10996","Sobic.006G239000.1","Chr06",57969070,57983024,13955,"+"
"310","PstI.TP110898","Sobic.010G104900.1","Chr10",9875884,9881144,5261,"-"
"311","PstI.TP110898","Sobic.010G104900.3","Chr10",9875884,9881144,5261,"-"
"312","PstI.TP110898","Sobic.010G104900.4","Chr10",9875884,9881144,5261,"-"
"313","PstI.TP110898","Sobic.010G104900.2","Chr10",9876675,9881144,4470,"-"
"314","PstI.TP1148558","Sobic.002G229300.1","Chr02",62048550,62052330,3781,"-"
"315","PstI.TP1155086","Sobic.009G142800.4","Chr09",50005037,50008259,3223,"+"
