,SNP,ID,Chromosome,Position,Trait.name,PS,Ind.SNP,SUPER,FarmCPU,mrMLM,rrBLUP,GLM,MAF.1.x,PVE.1.y,Gene,chr,start,end,width,strand
161,NsiI.TP423584,CmDW_g.3,2,57602883,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,CmDW_g(FarmCPU(1)),,,,0.06036,0.0898,NA,NA,NA,NA,NA,NA
162,NsiI.TP424524,CmD_BI_mm.4,11,13911,CmD_BI_mm,CmD_BI_mm(PS_N(1)),CmD_BI_mm(C106+4202(1)),,CmD_BI_mm(FarmCPU(1)),,,,0.1651,9.384,NA,NA,NA,NA,NA,NA
163,NsiI.TP424524,Cml_cm.12,11,13911,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(C106+4202(1)),,,Cml_cm(FASTmrMLM(1)),,,0.1651,5.969,NA,NA,NA,NA,NA,NA
164,NsiI.TP434358,CmN.38,11,14139,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),CmN(CMLM+SUPER(1)),,,,,0.07916,0.1083,NA,NA,NA,NA,NA,NA
169,NsiI.TP441664,CmN.40,11,14308,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.08874,7.383,NA,NA,NA,NA,NA,NA
171,NsiI.TP443023,CmN.41,2,56699414,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.06872,6.935,NA,NA,NA,NA,NA,NA
172,NsiI.TP443125,CmN.42,4,52156961,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1162,8.506,NA,NA,NA,NA,NA,NA
173,NsiI.TP443279,CmN.43,11,14353,CmN,CmN(PS_Y(2)),CmN(C116+3293(2)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,,0.2716,2.058,NA,NA,NA,NA,NA,NA
176,NsiI.TP445310,Bcirc_cm.15,11,14390,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),,,Bcirc_cm(ISIS EM-BLASSO(1)),,,0.0927,0.7402,NA,NA,NA,NA,NA,NA
181,NsiI.TP448134,CmN.44,11,14419,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.06679,7.41,NA,NA,NA,NA,NA,NA
182,NsiI.TP449698,CmD_BI_mm.6,11,14444,CmD_BI_mm,CmD_BI_mm(PS_Y(1)),CmD_BI_mm(124+36088im(1)),,,CmD_BI_mm(ISIS EM-BLASSO(1)),,,0.2218,1.891,NA,NA,NA,NA,NA,NA
188,NsiI.TP466452,CmN.47,11,14696,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.3027,7.834,NA,NA,NA,NA,NA,NA
191,NsiI.TP473151,CmN.48,11,14822,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.05661,7.612,NA,NA,NA,NA,NA,NA
193,NsiI.TP482576,CmD_LI_mm.5,11,14924,CmD_LI_mm,CmD_LI_mm(PS_Y(1)),CmD_LI_mm(C106+4202(1)),,,CmD_LI_mm(FASTmrEMMA(1)),,,0.033,6.317,NA,NA,NA,NA,NA,NA
194,NsiI.TP482576,Yld_kg.11,11,14924,Yld_kg,Yld_kg(PS_N(1);PS_Y(2)),Yld_kg(C106+4202(3)),,,Yld_kg(FASTmrEMMA(2)mrMLM(1)),,,0.0337,6.512,NA,NA,NA,NA,NA,NA
195,NsiI.TP482576,SDW_kg.6,11,14924,SDW_kg,SDW_kg(PS_Y(2)),SDW_kg(C106+4202(2)),,,SDW_kg(FASTmrEMMA(1)mrMLM(1)),,,0.0337,4.856,NA,NA,NA,NA,NA,NA
196,NsiI.TP48486,CmD_BI_mm.7,11,9715,CmD_BI_mm,CmD_BI_mm(PS_N(2)),CmD_BI_mm(C124+2560(2)),,,CmD_BI_mm(ISIS EM-BLASSO(1)pKWmEB(1)),,,0.3306,7.279,NA,NA,NA,NA,NA,NA
206,NsiI.TP491797,Cml_cm.16,11,15087,Cml_cm,Cml_cm(PS_Y(1)),Cml_cm(124+36088im(1)),,,Cml_cm(FASTmrMLM(1)),,,0.1613,5.93,NA,NA,NA,NA,NA,NA
209,NsiI.TP506284,CmDW_g.6,1,75748041,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,,CmDW_g(mrMLM(1)),,,0.25,10.59,NA,NA,NA,NA,NA,NA
210,NsiI.TP506284,Yld_kg.12,1,75748041,Yld_kg,Yld_kg(PS_N(3);PS_Y(2)),Yld_kg(124+36088im(5)),,,Yld_kg(FASTmrMLM(2)mrMLM(1)pKWmEB(2)),,,0.25,11.74,NA,NA,NA,NA,NA,NA
211,NsiI.TP506284,CmD_LI_mm.7,1,75748041,CmD_LI_mm,CmD_LI_mm(PS_N(1)),CmD_LI_mm(124+36088im(1)),,,CmD_LI_mm(mrMLM(1)),,,0.25,13.2,NA,NA,NA,NA,NA,NA
212,NsiI.TP506284,SDW_kg.7,1,75748041,SDW_kg,SDW_kg(PS_Y(1)),SDW_kg(124+36088im(1)),,,SDW_kg(mrMLM(1)),,,0.25,12.51,NA,NA,NA,NA,NA,NA
213,NsiI.TP509333,CmN.50,11,15400,CmN,CmN(PS_N(1)),CmN(124+36088im(1)),,,CmN(pKWmEB(1)),,,0.0524,5.715,NA,NA,NA,NA,NA,NA
217,NsiI.TP511244,Yld_kg.13,1,76291569,Yld_kg,Yld_kg(PS_N(1);PS_Y(1)),Yld_kg(124+36088im(2)),,,Yld_kg(ISIS EM-BLASSO(1)pKWmEB(1)),,,0.1008,3.257,NA,NA,NA,NA,NA,NA
218,NsiI.TP51472,CmN.52,11,9740,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.05239,7.141,NA,NA,NA,NA,NA,NA
232,NsiI.TP545368,CmN.55,11,15846,CmN,CmN(PS_Y(2)),CmN(124+36088im(2)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,,0.4689,0.07559,NA,NA,NA,NA,NA,NA
233,NsiI.TP548243,Bcirc_cm.17,11,15891,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),Bcirc_cm(MLM+SUPER(1)),,,,,0.2957,18.7,NA,NA,NA,NA,NA,NA
234,NsiI.TP563229,Bcirc_cm.18,3,13084031,Bcirc_cm,Bcirc_cm(PS_N(1);PS_Y(1)),Bcirc_cm(124+36088im(2)),Bcirc_cm(MLM+SUPER(1)),Bcirc_cm(FarmCPU(1)),,,,0.1932,0.4432,NA,NA,NA,NA,NA,NA
235,NsiI.TP566474,Yld_kg.15,4,51081160,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(124+36088im(1)),,,Yld_kg(mrMLM(1)),,,0.1926,3.226,NA,NA,NA,NA,NA,NA
236,NsiI.TP5701,Cml_cm.18,1,69156484,Cml_cm,Cml_cm(PS_Y(1)),Cml_cm(124+36088im(1)),,,Cml_cm(mrMLM(1)),,,0.291,5.099,NA,NA,NA,NA,NA,NA
262,NsiI.TP578256,CmD_BI_mm.10,11,16314,CmD_BI_mm,CmD_BI_mm(PS_N(4);PS_Y(2)),CmD_BI_mm(C116+3293(6)),,CmD_BI_mm(FarmCPU(1)),CmD_BI_mm(FASTmrEMMA(1)FASTmrMLM(1)mrMLM(2)pKWmEB(1)),,,0.1579,47.55,NA,NA,NA,NA,NA,NA
263,NsiI.TP578256,CmD_LI_mm.9,11,16314,CmD_LI_mm,CmD_LI_mm(PS_N(1)),CmD_LI_mm(C116+3293(1)),,,CmD_LI_mm(pKWmEB(1)),,,0.1552,19.52,NA,NA,NA,NA,NA,NA
264,NsiI.TP578256,CmDW_g.10,11,16314,CmDW_g,CmDW_g(PS_N(2)),CmDW_g(C116+3293(2)),,,CmDW_g(ISIS EM-BLASSO(1)pKWmEB(1)),,,0.1552,33.81,NA,NA,NA,NA,NA,NA
266,NsiI.TP587756,CmD_BI_mm.11,11,16426,CmD_BI_mm,CmD_BI_mm(PS_Y(1)),CmD_BI_mm(124+36088im(1)),,,CmD_BI_mm(ISIS EM-BLASSO(1)),,,0.0766,8.424,NA,NA,NA,NA,NA,NA
272,NsiI.TP609571,CmN.58,11,16656,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.4619,7.663,NA,NA,NA,NA,NA,NA
273,NsiI.TP613708,CmN.59,11,16706,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1816,8.763,NA,NA,NA,NA,NA,NA
274,NsiI.TP615473,CmN.60,11,16715,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),CmN(CMLM+SUPER(1)),,,,,0.05197,2.481,NA,NA,NA,NA,NA,NA
277,NsiI.TP620600,Bcirc_cm.19,11,16796,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),Bcirc_cm(MLM+SUPER(1)),,,,,0.1034,0.4254,NA,NA,NA,NA,NA,NA
282,NsiI.TP632086,Yld_kg.18,4,59238758,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(124+36088im(1)),,Yld_kg(FarmCPU(1)),,,,0.4063,1.713,NA,NA,NA,NA,NA,NA
283,NsiI.TP634727,CCirc_cm.6,3,6399724,CCirc_cm,CCirc_cm(PS_N(1)),CCirc_cm(124+36088im(1)),,CCirc_cm(FarmCPU(1)),,,,0.08855,0.05821,NA,NA,NA,NA,NA,NA
311,NsiI.TP656422,CmN.63,11,17204,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1208,7.158,NA,NA,NA,NA,NA,NA
312,NsiI.TP658897,Bcirc_cm.22,11,17214,Bcirc_cm,Bcirc_cm(PS_N(1)),Bcirc_cm(C116+3293(1)),,Bcirc_cm(FarmCPU(1)),,,,0.3276,13.56,NA,NA,NA,NA,NA,NA
313,NsiI.TP66555,CmD_BI_mm.13,11,9920,CmD_BI_mm,CmD_BI_mm(PS_N(1);PS_Y(1)),CmD_BI_mm(124+36088im(2)),,,CmD_BI_mm(pKWmEB(2)),,,0.1815,0,NA,NA,NA,NA,NA,NA
314,NsiI.TP66555,SDW_kg.9,11,9920,SDW_kg,SDW_kg(PS_N(1)),SDW_kg(124+36088im(1)),,,SDW_kg(ISIS EM-BLASSO(1)),,,0.1815,0,NA,NA,NA,NA,NA,NA
315,NsiI.TP66555,CmD_LI_mm.11,11,9920,CmD_LI_mm,CmD_LI_mm(PS_N(2);PS_Y(3)),CmD_LI_mm(124+36088im(5)),,,CmD_LI_mm(FASTmrMLM(2)ISIS EM-BLASSO(1)pKWmEB(2)),,,0.1815,0,NA,NA,NA,NA,NA,NA
316,NsiI.TP66555,Cml_cm.22,11,9920,Cml_cm,Cml_cm(PS_N(2);PS_Y(2)),Cml_cm(124+36088im(4)),,,Cml_cm(FASTmrMLM(2)ISIS EM-BLASSO(1)pKWmEB(1)),,,0.1815,0,NA,NA,NA,NA,NA,NA
317,NsiI.TP66555,CmDW_g.13,11,9920,CmDW_g,CmDW_g(PS_N(4);PS_Y(2)),CmDW_g(124+36088im(6)),,,CmDW_g(FASTmrMLM(2)ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(2)),,,0.1844,0,NA,NA,NA,NA,NA,NA
318,NsiI.TP66555,Yld_kg.19,11,9920,Yld_kg,Yld_kg(PS_Y(2)),Yld_kg(124+36088im(2)),,,Yld_kg(FASTmrMLM(1)pKWmEB(1)),,,0.1815,0,NA,NA,NA,NA,NA,NA
321,NsiI.TP675510,CmN.65,11,17441,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.06112,9.237,NA,NA,NA,NA,NA,NA
323,NsiI.TP682707,CmN.67,11,17550,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,CmN(pKWmEB(1)),,,0.0403,14.16,NA,NA,NA,NA,NA,NA
324,NsiI.TP693731,CCirc_cm.7,11,17668,CCirc_cm,CCirc_cm(PS_N(1)),CCirc_cm(124+36088im(1)),,,CCirc_cm(pKWmEB(1)),,,0.2605,2.4,NA,NA,NA,NA,NA,NA
328,NsiI.TP713435,CmDW_g.14,11,17915,CmDW_g,CmDW_g(PS_N(2)),CmDW_g(124+36088im(2)),,,CmDW_g(FASTmrMLM(1)pKWmEB(1)),,,0.0806,1.737,NA,NA,NA,NA,NA,NA
330,NsiI.TP715620,CmDW_g.15,11,17946,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,,CmDW_g(ISIS EM-BLASSO(1)),,,0.2661,12.23,NA,NA,NA,NA,NA,NA
343,NsiI.TP728788,Yld_kg.20,11,18071,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(124+36088im(1)),,Yld_kg(FarmCPU(1)),,,,0.1304,0.007622,NA,NA,NA,NA,NA,NA
348,NsiI.TP744668,CmN.69,8,13866107,CmN,CmN(PS_N(1)),CmN(124+36088im(1)),,,CmN(mrMLM(1)),,,0.1926,18.38,NA,NA,NA,NA,NA,NA
352,NsiI.TP750615,CmN.70,1,12653027,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.06535,7.914,NA,NA,NA,NA,NA,NA
353,NsiI.TP753053,CCirc_cm.9,11,18356,CCirc_cm,CCirc_cm(PS_Y(1)),CCirc_cm(124+36088im(1)),,,CCirc_cm(FASTmrMLM(1)),,,0.0798,1.32E-08,NA,NA,NA,NA,NA,NA
355,NsiI.TP753852,Yld_kg.21,9,2876948,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(124+36088im(1)),,,Yld_kg(pKWmEB(1)),,,0.2419,3.015,NA,NA,NA,NA,NA,NA
356,NsiI.TP754072,CmN.72,1,67675884,CmN,CmN(PS_N(1)),CmN(124+36088im(1)),,CmN(FarmCPU(1)),,,,0.1658,0.1363,NA,NA,NA,NA,NA,NA
370,NsiI.TP765320,Bcirc_cm.24,7,5038310,Bcirc_cm,Bcirc_cm(PS_N(5);PS_Y(3)),Bcirc_cm(C106+4202(8)),,Bcirc_cm(FarmCPU(1)),Bcirc_cm(FASTmrMLM(2)ISIS EM-BLASSO(2)mrMLM(1)pKWmEB(2)),,,0.1132,26.33,NA,NA,NA,NA,NA,NA
371,NsiI.TP765320,CmD_BI_mm.17,7,5038310,CmD_BI_mm,CmD_BI_mm(PS_N(1)),CmD_BI_mm(C106+4202(1)),,,CmD_BI_mm(mrMLM(1)),,,0.1058,29.5,NA,NA,NA,NA,NA,NA
376,NsiI.TP770913,CmD_BI_mm.18,11,18626,CmD_BI_mm,CmD_BI_mm(PS_N(1)),CmD_BI_mm(124+36088im(1)),,,CmD_BI_mm(pKWmEB(1)),,,0.0282,40.64,NA,NA,NA,NA,NA,NA
377,NsiI.TP777080,CmN.74,11,18691,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.4152,8.293,NA,NA,NA,NA,NA,NA
380,NsiI.TP787181,CmN.76,11,18814,CmN,CmN(PS_Y(2)),CmN(124+36088im(2)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,,0.05537,3.921,NA,NA,NA,NA,NA,NA
381,NsiI.TP796495,SDW_kg.11,5,16450180,SDW_kg,SDW_kg(PS_N(1)),SDW_kg(124+36088im(1)),,SDW_kg(FarmCPU(1)),,,,0.3304,0.03645,NA,NA,NA,NA,NA,NA
382,NsiI.TP804180,Bcirc_cm.25,11,18968,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),Bcirc_cm(MLM+SUPER(1)),,,,,0.2973,0.1266,NA,NA,NA,NA,NA,NA
383,NsiI.TP810561,Cml_cm.26,2,61303139,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(124+36088im(1)),,Cml_cm(FarmCPU(1)),,,,0.4736,2.557,NA,NA,NA,NA,NA,NA
384,NsiI.TP810561,CmDW_g.17,2,61303139,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,CmDW_g(FarmCPU(1)),,,,0.4736,2.323,NA,NA,NA,NA,NA,NA
385,NsiI.TP810561,CmD_LI_mm.17,2,61303139,CmD_LI_mm,CmD_LI_mm(PS_N(1)),CmD_LI_mm(124+36088im(1)),,CmD_LI_mm(FarmCPU(1)),,,,0.4736,2.743,NA,NA,NA,NA,NA,NA
386,NsiI.TP811997,SDW_kg.12,9,8192109,SDW_kg,SDW_kg(PS_N(1)),SDW_kg(124+36088im(1)),,SDW_kg(FarmCPU(1)),,,,0.07954,7.228,NA,NA,NA,NA,NA,NA
387,NsiI.TP826891,CmN.77,11,19276,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.3319,11.01,NA,NA,NA,NA,NA,NA
388,NsiI.TP827851,CmN.78,4,12330408,CmN,CmN(PS_N(3)),CmN(C124+2560(3)),,CmN(FarmCPU(1)),CmN(FASTmrMLM(1)mrMLM(1)),,,0.0565,26.72,NA,NA,NA,NA,NA,NA
389,NsiI.TP827851,CmD_BI_mm.19,4,12330408,CmD_BI_mm,CmD_BI_mm(PS_N(2)),CmD_BI_mm(C124+2560(2)),,,CmD_BI_mm(FASTmrMLM(1)mrMLM(1)),,,0.0565,0,NA,NA,NA,NA,NA,NA
390,NsiI.TP827851,CmDW_g.18,4,12330408,CmDW_g,CmDW_g(PS_N(2)),CmDW_g(C124+2560(2)),,CmDW_g(FarmCPU(1)),CmDW_g(mrMLM(1)),,,0.05645,20.47,NA,NA,NA,NA,NA,NA
391,NsiI.TP827851,CCirc_cm.11,4,12330408,CCirc_cm,CCirc_cm(PS_N(1)),CCirc_cm(C124+2560(1)),,CCirc_cm(FarmCPU(1)),,,,0.05645,21.42,NA,NA,NA,NA,NA,NA
392,NsiI.TP827851,Yld_kg.23,4,12330408,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(C124+2560(1)),,Yld_kg(FarmCPU(1)),,,,0.05645,23.93,NA,NA,NA,NA,NA,NA
394,NsiI.TP84023,CmN.79,11,10066,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1581,6.88,NA,NA,NA,NA,NA,NA
399,PstI.TP1014541,CmN.81,11,7044,CmN,CmN(PS_N(3);PS_Y(2)),CmN(124+36088im(5)),,,CmN(FASTmrMLM(2)ISIS EM-BLASSO(1)pKWmEB(2)),,,0.3185,24.92,NA,NA,NA,NA,NA,NA
401,PstI.TP1016686,CmN.82,11,7060,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.4017,8.988,NA,NA,NA,NA,NA,NA
402,PstI.TP1021221,CmN.83,11,7084,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),CmN(CMLM+SUPER(1)),,,,,0.132,0.9969,NA,NA,NA,NA,NA,NA
408,PstI.TP1029642,CmN.86,11,7158,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1223,7.606,NA,NA,NA,NA,NA,NA
409,PstI.TP1032333,Bcirc_cm.28,3,3528771,Bcirc_cm,Bcirc_cm(PS_N(7);PS_Y(1)),Bcirc_cm(124+36088im(1);C124+2560(7)),,Bcirc_cm(FarmCPU(1)),Bcirc_cm(FASTmrEMMA(1)ISIS EM-BLASSO(1)mrMLM(2)pKWmEB(2)pLARmEB(1)),,,0.1434,22.21,NA,NA,NA,NA,NA,NA
410,PstI.TP1032333,CmD_BI_mm.21,3,3528771,CmD_BI_mm,CmD_BI_mm(PS_N(1)),CmD_BI_mm(C124+2560(1)),,,CmD_BI_mm(ISIS EM-BLASSO(1)),,,0.1411,5.305,NA,NA,NA,NA,NA,NA
432,PstI.TP104645,CmN.88,6,44593939,CmN,CmN(PS_N(2);PS_Y(2)),CmN(124+36088im(4)),,,CmN(FASTmrMLM(2)pKWmEB(2)),,,0.254,8.259,NA,NA,NA,NA,NA,NA
434,PstI.TP10552,CmD_LI_mm.19,11,79,CmD_LI_mm,CmD_LI_mm(PS_Y(1)),CmD_LI_mm(124+36088im(1)),,,CmD_LI_mm(ISIS EM-BLASSO(1)),,,0.1694,14.55,NA,NA,NA,NA,NA,NA
