,SNP,MAF.x,PVE.y
157,NsiI.TP256580,0.2535,0.01494
158,NsiI.TP257172,0.1494,1.57
159,NsiI.TP257521,0.317,0.03005
160,NsiI.TP258067,0.1339,0.004061
161,NsiI.TP260208,0.4832,0.9958
162,NsiI.TP260906,0.4671,0.6113
163,NsiI.TP262378,0.4387,2.725
164,NsiI.TP266954,0.1174,3.174
165,NsiI.TP274765,0.3333,22.92
166,NsiI.TP275227,0.3347,0.7817
167,NsiI.TP276353,0.2026,3.899
168,NsiI.TP2769,0.4346,2.46
169,NsiI.TP278971,0.1863,1.874
170,NsiI.TP280339,0.3035,8.973
171,NsiI.TP281579,0.1776,0.4151
172,NsiI.TP284022,0.3222,1.701
173,NsiI.TP285092,0.4704,2.514
174,NsiI.TP285280,0.1759,2.051
175,NsiI.TP288843,0.456,0.1077
176,NsiI.TP289776,0.1672,0.2976
177,NsiI.TP290165,0.1646,0.9388
178,NsiI.TP290592,0.1247,1.84
179,NsiI.TP293440,0.0517,0.0013
180,NsiI.TP299172,0.0302,0.0055
181,NsiI.TP302373,0.0345,2.79E-06
182,NsiI.TP303442,0.289,4.124
183,NsiI.TP304061,0.4678,8.43E-05
184,NsiI.TP304396,0.2845,4.106
185,NsiI.TP30868,0.1009,10.26
186,NsiI.TP309926,0.0991,0.1296
187,NsiI.TP310185,0.3453,9.545
188,NsiI.TP314390,0.05848,0.07086
189,NsiI.TP314432,0.1211,4.383
190,NsiI.TP31742,0.2986,0.4613
191,NsiI.TP318460,0.1308,0.3598
192,NsiI.TP319204,0.05428,3.25
193,NsiI.TP319863,0.3548,6.513
194,NsiI.TP321836,0.1408,10.84
195,NsiI.TP322203,0.107,3.387
196,NsiI.TP323223,0.09152,12.53
197,NsiI.TP32394,0.1008,0.005783
198,NsiI.TP324424,0.0754,0.04115
199,NsiI.TP32455,0.05047,3.2
200,NsiI.TP324593,0.0776,6.165
201,NsiI.TP324732,0.2596,0.1592
202,NsiI.TP326716,0.2288,0.7066
203,NsiI.TP328684,0.168,7.236
204,NsiI.TP328982,0.1667,0.2951
205,NsiI.TP329430,0.4796,2.65
206,NsiI.TP329755,0.25,5.622
207,NsiI.TP331229,0.4945,11.56
208,NsiI.TP333584,0.3278,3.227
209,NsiI.TP333882,0.433,4.941
210,NsiI.TP336953,0.3055,0.00591
211,NsiI.TP337152,0.06067,0.3429
212,NsiI.TP337751,0.3906,16.19
213,NsiI.TP33811,0.1758,9.121
214,NsiI.TP340042,0.06606,0.2113
215,NsiI.TP343718,0.1294,1.157
216,NsiI.TP344870,0.08854,17.35
217,NsiI.TP346232,0.3056,1.513
218,NsiI.TP346723,0.1415,0.4318
219,NsiI.TP34695,0.0474,0.2183
220,NsiI.TP347216,0.3643,4.068
221,NsiI.TP350239,0.1699,8.001
222,NsiI.TP350425,0.1673,0.00767
223,NsiI.TP351438,0.3268,1.27
224,NsiI.TP352026,0.06707,0.0812
225,NsiI.TP35357,0.3849,3.022
226,NsiI.TP355773,0.1805,0.03574
227,NsiI.TP358628,0.07464,8.743
228,NsiI.TP358792,0.2414,3.211
229,NsiI.TP359148,0.3163,1.536
230,NsiI.TP359530,0.1003,2.041
231,NsiI.TP360446,0.07877,1.648
232,NsiI.TP360999,0.08962,11.97
233,NsiI.TP361679,0.2999,0.9077
234,NsiI.TP363117,0.2787,4.764
235,NsiI.TP363937,0.3851,1.406
236,NsiI.TP364137,0.4208,2.908
237,NsiI.TP368101,0.2592,0.1294
238,NsiI.TP369405,0.06705,1.492
239,NsiI.TP370740,0.4118,0.6755
240,NsiI.TP370880,0.0505,0.01859
241,NsiI.TP373338,0.2588,20.18
242,NsiI.TP373942,0.3094,0.0702
243,NsiI.TP37454,0.4182,0.5537
244,NsiI.TP376338,0.393,0.6502
245,NsiI.TP382187,0.4899,0.5485
246,NsiI.TP383484,0.1983,9.995
247,NsiI.TP384887,0.2304,4.898
248,NsiI.TP387106,0.1272,0.6275
249,NsiI.TP38756,0.07703,0.02188
250,NsiI.TP388861,0.1974,19.34
251,NsiI.TP388882,0.163,9.354
252,NsiI.TP388907,0.2716,0.5287
253,NsiI.TP388993,0.1732,0.5363
254,NsiI.TP392116,0.3018,1.724
255,NsiI.TP393109,0.0388,0.0747
256,NsiI.TP39438,0.1897,1.199
257,NsiI.TP394597,0.1146,0.2483
258,NsiI.TP395863,0.1458,4.673
259,NsiI.TP397682,0.3899,5.056
260,NsiI.TP39861,0.2926,3.375
261,NsiI.TP39871,0.1398,0.5464
262,NsiI.TP400271,0.1409,0.04393
263,NsiI.TP401000,0.1085,3.51
264,NsiI.TP401676,0.08846,1.333
265,NsiI.TP404884,0.1527,0.9134
266,NsiI.TP406255,0.4208,0.7318
267,NsiI.TP406542,0.2716,5.893
268,NsiI.TP406742,0.4425,8.052
269,NsiI.TP407173,0.3677,1.444
270,NsiI.TP407233,0.2834,0.2546
271,NsiI.TP409401,0.3517,6.261
272,NsiI.TP41073,0.1836,0.2401
273,NsiI.TP411619,0.1413,0.34
274,NsiI.TP412045,0.4555,0.8021
275,NsiI.TP413314,0.1034,4.39E-06
276,NsiI.TP413741,0.1458,7.472
277,NsiI.TP414923,0.133,0.5138
278,NsiI.TP415542,0.08607,3.351
279,NsiI.TP415575,0.05339,3.75
280,NsiI.TP416112,0.105,2.611
281,NsiI.TP416911,0.1466,8.577
282,NsiI.TP416968,0.1171,0.3883
283,NsiI.TP417060,0.1512,1.012
284,NsiI.TP417678,0.06332,1.364
285,NsiI.TP418754,0.1551,0.2744
286,NsiI.TP418817,0.4175,0.233
287,NsiI.TP41926,0.1072,0.2136
288,NsiI.TP419909,0.2999,0.03835
289,NsiI.TP420372,0.4808,0.1262
290,NsiI.TP421896,0.3902,1.087
291,NsiI.TP422447,0.1839,0.06677
292,NsiI.TP422932,0.0661,1.119
293,NsiI.TP423212,0.2874,1.205
294,NsiI.TP423257,0.3847,1.076
295,NsiI.TP424508,0.3987,2.275
296,NsiI.TP425431,0.3836,0.4328
297,NsiI.TP426185,0.1604,6.073
298,NsiI.TP426523,0.4423,1.868
299,NsiI.TP426936,0.158,0.9402
300,NsiI.TP427131,0.4887,0.1862
301,NsiI.TP428306,0.177,1.161
302,NsiI.TP428405,0.3305,0.9304
303,NsiI.TP429188,0.4051,0.459
304,NsiI.TP431947,0.0469,4.834
305,NsiI.TP431965,0.4248,0.3724
306,NsiI.TP432383,0.1913,0.06423
307,NsiI.TP43297,0.3561,1.431
308,NsiI.TP433359,0.1116,0.09256
309,NsiI.TP433543,0.2106,1.12
310,NsiI.TP433644,0.1159,0.07025
311,NsiI.TP43469,0.1589,0.5048
312,NsiI.TP434835,0.2931,4.049
313,NsiI.TP435268,0.1393,0.06991
314,NsiI.TP435805,0.08854,17.03
315,NsiI.TP436526,0.1212,8.489
316,NsiI.TP436966,0.1064,38.46
317,NsiI.TP438031,0.491,0.0443
318,NsiI.TP438230,0.1975,1.49
319,NsiI.TP43842,0.2245,0.09208
320,NsiI.TP440447,0.3868,0.4447
321,NsiI.TP440694,0.1483,1.206
322,NsiI.TP440843,0.3934,0.8929
323,NsiI.TP440927,0.099,9.00E-04
324,NsiI.TP441010,0.2866,0.1034
325,NsiI.TP441453,0.1771,6.793
326,NsiI.TP441664,0.09241,2.315
327,NsiI.TP441797,0.2617,1.719
328,NsiI.TP442160,0.09395,12.52
329,NsiI.TP442162,0.2304,2.516
330,NsiI.TP442306,0.1525,0.02383
331,NsiI.TP442700,0.3514,0.01414
332,NsiI.TP442764,0.3219,0.04855
333,NsiI.TP443125,0.1096,8.036
334,NsiI.TP443169,0.162,3.002
335,NsiI.TP443697,0.458,1.022
336,NsiI.TP444157,0.2918,0.1765
337,NsiI.TP444504,0.4691,0.0006434
338,NsiI.TP445084,0.162,2.628
339,NsiI.TP446772,0.1959,18.07
340,NsiI.TP446863,0.4146,0.816
341,NsiI.TP448134,0.06679,0.6589
342,NsiI.TP450394,0.2941,0.02399
343,NsiI.TP450647,0.3378,0.03468
344,NsiI.TP450800,0.4076,0.5375
345,NsiI.TP454231,0.1179,0.1317
346,NsiI.TP454947,0.1709,0.5598
347,NsiI.TP455424,0.08481,0.4245
348,NsiI.TP456029,0.1866,0.007018
349,NsiI.TP456171,0.17,5.498
350,NsiI.TP456239,0.4354,0.001415
351,NsiI.TP457495,0.1528,1.561
352,NsiI.TP457620,0.0971,3.494
353,NsiI.TP458088,0.107,0.9251
354,NsiI.TP458371,0.1168,0.1704
355,NsiI.TP458403,0.3761,3.569
356,NsiI.TP458472,0.3085,0.1247
357,NsiI.TP459599,0.1134,0.02827
358,NsiI.TP462576,0.3489,1.651
359,NsiI.TP462694,0.2776,0.277
360,NsiI.TP464287,0.0417,0.0106
361,NsiI.TP464397,0.151,1.824
362,NsiI.TP465195,0.344,1.62
363,NsiI.TP465897,0.2364,0.8108
364,NsiI.TP466452,0.2712,0.1489
365,NsiI.TP467422,0.06731,2.569
366,NsiI.TP468110,0.3765,0.02881
367,NsiI.TP468565,0.1902,0.4016
368,NsiI.TP469438,0.1536,12.58
369,NsiI.TP469537,0.1269,0.6549
370,NsiI.TP469911,0.1756,2.461
371,NsiI.TP472465,0.1297,2.751
372,NsiI.TP472657,0.4376,0.01308
373,NsiI.TP472754,0.232,1.788
374,NsiI.TP4741,0.103,2.117
375,NsiI.TP475686,0.425,0.01035
376,NsiI.TP476148,0.069,0.2424
377,NsiI.TP476261,0.1276,0.4412
378,NsiI.TP476441,0.1347,0.007582
379,NsiI.TP479743,0.2396,3.513
380,NsiI.TP481176,0.2453,23.02
381,NsiI.TP48231,0.06881,0.2496
382,NsiI.TP484589,0.05588,6.996
383,NsiI.TP484830,0.182,1.575
384,NsiI.TP486649,0.1057,0.1325
385,NsiI.TP486661,0.3472,1.284
386,NsiI.TP486716,0.4141,3.052
387,NsiI.TP486825,0.1601,8.607
388,NsiI.TP488806,0.07017,5.624
389,NsiI.TP489836,0.0622,1.645
390,NsiI.TP490522,0.1881,0.2247
391,NsiI.TP490659,0.2298,0.1028
392,NsiI.TP491324,0.2383,6.959
393,NsiI.TP491655,0.1115,0.1742
394,NsiI.TP491839,0.125,0.4044
395,NsiI.TP491951,0.3852,2.331
396,NsiI.TP492710,0.2219,1.641
397,NsiI.TP493151,0.1973,6.745
398,NsiI.TP493263,0.1767,7.015
399,NsiI.TP493622,0.08244,2.074
400,NsiI.TP493682,0.2414,2.122
401,NsiI.TP493726,0.1089,1.351
402,NsiI.TP494603,0.2016,2.481
403,NsiI.TP494865,0.1353,0.448
404,NsiI.TP495572,0.2328,13.22
405,NsiI.TP496061,0.1674,0.0975
406,NsiI.TP496502,0.148,0.3587
407,NsiI.TP496851,0.1164,3.752
408,NsiI.TP496948,0.4919,6.801
409,NsiI.TP499102,0.0834,1.832
410,NsiI.TP499326,0.1076,0.01796
411,NsiI.TP49937,0.1164,0.1379
412,NsiI.TP499934,0.2083,0
413,NsiI.TP499936,0.3493,7.194
414,NsiI.TP501821,0.0517,1.96E-05
415,NsiI.TP502740,0.2295,1.636
416,NsiI.TP503060,0.4957,2.544
417,NsiI.TP503326,0.4747,6.122
418,NsiI.TP503807,0.382,2.373
419,NsiI.TP508300,0.2197,5.346
420,NsiI.TP508574,0.1637,0.9372
421,NsiI.TP509280,0.3012,0.7528
422,NsiI.TP509742,0.2038,2.7
423,NsiI.TP510047,0.2318,0.3894
424,NsiI.TP51047,0.3796,13.44
425,NsiI.TP510581,0.1997,0.2316
426,NsiI.TP512263,0.3538,0.8304
427,NsiI.TP51472,0.05239,0.01635
428,NsiI.TP514724,0.173,6.17
429,NsiI.TP51476,0.0129,0.0223
430,NsiI.TP516245,0.2968,7.101
431,NsiI.TP520721,0.3019,1.896
432,NsiI.TP520722,0.1716,2.732
433,NsiI.TP521139,0.1416,0.9165
434,NsiI.TP521250,0.1086,0.603
435,NsiI.TP521277,0.3286,0.4864
436,NsiI.TP522662,0.2353,0.7425
437,NsiI.TP523957,0.06069,2.92
438,NsiI.TP524956,0.2974,5.162
439,NsiI.TP5257,0.1571,0.4266
440,NsiI.TP525885,0.2294,0.3211
441,NsiI.TP527269,0.3143,2.526
442,NsiI.TP527772,0.2069,1.3
443,NsiI.TP528762,0.1189,0.02382
444,NsiI.TP529124,0.1442,2.748
445,NsiI.TP529321,0.3027,1.484
446,NsiI.TP530730,0.2088,0.3642
447,NsiI.TP530892,0.4209,6.395
448,NsiI.TP541233,0.1841,0.6295
449,NsiI.TP541527,0.151,4.983
450,NsiI.TP543408,0.1416,0.3674
451,NsiI.TP544201,0.3627,8.146
452,NsiI.TP546061,0.4815,0.78
453,NsiI.TP546538,0.4065,0.4233
454,NsiI.TP549898,0.2433,1.585
455,NsiI.TP550070,0.2471,2.383
456,NsiI.TP550663,0.326,3.694
457,NsiI.TP551839,0.3333,5.575
458,NsiI.TP553662,0.1756,7.211
459,NsiI.TP554788,0.4852,3.751
460,NsiI.TP555055,0.1192,0.4352
461,NsiI.TP555065,0.1223,0.05176
462,NsiI.TP555365,0.1132,0.08582
463,NsiI.TP555631,0.06511,0.05754
464,NsiI.TP556047,0.2418,12.13
465,NsiI.TP557688,0.4251,0.1937
466,NsiI.TP557918,0.07288,1.057
467,NsiI.TP560012,0.2972,21.7
468,NsiI.TP560751,0.06787,0.06059
469,NsiI.TP561393,0.1304,3.509
470,NsiI.TP561542,0.1122,2.158
471,NsiI.TP56325,0.4167,1.377
472,NsiI.TP563567,0.3498,0.2189
473,NsiI.TP564528,0.0129,0
474,NsiI.TP565488,0.3898,5.071
475,NsiI.TP566474,0.2465,0.02952
476,NsiI.TP568,0.1145,1.127
477,NsiI.TP570076,0.08139,0.8859
478,NsiI.TP570786,0.1523,1.189
479,NsiI.TP571420,0.1429,0.1228
480,NsiI.TP571744,0.4019,1.11
481,NsiI.TP57283,0.1321,10.56
482,NsiI.TP575345,0.1185,1.368
483,NsiI.TP575555,0.06237,3.016
484,NsiI.TP576208,0.1737,8.89
485,NsiI.TP579169,0.0377,6.22
486,NsiI.TP579718,0.4706,0.05418
487,NsiI.TP579729,0.4621,0.4819
488,NsiI.TP579782,0.3677,0.02999
489,NsiI.TP580268,0.2174,1.806
490,NsiI.TP585806,0.1627,14.39
491,NsiI.TP586741,0.2979,3.694
492,NsiI.TP586798,0.4133,9.597
493,NsiI.TP588093,0.1099,1.103
494,NsiI.TP588890,0.375,8.593
495,NsiI.TP590314,0.2421,0.8274
496,NsiI.TP59062,0.4151,1.403
497,NsiI.TP591161,0.4361,0.4932
498,NsiI.TP591705,0.3498,0.6916
499,NsiI.TP592449,0.4029,1.159
500,NsiI.TP592655,0.05046,6.275
501,NsiI.TP593462,0.1057,0.07098
502,NsiI.TP593666,0.2543,4.269
503,NsiI.TP593990,0.09867,0.05428
504,NsiI.TP594174,0.4212,0.4158
505,NsiI.TP59425,0.1845,10.74
506,NsiI.TP594320,0.1587,0.004851
507,NsiI.TP594691,0.3772,2.969
508,NsiI.TP594902,0.4693,4.738
509,NsiI.TP59527,0.1595,15.83
510,NsiI.TP595384,0.382,0.2136
511,NsiI.TP597273,0.4374,0.545
512,NsiI.TP602190,0.4684,20.62
513,NsiI.TP604461,0.1537,2.194
514,NsiI.TP604677,0.4624,0.09427
515,NsiI.TP607068,0.1754,13.68
516,NsiI.TP607427,0.3038,0.3856
517,NsiI.TP60744,0.3333,0.5023
518,NsiI.TP608930,0.3543,0.05041
519,NsiI.TP609527,0.09808,0.8735
520,NsiI.TP609535,0.1951,1.684
521,NsiI.TP609571,0.4697,4.038
522,NsiI.TP609767,0.4357,1.847
523,NsiI.TP610850,0.0642,0.4151
524,NsiI.TP611508,0.183,0.03083
525,NsiI.TP613708,0.1778,0.1633
526,NsiI.TP614958,0.0921,3.305
527,NsiI.TP615699,0.2054,4.603
528,NsiI.TP615883,0.1821,0.2421
529,NsiI.TP616011,0.1189,0.6167
530,NsiI.TP616137,0.1151,0.3054
531,NsiI.TP616371,0.1449,1.483
532,NsiI.TP616438,0.2662,4.482
533,NsiI.TP616446,0.4649,14.53
534,NsiI.TP617618,0.09327,0.3576
535,NsiI.TP61845,0.2288,2.105
536,NsiI.TP620135,0.4919,1.603
537,NsiI.TP620217,0.4918,5.139
538,NsiI.TP620599,0.3568,4.481
539,NsiI.TP621298,0.1038,0.1066
540,NsiI.TP621627,0.2898,0.1601
541,NsiI.TP621902,0.2552,0.1258
542,NsiI.TP622507,0.0647,9.10E-06
543,NsiI.TP623388,0.2061,0.2616
544,NsiI.TP623459,0.1078,0.05168
545,NsiI.TP624345,0.1326,3.881
546,NsiI.TP625373,0.1508,0.1773
547,NsiI.TP627077,0.4381,0.6636
548,NsiI.TP6280,0.2209,5.151
549,NsiI.TP630636,0.1244,0.425
550,NsiI.TP630648,0.2857,1.141
551,NsiI.TP631761,0.1457,0.0759
552,NsiI.TP631772,0.2026,0.1697
553,NsiI.TP631975,0.2664,2.307
554,NsiI.TP632002,0.2207,12.63
555,NsiI.TP632088,0.1199,0.7774
556,NsiI.TP63305,0.3451,0.1259
557,NsiI.TP633109,0.2848,0.969
558,NsiI.TP633470,0.1711,4.847
559,NsiI.TP634012,0.474,17.54
560,NsiI.TP636278,0.2915,0.754
561,NsiI.TP63821,0.3454,0.04642
562,NsiI.TP643179,0.2981,3.634
563,NsiI.TP643527,0.1976,0.3531
564,NsiI.TP644167,0.1004,4.452
565,NsiI.TP644424,0.3019,7.105
566,NsiI.TP644722,0.1562,0.07346
567,NsiI.TP64589,0.4768,0.5316
568,NsiI.TP646295,0.4267,3.531
569,NsiI.TP646964,0.09379,6.834
570,NsiI.TP65170,0.2088,1.635
571,NsiI.TP652320,0.1062,1.716
572,NsiI.TP652578,0.1509,10.58
573,NsiI.TP652621,0.0776,0.0024
574,NsiI.TP656422,0.1198,0.09658
575,NsiI.TP659581,0.1888,0.8774
576,NsiI.TP660927,0.4757,2.267
577,NsiI.TP662609,0.3687,0.05315
578,NsiI.TP663012,0.3113,0.0237
579,NsiI.TP66747,0.0431,3.00E-04
580,NsiI.TP668170,0.211,1.173
581,NsiI.TP668488,0.154,0.02185
582,NsiI.TP668625,0.08171,13.81
583,NsiI.TP670301,0.4787,0.09117
584,NsiI.TP670883,0.3758,0.7849
585,NsiI.TP671476,0.303,9.116
586,NsiI.TP671673,0.4783,0.01438
587,NsiI.TP671726,0.435,0.5071
588,NsiI.TP672765,0.4968,0.123
589,NsiI.TP674451,0.09548,1.316
590,NsiI.TP674601,0.2423,0.7939
591,NsiI.TP675510,0.06013,0.234
592,NsiI.TP675623,0.159,2.685
593,NsiI.TP676052,0.4095,11.38
594,NsiI.TP67777,0.3274,0.4053
595,NsiI.TP678341,0.2614,0.1135
596,NsiI.TP678859,0.4212,8.149
597,NsiI.TP680522,0.2431,2.714
598,NsiI.TP682876,0.4647,0.1831
599,NsiI.TP684422,0.2419,0.8943
600,NsiI.TP685628,0.4175,0.2693
601,NsiI.TP685658,0.0345,2.63E-07
602,NsiI.TP689875,0.4485,11.77
603,NsiI.TP690528,0.1148,0.02446
604,NsiI.TP690773,0.06635,4.401
605,NsiI.TP691582,0.2213,0.07794
606,NsiI.TP692508,0.1525,0.1284
607,NsiI.TP693683,0.0216,1.45E-06
608,NsiI.TP694884,0.1761,0.05741
609,NsiI.TP694893,0.09483,1.367
610,NsiI.TP695304,0.3517,0.7251
611,NsiI.TP701971,0.1262,0.5372
612,NsiI.TP702311,0.1869,5.355
613,NsiI.TP705623,0.07005,8.985
614,NsiI.TP705689,0.1034,3.6
615,NsiI.TP706701,0.4496,0.67
616,NsiI.TP712947,0.223,0.09689
617,NsiI.TP713895,0.2433,9.15
618,NsiI.TP716754,0.1988,0.9759
619,NsiI.TP718149,0.3478,0.2683
620,NsiI.TP718915,0.1869,3.044
621,NsiI.TP719628,0.07331,0.04007
622,NsiI.TP722362,0.2465,2.008
623,NsiI.TP723677,0.3296,0.839
624,NsiI.TP727404,0.0991,0.1997
625,NsiI.TP728788,0.1304,4.187
626,NsiI.TP728861,0.06217,0.2684
627,NsiI.TP73031,0.3789,0.01843
628,NsiI.TP731097,0.4471,2.04
629,NsiI.TP731536,0.06871,0.05868
630,NsiI.TP735839,0.1765,0.4634
631,NsiI.TP736628,0.1275,0.0538
632,NsiI.TP736796,0.3289,0.6676
633,NsiI.TP737957,0.1165,0.1358
634,NsiI.TP738105,0.1843,0.02851
635,NsiI.TP739117,0.2453,0.02088
636,NsiI.TP741392,0.4049,1.337
637,NsiI.TP741553,0.07206,0.1803
638,NsiI.TP742073,0.08323,4.903
639,NsiI.TP742900,0.1464,0.3815
640,NsiI.TP744537,0.09804,1.901
641,NsiI.TP744690,0.1273,1.541
642,NsiI.TP745811,0.3105,8.013
643,NsiI.TP746193,0.3988,10.71
644,NsiI.TP74711,0.3535,1.292
645,NsiI.TP748083,0.2301,5.524
646,NsiI.TP749172,0.2503,3.2
647,NsiI.TP749312,0.1171,6.838
648,NsiI.TP750468,0.0733,0.7665
649,NsiI.TP750756,0.3632,1.881
650,NsiI.TP752426,0.07081,0.128
651,NsiI.TP753743,0.07795,1.456
652,NsiI.TP755117,0.2223,0.3838
