,SNP,Chromosome,Position,P.value,MAF,Ind.SNP,PS,Software,Method,Trait.name,PVE,P.value.1
1018,PstI.TP133136,5,65324990,2.68E-07,0.194,F116+36088im,PS_Y,mrMLMM,pLARmEB,GHW_1,3.5661,3.00E-07
1019,PstI.TP1282314,9,15059279,1.62E-07,0.1595,F116+36088im,PS_Y,mrMLMM,pLARmEB,GHW_1,8.7486,2.00E-07
1020,PstI.TP607810,11,4293,8.44E-05,0.1422,F116+36088im,PS_Y,mrMLMM,pLARmEB,GHW_1,3.2592,8.00E-05
1021,NsiI.TP493263,11,15110,6.02E-07,0.1767,F116+36088im,PS_Y,mrMLMM,pLARmEB,GHW_1,7.0151,6.00E-07
1022,NsiI.TP767179,11,18585,4.87E-07,0.2328,F116+36088im,PS_Y,mrMLMM,pLARmEB,GHW_1,11.5103,5.00E-07
1023,PstI.TP133136,5,65324990,0.000129449,0.194,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GHW_1,2.7341,1.00E-04
1024,PstI.TP1282314,9,15059279,6.17E-07,0.1595,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GHW_1,8.6635,6.00E-07
1025,PstI.TP125419,10,50424324,1.42E-05,0.2241,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GHW_1,2.0389,1.00E-05
1026,PstI.TP1177996,11,8302,1.23E-05,0.1552,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GHW_1,2.1504,1.00E-05
1027,NsiI.TP156555,11,10854,4.36E-07,0.2802,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GHW_1,5.8745,4.00E-07
1028,NsiI.TP767179,11,18585,1.11E-08,0.2328,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GHW_1,12.1678,1.00E-08
1029,PstI.TP277421,1,17621133,3.51E-05,0.2456,F116+36088im,PS_Y,mrMLMM,mrMLM,GFW_1,16.295,4.00E-05
1030,PstI.TP133136,5,65324990,5.19E-09,0.193,F116+36088im,PS_Y,mrMLMM,mrMLM,GFW_1,11.0401,5.00E-09
1031,PstI.TP852912,6,60106545,0.000115107,0.136,F116+36088im,PS_Y,mrMLMM,mrMLM,GFW_1,25.4855,1.00E-04
1032,PstI.TP661215,3,54129611,0.000184544,0.2198,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GFW_1,2.9186,2.00E-04
1033,NsiI.TP469438,6,52124718,4.93E-05,0.056,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GFW_1,1.4356,5.00E-05
1034,PstI.TP1282314,9,15059279,8.92E-07,0.1595,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GFW_1,5.1831,9.00E-07
1035,PstI.TP125419,10,50424324,3.14E-09,0.2241,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GFW_1,3.1102,3.00E-09
1036,PstI.TP219629,11,1793,3.15E-07,0.125,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GFW_1,2.0718,3.00E-07
1037,PstI.TP1020545,11,7078,4.08E-06,0.3405,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GFW_1,6.5346,4.00E-06
1038,NsiI.TP276353,11,12193,2.19E-05,0.2026,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GFW_1,1.2439,2.00E-05
1039,NsiI.TP767179,11,18585,9.49E-07,0.2328,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GFW_1,13.4278,9.00E-07
1040,PstI.TP1280528,1,5674758,0.000142102,0.1638,F116+36088im,PS_Y,mrMLMM,pLARmEB,GFW_1,1.9837,1.00E-04
1041,PstI.TP133136,5,65324990,2.05E-07,0.194,F116+36088im,PS_Y,mrMLMM,pLARmEB,GFW_1,2.3639,2.00E-07
1042,PstI.TP874146,11,6098,2.91E-05,0.056,F116+36088im,PS_Y,mrMLMM,pLARmEB,GFW_1,11.3979,3.00E-05
1043,NsiI.TP767179,11,18585,2.91E-05,0.2328,F116+36088im,PS_Y,mrMLMM,pLARmEB,GFW_1,8.4139,3.00E-05
1044,NsiI.TP30868,1,51136397,4.76E-05,0.0991,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GFW_1,1.6535,5.00E-05
1045,PstI.TP133136,5,65324990,9.25E-07,0.194,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GFW_1,4.2238,9.00E-07
1046,PstI.TP125419,10,50424324,3.79E-05,0.2241,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GFW_1,1.6053,4.00E-05
1047,NsiI.TP495572,11,15165,7.20E-05,0.2328,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GFW_1,5.7263,7.00E-05
1048,NsiI.TP524956,11,15612,7.83E-07,0.2974,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GFW_1,5.1618,8.00E-07
1049,NsiI.TP767179,11,18585,0.000115931,0.2328,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GFW_1,4.6963,1.00E-04
1050,NsiI.TP30868,1,51136397,0.000140767,0.1009,F116+36088im,PS_Y,mrMLMM,mrMLM,GHW_50,8.286,1.00E-04
1051,NsiI.TP766568,1,13943502,3.97E-05,0.4693,F116+36088im,PS_Y,mrMLMM,mrMLM,GHW_50,17.7745,4.00E-05
1052,PstI.TP133136,5,65324990,1.38E-08,0.193,F116+36088im,PS_Y,mrMLMM,mrMLM,GHW_50,7.2058,1.00E-08
1053,PstI.TP572438,3,71178778,0.00013858,0.125,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GHW_50,2.2748,1.00E-04
1054,PstI.TP133136,5,65324990,3.39E-06,0.194,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GHW_50,4.9655,3.00E-06
1055,NsiI.TP614958,6,45639721,0.000146589,0.0905,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GHW_50,1.6566,1.00E-04
1056,PstI.TP852912,6,60106545,6.97E-07,0.1336,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GHW_50,15.323,7.00E-07
1057,PstI.TP513949,3,61369495,0.000103395,0.3448,F116+36088im,PS_Y,mrMLMM,pLARmEB,GHW_50,6.5243,1.00E-04
1058,PstI.TP133136,5,65324990,2.77E-05,0.194,F116+36088im,PS_Y,mrMLMM,pLARmEB,GHW_50,2.7648,3.00E-05
1059,NsiI.TP495572,11,15165,5.21E-07,0.2328,F116+36088im,PS_Y,mrMLMM,pLARmEB,GHW_50,6.6606,5.00E-07
1060,NsiI.TP441453,3,57267022,4.41E-05,0.1767,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GHW_50,5.2951,4.00E-05
1061,NsiI.TP388861,4,53760575,1.06E-06,0.194,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GHW_50,9.8729,1.00E-06
1062,PstI.TP133136,5,65324990,3.19E-11,0.194,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GHW_50,8.2372,3.00E-11
1063,PstI.TP532426,7,64966356,3.23E-08,0.4655,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GHW_50,7.9992,3.00E-08
1064,PstI.TP1282314,9,15059279,5.00E-05,0.1595,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GHW_50,4.4554,5.00E-05
1065,PstI.TP187918,11,1532,4.83E-05,0.25,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GHW_50,4.9782,5.00E-05
1066,NsiI.TP495572,11,15165,2.50E-06,0.2328,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GHW_50,6.4617,3.00E-06
1067,PstI.TP277421,1,17621133,5.04E-05,0.2456,F116+36088im,PS_Y,mrMLMM,mrMLM,GFW_50,6.4466,5.00E-05
1068,NsiI.TP772099,3,52480890,4.93E-06,0.0921,F116+36088im,PS_Y,mrMLMM,mrMLM,GFW_50,13.7893,5.00E-06
1069,PstI.TP242436,4,2670410,6.87E-06,0.3026,F116+36088im,PS_Y,mrMLMM,mrMLM,GFW_50,5.3832,7.00E-06
1070,PstI.TP133136,5,65324990,8.09E-09,0.193,F116+36088im,PS_Y,mrMLMM,mrMLM,GFW_50,7.394,8.00E-09
1071,PstI.TP532426,7,64966356,9.35E-06,0.4561,F116+36088im,PS_Y,mrMLMM,mrMLM,GFW_50,6.2835,9.00E-06
1072,PstI.TP1107958,9,50254652,3.45E-08,0.0175,F116+36088im,PS_Y,mrMLMM,mrMLM,GFW_50,25.6353,3.00E-08
1073,NsiI.TP496851,3,61267172,2.19E-06,0.1164,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GFW_50,3.7518,2.00E-06
1074,PstI.TP133136,5,65324990,1.34E-08,0.194,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GFW_50,6.2602,1.00E-08
1075,PstI.TP115244,11,953,6.22E-08,0.4397,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GFW_50,9.774,6.00E-08
1076,PstI.TP187918,11,1532,3.30E-05,0.25,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GFW_50,3.903,3.00E-05
1077,PstI.TP325669,4,67124681,5.91E-08,0.3233,F116+36088im,PS_Y,mrMLMM,pLARmEB,GFW_50,7.8459,6.00E-08
1078,PstI.TP133136,5,65324990,6.14E-06,0.194,F116+36088im,PS_Y,mrMLMM,pLARmEB,GFW_50,4.106,6.00E-06
1079,PstI.TP187918,11,1532,0.000169122,0.25,F116+36088im,PS_Y,mrMLMM,pLARmEB,GFW_50,5.5536,2.00E-04
1080,NsiI.TP495572,11,15165,1.36E-07,0.2328,F116+36088im,PS_Y,mrMLMM,pLARmEB,GFW_50,12.2752,1.00E-07
1081,NsiI.TP30868,1,51136397,4.67E-05,0.0991,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GFW_50,3.1077,5.00E-05
1082,PstI.TP8376,4,59384691,9.22E-05,0.2026,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GFW_50,14.7268,9.00E-05
1083,PstI.TP133136,5,65324990,2.58E-05,0.194,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GFW_50,4.6594,3.00E-05
1084,PstI.TP125419,10,50424324,2.95E-05,0.2241,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GFW_50,1.9671,3.00E-05
1085,PstI.TP693499,11,4804,3.26E-05,0.0776,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,GFW_50,1.9499,3.00E-05
1086,NsiI.TP30868,1,51136397,4.34E-08,0.1009,F116+36088im,PS_Y,mrMLMM,mrMLM,HM_1,10.1468,4.00E-08
1087,NsiI.TP766568,1,13943502,2.76E-06,0.4693,F116+36088im,PS_Y,mrMLMM,mrMLM,HM_1,15.177,3.00E-06
1088,NsiI.TP388861,4,53760575,1.27E-05,0.1974,F116+36088im,PS_Y,mrMLMM,mrMLM,HM_1,10.4903,1.00E-05
1089,PstI.TP133136,5,65324990,8.73E-08,0.193,F116+36088im,PS_Y,mrMLMM,mrMLM,HM_1,6.589,9.00E-08
1090,PstI.TP133136,5,65324990,7.22E-06,0.194,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,HM_1,4.6794,7.00E-06
1091,PstI.TP874146,11,6098,0.000180593,0.056,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,HM_1,2.1845,2.00E-04
1092,NsiI.TP406542,11,13590,4.48E-07,0.2716,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,HM_1,5.8925,4.00E-07
1093,NsiI.TP767179,11,18585,1.27E-05,0.2328,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,HM_1,10.3219,1.00E-05
1094,PstI.TP242436,4,2670410,2.36E-06,0.306,F116+36088im,PS_Y,mrMLMM,pLARmEB,HM_1,2.92,2.00E-06
1095,PstI.TP874146,11,6098,3.20E-05,0.056,F116+36088im,PS_Y,mrMLMM,pLARmEB,HM_1,8.1581,3.00E-05
1096,PstI.TP1020545,11,7078,0.000144644,0.3405,F116+36088im,PS_Y,mrMLMM,pLARmEB,HM_1,2.8117,1.00E-04
1097,NsiI.TP495572,11,15165,1.73E-05,0.2328,F116+36088im,PS_Y,mrMLMM,pLARmEB,HM_1,4.1425,2.00E-05
1098,NsiI.TP767179,11,18585,1.02E-06,0.2328,F116+36088im,PS_Y,mrMLMM,pLARmEB,HM_1,8.7994,1.00E-06
1099,PstI.TP661215,3,54129611,6.90E-06,0.2198,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HM_1,9.5794,7.00E-06
1100,PstI.TP133136,5,65324990,0.000109018,0.194,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HM_1,1.7906,1.00E-04
1101,PstI.TP1282314,9,15059279,2.91E-05,0.1595,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HM_1,4.0294,3.00E-05
1102,PstI.TP125419,10,50424324,6.75E-07,0.2241,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HM_1,2.8659,7.00E-07
1103,PstI.TP219629,11,1793,2.76E-05,0.125,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HM_1,2.3236,3.00E-05
1104,PstI.TP1020545,11,7078,2.73E-10,0.3405,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HM_1,9.1081,3.00E-10
1105,NsiI.TP156555,11,10854,6.98E-07,0.2802,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HM_1,4.8717,7.00E-07
1106,NsiI.TP767179,11,18585,8.01E-11,0.2328,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HM_1,16.5679,8.00E-11
1107,NsiI.TP766568,1,13943502,2.68E-05,0.4693,F116+36088im,PS_Y,mrMLMM,mrMLM,FM_1,12.7668,3.00E-05
1108,PstI.TP208292,2,66325675,1.02E-05,0.307,F116+36088im,PS_Y,mrMLMM,mrMLM,FM_1,19.3085,1.00E-05
1109,NsiI.TP772099,3,52480890,1.74E-06,0.0921,F116+36088im,PS_Y,mrMLMM,mrMLM,FM_1,21.0667,2.00E-06
1110,PstI.TP133136,5,65324990,1.59E-08,0.193,F116+36088im,PS_Y,mrMLMM,mrMLM,FM_1,6.416,2.00E-08
1111,PstI.TP794382,6,14220994,2.51E-05,0.0175,F116+36088im,PS_Y,mrMLMM,mrMLM,FM_1,8.79,3.00E-05
1112,PstI.TP532426,7,64966356,5.44E-06,0.4561,F116+36088im,PS_Y,mrMLMM,mrMLM,FM_1,5.8593,5.00E-06
1113,PstI.TP115244,11,953,5.96E-09,0.4397,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,FM_1,7.1179,6.00E-09
1114,PstI.TP187918,11,1532,3.51E-09,0.25,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,FM_1,9.8101,4.00E-09
1115,PstI.TP714290,11,4942,5.02E-05,0.2328,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,FM_1,6.7673,5.00E-05
1116,PstI.TP1020545,11,7078,1.55E-06,0.3405,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,FM_1,7.4696,2.00E-06
1117,NsiI.TP652578,11,17171,1.02E-06,0.1509,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,FM_1,9.3567,1.00E-06
1118,NsiI.TP767179,11,18585,5.16E-10,0.2328,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,FM_1,24.2184,5.00E-10
1119,PstI.TP242436,4,2670410,1.34E-06,0.306,F116+36088im,PS_Y,mrMLMM,pLARmEB,FM_1,2.0897,1.00E-06
1120,PstI.TP187918,11,1532,6.52E-06,0.25,F116+36088im,PS_Y,mrMLMM,pLARmEB,FM_1,2.7234,7.00E-06
1121,PstI.TP714290,11,4942,8.41E-05,0.2328,F116+36088im,PS_Y,mrMLMM,pLARmEB,FM_1,2.9595,8.00E-05
1122,PstI.TP1020545,11,7078,1.26E-07,0.3405,F116+36088im,PS_Y,mrMLMM,pLARmEB,FM_1,3.9501,1.00E-07
1123,NsiI.TP495572,11,15165,6.12E-06,0.2328,F116+36088im,PS_Y,mrMLMM,pLARmEB,FM_1,4.1218,6.00E-06
1124,NsiI.TP767179,11,18585,4.42E-08,0.2328,F116+36088im,PS_Y,mrMLMM,pLARmEB,FM_1,9.4056,4.00E-08
1125,PstI.TP242436,4,2670410,6.54E-06,0.306,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,FM_1,2.6266,7.00E-06
1126,PstI.TP133136,5,65324990,1.65E-05,0.194,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,FM_1,1.9005,2.00E-05
1127,NsiI.TP823356,6,49820945,0.000180926,0.3103,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,FM_1,1.9319,2.00E-04
1128,PstI.TP874146,11,6098,9.33E-06,0.056,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,FM_1,7.5301,9.00E-06
1129,PstI.TP1177996,11,8302,6.99E-07,0.1552,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,FM_1,1.9846,7.00E-07
1130,NsiI.TP156555,11,10854,3.83E-06,0.2802,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,FM_1,3.8777,4.00E-06
1131,NsiI.TP652578,11,17171,1.31E-05,0.1509,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,FM_1,4.199,1.00E-05
1132,NsiI.TP767179,11,18585,1.30E-07,0.2328,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,FM_1,12.7968,1.00E-07
1133,NsiI.TP766568,1,13943502,0.00012738,0.4693,F116+36088im,PS_Y,mrMLMM,mrMLM,HM_50,10.8304,1.00E-04
1134,PstI.TP208292,2,66325675,3.44E-05,0.307,F116+36088im,PS_Y,mrMLMM,mrMLM,HM_50,17.3121,3.00E-05
1135,NsiI.TP772099,3,52480890,0.000120254,0.0921,F116+36088im,PS_Y,mrMLMM,mrMLM,HM_50,14.2041,1.00E-04
1136,PstI.TP513949,3,61369495,0.000123509,0.3421,F116+36088im,PS_Y,mrMLMM,mrMLM,HM_50,8.1855,1.00E-04
1137,PstI.TP133136,5,65324990,1.17E-07,0.193,F116+36088im,PS_Y,mrMLMM,mrMLM,HM_50,5.6831,1.00E-07
1138,PstI.TP532426,7,64966356,7.51E-07,0.4561,F116+36088im,PS_Y,mrMLMM,mrMLM,HM_50,7.3892,8.00E-07
1139,PstI.TP876839,4,6887064,6.27E-08,0.0388,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,HM_50,13.3317,6.00E-08
1140,PstI.TP705829,6,58061911,0.000187845,0.0991,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,HM_50,0.6287,2.00E-04
1141,NsiI.TP329755,9,55493512,1.27E-05,0.25,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,HM_50,5.622,1.00E-05
1142,PstI.TP187918,11,1532,9.43E-05,0.25,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,HM_50,2.7432,9.00E-05
1143,NsiI.TP245890,11,11906,4.77E-05,0.3233,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,HM_50,0.6491,5.00E-05
1144,NsiI.TP495572,11,15165,2.57E-05,0.2328,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,HM_50,12.2907,3.00E-05
1145,PstI.TP133136,5,65324990,0.000199664,0.194,F116+36088im,PS_Y,mrMLMM,pLARmEB,HM_50,3.2772,2.00E-04
1146,PstI.TP1282314,9,15059279,6.88E-05,0.1595,F116+36088im,PS_Y,mrMLMM,pLARmEB,HM_50,6.3008,7.00E-05
1147,PstI.TP1020545,11,7078,0.000176279,0.3405,F116+36088im,PS_Y,mrMLMM,pLARmEB,HM_50,3.4648,2.00E-04
1148,NsiI.TP495572,11,15165,0.000181886,0.2328,F116+36088im,PS_Y,mrMLMM,pLARmEB,HM_50,3.2157,2.00E-04
1149,NsiI.TP30868,1,51136397,2.08E-09,0.0991,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HM_50,7.4546,2.00E-09
1150,NsiI.TP772099,3,52480890,2.68E-06,0.0905,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HM_50,17.9322,3.00E-06
1151,NsiI.TP150749,3,69413427,4.31E-07,0.1293,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HM_50,0.8667,4.00E-07
1152,PstI.TP133136,5,65324990,5.32E-06,0.194,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HM_50,3.3581,5.00E-06
1153,PstI.TP693499,11,4804,2.51E-05,0.0776,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HM_50,3.5591,3.00E-05
1154,PstI.TP208292,2,66325675,2.92E-05,0.307,F116+36088im,PS_Y,mrMLMM,mrMLM,FM_50,9.3658,3.00E-05
1155,PstI.TP133136,5,65324990,5.55E-09,0.193,F116+36088im,PS_Y,mrMLMM,mrMLM,FM_50,9.2736,6.00E-09
1156,PstI.TP532426,7,64966356,2.64E-05,0.4561,F116+36088im,PS_Y,mrMLMM,mrMLM,FM_50,7.1117,3.00E-05
1157,NsiI.TP150749,3,69413427,1.81E-06,0.1293,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,FM_50,0.916,2.00E-06
