"","SNP","Gene","chr","start","end","width","strand"
"GFSSContig19146_6971","GFSSContig19146_697","Sobic.002G333800.2","Chr02",70216667,70220765,4099,"-"
"GFSSContig19146_6972","GFSSContig19146_697","Sobic.002G333800.1","Chr02",70217098,70222538,5441,"-"
"GFSSContig19146_6973","GFSSContig19146_697","Sobic.002G333900.1","Chr02",70227888,70231133,3246,"-"
"GFSSContig19146_6974","GFSSContig19146_697","Sobic.002G334000.1","Chr02",70232865,70236367,3503,"-"
"GFSSContig19146_6975","GFSSContig19146_697","Sobic.002G334100.1","Chr02",70238027,70241354,3328,"-"
"GFSSContig19333_27341","GFSSContig19333_2734","Sobic.004G038900.1","Chr04",3216012,3219779,3768,"+"
"GFSSContig19333_27342","GFSSContig19333_2734","Sobic.004G039000.2","Chr04",3221824,3224808,2985,"+"
"GFSSContig19333_27343","GFSSContig19333_2734","Sobic.004G039200.1","Chr04",3227419,3233511,6093,"+"
"GFSSContig19333_27344","GFSSContig19333_2734","Sobic.004G039200.2","Chr04",3227419,3233511,6093,"+"
"GFSSContig19333_27345","GFSSContig19333_2734","Sobic.004G039300.1","Chr04",3234423,3238897,4475,"+"
"GFSSContig19333_27346","GFSSContig19333_2734","Sobic.004G039300.2","Chr04",3234722,3238905,4184,"+"
"GFSSContig19333_27347","GFSSContig19333_2734","Sobic.004G039100.2","Chr04",3225405,3227478,2074,"-"
"GFSSContig3389_1481","GFSSContig3389_148","Sobic.001G092200.1","Chr01",7120670,7129472,8803,"+"
"GFSSContig3389_1482","GFSSContig3389_148","Sobic.001G092200.2","Chr01",7120670,7129472,8803,"+"
"GFSSContig3389_1483","GFSSContig3389_148","Sobic.001G092200.3","Chr01",7120833,7129459,8627,"+"
"GFSSContig3389_1484","GFSSContig3389_148","Sobic.001G092200.4","Chr01",7120833,7129459,8627,"+"
"GFSSContig3389_1485","GFSSContig3389_148","Sobic.001G092250.1","Chr01",7129663,7131337,1675,"-"
"GFSSContig3389_1486","GFSSContig3389_148","Sobic.001G092300.1","Chr01",7131639,7134325,2687,"-"
"GFSSContig3389_1487","GFSSContig3389_148","Sobic.001G092400.1","Chr01",7134385,7137059,2675,"-"
"GFSSContig3389_1488","GFSSContig3389_148","Sobic.001G092500.1","Chr01",7139764,7143580,3817,"-"
"GFSSContig4510_767","GFSSContig4510_767","Sobic.010G149500.1","Chr10",43024057,43031942,7886,"-"
"GFSSContig4757_2561","GFSSContig4757_256","Sobic.007G219200.3","Chr07",64749936,64753450,3515,"+"
"GFSSContig4757_2562","GFSSContig4757_256","Sobic.007G219400.1","Chr07",64757195,64758821,1627,"+"
"GFSSContig4757_2563","GFSSContig4757_256","Sobic.007G219300.2","Chr07",64755435,64756352,918,"-"
"GFSSContig4757_2564","GFSSContig4757_256","Sobic.007G219500.1","Chr07",64760094,64761344,1251,"-"
"GFSSContig4787_6011","GFSSContig4787_601","Sobic.001G221000.1","Chr01",20794473,20796516,2044,"-"
"GFSSContig4787_6012","GFSSContig4787_601","Sobic.001G221100.2","Chr01",20798755,20801624,2870,"-"
"GFSSContig4787_6013","GFSSContig4787_601","Sobic.001G221100.1","Chr01",20798880,20799966,1087,"-"
"NsiI.TP10051","NsiI.TP1005","Sobic.008G148500.1","Chr08",58184263,58187827,3565,"+"
"NsiI.TP10052","NsiI.TP1005","Sobic.008G148600.2","Chr08",58193309,58197051,3743,"+"
"NsiI.TP10053","NsiI.TP1005","Sobic.008G148700.1","Chr08",58200637,58210149,9513,"+"
"NsiI.TP101439","NsiI.TP101439","Sobic.003G185700.1","Chr03",50048644,50050228,1585,"-"
"NsiI.TP1027051","NsiI.TP102705","Sobic.004G116050.1","Chr04",12097090,12098839,1750,"+"
"NsiI.TP1027052","NsiI.TP102705","Sobic.004G116000.2","Chr04",12088737,12094061,5325,"-"
"NsiI.TP1027053","NsiI.TP102705","Sobic.004G116100.1","Chr04",12101470,12105836,4367,"-"
"NsiI.TP1027054","NsiI.TP102705","Sobic.004G116200.1","Chr04",12113077,12117628,4552,"-"
"NsiI.TP103391","NsiI.TP10339","Sobic.004G302400.3","Chr04",64103336,64112306,8971,"+"
"NsiI.TP103392","NsiI.TP10339","Sobic.004G302400.4","Chr04",64103336,64112306,8971,"+"
"NsiI.TP103393","NsiI.TP10339","Sobic.004G302400.1","Chr04",64104137,64112306,8170,"+"
"NsiI.TP103394","NsiI.TP10339","Sobic.004G302550.1","Chr04",64109435,64110582,1148,"+"
"NsiI.TP103395","NsiI.TP10339","Sobic.004G302600.1","Chr04",64113858,64125536,11679,"+"
"NsiI.TP103396","NsiI.TP10339","Sobic.004G302500.1","Chr04",64107892,64115724,7833,"-"
"NsiI.TP104065","NsiI.TP104065","Sobic.001G155400.1","Chr01",12586392,12592117,5726,"+"
"NsiI.TP1088221","NsiI.TP108822","Sobic.006G028300.1","Chr06",5876021,5878488,2468,"+"
"NsiI.TP1088222","NsiI.TP108822","Sobic.006G028400.1","Chr06",5890433,5898852,8420,"+"
"NsiI.TP1113921","NsiI.TP111392","Sobic.002G344100.1","Chr02",71037853,71038846,994,"+"
"NsiI.TP1113922","NsiI.TP111392","Sobic.002G344100.2","Chr02",71037895,71038826,932,"+"
"NsiI.TP1113923","NsiI.TP111392","Sobic.002G344000.1","Chr02",71031372,71036088,4717,"-"
"NsiI.TP1113924","NsiI.TP111392","Sobic.002G344000.2","Chr02",71031373,71036088,4716,"-"
"NsiI.TP115800","NsiI.TP115800","Sobic.002G135800.1","Chr02",20500061,20501405,1345,"+"
"NsiI.TP117631","NsiI.TP11763","Sobic.002G175000.1","Chr02",55373580,55376096,2517,"+"
"NsiI.TP117632","NsiI.TP11763","Sobic.002G175050.1","Chr02",55377263,55378966,1704,"+"
"NsiI.TP1177581","NsiI.TP117758","Sobic.001G372800.1","Chr01",66079510,66083684,4175,"+"
"NsiI.TP1177582","NsiI.TP117758","Sobic.001G372800.2","Chr01",66079524,66083684,4161,"+"
"NsiI.TP1177583","NsiI.TP117758","Sobic.001G372900.2","Chr01",66086712,66089491,2780,"+"
"NsiI.TP1177584","NsiI.TP117758","Sobic.001G372900.1","Chr01",66086712,66091655,4944,"+"
"NsiI.TP1177585","NsiI.TP117758","Sobic.001G372900.3","Chr01",66086712,66091655,4944,"+"
"NsiI.TP1177586","NsiI.TP117758","Sobic.001G373000.1","Chr01",66094494,66102933,8440,"+"
"NsiI.TP1195951","NsiI.TP119595","Sobic.001G327800.1","Chr01",61445441,61462274,16834,"+"
"NsiI.TP1195952","NsiI.TP119595","Sobic.001G327800.2","Chr01",61446714,61462274,15561,"+"
"NsiI.TP1195953","NsiI.TP119595","Sobic.001G327800.3","Chr01",61446714,61462274,15561,"+"
"NsiI.TP1209011","NsiI.TP120901","Sobic.004G341200.1","Chr04",67255632,67262643,7012,"+"
"NsiI.TP1209012","NsiI.TP120901","Sobic.004G341200.2","Chr04",67255811,67262643,6833,"+"
"NsiI.TP1209013","NsiI.TP120901","Sobic.004G341300.2","Chr04",67266760,67272191,5432,"-"
"NsiI.TP1209014","NsiI.TP120901","Sobic.004G341300.3","Chr04",67266760,67272191,5432,"-"
"NsiI.TP1234091","NsiI.TP123409","Sobic.010G096300.1","Chr10",8684708,8687447,2740,"+"
"NsiI.TP1234092","NsiI.TP123409","Sobic.010G096400.1","Chr10",8695911,8697608,1698,"+"
"NsiI.TP1237781","NsiI.TP123778","Sobic.001G317400.1","Chr01",60576771,60577887,1117,"+"
"NsiI.TP1237782","NsiI.TP123778","Sobic.001G317500.1","Chr01",60578689,60579296,608,"+"
"NsiI.TP1237783","NsiI.TP123778","Sobic.001G317600.1","Chr01",60581424,60582916,1493,"-"
"NsiI.TP1237784","NsiI.TP123778","Sobic.001G317700.1","Chr01",60585270,60586660,1391,"-"
"NsiI.TP1237801","NsiI.TP123780","Sobic.003G223600.1","Chr03",55948052,55949562,1511,"+"
"NsiI.TP1237802","NsiI.TP123780","Sobic.003G223700.1","Chr03",55954881,55956885,2005,"-"
"NsiI.TP1254121","NsiI.TP125412","Sobic.009G198100.1","Chr09",54864552,54868259,3708,"+"
"NsiI.TP1254122","NsiI.TP125412","Sobic.009G198200.1","Chr09",54870163,54874953,4791,"+"
"NsiI.TP1254123","NsiI.TP125412","Sobic.009G198350.1","Chr09",54877778,54878905,1128,"+"
"NsiI.TP1254124","NsiI.TP125412","Sobic.009G198400.1","Chr09",54882294,54887433,5140,"+"
"NsiI.TP1254125","NsiI.TP125412","Sobic.009G198300.1","Chr09",54877354,54877770,417,"-"
"NsiI.TP125422","NsiI.TP125422","Sobic.007G098600.1","Chr07",20096865,20098414,1550,"+"
"NsiI.TP127048","NsiI.TP127048","Sobic.009G048100.1","Chr09",4573514,4577669,4156,"-"
"NsiI.TP1271031","NsiI.TP127103","Sobic.003G221500.1","Chr03",55720572,55729326,8755,"+"
"NsiI.TP1271032","NsiI.TP127103","Sobic.003G221700.1","Chr03",55735509,55738837,3329,"+"
"NsiI.TP1271033","NsiI.TP127103","Sobic.003G221700.2","Chr03",55735509,55738837,3329,"+"
"NsiI.TP1271034","NsiI.TP127103","Sobic.003G221700.3","Chr03",55735509,55738837,3329,"+"
"NsiI.TP1271035","NsiI.TP127103","Sobic.003G221600.1","Chr03",55730832,55734253,3422,"-"
"NsiI.TP1271036","NsiI.TP127103","Sobic.003G221650.1","Chr03",55732317,55733151,835,"-"
"NsiI.TP1271037","NsiI.TP127103","Sobic.003G221800.1","Chr03",55744905,55749617,4713,"-"
"NsiI.TP1279221","NsiI.TP127922","Sobic.004G196300.1","Chr04",54744260,54747982,3723,"+"
"NsiI.TP1279222","NsiI.TP127922","Sobic.004G196500.1","Chr04",54753647,54755468,1822,"+"
"NsiI.TP1279223","NsiI.TP127922","Sobic.004G196600.1","Chr04",54759263,54761089,1827,"+"
"NsiI.TP1279224","NsiI.TP127922","Sobic.004G196400.1","Chr04",54748401,54751792,3392,"-"
"NsiI.TP1286781","NsiI.TP128678","Sobic.003G375000.1","Chr03",68988981,68994567,5587,"+"
"NsiI.TP1286782","NsiI.TP128678","Sobic.003G375200.1","Chr03",68999883,69007574,7692,"+"
"NsiI.TP1286783","NsiI.TP128678","Sobic.003G375300.1","Chr03",69008000,69010834,2835,"+"
"NsiI.TP1286784","NsiI.TP128678","Sobic.003G375300.2","Chr03",69008000,69010834,2835,"+"
"NsiI.TP1286785","NsiI.TP128678","Sobic.003G375300.3","Chr03",69008292,69010834,2543,"+"
"NsiI.TP1286786","NsiI.TP128678","Sobic.003G375100.2","Chr03",68995396,68998157,2762,"-"
"NsiI.TP1294641","NsiI.TP129464","Sobic.006G073500.1","Chr06",43601531,43602602,1072,"+"
"NsiI.TP1294642","NsiI.TP129464","Sobic.006G073600.1","Chr06",43605765,43614234,8470,"+"
"NsiI.TP1294643","NsiI.TP129464","Sobic.006G073600.3","Chr06",43605765,43614234,8470,"+"
"NsiI.TP1294644","NsiI.TP129464","Sobic.006G073600.2","Chr06",43605765,43614299,8535,"+"
"NsiI.TP1294645","NsiI.TP129464","Sobic.006G073700.1","Chr06",43615597,43617633,2037,"+"
"NsiI.TP1390271","NsiI.TP139027","Sobic.003G301950.3","Chr03",63282876,63284394,1519,"+"
"NsiI.TP1390272","NsiI.TP139027","Sobic.003G301950.1","Chr03",63282876,63285504,2629,"+"
"NsiI.TP1390273","NsiI.TP139027","Sobic.003G301950.2","Chr03",63282876,63285504,2629,"+"
"NsiI.TP1390274","NsiI.TP139027","Sobic.003G302000.1","Chr03",63284245,63285111,867,"-"
"NsiI.TP146169","NsiI.TP146169","Sobic.007G090469.1","Chr07",14031444,14077281,45838,"+"
"NsiI.TP146180","NsiI.TP146180","Sobic.003G246900.1","Chr03",58564181,58565692,1512,"-"
"NsiI.TP1491541","NsiI.TP149154","Sobic.007G206500.3","Chr07",63627674,63631210,3537,"+"
"NsiI.TP1491542","NsiI.TP149154","Sobic.007G206600.1","Chr07",63631023,63633266,2244,"+"
"NsiI.TP1491543","NsiI.TP149154","Sobic.007G206550.1","Chr07",63631573,63632172,600,"-"
"NsiI.TP1491544","NsiI.TP149154","Sobic.007G206700.1","Chr07",63635388,63638111,2724,"-"
"NsiI.TP1491545","NsiI.TP149154","Sobic.007G206800.1","Chr07",63643468,63646666,3199,"-"
"NsiI.TP1507491","NsiI.TP150749","Sobic.003G380300.1","Chr03",69402871,69406131,3261,"-"
"NsiI.TP1507492","NsiI.TP150749","Sobic.003G380400.1","Chr03",69406132,69409477,3346,"-"
"NsiI.TP1507493","NsiI.TP150749","Sobic.003G380500.1","Chr03",69413763,69419637,5875,"-"
"NsiI.TP1507494","NsiI.TP150749","Sobic.003G380500.2","Chr03",69413763,69419637,5875,"-"
"NsiI.TP1510581","NsiI.TP151058","Sobic.009G170500.1","Chr09",52613311,52616367,3057,"+"
"NsiI.TP1510582","NsiI.TP151058","Sobic.009G170500.2","Chr09",52613311,52616367,3057,"+"
"NsiI.TP1510583","NsiI.TP151058","Sobic.009G170500.3","Chr09",52613311,52616367,3057,"+"
"NsiI.TP1510584","NsiI.TP151058","Sobic.009G170500.4","Chr09",52613311,52616367,3057,"+"
"NsiI.TP1510585","NsiI.TP151058","Sobic.009G170400.1","Chr09",52602885,52607592,4708,"-"
"NsiI.TP1520151","NsiI.TP152015","Sobic.010G202600.1","Chr10",54543809,54549879,6071,"-"
"NsiI.TP1520152","NsiI.TP152015","Sobic.010G202700.1","Chr10",54551925,54555535,3611,"-"
"NsiI.TP1520153","NsiI.TP152015","Sobic.010G202700.2","Chr10",54551925,54555535,3611,"-"
"NsiI.TP1520154","NsiI.TP152015","Sobic.010G202700.3","Chr10",54551925,54555535,3611,"-"
"NsiI.TP1520155","NsiI.TP152015","Sobic.010G202700.4","Chr10",54553063,54555535,2473,"-"
"NsiI.TP1520156","NsiI.TP152015","Sobic.010G202800.1","Chr10",54564143,54567693,3551,"-"
"NsiI.TP1526771","NsiI.TP152677","Sobic.003G006800.1","Chr03",601019,601727,709,"+"
"NsiI.TP1526772","NsiI.TP152677","Sobic.003G006833.1","Chr03",603565,609058,5494,"+"
"NsiI.TP1526773","NsiI.TP152677","Sobic.003G006866.1","Chr03",610285,610704,420,"+"
"NsiI.TP1543591","NsiI.TP154359","Sobic.001G345000.1","Chr01",63358489,63362310,3822,"+"
"NsiI.TP1543592","NsiI.TP154359","Sobic.001G345000.2","Chr01",63358489,63362310,3822,"+"
"NsiI.TP1543593","NsiI.TP154359","Sobic.001G345100.1","Chr01",63364256,63377321,13066,"+"
"NsiI.TP156051","NsiI.TP15605","Sobic.001G086000.1","Chr01",6659857,6663478,3622,"+"
"NsiI.TP156052","NsiI.TP15605","Sobic.001G085800.1","Chr01",6641373,6645421,4049,"-"
"NsiI.TP156053","NsiI.TP15605","Sobic.001G085800.2","Chr01",6641373,6645421,4049,"-"
"NsiI.TP156054","NsiI.TP15605","Sobic.001G085900.4","Chr01",6645542,6649935,4394,"-"
"NsiI.TP156055","NsiI.TP15605","Sobic.001G085900.3","Chr01",6646692,6649935,3244,"-"
"NsiI.TP1565601","NsiI.TP156560","Sobic.001G455800.1","Chr01",73174399,73181235,6837,"+"
"NsiI.TP1565602","NsiI.TP156560","Sobic.001G455600.7","Chr01",73156146,73161659,5514,"-"
"NsiI.TP1565603","NsiI.TP156560","Sobic.001G455600.8","Chr01",73156146,73161659,5514,"-"
"NsiI.TP1565604","NsiI.TP156560","Sobic.001G455600.1","Chr01",73156146,73161755,5610,"-"
"NsiI.TP1565605","NsiI.TP156560","Sobic.001G455600.4","Chr01",73156146,73161755,5610,"-"
"NsiI.TP1565606","NsiI.TP156560","Sobic.001G455600.5","Chr01",73156146,73161755,5610,"-"
"NsiI.TP1565607","NsiI.TP156560","Sobic.001G455600.6","Chr01",73156146,73161755,5610,"-"
"NsiI.TP1565608","NsiI.TP156560","Sobic.001G455700.1","Chr01",73164560,73170582,6023,"-"
"NsiI.TP1565609","NsiI.TP156560","Sobic.001G455700.2","Chr01",73164560,73170582,6023,"-"
"NsiI.TP1596951","NsiI.TP159695","Sobic.006G236700.2","Chr06",57815633,57820884,5252,"-"
"NsiI.TP1596952","NsiI.TP159695","Sobic.006G236700.3","Chr06",57815633,57820884,5252,"-"
"NsiI.TP1596953","NsiI.TP159695","Sobic.006G236700.1","Chr06",57815633,57822442,6810,"-"
"NsiI.TP1668381","NsiI.TP166838","Sobic.003G270500.1","Chr03",60723789,60728310,4522,"+"
"NsiI.TP1668382","NsiI.TP166838","Sobic.003G270600.1","Chr03",60727143,60735273,8131,"+"
"NsiI.TP1668383","NsiI.TP166838","Sobic.003G270800.1","Chr03",60744743,60746865,2123,"+"
"NsiI.TP1668384","NsiI.TP166838","Sobic.003G270650.1","Chr03",60736247,60736588,342,"-"
"NsiI.TP1668385","NsiI.TP166838","Sobic.003G270700.1","Chr03",60737734,60738969,1236,"-"
"NsiI.TP1673961","NsiI.TP167396","Sobic.002G398800.1","Chr02",75005173,75007668,2496,"+"
"NsiI.TP1673962","NsiI.TP167396","Sobic.002G398901.1","Chr02",75008050,75009887,1838,"+"
"NsiI.TP1673963","NsiI.TP167396","Sobic.002G399200.1","Chr02",75021684,75026647,4964,"+"
"NsiI.TP1673964","NsiI.TP167396","Sobic.002G399000.7","Chr02",75009560,75012832,3273,"-"
"NsiI.TP1673965","NsiI.TP167396","Sobic.002G399000.4","Chr02",75009560,75013616,4057,"-"
"NsiI.TP1673966","NsiI.TP167396","Sobic.002G399000.5","Chr02",75009560,75013625,4066,"-"
"NsiI.TP1673967","NsiI.TP167396","Sobic.002G399000.6","Chr02",75010243,75013616,3374,"-"
"NsiI.TP1673968","NsiI.TP167396","Sobic.002G399000.8","Chr02",75010243,75013616,3374,"-"
"NsiI.TP1673969","NsiI.TP167396","Sobic.002G399000.9","Chr02",75010243,75013616,3374,"-"
"NsiI.TP16739610","NsiI.TP167396","Sobic.002G399100.1","Chr02",75015809,75021567,5759,"-"
"NsiI.TP16739611","NsiI.TP167396","Sobic.002G399100.2","Chr02",75015809,75021567,5759,"-"
"NsiI.TP1693221","NsiI.TP169322","Sobic.005G231500.1","Chr05",71754663,71757168,2506,"-"
"NsiI.TP1693222","NsiI.TP169322","Sobic.005G231600.1","Chr05",71760176,71762262,2087,"-"
"NsiI.TP1699771","NsiI.TP169977","Sobic.001G320900.2","Chr01",60859755,60862432,2678,"-"
"NsiI.TP1699772","NsiI.TP169977","Sobic.001G320900.1","Chr01",60860230,60861939,1710,"-"
"NsiI.TP1713701","NsiI.TP171370","Sobic.001G226000.1","Chr01",21606961,21616792,9832,"+"
"NsiI.TP1713702","NsiI.TP171370","Sobic.001G226100.1","Chr01",21621902,21623726,1825,"+"
"NsiI.TP1713703","NsiI.TP171370","Sobic.001G226100.2","Chr01",21621902,21623726,1825,"+"
"NsiI.TP1713704","NsiI.TP171370","Sobic.001G226200.1","Chr01",21624064,21626513,2450,"-"
"NsiI.TP1713705","NsiI.TP171370","Sobic.001G226200.3","Chr01",21624064,21626536,2473,"-"
"NsiI.TP1713706","NsiI.TP171370","Sobic.001G226200.4","Chr01",21624064,21626545,2482,"-"
"NsiI.TP1713707","NsiI.TP171370","Sobic.001G226200.5","Chr01",21624064,21626548,2485,"-"
"NsiI.TP1713708","NsiI.TP171370","Sobic.001G226200.2","Chr01",21624064,21626551,2488,"-"
"NsiI.TP1713709","NsiI.TP171370","Sobic.001G226200.6","Chr01",21624064,21626551,2488,"-"
"NsiI.TP17176","NsiI.TP17176","Sobic.004G201100.1","Chr04",55261683,55264545,2863,"-"
"NsiI.TP1722121","NsiI.TP172212","Sobic.001G389300.1","Chr01",67599333,67603108,3776,"-"
"NsiI.TP1722122","NsiI.TP172212","Sobic.001G389400.1","Chr01",67607317,67610403,3087,"-"
"NsiI.TP1722123","NsiI.TP172212","Sobic.001G389500.1","Chr01",67611364,67614134,2771,"-"
"NsiI.TP1722124","NsiI.TP172212","Sobic.001G389500.2","Chr01",67611364,67614134,2771,"-"
"NsiI.TP1722125","NsiI.TP172212","Sobic.001G389500.3","Chr01",67611364,67614134,2771,"-"
"NsiI.TP1743701","NsiI.TP174370","Sobic.001G086500.1","Chr01",6699580,6708049,8470,"+"
"NsiI.TP1743702","NsiI.TP174370","Sobic.001G086600.1","Chr01",6708365,6712052,3688,"-"
"NsiI.TP1753361","NsiI.TP175336","Sobic.001G286000.1","Chr01",56029131,56030835,1705,"+"
"NsiI.TP1753362","NsiI.TP175336","Sobic.001G286050.1","Chr01",56041097,56043789,2693,"+"
"NsiI.TP1767301","NsiI.TP176730","Sobic.004G219900.1","Chr04",56987603,56989088,1486,"+"
"NsiI.TP1767302","NsiI.TP176730","Sobic.004G220101.1","Chr04",57007748,57009589,1842,"+"
"NsiI.TP1767303","NsiI.TP176730","Sobic.004G220000.1","Chr04",56994505,56999937,5433,"-"
"NsiI.TP1799411","NsiI.TP179941","Sobic.008G132800.1","Chr08",55943024,55947315,4292,"+"
"NsiI.TP1799412","NsiI.TP179941","Sobic.008G132900.1","Chr08",55948254,55956733,8480,"+"
"NsiI.TP1799413","NsiI.TP179941","Sobic.008G132900.2","Chr08",55948598,55956733,8136,"+"
"NsiI.TP1833341","NsiI.TP183334","Sobic.002G138400.1","Chr02",21521529,21522545,1017,"+"
"NsiI.TP1833342","NsiI.TP183334","Sobic.002G138500.1","Chr02",21522141,21524137,1997,"-"
"NsiI.TP1890441","NsiI.TP189044","Sobic.005G000100.1","Chr05",34802,38474,3673,"-"
"NsiI.TP1890442","NsiI.TP189044","Sobic.005G000200.2","Chr05",43120,45709,2590,"-"
"NsiI.TP1890443","NsiI.TP189044","Sobic.005G000200.1","Chr05",43120,45859,2740,"-"
"NsiI.TP1890444","NsiI.TP189044","Sobic.005G000200.3","Chr05",43120,45861,2742,"-"
"NsiI.TP1946191","NsiI.TP194619","Sobic.006G200800.1","Chr06",55218477,55222839,4363,"-"
"NsiI.TP1946192","NsiI.TP194619","Sobic.006G200901.1","Chr06",55225137,55228301,3165,"-"
"NsiI.TP1950451","NsiI.TP195045","Sobic.001G497500.1","Chr01",76747998,76749995,1998,"+"
"NsiI.TP1950452","NsiI.TP195045","Sobic.001G497700.1","Chr01",76754067,76755663,1597,"+"
"NsiI.TP1950453","NsiI.TP195045","Sobic.001G497750.1","Chr01",76756739,76757318,580,"+"
"NsiI.TP1950454","NsiI.TP195045","Sobic.001G497300.1","Chr01",76733239,76741594,8356,"-"
"NsiI.TP1950455","NsiI.TP195045","Sobic.001G497600.3","Chr01",76751831,76754019,2189,"-"
"NsiI.TP1950456","NsiI.TP195045","Sobic.001G497600.2","Chr01",76751878,76754019,2142,"-"
"NsiI.TP1950457","NsiI.TP195045","Sobic.001G497600.1","Chr01",76751891,76753868,1978,"-"
"NsiI.TP1951801","NsiI.TP195180","Sobic.001G158500.1","Chr01",12849913,12853876,3964,"+"
"NsiI.TP1951802","NsiI.TP195180","Sobic.001G158600.2","Chr01",12863118,12865224,2107,"+"
