"","X","SNP","Gene","Chromosome","Position","Grand.Total","PS","Ind.SNP","Heading_1","Heading_50","Flowering_1","Flowering_50","PCA","SUPER","FarmCPU","mrMLM.1","mrMLM.2","MAF","PVE","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"29",44,"GFSSContig19146_697","Sobic.002G333800",2,70229911,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.204,0.51,2,"Chr02",70216667,70220765,4099,"-",-13244,9146,37954955,"Sobic.002G333800","Sobic.002G333800.2","Sobic.002G333800.2.p","PF03552","PTHR13301,PTHR13301:SF47","","2.4.2.24","","GO:0030244,GO:0016760,GO:0016020","AT5G16910.1","ATCSLD2,CSLD2","cellulose-synthase like D2","LOC_Os07g36630.1",NA,"CSLF8 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
"30",46,"GFSSContig19146_697","Sobic.002G333900",2,70229911,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.204,0.51,1,"Chr02",70227888,70231133,3246,"-",-2023,-1222,37951150,"Sobic.002G333900","Sobic.002G333900.1","Sobic.002G333900.1.p","PF03552","PTHR13301,PTHR13301:SF38","","2.4.2.24","","GO:0030244,GO:0016760,GO:0016020","AT3G03050.1","ATCSLD3,CSLD3,KJK","cellulose synthase-like D3","LOC_Os07g36690.1",NA,"CSLF2 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
"31",47,"GFSSContig19146_697","Sobic.002G334000",2,70229911,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.204,0.51,1,"Chr02",70232865,70236367,3503,"-",2954,-6456,37951865,"Sobic.002G334000","Sobic.002G334000.1","Sobic.002G334000.1.p","PF03552","PTHR13301,PTHR13301:SF71","","2.4.2.24","","GO:0030244,GO:0016760,GO:0016020","AT1G02730.1","ATCSLD5,CSLD5,SOS6","cellulose synthase-like D5","LOC_Os07g36750.1",NA,"CSLF3 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
"32",48,"GFSSContig19146_697","Sobic.002G334100",2,70229911,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.204,0.51,1,"Chr02",70238027,70241354,3328,"-",8116,-11443,37950364,"Sobic.002G334100","Sobic.002G334100.1","Sobic.002G334100.1.p","PF03552","PTHR13301,PTHR13301:SF44","","2.4.2.24","","GO:0030244,GO:0016760,GO:0016020","AT1G02730.1","ATCSLD5,CSLD5,SOS6","cellulose synthase-like D5","LOC_Os07g36750.1",NA,"CSLF3 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
"38",56,"GFSSContig3389_148","Sobic.001G092200",1,7132238,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.09227,2.041,1,"Chr01",7120670,7129472,8803,"+",-11568,2766,37937658,"Sobic.001G092200","Sobic.001G092200.1","Sobic.001G092200.1.p","PF00271,PF12513","PTHR12131,PTHR12131:SF2","","3.6.4.13","K17675","GO:0016817","AT4G14790.1","ATSUV3,EDA15","ATP-dependent RNA helicase, mitochondrial (SUV3)","LOC_Os03g53500.1",NA,"helicase conserved C-terminal domain containing protein, expressed"
"42",63,"GFSSContig3389_148","Sobic.001G092500",1,7132238,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.09227,2.041,1,"Chr01",7139764,7143580,3817,"-",7526,-11342,37939378,"Sobic.001G092500","Sobic.001G092500.1","Sobic.001G092500.1.p","PF07714","PTHR23257,PTHR23257:SF353","KOG0192","2.7.12.1","","GO:0006468,GO:0004672","AT3G22750.1","","Protein kinase superfamily protein","LOC_Os03g53410.1",NA,"protein kinase domain containing protein, expressed"
"44",65,"GFSSContig4757_256","Sobic.007G219200",7,64751316,13,"PS_Y(13)","F116+36088im(13)","GHW_1(2);HM_1(2)","GHW_50(1)","GFW_1(2)","FD_50(1);FW_50(1);GFW_50(2);FM_50(1)","fprind(1)","CMLM+SUPER(4)MLM+SUPER(9)","","","",0.1241,0.1005,3,"Chr07",64749936,64753450,3515,"+",-1380,-2134,37935788,"Sobic.007G219200","Sobic.007G219200.3","Sobic.007G219200.3.p","PF02990","PTHR10766,PTHR10766:SF44","","","K17086","GO:0016021","AT4G12650.1","","Endomembrane protein 70 protein family","LOC_Os08g38820.2",NA,"transmembrane 9 superfamily member, putative, expressed"
"48",69,"GFSSContig4787_601","Sobic.001G221000",1,20799071,1,"PS_Y(1)","F116+36088im(1)","","","FM_1(1)","","","CMLM+SUPER(1)","","","",0.0703,3.701,1,"Chr01",20794473,20796516,2044,"-",-4598,2555,37938437,"Sobic.001G221000","Sobic.001G221000.1","Sobic.001G221000.1.p","PF00240","PTHR10666,PTHR10666:SF146","KOG0005,KOG0001","","K08770","GO:0005515","AT4G05320.4","UBQ10","polyubiquitin 10","LOC_Os10g33620.1",NA,"ubiquitin family protein, putative, expressed"
"49",70,"GFSSContig4787_601","Sobic.001G221100",1,20799071,1,"PS_Y(1)","F116+36088im(1)","","","FM_1(1)","","","CMLM+SUPER(1)","","","",0.0703,3.701,2,"Chr01",20798755,20801624,2870,"-",-316,-2553,37939955,"Sobic.001G221100","Sobic.001G221100.2","Sobic.001G221100.2.p","PF00240","PTHR10666,PTHR10666:SF146","KOG0005,KOG0001","","K08770","GO:0005515","AT4G05320.2","UBQ10","polyubiquitin 10","LOC_Os10g33620.1",NA,"ubiquitin family protein, putative, expressed"
"51",73,"NsiI.TP1005","Sobic.008G148600",8,58192884,3,"PS_Y(3)","F116+36088im(3)","HM_1(1)","","GFW_1(1)","GFW_50(1)","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.1136,1.267,2,"Chr08",58193309,58197051,3743,"+",425,-4167,37926759,"Sobic.008G148600","Sobic.008G148600.2","Sobic.008G148600.2.p","PF02362","PTHR31391,PTHR31391:SF11","","","","GO:0003677","AT4G33280.1","","AP2/B3-like transcriptional factor family protein","LOC_Os12g40080.1",NA,"B3 DNA binding domain containing protein, expressed"
"52",74,"NsiI.TP1005","Sobic.008G148700",8,58192884,3,"PS_Y(3)","F116+36088im(3)","HM_1(1)","","GFW_1(1)","GFW_50(1)","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.1136,1.267,1,"Chr08",58200637,58210149,9513,"+",7753,-17265,37928826,"Sobic.008G148700","Sobic.008G148700.1","Sobic.008G148700.1.p","PF02362","PTHR31391,PTHR31391:SF11","","","","GO:0003677","AT4G33280.1","","AP2/B3-like transcriptional factor family protein","LOC_Os12g40080.1",NA,"B3 DNA binding domain containing protein, expressed"
"53",75,"NsiI.TP101439","Sobic.003G185700",3,50050903,13,"PS_Y(13)","F116+36088im(13)","GHW_1(2);HM_1(1)","","GFW_1(2)","FD_50(2);FW_50(1);GFW_50(2);FM_50(1)","fprinW(1);fprind(1)","CMLM+SUPER(4)MLM+SUPER(9)","","","",0.3149,2.589,1,"Chr03",50048644,50050228,1585,"-",-2259,675,37912838,"Sobic.003G185700","Sobic.003G185700.1","Sobic.003G185700.1.p","PF00641","PTHR23111,PTHR23111:SF33","","","","GO:0008270","AT3G15680.1","","Ran BP2/NZF zinc finger-like superfamily protein","LOC_Os01g37460.1",NA,"zinc finger family protein, putative, expressed"
"56",78,"NsiI.TP102705","Sobic.004G116100",4,12103867,2,"PS_Y(2)","F116+36088im(2)","HM_1(1)","","GFW_1(1)","","","MLM+SUPER(2)","","","",0.27,2.215,1,"Chr04",12101470,12105836,4367,"-",-2397,-1969,37931985,"Sobic.004G116100","Sobic.004G116100.1","Sobic.004G116100.1.p","PF00829","PTHR21349,PTHR21349:SF2","KOG1686","","K02888","GO:0005840","AT1G35680.1","","Ribosomal protein L21","LOC_Os02g15900.1",NA,"50S ribosomal protein L21, chloroplast precursor, putative, expressed"
"58",80,"NsiI.TP10339","Sobic.004G302400",4,64117829,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.3533,0.01946,3,"Chr04",64103336,64112306,8971,"+",-14493,5523,37933106,"Sobic.004G302400","Sobic.004G302400.3","Sobic.004G302400.3.p","PF02365","PTHR31989,PTHR31989:SF47","","","","GO:0006355,GO:0003677","AT1G12260.1","ANAC007,EMB2749,NAC007,VND4","NAC 007","LOC_Os02g42970.1",NA,"NAC domain containing protein, putative, expressed"
"60",84,"NsiI.TP10339","Sobic.004G302600",4,64117829,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.3533,0.01946,1,"Chr04",64113858,64125536,11679,"+",-3971,-7707,37929914,"Sobic.004G302600","Sobic.004G302600.1","Sobic.004G302600.1.p","PF00134","PTHR10026,PTHR10026:SF77","KOG0834","","K15188","GO:0019901,GO:0006355,GO:0000079","AT5G45190.1","","Cyclin family protein","LOC_Os02g24190.1",NA,"cyclin-T1-2, putative, expressed"
"62",86,"NsiI.TP104065","Sobic.001G155400",1,12578208,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.4347,0.2494,1,"Chr01",12586392,12592117,5726,"+",8184,-13909,37942803,"Sobic.001G155400","Sobic.001G155400.1","Sobic.001G155400.1.p","PF01008","PTHR10233,PTHR10233:SF19","","","K03680","GO:0044237","AT5G38640.1","","NagB/RpiA/CoA transferase-like superfamily protein","LOC_Os03g44310.1",NA,"initiation factor 2 subunit family domain containing protein, expressed"
"63",89,"NsiI.TP108822","Sobic.006G028300",6,5886763,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.1168,1.239,1,"Chr06",5876021,5878488,2468,"+",-10742,8275,37947683,"Sobic.006G028300","Sobic.006G028300.1","Sobic.006G028300.1.p","PF14226,PF03171","PTHR10209,PTHR10209:SF123","KOG0143","","","GO:0055114,GO:0016491","AT1G06620.1","","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","LOC_Os04g10350.1",NA,"1-aminocyclopropane-1-carboxylate oxidase homolog 2, putative, expressed"
"64",90,"NsiI.TP108822","Sobic.006G028400",6,5886763,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.1168,1.239,1,"Chr06",5890433,5898852,8420,"+",3670,-12089,37947347,"Sobic.006G028400","Sobic.006G028400.1","Sobic.006G028400.1.p","PF14226,PF03171","PTHR10209,PTHR10209:SF123","KOG0143","1.14.11.20","","GO:0055114,GO:0016491","AT1G06620.1","","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","LOC_Os04g10350.1",NA,"1-aminocyclopropane-1-carboxylate oxidase homolog 2, putative, expressed"
"68",102,"NsiI.TP11763","Sobic.002G175000",2,55368372,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.4454,0.002045,1,"Chr02",55373580,55376096,2517,"+",5208,-7724,37953173,"Sobic.002G175000","Sobic.002G175000.1","Sobic.002G175000.1.p","PF00071","PTHR24073,PTHR24073:SF515","","","K07976","GO:0007264,GO:0005525","AT5G54840.1","ATSGP1,SGP1","Ras-related small GTP-binding family protein","LOC_Os07g33850.2",NA,"ras-related protein, putative, expressed"
"71",106,"NsiI.TP117758","Sobic.001G372900",1,66087512,1,"PS_N(1)","F116+3098(1)","","","FM_1(1)","","","","","","pLARmEB(1)",0.0172,1.92e-06,2,"Chr01",66086712,66089491,2780,"+",-800,-1979,37940403,"Sobic.001G372900","Sobic.001G372900.2","Sobic.001G372900.2.p","PF00069","PTHR24056,PTHR24056:SF207","KOG0663","2.7.11.22,2.7.11.23","K08819","GO:0006468,GO:0005524,GO:0004672","AT1G54610.2","","Protein kinase superfamily protein","LOC_Os07g47180.2",NA,"transposon protein, putative, unclassified, expressed"
"72",109,"NsiI.TP117758","Sobic.001G373000",1,66087512,1,"PS_N(1)","F116+3098(1)","","","FM_1(1)","","","","","","pLARmEB(1)",0.0172,1.92e-06,1,"Chr01",66094494,66102933,8440,"+",6982,-15421,37943420,"Sobic.001G373000","Sobic.001G373000.1","Sobic.001G373000.1.p","PF04097","PTHR11225","","","K14309","GO:0006810,GO:0005643","AT2G41620.1","","Nucleoporin interacting component (Nup93/Nic96-like) family protein","LOC_Os03g22690.1",NA,"nucleoporin interacting component, putative, expressed"
"73",111,"NsiI.TP119595","Sobic.001G327800",1,61467903,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","CMLM+SUPER(1)","","","",0.1524,9.451,1,"Chr01",61445441,61462274,16834,"+",-22462,5629,37941470,"Sobic.001G327800","Sobic.001G327800.1","Sobic.001G327800.1.p","PF00924","PTHR30566,PTHR30566:SF13","","","K16052","GO:0055085,GO:0016020","AT5G10490.1","MSL2","MSCS-like 2","LOC_Os02g45690.1",NA,"uncharacterized mscS family protein, putative, expressed"
"74",115,"NsiI.TP120901","Sobic.004G341200",4,67265395,12,"PS_Y(12)","F116+36088im(12)","GHW_1(2);HM_1(1)","","GFW_1(1)","FD_50(1);FW_50(1);GFW_50(2);FM_50(2)","fprinW(1);fprind(1)","CMLM+SUPER(3)MLM+SUPER(9)","","","",0.2054,1.901,1,"Chr04",67255632,67262643,7012,"+",-9763,2752,37933123,"Sobic.004G341200","Sobic.004G341200.1","Sobic.004G341200.1.p","PF00070,PF02852","PTHR22912,PTHR22912:SF106","","1.8.1.7","K00383","GO:0055114,GO:0016491,GO:0045454","AT3G24170.2","ATGR1,GR1","glutathione-disulfide reductase","LOC_Os02g56850.1",NA,"glutathione reductase, putative, expressed"
"75",117,"NsiI.TP120901","Sobic.004G341300",4,67265395,12,"PS_Y(12)","F116+36088im(12)","GHW_1(2);HM_1(1)","","GFW_1(1)","FD_50(1);FW_50(1);GFW_50(2);FM_50(2)","fprinW(1);fprind(1)","CMLM+SUPER(3)MLM+SUPER(9)","","","",0.2054,1.901,2,"Chr04",67266760,67272191,5432,"-",1365,-6796,37933298,"Sobic.004G341300","Sobic.004G341300.2","Sobic.004G341300.2.p","PF08541,PF08392","PTHR31561,PTHR31561:SF7","","2.3.1.199","K15397","GO:0016747,GO:0008610,GO:0016020,GO:0006633","AT2G28630.1","KCS12","3-ketoacyl-CoA synthase 12","LOC_Os02g56860.1",NA,"3-ketoacyl-CoA synthase, putative, expressed"
"78",121,"NsiI.TP123778","Sobic.001G317400",1,60586278,24,"PS_Y(24)","F116+36088im(24)","HW_1(1);GHW_1(2);HM_1(2)","GHW_50(1)","FW_1(1);GFW_1(2);FM_1(2)","FD_50(2);FW_50(2);GFW_50(2);FM_50(1)","fprinW(2);fprind(2);fprinGW(2)","CMLM+SUPER(12)MLM+SUPER(12)","","","",0.4698,2.845,1,"Chr01",60576771,60577887,1117,"+",-9507,8391,37939241,"Sobic.001G317400","Sobic.001G317400.1","Sobic.001G317400.1.p","PF13410,PF13417","PTHR11260,PTHR11260:SF200","KOG0406","2.5.1.18","K00799","GO:0005515","AT1G59670.1","ATGSTU15,GSTU15","glutathione S-transferase TAU 15","LOC_Os10g38700.1",NA,"glutathione S-transferase, putative, expressed"
"80",123,"NsiI.TP123778","Sobic.001G317600",1,60586278,24,"PS_Y(24)","F116+36088im(24)","HW_1(1);GHW_1(2);HM_1(2)","GHW_50(1)","FW_1(1);GFW_1(2);FM_1(2)","FD_50(2);FW_50(2);GFW_50(2);FM_50(1)","fprinW(2);fprind(2);fprinGW(2)","CMLM+SUPER(12)MLM+SUPER(12)","","","",0.4698,2.845,1,"Chr01",60581424,60582916,1493,"-",-4854,3362,37937369,"Sobic.001G317600","Sobic.001G317600.1","Sobic.001G317600.1.p","PF00043,PF13417","PTHR11260,PTHR11260:SF232","KOG0406","2.5.1.18","K00799","GO:0005515","AT1G10360.1","ATGSTU18,GST29,GSTU18","glutathione S-transferase TAU 18","LOC_Os10g38160.1",NA,"glutathione S-transferase, putative, expressed"
"81",124,"NsiI.TP123778","Sobic.001G317700",1,60586278,24,"PS_Y(24)","F116+36088im(24)","HW_1(1);GHW_1(2);HM_1(2)","GHW_50(1)","FW_1(1);GFW_1(2);FM_1(2)","FD_50(2);FW_50(2);GFW_50(2);FM_50(1)","fprinW(2);fprind(2);fprinGW(2)","CMLM+SUPER(12)MLM+SUPER(12)","","","",0.4698,2.845,1,"Chr01",60585270,60586660,1391,"-",-1008,-382,37943557,"Sobic.001G317700","Sobic.001G317700.1","Sobic.001G317700.1.p","PF13410,PF13417","PTHR11260,PTHR11260:SF243","KOG0406","2.5.1.18","K00799","GO:0005515","AT1G10370.1","ATGSTU17,ERD9,GST30,GST30B","Glutathione S-transferase family protein","LOC_Os10g38660.1",NA,"glutathione S-transferase, putative, expressed"
"82",125,"NsiI.TP123780","Sobic.003G223600",3,55955099,1,"PS_N(1)","F116+36088im(1)","","","","","fprinM(1)","","","FASTmrMLM(1)","",0.25,2.78e-05,1,"Chr03",55948052,55949562,1511,"+",-7047,5537,37912730,"Sobic.003G223600","Sobic.003G223600.1","Sobic.003G223600.1.p","PF00201","PTHR11926,PTHR11926:SF255","KOG1192","","K08237","GO:0016758,GO:0008152","AT4G01070.1","GT72B1,UGT72B1","UDP-Glycosyltransferase superfamily protein","LOC_Os01g43280.1",NA,"hydroquinone glucosyltransferase, putative, expressed"
"83",126,"NsiI.TP123780","Sobic.003G223700",3,55955099,1,"PS_N(1)","F116+36088im(1)","","","","","fprinM(1)","","","FASTmrMLM(1)","",0.25,2.78e-05,1,"Chr03",55954881,55956885,2005,"-",-218,-1786,37918651,"Sobic.003G223700","Sobic.003G223700.1","Sobic.003G223700.1.p","","PTHR11926,PTHR11926:SF255","","2.4.1.218","K08237","GO:0016758,GO:0008152","AT1G01420.1","UGT72B3","UDP-glucosyl transferase 72B3","LOC_Os01g43280.1",NA,"hydroquinone glucosyltransferase, putative, expressed"
