,SNP,Gene,chr,start,end,width,strand,dis_start.positon,dis_positon.end
707,NsiI.TP37454,NA,NA,NA,NA,NA,NA,,
716,NsiI.TP384887,NA,NA,NA,NA,NA,NA,,
722,NsiI.TP38756,NA,NA,NA,NA,NA,NA,,
732,NsiI.TP388882,NA,NA,NA,NA,NA,NA,,
740,NsiI.TP388993,NA,NA,NA,NA,NA,NA,,
745,NsiI.TP393109,NA,NA,NA,NA,NA,NA,,
754,NsiI.TP395863,NA,NA,NA,NA,NA,NA,,
755,NsiI.TP397682,NA,NA,NA,NA,NA,NA,,
763,NsiI.TP39871,NA,NA,NA,NA,NA,NA,,
764,NsiI.TP400271,NA,NA,NA,NA,NA,NA,,
765,NsiI.TP401000,NA,NA,NA,NA,NA,NA,,
766,NsiI.TP401676,NA,NA,NA,NA,NA,NA,,
774,NsiI.TP406542,NA,NA,NA,NA,NA,NA,,
785,NsiI.TP407233,NA,NA,NA,NA,NA,NA,,
786,NsiI.TP409401,NA,NA,NA,NA,NA,NA,,
789,NsiI.TP411619,NA,NA,NA,NA,NA,NA,,
799,NsiI.TP413741,NA,NA,NA,NA,NA,NA,,
805,NsiI.TP416112,NA,NA,NA,NA,NA,NA,,
806,NsiI.TP416911,NA,NA,NA,NA,NA,NA,,
807,NsiI.TP416968,NA,NA,NA,NA,NA,NA,,
810,NsiI.TP417678,NA,NA,NA,NA,NA,NA,,
821,NsiI.TP41926,NA,NA,NA,NA,NA,NA,,
845,NsiI.TP422932,NA,NA,NA,NA,NA,NA,,
846,NsiI.TP423212,NA,NA,NA,NA,NA,NA,,
847,NsiI.TP423257,NA,NA,NA,NA,NA,NA,,
848,NsiI.TP424508,NA,NA,NA,NA,NA,NA,,
854,NsiI.TP426523,NA,NA,NA,NA,NA,NA,,
860,NsiI.TP427131,NA,NA,NA,NA,NA,NA,,
861,NsiI.TP428306,NA,NA,NA,NA,NA,NA,,
869,NsiI.TP431947,NA,NA,NA,NA,NA,NA,,
871,NsiI.TP432383,NA,NA,NA,NA,NA,NA,,
872,NsiI.TP43297,NA,NA,NA,NA,NA,NA,,
877,NsiI.TP433644,NA,NA,NA,NA,NA,NA,,
882,NsiI.TP434835,NA,NA,NA,NA,NA,NA,,
883,NsiI.TP435268,NA,NA,NA,NA,NA,NA,,
906,NsiI.TP438230,NA,NA,NA,NA,NA,NA,,
907,NsiI.TP43842,NA,NA,NA,NA,NA,NA,,
928,NsiI.TP441664,NA,NA,NA,NA,NA,NA,,
929,NsiI.TP441797,NA,NA,NA,NA,NA,NA,,
941,NsiI.TP442306,NA,NA,NA,NA,NA,NA,,
947,NsiI.TP442764,NA,NA,NA,NA,NA,NA,,
951,NsiI.TP443697,NA,NA,NA,NA,NA,NA,,
962,NsiI.TP446772,NA,NA,NA,NA,NA,NA,,
963,NsiI.TP446863,NA,NA,NA,NA,NA,NA,,
964,NsiI.TP448134,NA,NA,NA,NA,NA,NA,,
965,NsiI.TP450394,NA,NA,NA,NA,NA,NA,,
966,NsiI.TP450647,NA,NA,NA,NA,NA,NA,,
974,NsiI.TP454947,NA,NA,NA,NA,NA,NA,,
977,NsiI.TP456029,NA,NA,NA,NA,NA,NA,,
981,NsiI.TP456239,NA,NA,NA,NA,NA,NA,,
982,NsiI.TP457495,NA,NA,NA,NA,NA,NA,,
983,NsiI.TP457620,NA,NA,NA,NA,NA,NA,,
984,NsiI.TP458088,NA,NA,NA,NA,NA,NA,,
989,NsiI.TP458403,NA,NA,NA,NA,NA,NA,,
990,NsiI.TP458472,NA,NA,NA,NA,NA,NA,,
991,NsiI.TP459599,NA,NA,NA,NA,NA,NA,,
1000,NsiI.TP464397,NA,NA,NA,NA,NA,NA,,
1005,NsiI.TP465897,NA,NA,NA,NA,NA,NA,,
1006,NsiI.TP466452,NA,NA,NA,NA,NA,NA,,
1014,NsiI.TP468110,NA,NA,NA,NA,NA,NA,,
1025,NsiI.TP469537,NA,NA,NA,NA,NA,NA,,
1029,NsiI.TP472465,NA,NA,NA,NA,NA,NA,,
1057,NsiI.TP479743,NA,NA,NA,NA,NA,NA,,
1065,NsiI.TP484589,NA,NA,NA,NA,NA,NA,,
1066,NsiI.TP484830,NA,NA,NA,NA,NA,NA,,
1074,NsiI.TP486716,NA,NA,NA,NA,NA,NA,,
1075,NsiI.TP486825,NA,NA,NA,NA,NA,NA,,
1076,NsiI.TP488806,NA,NA,NA,NA,NA,NA,,
1080,NsiI.TP490522,NA,NA,NA,NA,NA,NA,,
1081,NsiI.TP490659,NA,NA,NA,NA,NA,NA,,
1082,NsiI.TP491324,NA,NA,NA,NA,NA,NA,,
1085,NsiI.TP491839,NA,NA,NA,NA,NA,NA,,
1086,NsiI.TP491951,NA,NA,NA,NA,NA,NA,,
1092,NsiI.TP493263,NA,NA,NA,NA,NA,NA,,
1093,NsiI.TP493622,NA,NA,NA,NA,NA,NA,,
1106,NsiI.TP494865,NA,NA,NA,NA,NA,NA,,
1107,NsiI.TP495572,NA,NA,NA,NA,NA,NA,,
1108,NsiI.TP496061,NA,NA,NA,NA,NA,NA,,
1109,NsiI.TP496502,NA,NA,NA,NA,NA,NA,,
1118,NsiI.TP496948,NA,NA,NA,NA,NA,NA,,
1119,NsiI.TP499102,NA,NA,NA,NA,NA,NA,,
1127,NsiI.TP49937,NA,NA,NA,NA,NA,NA,,
1143,NsiI.TP502740,NA,NA,NA,NA,NA,NA,,
1144,NsiI.TP503060,NA,NA,NA,NA,NA,NA,,
1145,NsiI.TP503326,NA,NA,NA,NA,NA,NA,,
1146,NsiI.TP503807,NA,NA,NA,NA,NA,NA,,
1147,NsiI.TP508300,NA,NA,NA,NA,NA,NA,,
1148,NsiI.TP508574,NA,NA,NA,NA,NA,NA,,
1160,NsiI.TP510047,NA,NA,NA,NA,NA,NA,,
1167,NsiI.TP512263,NA,NA,NA,NA,NA,NA,,
1168,NsiI.TP51472,NA,NA,NA,NA,NA,NA,,
1195,NsiI.TP520721,NA,NA,NA,NA,NA,NA,,
1198,NsiI.TP521139,NA,NA,NA,NA,NA,NA,,
1199,NsiI.TP521250,NA,NA,NA,NA,NA,NA,,
1217,NsiI.TP524956,NA,NA,NA,NA,NA,NA,,
1218,NsiI.TP5257,NA,NA,NA,NA,NA,NA,,
1219,NsiI.TP525885,NA,NA,NA,NA,NA,NA,,
1237,NsiI.TP529321,NA,NA,NA,NA,NA,NA,,
1242,NsiI.TP530892,NA,NA,NA,NA,NA,NA,,
1246,NsiI.TP541527,NA,NA,NA,NA,NA,NA,,
1256,NsiI.TP546061,NA,NA,NA,NA,NA,NA,,
1261,NsiI.TP550663,NA,NA,NA,NA,NA,NA,,
1262,NsiI.TP551839,NA,NA,NA,NA,NA,NA,,
1263,NsiI.TP553662,NA,NA,NA,NA,NA,NA,,
1271,NsiI.TP555055,NA,NA,NA,NA,NA,NA,,
1272,NsiI.TP555065,NA,NA,NA,NA,NA,NA,,
1273,NsiI.TP555365,NA,NA,NA,NA,NA,NA,,
1274,NsiI.TP555631,NA,NA,NA,NA,NA,NA,,
1275,NsiI.TP556047,NA,NA,NA,NA,NA,NA,,
1281,NsiI.TP557918,NA,NA,NA,NA,NA,NA,,
1282,NsiI.TP560012,NA,NA,NA,NA,NA,NA,,
1283,NsiI.TP560751,NA,NA,NA,NA,NA,NA,,
1295,NsiI.TP56325,NA,NA,NA,NA,NA,NA,,
1304,NsiI.TP565488,NA,NA,NA,NA,NA,NA,,
1307,NsiI.TP568,NA,NA,NA,NA,NA,NA,,
1308,NsiI.TP570076,NA,NA,NA,NA,NA,NA,,
1309,NsiI.TP570786,NA,NA,NA,NA,NA,NA,,
1310,NsiI.TP571420,NA,NA,NA,NA,NA,NA,,
1320,NsiI.TP575345,NA,NA,NA,NA,NA,NA,,
1333,NsiI.TP579729,NA,NA,NA,NA,NA,NA,,
1337,NsiI.TP580268,NA,NA,NA,NA,NA,NA,,
1338,NsiI.TP585806,NA,NA,NA,NA,NA,NA,,
1339,NsiI.TP586741,NA,NA,NA,NA,NA,NA,,
1340,NsiI.TP586798,NA,NA,NA,NA,NA,NA,,
1341,NsiI.TP588093,NA,NA,NA,NA,NA,NA,,
1361,NsiI.TP591161,NA,NA,NA,NA,NA,NA,,
1362,NsiI.TP591705,NA,NA,NA,NA,NA,NA,,
1388,NsiI.TP593990,NA,NA,NA,NA,NA,NA,,
1398,NsiI.TP594320,NA,NA,NA,NA,NA,NA,,
1399,NsiI.TP594691,NA,NA,NA,NA,NA,NA,,
1401,NsiI.TP59527,NA,NA,NA,NA,NA,NA,,
1402,NsiI.TP595384,NA,NA,NA,NA,NA,NA,,
1410,NsiI.TP604461,NA,NA,NA,NA,NA,NA,,
1411,NsiI.TP604677,NA,NA,NA,NA,NA,NA,,
1427,NsiI.TP609527,NA,NA,NA,NA,NA,NA,,
1429,NsiI.TP609571,NA,NA,NA,NA,NA,NA,,
1434,NsiI.TP610850,NA,NA,NA,NA,NA,NA,,
1437,NsiI.TP613708,NA,NA,NA,NA,NA,NA,,
1498,NsiI.TP620599,NA,NA,NA,NA,NA,NA,,
1499,NsiI.TP621298,NA,NA,NA,NA,NA,NA,,
1506,NsiI.TP622507,NA,NA,NA,NA,NA,NA,,
1507,NsiI.TP623388,NA,NA,NA,NA,NA,NA,,
1508,NsiI.TP623459,NA,NA,NA,NA,NA,NA,,
1511,NsiI.TP625373,NA,NA,NA,NA,NA,NA,,
1531,NsiI.TP631761,NA,NA,NA,NA,NA,NA,,
1534,NsiI.TP631975,NA,NA,NA,NA,NA,NA,,
1538,NsiI.TP632088,NA,NA,NA,NA,NA,NA,,
1539,NsiI.TP63305,NA,NA,NA,NA,NA,NA,,
1543,NsiI.TP633470,NA,NA,NA,NA,NA,NA,,
1552,NsiI.TP63821,NA,NA,NA,NA,NA,NA,,
1553,NsiI.TP643179,NA,NA,NA,NA,NA,NA,,
1560,NsiI.TP644167,NA,NA,NA,NA,NA,NA,,
1570,NsiI.TP646295,NA,NA,NA,NA,NA,NA,,
1574,NsiI.TP65170,NA,NA,NA,NA,NA,NA,,
1578,NsiI.TP652578,NA,NA,NA,NA,NA,NA,,
1583,NsiI.TP656422,NA,NA,NA,NA,NA,NA,,
1607,NsiI.TP66747,NA,NA,NA,NA,NA,NA,,
1610,NsiI.TP668625,NA,NA,NA,NA,NA,NA,,
1614,NsiI.TP671476,NA,NA,NA,NA,NA,NA,,
1617,NsiI.TP672765,NA,NA,NA,NA,NA,NA,,
1618,NsiI.TP674451,NA,NA,NA,NA,NA,NA,,
1623,NsiI.TP675510,NA,NA,NA,NA,NA,NA,,
1629,NsiI.TP67777,NA,NA,NA,NA,NA,NA,,
1637,NsiI.TP682876,NA,NA,NA,NA,NA,NA,,
1638,NsiI.TP684422,NA,NA,NA,NA,NA,NA,,
1639,NsiI.TP685628,NA,NA,NA,NA,NA,NA,,
1640,NsiI.TP685658,NA,NA,NA,NA,NA,NA,,
1641,NsiI.TP689875,NA,NA,NA,NA,NA,NA,,
1642,NsiI.TP690528,NA,NA,NA,NA,NA,NA,,
1650,NsiI.TP691582,NA,NA,NA,NA,NA,NA,,
1651,NsiI.TP692508,NA,NA,NA,NA,NA,NA,,
1652,NsiI.TP693683,NA,NA,NA,NA,NA,NA,,
1658,NsiI.TP694893,NA,NA,NA,NA,NA,NA,,
1659,NsiI.TP695304,NA,NA,NA,NA,NA,NA,,
1660,NsiI.TP701971,NA,NA,NA,NA,NA,NA,,
1666,NsiI.TP705689,NA,NA,NA,NA,NA,NA,,
1667,NsiI.TP706701,NA,NA,NA,NA,NA,NA,,
1668,NsiI.TP712947,NA,NA,NA,NA,NA,NA,,
1669,NsiI.TP713895,NA,NA,NA,NA,NA,NA,,
1670,NsiI.TP716754,NA,NA,NA,NA,NA,NA,,
1686,NsiI.TP719628,NA,NA,NA,NA,NA,NA,,
1692,NsiI.TP728788,NA,NA,NA,NA,NA,NA,,
1709,NsiI.TP731536,NA,NA,NA,NA,NA,NA,,
1710,NsiI.TP735839,NA,NA,NA,NA,NA,NA,,
1726,NsiI.TP737957,NA,NA,NA,NA,NA,NA,,
1727,NsiI.TP738105,NA,NA,NA,NA,NA,NA,,
1741,NsiI.TP741392,NA,NA,NA,NA,NA,NA,,
1754,NsiI.TP742073,NA,NA,NA,NA,NA,NA,,
1759,NsiI.TP744690,NA,NA,NA,NA,NA,NA,,
1767,NsiI.TP746193,NA,NA,NA,NA,NA,NA,,
1772,NsiI.TP748083,NA,NA,NA,NA,NA,NA,,
1773,NsiI.TP749172,NA,NA,NA,NA,NA,NA,,
1774,NsiI.TP749312,NA,NA,NA,NA,NA,NA,,
1817,NsiI.TP757767,NA,NA,NA,NA,NA,NA,,
1827,NsiI.TP76552,NA,NA,NA,NA,NA,NA,,
1833,NsiI.TP767179,NA,NA,NA,NA,NA,NA,,
1837,NsiI.TP769469,NA,NA,NA,NA,NA,NA,,
1847,NsiI.TP77431,NA,NA,NA,NA,NA,NA,,
1860,NsiI.TP777080,NA,NA,NA,NA,NA,NA,,
1867,NsiI.TP782571,NA,NA,NA,NA,NA,NA,,
1877,NsiI.TP784627,NA,NA,NA,NA,NA,NA,,
1878,NsiI.TP785945,NA,NA,NA,NA,NA,NA,,
1879,NsiI.TP787181,NA,NA,NA,NA,NA,NA,,
1880,NsiI.TP78756,NA,NA,NA,NA,NA,NA,,
1882,NsiI.TP790761,NA,NA,NA,NA,NA,NA,,
1883,NsiI.TP790895,NA,NA,NA,NA,NA,NA,,
1884,NsiI.TP791431,NA,NA,NA,NA,NA,NA,,
1885,NsiI.TP792021,NA,NA,NA,NA,NA,NA,,
1886,NsiI.TP792944,NA,NA,NA,NA,NA,NA,,
1887,NsiI.TP797049,NA,NA,NA,NA,NA,NA,,
1894,NsiI.TP799336,NA,NA,NA,NA,NA,NA,,
1895,NsiI.TP803817,NA,NA,NA,NA,NA,NA,,
1896,NsiI.TP804076,NA,NA,NA,NA,NA,NA,,
1897,NsiI.TP805238,NA,NA,NA,NA,NA,NA,,
1905,NsiI.TP810911,NA,NA,NA,NA,NA,NA,,
1906,NsiI.TP811464,NA,NA,NA,NA,NA,NA,,
1912,NsiI.TP812818,NA,NA,NA,NA,NA,NA,,
1919,NsiI.TP819458,NA,NA,NA,NA,NA,NA,,
1920,NsiI.TP821705,NA,NA,NA,NA,NA,NA,,
1926,NsiI.TP822322,NA,NA,NA,NA,NA,NA,,
1939,NsiI.TP827467,NA,NA,NA,NA,NA,NA,,
1940,NsiI.TP828738,NA,NA,NA,NA,NA,NA,,
1941,NsiI.TP82932,NA,NA,NA,NA,NA,NA,,
1942,NsiI.TP831091,NA,NA,NA,NA,NA,NA,,
1945,NsiI.TP832142,NA,NA,NA,NA,NA,NA,,
1954,NsiI.TP84023,NA,NA,NA,NA,NA,NA,,
1955,NsiI.TP85829,NA,NA,NA,NA,NA,NA,,
1956,NsiI.TP86624,NA,NA,NA,NA,NA,NA,,
1957,NsiI.TP86687,NA,NA,NA,NA,NA,NA,,
1969,NsiI.TP91546,NA,NA,NA,NA,NA,NA,,
1980,PstI.TP100020,NA,NA,NA,NA,NA,NA,,
2005,PstI.TP1004016,NA,NA,NA,NA,NA,NA,,
2022,PstI.TP1009395,NA,NA,NA,NA,NA,NA,,
2046,PstI.TP101546,NA,NA,NA,NA,NA,NA,,
2060,PstI.TP1016686,NA,NA,NA,NA,NA,NA,,
2062,PstI.TP1020545,NA,NA,NA,NA,NA,NA,,
2080,PstI.TP1023146,NA,NA,NA,NA,NA,NA,,
2086,PstI.TP1023559,NA,NA,NA,NA,NA,NA,,
2087,PstI.TP102517,NA,NA,NA,NA,NA,NA,,
2088,PstI.TP1025405,NA,NA,NA,NA,NA,NA,,
2091,PstI.TP1026818,NA,NA,NA,NA,NA,NA,,
2092,PstI.TP1027140,NA,NA,NA,NA,NA,NA,,
2112,PstI.TP103912,NA,NA,NA,NA,NA,NA,,
2116,PstI.TP1042685,NA,NA,NA,NA,NA,NA,,
2127,PstI.TP104475,NA,NA,NA,NA,NA,NA,,
2135,PstI.TP1046468,NA,NA,NA,NA,NA,NA,,
2151,PstI.TP105142,NA,NA,NA,NA,NA,NA,,
2160,PstI.TP1053379,NA,NA,NA,NA,NA,NA,,
2161,PstI.TP1054223,NA,NA,NA,NA,NA,NA,,
2164,PstI.TP1057943,NA,NA,NA,NA,NA,NA,,
2169,PstI.TP1060721,NA,NA,NA,NA,NA,NA,,
2175,PstI.TP1063157,NA,NA,NA,NA,NA,NA,,
2203,PstI.TP1070567,NA,NA,NA,NA,NA,NA,,
2204,PstI.TP1071296,NA,NA,NA,NA,NA,NA,,
2225,PstI.TP1075605,NA,NA,NA,NA,NA,NA,,
2226,PstI.TP1075828,NA,NA,NA,NA,NA,NA,,
2232,PstI.TP1078392,NA,NA,NA,NA,NA,NA,,
2248,PstI.TP108163,NA,NA,NA,NA,NA,NA,,
2249,PstI.TP1082638,NA,NA,NA,NA,NA,NA,,
2250,PstI.TP1085371,NA,NA,NA,NA,NA,NA,,
2251,PstI.TP1086389,NA,NA,NA,NA,NA,NA,,
2254,PstI.TP108730,NA,NA,NA,NA,NA,NA,,
2285,PstI.TP1102261,NA,NA,NA,NA,NA,NA,,
2304,PstI.TP1106131,NA,NA,NA,NA,NA,NA,,
2305,PstI.TP11070,NA,NA,NA,NA,NA,NA,,
2315,PstI.TP1111251,NA,NA,NA,NA,NA,NA,,
2316,PstI.TP1112734,NA,NA,NA,NA,NA,NA,,
2317,PstI.TP111598,NA,NA,NA,NA,NA,NA,,
2318,PstI.TP1116623,NA,NA,NA,NA,NA,NA,,
2347,PstI.TP1124199,NA,NA,NA,NA,NA,NA,,
2356,PstI.TP1124649,NA,NA,NA,NA,NA,NA,,
2357,PstI.TP1125669,NA,NA,NA,NA,NA,NA,,
2358,PstI.TP1126134,NA,NA,NA,NA,NA,NA,,
2380,PstI.TP1128402,NA,NA,NA,NA,NA,NA,,
2384,PstI.TP1131607,NA,NA,NA,NA,NA,NA,,
2396,PstI.TP1134689,NA,NA,NA,NA,NA,NA,,
2407,PstI.TP1141531,NA,NA,NA,NA,NA,NA,,
2414,PstI.TP1148320,NA,NA,NA,NA,NA,NA,,
2419,PstI.TP1150876,NA,NA,NA,NA,NA,NA,,
2429,PstI.TP115244,NA,NA,NA,NA,NA,NA,,
2436,PstI.TP1156206,NA,NA,NA,NA,NA,NA,,
2445,PstI.TP115915,NA,NA,NA,NA,NA,NA,,
2446,PstI.TP1159423,NA,NA,NA,NA,NA,NA,,
2468,PstI.TP1164803,NA,NA,NA,NA,NA,NA,,
2469,PstI.TP1165702,NA,NA,NA,NA,NA,NA,,
2474,PstI.TP1169376,NA,NA,NA,NA,NA,NA,,
2487,PstI.TP116998,NA,NA,NA,NA,NA,NA,,
2488,PstI.TP1171017,NA,NA,NA,NA,NA,NA,,
2513,PstI.TP1175461,NA,NA,NA,NA,NA,NA,,
2518,PstI.TP1177996,NA,NA,NA,NA,NA,NA,,
2527,PstI.TP1181161,NA,NA,NA,NA,NA,NA,,
2535,PstI.TP1184385,NA,NA,NA,NA,NA,NA,,
2536,PstI.TP118441,NA,NA,NA,NA,NA,NA,,
2541,PstI.TP1184930,NA,NA,NA,NA,NA,NA,,
2544,PstI.TP1188882,NA,NA,NA,NA,NA,NA,,
2548,PstI.TP1191682,NA,NA,NA,NA,NA,NA,,
2555,PstI.TP1194303,NA,NA,NA,NA,NA,NA,,
2569,PstI.TP1204787,NA,NA,NA,NA,NA,NA,,
2584,PstI.TP1225854,NA,NA,NA,NA,NA,NA,,
2596,PstI.TP1226356,NA,NA,NA,NA,NA,NA,,
2597,PstI.TP1230984,NA,NA,NA,NA,NA,NA,,
2601,PstI.TP1231139,NA,NA,NA,NA,NA,NA,,
2621,PstI.TP1234687,NA,NA,NA,NA,NA,NA,,
2650,PstI.TP123918,NA,NA,NA,NA,NA,NA,,
2651,PstI.TP123922,NA,NA,NA,NA,NA,NA,,
2654,PstI.TP124053,NA,NA,NA,NA,NA,NA,,
2655,PstI.TP1241040,NA,NA,NA,NA,NA,NA,,
2658,PstI.TP1245564,NA,NA,NA,NA,NA,NA,,
2686,PstI.TP125644,NA,NA,NA,NA,NA,NA,,
2688,PstI.TP1256881,NA,NA,NA,NA,NA,NA,,
2699,PstI.TP1267198,NA,NA,NA,NA,NA,NA,,
2703,PstI.TP1273314,NA,NA,NA,NA,NA,NA,,
2708,PstI.TP1276178,NA,NA,NA,NA,NA,NA,,
2712,PstI.TP12767,NA,NA,NA,NA,NA,NA,,
2727,PstI.TP1282314,NA,NA,NA,NA,NA,NA,,
2728,PstI.TP1283654,NA,NA,NA,NA,NA,NA,,
2764,PstI.TP133012,NA,NA,NA,NA,NA,NA,,
2765,PstI.TP133136,NA,NA,NA,NA,NA,NA,,
2792,PstI.TP136362,NA,NA,NA,NA,NA,NA,,
2814,PstI.TP138953,NA,NA,NA,NA,NA,NA,,
2815,PstI.TP139250,NA,NA,NA,NA,NA,NA,,
2816,PstI.TP140756,NA,NA,NA,NA,NA,NA,,
2831,PstI.TP144181,NA,NA,NA,NA,NA,NA,,
2868,PstI.TP154510,NA,NA,NA,NA,NA,NA,,
2875,PstI.TP158011,NA,NA,NA,NA,NA,NA,,
2876,PstI.TP159372,NA,NA,NA,NA,NA,NA,,
2877,PstI.TP160752,NA,NA,NA,NA,NA,NA,,
2887,PstI.TP166018,NA,NA,NA,NA,NA,NA,,
2903,PstI.TP168319,NA,NA,NA,NA,NA,NA,,
2921,PstI.TP173114,NA,NA,NA,NA,NA,NA,,
2937,PstI.TP175806,NA,NA,NA,NA,NA,NA,,
