"","X","SNP","Gene","Chromosome","Position","Grand.Total","PS","Ind.SNP","Heading_1","Heading_50","Flowering_1","Flowering_50","PCA","SUPER","FarmCPU","mrMLM.1","mrMLM.2","MAF","PVE","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"107",160,"NsiI.TP139027","Sobic.003G301950",3,63289950,9,"PS_Y(9)","F116+36088im(9)","GHW_1(2);HM_1(1)","","GFW_1(2)","FW_50(1);GFW_50(2);FM_50(1)","","CMLM+SUPER(3)MLM+SUPER(6)","","","",0.129,2.471,3,"Chr03",63282876,63284394,1519,"+",-7074,5556,37918890,"Sobic.003G301950","Sobic.003G301950.3","Sobic.003G301950.3.p","","","","","","","","","","",NA,""
"112",169,"NsiI.TP149154","Sobic.007G206600",7,63638573,8,"PS_Y(8)","F96+4814(8)","HD_1(1);HW_1(1);GHW_1(1)","HD_50(1);GHW_50(1);HW_50(1)","FW_1(1)","FD_50(1)","","","","","ISIS EM-BLASSO(8)",0.4062,6.337,1,"Chr07",63631023,63633266,2244,"+",-7550,5307,37935153,"Sobic.007G206600","Sobic.007G206600.1","Sobic.007G206600.1.p","","","","","","","","","","",NA,""
"124",189,"NsiI.TP152677","Sobic.003G006800",3,602439,29,"PS_Y(29)","F116+36088im(29)","HD_1(2);HW_1(2);GHW_1(2);HM_1(1)","HD_50(2);GHW_50(2);HW_50(1)","FD_1(2);FW_1(2);GFW_1(2)","FD_50(1);FW_50(2);GFW_50(2);FM_50(2)","fprinW(2);fprind(1);fprinGW(1)","CMLM+SUPER(15)MLM+SUPER(14)","","","",0.1209,0.7564,1,"Chr03",601019,601727,709,"+",-1420,712,37915571,"Sobic.003G006800","Sobic.003G006800.1","Sobic.003G006800.1.p","PF04195","PTHR33026,PTHR33026:SF2","","","","","","","","LOC_Os07g45660.1",NA,"retrotransposon protein, putative, Ty3-gypsy subclass, expressed"
"126",191,"NsiI.TP152677","Sobic.003G006866",3,602439,29,"PS_Y(29)","F116+36088im(29)","HD_1(2);HW_1(2);GHW_1(2);HM_1(1)","HD_50(2);GHW_50(2);HW_50(1)","FD_1(2);FW_1(2);GFW_1(2)","FD_50(1);FW_50(2);GFW_50(2);FM_50(2)","fprinW(2);fprind(1);fprinGW(1)","CMLM+SUPER(15)MLM+SUPER(14)","","","",0.1209,0.7564,1,"Chr03",610285,610704,420,"+",7846,-8265,37913930,"Sobic.003G006866","Sobic.003G006866.1","Sobic.003G006866.1.p","","PTHR25952,PTHR25952:SF206","","","","","","","","LOC_Os07g48590.1",NA,"retrotransposon protein, putative, unclassified"
"127",193,"NsiI.TP154359","Sobic.001G345000",1,63371844,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2)","","GFW_1(1)","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.2417,1.359,1,"Chr01",63358489,63362310,3822,"+",-13355,9534,37943105,"Sobic.001G345000","Sobic.001G345000.1","Sobic.001G345000.1.p","","PTHR31264,PTHR31264:SF4","","","","","","","","LOC_Os01g28520.1",NA,"OsFBX8 - F-box domain containing protein, expressed"
"139",218,"NsiI.TP166838","Sobic.003G270650",3,60735782,20,"PS_Y(20)","F116+36088im(20)","HD_1(1);HW_1(1);GHW_1(2)","HW_50(1)","FD_1(1);FW_1(1);GFW_1(2)","FD_50(1);FW_50(2);GFW_50(2);FM_50(2)","fprinW(2);fprind(1);fprinGW(1)","CMLM+SUPER(11)MLM+SUPER(9)","","","",0.346,3.291,1,"Chr03",60736247,60736588,342,"-",465,-806,37916514,"Sobic.003G270650","Sobic.003G270650.1","Sobic.003G270650.1.p","","","","","","","","","","",NA,""
"159",255,"NsiI.TP175336","Sobic.001G286050",1,56033904,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.3616,0.4818,1,"Chr01",56041097,56043789,2693,"+",7193,-9885,37941489,"Sobic.001G286050","Sobic.001G286050.1","Sobic.001G286050.1.p","","","","","","","","","","",NA,""
"173",284,"NsiI.TP195045","Sobic.001G497750",1,76748463,2,"PS_Y(2)","F116+36088im(2)","HM_1(1)","","GFW_1(1)","","","MLM+SUPER(2)","","","",0.4752,2.318,1,"Chr01",76756739,76757318,580,"+",8276,-8855,37939115,"Sobic.001G497750","Sobic.001G497750.1","Sobic.001G497750.1.p","","","","","","","","","","",NA,""
"185",305,"NsiI.TP204910","Sobic.002G277000",2,65965770,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.4525,0.01017,1,"Chr02",65971126,65971560,435,"+",5356,-5790,37951420,"Sobic.002G277000","Sobic.002G277000.1","Sobic.002G277000.1.p","","","","","","","","","","",NA,""
"195",325,"NsiI.TP208710","Sobic.001G372200",1,66025194,3,"PS_N(2)PS_Y(1)","F116+36088im(3)","HM_1(2)","","FW_1(1)","","","MLM+SUPER(1)","FarmCPU(2)","","",0.1168,3.813,1,"Chr01",66028707,66036912,8206,"-",3513,-11718,37938117,"Sobic.001G372200","Sobic.001G372200.1","Sobic.001G372200.1.p","","","","","","","","","","",NA,""
"196",327,"NsiI.TP210176","Sobic.002G241250",2,63098520,14,"PS_Y(14)","F116+36088im(14)","","","FD_1(1);FW_1(2);GFW_1(1)","FD_50(1);FW_50(2);GFW_50(2);FM_50(2)","fprinW(2);fprind(1)","CMLM+SUPER(7)MLM+SUPER(7)","","","",0.4755,7.378,1,"Chr02",63091275,63096128,4854,"+",-7245,2392,37950466,"Sobic.002G241250","Sobic.002G241250.1","Sobic.002G241250.1.p","","","","3.6.4.13","","","","","","LOC_Os09g30290.1",NA,"expressed protein"
"197",328,"NsiI.TP210176","Sobic.002G241400",2,63098520,14,"PS_Y(14)","F116+36088im(14)","","","FD_1(1);FW_1(2);GFW_1(1)","FD_50(1);FW_50(2);GFW_50(2);FM_50(2)","fprinW(2);fprind(1)","CMLM+SUPER(7)MLM+SUPER(7)","","","",0.4755,7.378,1,"Chr02",63104025,63107219,3195,"+",5505,-8699,37950746,"Sobic.002G241400","Sobic.002G241400.1","Sobic.002G241400.1.p","","","","","","","","","","LOC_Os09g30300.1",NA,"expressed protein"
"200",332,"NsiI.TP210953","Sobic.001G195866",1,17586467,1,"PS_N(1)","F116+3098(1)","","","","FM_50(1)","","","","","ISIS EM-BLASSO(1)",0.0474,0,1,"Chr01",17590644,17592163,1520,"-",4177,-5696,37941025,"Sobic.001G195866","Sobic.001G195866.1","Sobic.001G195866.1.p","","","","","","","","","","",NA,""
"201",334,"NsiI.TP211131","Sobic.006G046400",6,32284894,3,"PS_N(3)","F116+36088im(3)","","","","FW_50(1)","fprinW(1);fprinGW(1)","","","","pLARmEB(3)",0.0647,4.046,2,"Chr06",32278337,32280913,2577,"+",-6557,3981,37945834,"Sobic.006G046400","Sobic.006G046400.2","Sobic.006G046400.2.p","","","","","","","","","","",NA,""
"219",367,"NsiI.TP21698","Sobic.001G065150",1,4937940,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.1639,5.811,1,"Chr01",4934963,4944996,10034,"-",-2977,-7056,37944162,"Sobic.001G065150","Sobic.001G065150.1","Sobic.001G065150.1.p","","","","","","","","","","",NA,""
"220",368,"NsiI.TP21698","Sobic.001G065400",1,4937940,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.1639,5.811,1,"Chr01",4944997,4945239,243,"-",7057,-7299,37939128,"Sobic.001G065400","Sobic.001G065400.1","Sobic.001G065400.1.p","","","","","","","","","","",NA,""
"223",372,"NsiI.TP217249","Sobic.001G517000",1,78346901,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.0995,0.62,1,"Chr01",78344611,78346126,1516,"-",-2290,775,37943716,"Sobic.001G517000","Sobic.001G517000.1","Sobic.001G517000.1.p","","PTHR34573,PTHR34573:SF1","","","","","","","","",NA,""
"226",379,"NsiI.TP218127","Sobic.004G315850",4,65196239,5,"PS_Y(5)","F116+36088im(5)","GHW_1(2);HM_1(1)","","GFW_1(1)","FM_50(1)","","CMLM+SUPER(1)MLM+SUPER(4)","","","",0.2782,0.2993,1,"Chr04",65206224,65206658,435,"+",9985,-10419,37929499,"Sobic.004G315850","Sobic.004G315850.1","Sobic.004G315850.1.p","","","","","","","","","","",NA,""
"243",402,"NsiI.TP223397","Sobic.004G277900",4,62086809,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.399,0.175,1,"Chr04",62081866,62088572,6707,"+",-4943,-1763,37933688,"Sobic.004G277900","Sobic.004G277900.1","Sobic.004G277900.1.p","","","","","","","","","","",NA,""
"264",458,"NsiI.TP250793","Sobic.006G030500",6,6506931,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.2255,0.4657,1,"Chr06",6497916,6498534,619,"-",-9015,8397,37947082,"Sobic.006G030500","Sobic.006G030500.1","Sobic.006G030500.1.p","","","","","","","","","","LOC_Os09g15670.1",NA,"protein phosphatase 2C, putative, expressed"
"266",460,"NsiI.TP251147","Sobic.008G003300",8,281308,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.4457,1.602,2,"Chr08",290195,291533,1339,"+",8887,-10225,37927556,"Sobic.008G003300","Sobic.008G003300.2","Sobic.008G003300.2.p","","","","","","","","","","",NA,""
"270",470,"NsiI.TP25459","Sobic.002G218300",2,61014638,6,"PS_Y(6)","F116+36088im(6)","GHW_1(2);HM_1(1)","","GFW_1(1)","FW_50(1);GFW_50(1)","","CMLM+SUPER(1)MLM+SUPER(5)","","","",0.117,2.342,1,"Chr02",61023661,61026652,2992,"+",9023,-12014,37954939,"Sobic.002G218300","Sobic.002G218300.1","Sobic.002G218300.1.p","","PTHR33541,PTHR33541:SF4","","","","","","","","LOC_Os09g27160.1",NA,"expressed protein"
"292",504,"NsiI.TP274765","Sobic.006G106500",6,47625849,31,"PS_N(12)PS_Y(19)","F96+4814(21);F106+4185(10)","HM_1(2)","GHW_50(2);HW_50(1)","FD_1(4);FW_1(1);GFW_1(2);FM_1(2)","FD_50(2);FW_50(3);GFW_50(4)","fprinW(2);fprind(2);fprinGW(2);fprinM(2)","CMLM+SUPER(1)MLM+SUPER(1)","FarmCPU(1)","FASTmrMLM(1)","pLARmEB(27)",0.3333,22.92,1,"Chr06",47625203,47630311,5109,"+",-646,-4462,37948142,"Sobic.006G106500","Sobic.006G106500.1","Sobic.006G106500.1.p","","PTHR36726","","","","","","","","LOC_Os02g36730.1",NA,"expressed protein"
"314",538,"NsiI.TP299172","Sobic.003G218450",3,55365719,1,"PS_N(1)","F116+36088im(1)","","","GFW_1(1)","","","","","FASTmrMLM(1)","",0.0302,0.0055,2,"Chr03",55374603,55376070,1468,"+",8884,-10351,37914588,"Sobic.003G218450","Sobic.003G218450.2","Sobic.003G218450.2.p","","","","","","","","","","",NA,""
"318",546,"NsiI.TP304061","Sobic.001G042700",1,3171203,1,"PS_Y(1)","F116+36088im(1)","HW_1(1)","","","","","MLM+SUPER(1)","","","",0.4678,8.43e-05,1,"Chr01",3173786,3177467,3682,"+",2583,-6264,37942889,"Sobic.001G042700","Sobic.001G042700.1","Sobic.001G042700.1.p","PF04195","PTHR31099","","","","","","","","LOC_Os06g06950.1",NA,"expressed protein"
"328",565,"NsiI.TP32394","Sobic.003G210701",3,54277373,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.1008,0.005783,1,"Chr03",54274684,54275660,977,"+",-2689,1713,37917349,"Sobic.003G210701","Sobic.003G210701.1","Sobic.003G210701.1.p","","","","","","","","","","",NA,""
"329",567,"NsiI.TP32455","Sobic.006G028700",6,6026230,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.05047,3.2,3,"Chr06",6024864,6034305,9442,"+",-1366,-8075,37948412,"Sobic.006G028700","Sobic.006G028700.3","Sobic.006G028700.3.p","PF04195","PTHR33026,PTHR33026:SF2","","","","","","","","LOC_Os11g32000.1",NA,"retrotransposon protein, putative, unclassified, expressed"
"330",570,"NsiI.TP324593","Sobic.004G198350",4,54954569,8,"PS_N(8)","F116+36088im(8)","","HD_50(2)","FM_1(1)","FD_50(1)","fprinW(1);fprind(2);fprinGW(1)","","","FASTmrMLM(6)","pLARmEB(2)",0.0776,6.165,1,"Chr04",54947368,54949929,2562,"-",-7201,4640,37932046,"Sobic.004G198350","Sobic.004G198350.1","Sobic.004G198350.1.p","","","","","","","","","","",NA,""
"340",584,"NsiI.TP328684","Sobic.007G170000",7,60454264,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.168,7.236,1,"Chr07",60456745,60457970,1226,"-",2481,-3706,37935653,"Sobic.007G170000","Sobic.007G170000.1","Sobic.007G170000.1.p","","","","","","","","","","LOC_Os02g55430.1",NA,"alginate regulatory protein AlgP, putative, expressed"
"349",600,"NsiI.TP337751","Sobic.001G314350",1,60167980,12,"PS_N(3)PS_Y(9)","F96+4814(12)","HD_1(1)","HD_50(1);GHW_50(1);HW_50(2)","FW_1(1);GFW_1(1)","FD_50(1);GFW_50(2)","fprinGW(2)","","","mrMLM(6);FASTmrMLM(2)","ISIS EM-BLASSO(2);pLARmEB(2)",0.3906,16.19,1,"Chr01",60167483,60169032,1550,"+",-497,-1052,37939261,"Sobic.001G314350","Sobic.001G314350.1","Sobic.001G314350.1.p","","","","","","","","","","",NA,""
"353",606,"NsiI.TP33811","Sobic.001G432900",1,71154148,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.1758,9.121,1,"Chr01",71153869,71154436,568,"+",-279,-288,37937889,"Sobic.001G432900","Sobic.001G432900.1","Sobic.001G432900.1.p","","","","","","","","","","",NA,""
"366",633,"NsiI.TP347216","Sobic.009G111301",9,44790414,18,"PS_Y(18)","F116+36088im(18)","GHW_1(2);HM_1(1)","","GFW_1(2);FM_1(1)","FD_50(2);FW_50(2);GFW_50(2);FM_50(1)","fprinW(2);fprind(2);fprinGW(1)","CMLM+SUPER(9)MLM+SUPER(9)","","","",0.3643,4.068,1,"Chr09",44790435,44791232,798,"+",21,-818,37920795,"Sobic.009G111301","Sobic.009G111301.1","Sobic.009G111301.1.p","","PTHR37380,PTHR37380:SF2","","","","","","","","",NA,""
"388",666,"NsiI.TP359148","Sobic.001G117701",1,9159698,6,"PS_Y(6)","F116+36088im(6)","HW_1(1);GHW_1(2)","","GFW_1(2)","","fprinW(1)","CMLM+SUPER(2)MLM+SUPER(4)","","","",0.3163,1.536,1,"Chr01",9159160,9161947,2788,"-",-538,-2249,37942106,"Sobic.001G117701","Sobic.001G117701.1","Sobic.001G117701.1.p","","","","","","","","","","LOC_Os12g08030.1",NA,"expressed protein"
"393",675,"NsiI.TP364137","Sobic.006G218850",6,56610072,4,"PS_Y(4)","F116+36088im(4)","GHW_1(2);HM_1(2)","","","","","CMLM+SUPER(2)MLM+SUPER(2)","","","",0.4208,2.908,1,"Chr06",56601274,56601965,692,"+",-8798,8107,37948030,"Sobic.006G218850","Sobic.006G218850.1","Sobic.006G218850.1.p","","","","","","","","","","",NA,""
"394",676,"NsiI.TP364137","Sobic.006G219100",6,56610072,4,"PS_Y(4)","F116+36088im(4)","GHW_1(2);HM_1(2)","","","","","CMLM+SUPER(2)MLM+SUPER(2)","","","",0.4208,2.908,2,"Chr06",56615808,56618748,2941,"+",5736,-8676,37945356,"Sobic.006G219100","Sobic.006G219100.2","Sobic.006G219100.2.p","","","","","","","","","","LOC_Os04g52880.1",NA,"expressed protein"
"396",679,"NsiI.TP364137","Sobic.006G218950",6,56610072,4,"PS_Y(4)","F116+36088im(4)","GHW_1(2);HM_1(2)","","","","","CMLM+SUPER(2)MLM+SUPER(2)","","","",0.4208,2.908,1,"Chr06",56607700,56608696,997,"-",-2372,1376,37946465,"Sobic.006G218950","Sobic.006G218950.1","Sobic.006G218950.1.p","","","","","","","","","","",NA,""
"401",686,"NsiI.TP369405","Sobic.004G027900",4,2234375,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.06705,1.492,1,"Chr04",2242302,2247493,5192,"-",7927,-13118,37933061,"Sobic.004G027900","Sobic.004G027900.1","Sobic.004G027900.1.p","","","","","","","","","","",NA,""
"410",710,"NsiI.TP376338","Sobic.003G425900",3,73019311,26,"PS_Y(26)","F116+36088im(26)","HD_1(1);HW_1(1);GHW_1(2);HM_1(1)","GHW_50(1);HW_50(1)","FW_1(1);GFW_1(2);FM_1(2)","FD_50(2);FW_50(2);GFW_50(2);FM_50(2)","fprinW(2);fprind(2);fprinGW(2)","CMLM+SUPER(14)MLM+SUPER(12)","","","",0.393,0.6502,2,"Chr03",73010266,73012200,1935,"-",-9045,7111,37913451,"Sobic.003G425900","Sobic.003G425900.2","Sobic.003G425900.2.p","PF03478","PTHR33165,PTHR33165:SF6","","","","","","","","LOC_Os01g72720.1",NA,"expressed protein"
"417",719,"NsiI.TP387106","Sobic.001G524600",1,78909568,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.1272,0.6275,1,"Chr01",78908299,78909120,822,"+",-1269,448,37942542,"Sobic.001G524600","Sobic.001G524600.1","Sobic.001G524600.1.p","","","","","","","","","","LOC_Os06g50280.1",NA,"OsFBL31 - F-box domain and LRR containing protein, expressed"
"422",726,"NsiI.TP388861","Sobic.004G184600",4,53760575,15,"PS_Y(15)","F116+36088im(15)","HD_1(1);GHW_1(1);HM_1(1)","HD_50(2);GHW_50(1);HW_50(1)","FD_1(1);FW_1(1)","FD_50(1);FW_50(1)","fprinW(1);fprind(1);fprinGW(1);fprinM(1)","","","mrMLM(13)","ISIS EM-BLASSO(2)",0.1974,19.34,1,"Chr04",53768894,53770203,1310,"+",8319,-9628,37931598,"Sobic.004G184600","Sobic.004G184600.1","Sobic.004G184600.1.p","","","","","","","","","","",NA,""
"434",746,"NsiI.TP39438","Sobic.002G292000",2,67004686,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.1897,1.199,1,"Chr02",67008667,67010027,1361,"+",3981,-5341,37953324,"Sobic.002G292000","Sobic.002G292000.1","Sobic.002G292000.1.p","","","","","","","","","","",NA,""
"439",756,"NsiI.TP39861","Sobic.003G367350",3,68368696,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.2926,3.375,1,"Chr03",68357704,68359055,1352,"+",-10992,9641,37917775,"Sobic.003G367350","Sobic.003G367350.1","Sobic.003G367350.1.p","","","","","","","","","","",NA,""
"442",759,"NsiI.TP39861","Sobic.003G367401",3,68368696,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.2926,3.375,1,"Chr03",68361466,68362218,753,"-",-7230,6478,37913324,"Sobic.003G367401","Sobic.003G367401.1","Sobic.003G367401.1.p","","","","","","","","","","",NA,""
"457",782,"NsiI.TP407173","Sobic.004G176550",4,52879944,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.3677,1.444,1,"Chr04",52876378,52878653,2276,"-",-3566,1291,37931627,"Sobic.004G176550","Sobic.004G176550.1","Sobic.004G176550.1.p","","","","","","","","","","",NA,""
"460",792,"NsiI.TP412045","Sobic.001G026950",1,2102732,5,"PS_Y(5)","F116+36088im(5)","HM_1(1)","","GFW_1(1);FM_1(1)","FM_50(2)","","CMLM+SUPER(2)MLM+SUPER(3)","","","",0.4555,0.8021,1,"Chr01",2106063,2106545,483,"+",3331,-3813,37943819,"Sobic.001G026950","Sobic.001G026950.1","Sobic.001G026950.1.p","","","","","","","","","","",NA,""
"475",813,"NsiI.TP418754","Sobic.004G288800",4,63031223,15,"PS_Y(15)","F116+36088im(15)","HW_1(1);GHW_1(2);HM_1(1)","","GFW_1(2)","FD_50(2);FW_50(1);GFW_50(2);FM_50(2)","fprinW(1);fprind(1)","CMLM+SUPER(6)MLM+SUPER(9)","","","",0.1551,0.2744,1,"Chr04",63028826,63030350,1525,"-",-2397,873,37933065,"Sobic.004G288800","Sobic.004G288800.1","Sobic.004G288800.1.p","","","","","","","","","","",NA,""
"478",818,"NsiI.TP418817","Sobic.003G392600",3,70373036,2,"PS_Y(2)","F116+36088im(2)","","","","FD_50(1)","fprind(1)","MLM+SUPER(2)","","","",0.4175,0.233,2,"Chr03",70379615,70385367,5753,"-",6579,-12331,37916204,"Sobic.003G392600","Sobic.003G392600.2","Sobic.003G392600.2.p","","PTHR33065,PTHR33065:SF9","","","","","","","","LOC_Os09g03210.1",NA,"expressed protein"
"482",828,"NsiI.TP420372","Sobic.004G226000",4,57623143,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.4808,0.1262,2,"Chr04",57614267,57615212,946,"+",-8876,7931,37933640,"Sobic.004G226000","Sobic.004G226000.2","Sobic.004G226000.2.p","","PTHR33191,PTHR33191:SF6","","","","","","","","LOC_Os02g42450.1",NA,"RIPER1 - Ripening-related family protein precursor, expressed"
"483",829,"NsiI.TP420372","Sobic.004G226100",4,57623143,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.4808,0.1262,1,"Chr04",57617507,57618278,772,"+",-5636,4865,37932781,"Sobic.004G226100","Sobic.004G226100.1","Sobic.004G226100.1.p","","PTHR33191,PTHR33191:SF6","","","","","","","","LOC_Os02g42450.1",NA,"RIPER1 - Ripening-related family protein precursor, expressed"
"484",830,"NsiI.TP420372","Sobic.004G226200",4,57623143,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.4808,0.1262,1,"Chr04",57625228,57626626,1399,"-",2085,-3483,37930645,"Sobic.004G226200","Sobic.004G226200.1","Sobic.004G226200.1.p","","PTHR34538,PTHR34538:SF2","","","","","","","","LOC_Os02g42470.1",NA,"expressed protein"
"493",849,"NsiI.TP425431","Sobic.001G256000",1,29611471,1,"PS_N(1)","F116+36088im(1)","","","FM_1(1)","","","","","FASTmrMLM(1)","",0.3836,0.4328,2,"Chr01",29610687,29611473,787,"-",-784,-2,37940224,"Sobic.001G256000","Sobic.001G256000.2","Sobic.001G256000.2.p","","","","","","","","","","LOC_Os02g17770.1",NA,"expressed protein"
"500",862,"NsiI.TP428405","Sobic.002G040550",2,3912472,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","CMLM+SUPER(1)","","","",0.3305,0.9304,1,"Chr02",3912164,3913536,1373,"+",-308,-1064,37949720,"Sobic.002G040550","Sobic.002G040550.1","Sobic.002G040550.1.p","","","","","","","","","","",NA,""
