"","X","SNP","Gene","Chromosome","Position","Grand.Total","PS","Ind.SNP","Heading_1","Heading_50","Flowering_1","Flowering_50","PCA","SUPER","FarmCPU","mrMLM.1","mrMLM.2","MAF","PVE","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"16",27,"GFSSContig16256_300","Sobic.003G062300",3,5453936,15,"PS_Y(15)","F116+36088im(15)","GHW_1(2);HM_1(2)","","FW_1(1);GFW_1(1)","FD_50(1);FW_50(1);GFW_50(2);FM_50(2)","fprinW(1);fprind(1);fprinGW(1)","CMLM+SUPER(6)MLM+SUPER(9)","","","",0.1496,2.187,1,"Chr03",5438686,5444182,5497,"+",-15250,9754,37913178,"Sobic.003G062300","Sobic.003G062300.1","Sobic.003G062300.1.p","PF01422","PTHR12360","KOG1952","","K15683","GO:0008270,GO:0006355,GO:0005634,GO:0003700","AT5G05660.1","ATNFXL2","sequence-specific DNA binding transcription factors;zinc ion binding;sequence-specific DNA binding transcription factors","LOC_Os01g06550.1",NA,"NF-X1-type zinc finger protein, putative, expressed"
"17",28,"GFSSContig16256_300","Sobic.003G062400",3,5453936,15,"PS_Y(15)","F116+36088im(15)","GHW_1(2);HM_1(2)","","FW_1(1);GFW_1(1)","FD_50(1);FW_50(1);GFW_50(2);FM_50(2)","fprinW(1);fprind(1);fprinGW(1)","CMLM+SUPER(6)MLM+SUPER(9)","","","",0.1496,2.187,1,"Chr03",5445388,5450448,5061,"+",-8548,3488,37918218,"Sobic.003G062400","Sobic.003G062400.1","Sobic.003G062400.1.p","PF00628,PF12165","PTHR12321,PTHR12321:SF37","KOG1632","","","GO:0005515,GO:0042393,GO:0006355","AT5G05610.2","AL1","alfin-like 1","LOC_Os05g07040.1",NA,"PHD finger protein, putative, expressed"
"18",30,"GFSSContig16256_300","Sobic.003G062500",3,5453936,15,"PS_Y(15)","F116+36088im(15)","GHW_1(2);HM_1(2)","","FW_1(1);GFW_1(1)","FD_50(1);FW_50(1);GFW_50(2);FM_50(2)","fprinW(1);fprind(1);fprinGW(1)","CMLM+SUPER(6)MLM+SUPER(9)","","","",0.1496,2.187,1,"Chr03",5452782,5454358,1577,"+",-1154,-422,37915478,"Sobic.003G062500","Sobic.003G062500.1","Sobic.003G062500.1.p","PF14299","PTHR32278,PTHR32278:SF3","","","","","AT4G19840.1","ATPP2-A1,ATPP2A-1,PP2-A1","phloem protein 2-A1","LOC_Os01g06500.1",NA,"PHLOEM 2-LIKE A5, putative, expressed"
"19",32,"GFSSContig16256_300","Sobic.003G062600",3,5453936,15,"PS_Y(15)","F116+36088im(15)","GHW_1(2);HM_1(2)","","FW_1(1);GFW_1(1)","FD_50(1);FW_50(1);GFW_50(2);FM_50(2)","fprinW(1);fprind(1);fprinGW(1)","CMLM+SUPER(6)MLM+SUPER(9)","","","",0.1496,2.187,1,"Chr03",5457757,5459243,1487,"+",3821,-5307,37915638,"Sobic.003G062600","Sobic.003G062600.1","Sobic.003G062600.1.p","PF00201","PTHR11926,PTHR11926:SF167","","","","GO:0016758,GO:0008152","AT4G15480.1","UGT84A1","UDP-Glycosyltransferase superfamily protein","LOC_Os02g09510.1",NA,"limonoid UDP-glucosyltransferase, putative, expressed"
"20",33,"GFSSContig16952_694","Sobic.005G109000",5,21260380,4,"PS_Y(4)","F116+36088im(4)","GHW_1(2);HM_1(1)","","GFW_1(1)","","","CMLM+SUPER(1)MLM+SUPER(3)","","","",0.4237,7.668,1,"Chr05",21259432,21261780,2349,"-",-948,-1400,37925635,"Sobic.005G109000","Sobic.005G109000.1","Sobic.005G109000.1.p","PF00067","PTHR24296,PTHR24296:SF5","KOG0157","","","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G48520.1","CYP94B3","cytochrome P450, family 94, subfamily B, polypeptide 3","LOC_Os11g29290.1",NA,"cytochrome P450, putative, expressed"
"29",44,"GFSSContig19146_697","Sobic.002G333800",2,70229911,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.204,0.51,2,"Chr02",70216667,70220765,4099,"-",-13244,9146,37954955,"Sobic.002G333800","Sobic.002G333800.2","Sobic.002G333800.2.p","PF03552","PTHR13301,PTHR13301:SF47","","2.4.2.24","","GO:0030244,GO:0016760,GO:0016020","AT5G16910.1","ATCSLD2,CSLD2","cellulose-synthase like D2","LOC_Os07g36630.1",NA,"CSLF8 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
"30",46,"GFSSContig19146_697","Sobic.002G333900",2,70229911,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.204,0.51,1,"Chr02",70227888,70231133,3246,"-",-2023,-1222,37951150,"Sobic.002G333900","Sobic.002G333900.1","Sobic.002G333900.1.p","PF03552","PTHR13301,PTHR13301:SF38","","2.4.2.24","","GO:0030244,GO:0016760,GO:0016020","AT3G03050.1","ATCSLD3,CSLD3,KJK","cellulose synthase-like D3","LOC_Os07g36690.1",NA,"CSLF2 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
"31",47,"GFSSContig19146_697","Sobic.002G334000",2,70229911,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.204,0.51,1,"Chr02",70232865,70236367,3503,"-",2954,-6456,37951865,"Sobic.002G334000","Sobic.002G334000.1","Sobic.002G334000.1.p","PF03552","PTHR13301,PTHR13301:SF71","","2.4.2.24","","GO:0030244,GO:0016760,GO:0016020","AT1G02730.1","ATCSLD5,CSLD5,SOS6","cellulose synthase-like D5","LOC_Os07g36750.1",NA,"CSLF3 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
"32",48,"GFSSContig19146_697","Sobic.002G334100",2,70229911,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.204,0.51,1,"Chr02",70238027,70241354,3328,"-",8116,-11443,37950364,"Sobic.002G334100","Sobic.002G334100.1","Sobic.002G334100.1.p","PF03552","PTHR13301,PTHR13301:SF44","","2.4.2.24","","GO:0030244,GO:0016760,GO:0016020","AT1G02730.1","ATCSLD5,CSLD5,SOS6","cellulose synthase-like D5","LOC_Os07g36750.1",NA,"CSLF3 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
"33",49,"GFSSContig19333_2734","Sobic.004G038900",4,3228803,5,"PS_Y(5)","F116+36088im(5)","","","GFW_1(2)","FD_50(1);FM_50(1)","fprind(1)","CMLM+SUPER(3)MLM+SUPER(2)","","","",0.5,0.0275,1,"Chr04",3216012,3219779,3768,"+",-12791,9024,37933390,"Sobic.004G038900","Sobic.004G038900.1","Sobic.004G038900.1.p","PF01936","PTHR38134","","2.7.1.46","","","AT2G15560.1","","Putative endonuclease or glycosyl hydrolase","LOC_Os08g13390.2",NA,"expressed protein"
"34",50,"GFSSContig19333_2734","Sobic.004G039000",4,3228803,5,"PS_Y(5)","F116+36088im(5)","","","GFW_1(2)","FD_50(1);FM_50(1)","fprind(1)","CMLM+SUPER(3)MLM+SUPER(2)","","","",0.5,0.0275,2,"Chr04",3221824,3224808,2985,"+",-6979,3995,37932570,"Sobic.004G039000","Sobic.004G039000.2","Sobic.004G039000.2.p","","","","","","","AT4G26020.2","","","LOC_Os02g05520.1",NA,"expressed protein"
"35",51,"GFSSContig19333_2734","Sobic.004G039200",4,3228803,5,"PS_Y(5)","F116+36088im(5)","","","GFW_1(2)","FD_50(1);FM_50(1)","fprind(1)","CMLM+SUPER(3)MLM+SUPER(2)","","","",0.5,0.0275,1,"Chr04",3227419,3233511,6093,"+",-1384,-4708,37929068,"Sobic.004G039200","Sobic.004G039200.1","Sobic.004G039200.1.p","PF08920","PTHR12097,PTHR12097:SF1","","","K12828","","AT5G64270.1","","splicing factor, putative","LOC_Os02g05310.2",NA,"splicing factor 3B subunit 1, putative, expressed"
"36",53,"GFSSContig19333_2734","Sobic.004G039300",4,3228803,5,"PS_Y(5)","F116+36088im(5)","","","GFW_1(2)","FD_50(1);FM_50(1)","fprind(1)","CMLM+SUPER(3)MLM+SUPER(2)","","","",0.5,0.0275,1,"Chr04",3234423,3238897,4475,"+",5620,-10094,37931971,"Sobic.004G039300","Sobic.004G039300.1","Sobic.004G039300.1.p","","PTHR13205,PTHR13205:SF15","KOG2468","2.7.1.108","K00902","","AT3G45040.1","","phosphatidate cytidylyltransferase family protein","LOC_Os02g05320.1",NA,"phosphatidate cytidylyltransferase family protein, putative, expressed"
"37",55,"GFSSContig19333_2734","Sobic.004G039100",4,3228803,5,"PS_Y(5)","F116+36088im(5)","","","GFW_1(2)","FD_50(1);FM_50(1)","fprind(1)","CMLM+SUPER(3)MLM+SUPER(2)","","","",0.5,0.0275,2,"Chr04",3225405,3227478,2074,"-",-3398,1325,37929385,"Sobic.004G039100","Sobic.004G039100.2","Sobic.004G039100.2.p","PF10357","PTHR12805","KOG2837","","K13102","","AT1G55460.1","","DNA/RNA-binding protein Kin17, conserved region","LOC_Os03g37330.1",NA,"KIN, antigenic determinant of recA protein, putative, expressed"
"38",56,"GFSSContig3389_148","Sobic.001G092200",1,7132238,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.09227,2.041,1,"Chr01",7120670,7129472,8803,"+",-11568,2766,37937658,"Sobic.001G092200","Sobic.001G092200.1","Sobic.001G092200.1.p","PF00271,PF12513","PTHR12131,PTHR12131:SF2","","3.6.4.13","K17675","GO:0016817","AT4G14790.1","ATSUV3,EDA15","ATP-dependent RNA helicase, mitochondrial (SUV3)","LOC_Os03g53500.1",NA,"helicase conserved C-terminal domain containing protein, expressed"
"40",61,"GFSSContig3389_148","Sobic.001G092300",1,7132238,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.09227,2.041,1,"Chr01",7131639,7134325,2687,"-",-599,-2087,37938328,"Sobic.001G092300","Sobic.001G092300.1","Sobic.001G092300.1.p","PF12854,PF13041","PTHR24015,PTHR24015:SF589","","","","","AT3G22670.1","","Pentatricopeptide repeat (PPR) superfamily protein","LOC_Os03g53490.1",NA,"PPR repeat containing protein, expressed"
"42",63,"GFSSContig3389_148","Sobic.001G092500",1,7132238,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.09227,2.041,1,"Chr01",7139764,7143580,3817,"-",7526,-11342,37939378,"Sobic.001G092500","Sobic.001G092500.1","Sobic.001G092500.1.p","PF07714","PTHR23257,PTHR23257:SF353","KOG0192","2.7.12.1","","GO:0006468,GO:0004672","AT3G22750.1","","Protein kinase superfamily protein","LOC_Os03g53410.1",NA,"protein kinase domain containing protein, expressed"
"44",65,"GFSSContig4757_256","Sobic.007G219200",7,64751316,13,"PS_Y(13)","F116+36088im(13)","GHW_1(2);HM_1(2)","GHW_50(1)","GFW_1(2)","FD_50(1);FW_50(1);GFW_50(2);FM_50(1)","fprind(1)","CMLM+SUPER(4)MLM+SUPER(9)","","","",0.1241,0.1005,3,"Chr07",64749936,64753450,3515,"+",-1380,-2134,37935788,"Sobic.007G219200","Sobic.007G219200.3","Sobic.007G219200.3.p","PF02990","PTHR10766,PTHR10766:SF44","","","K17086","GO:0016021","AT4G12650.1","","Endomembrane protein 70 protein family","LOC_Os08g38820.2",NA,"transmembrane 9 superfamily member, putative, expressed"
"45",66,"GFSSContig4757_256","Sobic.007G219400",7,64751316,13,"PS_Y(13)","F116+36088im(13)","GHW_1(2);HM_1(2)","GHW_50(1)","GFW_1(2)","FD_50(1);FW_50(1);GFW_50(2);FM_50(1)","fprind(1)","CMLM+SUPER(4)MLM+SUPER(9)","","","",0.1241,0.1005,1,"Chr07",64757195,64758821,1627,"+",5879,-7505,37934566,"Sobic.007G219400","Sobic.007G219400.1","Sobic.007G219400.1.p","","PTHR33287,PTHR33287:SF3","","","","","AT5G56120.1","","","LOC_Os08g38790.1",NA,"expressed protein"
"46",67,"GFSSContig4757_256","Sobic.007G219300",7,64751316,13,"PS_Y(13)","F116+36088im(13)","GHW_1(2);HM_1(2)","GHW_50(1)","GFW_1(2)","FD_50(1);FW_50(1);GFW_50(2);FM_50(1)","fprind(1)","CMLM+SUPER(4)MLM+SUPER(9)","","","",0.1241,0.1005,2,"Chr07",64755435,64756352,918,"-",4119,-5036,37936081,"Sobic.007G219300","Sobic.007G219300.2","Sobic.007G219300.2.p","PF03181","PTHR31236,PTHR31236:SF10","","","","","AT5G25610.1","ATRD22,RD22","BURP domain-containing protein","LOC_Os08g38810.1",NA,"BURP domain containing protein, expressed"
"47",68,"GFSSContig4757_256","Sobic.007G219500",7,64751316,13,"PS_Y(13)","F116+36088im(13)","GHW_1(2);HM_1(2)","GHW_50(1)","GFW_1(2)","FD_50(1);FW_50(1);GFW_50(2);FM_50(1)","fprind(1)","CMLM+SUPER(4)MLM+SUPER(9)","","","",0.1241,0.1005,1,"Chr07",64760094,64761344,1251,"-",8778,-10028,37936322,"Sobic.007G219500","Sobic.007G219500.1","Sobic.007G219500.1.p","PF00808","PTHR10252,PTHR10252:SF46","","","","","AT1G56170.1","ATHAP5B,HAP5B,NF-YC2","nuclear factor Y, subunit C2","LOC_Os08g38780.1",NA,"core histone H2A/H2B/H3/H4, putative, expressed"
"48",69,"GFSSContig4787_601","Sobic.001G221000",1,20799071,1,"PS_Y(1)","F116+36088im(1)","","","FM_1(1)","","","CMLM+SUPER(1)","","","",0.0703,3.701,1,"Chr01",20794473,20796516,2044,"-",-4598,2555,37938437,"Sobic.001G221000","Sobic.001G221000.1","Sobic.001G221000.1.p","PF00240","PTHR10666,PTHR10666:SF146","KOG0005,KOG0001","","K08770","GO:0005515","AT4G05320.4","UBQ10","polyubiquitin 10","LOC_Os10g33620.1",NA,"ubiquitin family protein, putative, expressed"
"49",70,"GFSSContig4787_601","Sobic.001G221100",1,20799071,1,"PS_Y(1)","F116+36088im(1)","","","FM_1(1)","","","CMLM+SUPER(1)","","","",0.0703,3.701,2,"Chr01",20798755,20801624,2870,"-",-316,-2553,37939955,"Sobic.001G221100","Sobic.001G221100.2","Sobic.001G221100.2.p","PF00240","PTHR10666,PTHR10666:SF146","KOG0005,KOG0001","","K08770","GO:0005515","AT4G05320.2","UBQ10","polyubiquitin 10","LOC_Os10g33620.1",NA,"ubiquitin family protein, putative, expressed"
"50",72,"NsiI.TP1005","Sobic.008G148500",8,58192884,3,"PS_Y(3)","F116+36088im(3)","HM_1(1)","","GFW_1(1)","GFW_50(1)","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.1136,1.267,1,"Chr08",58184263,58187827,3565,"+",-8621,5057,37927921,"Sobic.008G148500","Sobic.008G148500.1","Sobic.008G148500.1.p","","PTHR14237,PTHR14237:SF24","","2.8.1.9","","","AT2G23520.1","","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","LOC_Os12g40010.2",NA,"expressed protein"
"51",73,"NsiI.TP1005","Sobic.008G148600",8,58192884,3,"PS_Y(3)","F116+36088im(3)","HM_1(1)","","GFW_1(1)","GFW_50(1)","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.1136,1.267,2,"Chr08",58193309,58197051,3743,"+",425,-4167,37926759,"Sobic.008G148600","Sobic.008G148600.2","Sobic.008G148600.2.p","PF02362","PTHR31391,PTHR31391:SF11","","","","GO:0003677","AT4G33280.1","","AP2/B3-like transcriptional factor family protein","LOC_Os12g40080.1",NA,"B3 DNA binding domain containing protein, expressed"
"52",74,"NsiI.TP1005","Sobic.008G148700",8,58192884,3,"PS_Y(3)","F116+36088im(3)","HM_1(1)","","GFW_1(1)","GFW_50(1)","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.1136,1.267,1,"Chr08",58200637,58210149,9513,"+",7753,-17265,37928826,"Sobic.008G148700","Sobic.008G148700.1","Sobic.008G148700.1.p","PF02362","PTHR31391,PTHR31391:SF11","","","","GO:0003677","AT4G33280.1","","AP2/B3-like transcriptional factor family protein","LOC_Os12g40080.1",NA,"B3 DNA binding domain containing protein, expressed"
"53",75,"NsiI.TP101439","Sobic.003G185700",3,50050903,13,"PS_Y(13)","F116+36088im(13)","GHW_1(2);HM_1(1)","","GFW_1(2)","FD_50(2);FW_50(1);GFW_50(2);FM_50(1)","fprinW(1);fprind(1)","CMLM+SUPER(4)MLM+SUPER(9)","","","",0.3149,2.589,1,"Chr03",50048644,50050228,1585,"-",-2259,675,37912838,"Sobic.003G185700","Sobic.003G185700.1","Sobic.003G185700.1.p","PF00641","PTHR23111,PTHR23111:SF33","","","","GO:0008270","AT3G15680.1","","Ran BP2/NZF zinc finger-like superfamily protein","LOC_Os01g37460.1",NA,"zinc finger family protein, putative, expressed"
"55",77,"NsiI.TP102705","Sobic.004G116000",4,12103867,2,"PS_Y(2)","F116+36088im(2)","HM_1(1)","","GFW_1(1)","","","MLM+SUPER(2)","","","",0.27,2.215,2,"Chr04",12088737,12094061,5325,"-",-15130,9806,37928855,"Sobic.004G116000","Sobic.004G116000.2","Sobic.004G116000.2.p","","PTHR31827,PTHR31827:SF10","","","","","AT1G64140.1","","","LOC_Os02g15885.1",NA,"expressed protein"
"56",78,"NsiI.TP102705","Sobic.004G116100",4,12103867,2,"PS_Y(2)","F116+36088im(2)","HM_1(1)","","GFW_1(1)","","","MLM+SUPER(2)","","","",0.27,2.215,1,"Chr04",12101470,12105836,4367,"-",-2397,-1969,37931985,"Sobic.004G116100","Sobic.004G116100.1","Sobic.004G116100.1.p","PF00829","PTHR21349,PTHR21349:SF2","KOG1686","","K02888","GO:0005840","AT1G35680.1","","Ribosomal protein L21","LOC_Os02g15900.1",NA,"50S ribosomal protein L21, chloroplast precursor, putative, expressed"
"57",79,"NsiI.TP102705","Sobic.004G116200",4,12103867,2,"PS_Y(2)","F116+36088im(2)","HM_1(1)","","GFW_1(1)","","","MLM+SUPER(2)","","","",0.27,2.215,1,"Chr04",12113077,12117628,4552,"-",9210,-13761,37929832,"Sobic.004G116200","Sobic.004G116200.1","Sobic.004G116200.1.p","","PTHR33527,PTHR33527:SF2","","","","","AT1G49290.1","","","LOC_Os07g17300.1",NA,"expressed protein"
