,SNP,Pfam,Panther,KOG,ec,KO,GO,Best.hit.arabi.name,arabi.symbol,arabi.defline,Best.hit.rice.name,rice.symbol,rice.defline
21,GFSSContig14485_1273,PF00400,"PTHR14221,PTHR14221:SF1",,,,GO:0005515,AT5G24320,,Transducin/WD40 repeat-like superfamily protein,LOC_Os03g02440,NA,"WD repeat-containing protein 44, putative, expressed"
22,GFSSContig15044_1090,PF00160,"PTHR11071,PTHR11071:SF297",KOG0879,5.2.1.8,K09566,"GO:0006457,GO:0003755,GO:0000413",AT3G63400,,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein,LOC_Os02g10970,NA,"peptidyl-prolyl cis-trans isomerase, putative, expressed"
26,GFSSContig15044_1090,"PF00875,PF03441","PTHR11455,PTHR11455:SF9",KOG0133,4.1.99.13,K02295,,AT3G15620,UVR3,DNA photolyase family protein,LOC_Os02g10990,NA,"FAD binding domain of DNA photolyase domain containing protein, expressed"
27,GFSSContig16256_300,PF01422,PTHR12360,KOG1952,,K15683,"GO:0008270,GO:0006355,GO:0005634,GO:0003700",AT5G05660,ATNFXL2,sequence-specific DNA binding transcription factors;zinc ion binding;sequence-specific DNA binding transcription factors,LOC_Os01g06550,NA,"NF-X1-type zinc finger protein, putative, expressed"
28,GFSSContig16256_300,"PF00628,PF12165","PTHR12321,PTHR12321:SF37",KOG1632,,,"GO:0005515,GO:0042393,GO:0006355",AT5G05610,AL1,alfin-like 1,LOC_Os05g07040,NA,"PHD finger protein, putative, expressed"
30,GFSSContig16256_300,PF14299,"PTHR32278,PTHR32278:SF3",,,,,AT4G19840,"ATPP2-A1,ATPP2A-1,PP2-A1",phloem protein 2-A1,LOC_Os01g06500,NA,"PHLOEM 2-LIKE A5, putative, expressed"
32,GFSSContig16256_300,PF00201,"PTHR11926,PTHR11926:SF167",,,,"GO:0016758,GO:0008152",AT4G15480,UGT84A1,UDP-Glycosyltransferase superfamily protein,LOC_Os02g09510,NA,"limonoid UDP-glucosyltransferase, putative, expressed"
33,GFSSContig16952_694,PF00067,"PTHR24296,PTHR24296:SF5",KOG0157,,,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",AT3G48520,CYP94B3,"cytochrome P450, family 94, subfamily B, polypeptide 3",LOC_Os11g29290,NA,"cytochrome P450, putative, expressed"
34,GFSSContig17419_591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,GFSSContig17419_591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,GFSSContig17419_591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,GFSSContig17419_591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,GFSSContig18315_975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,GFSSContig18315_975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,GFSSContig18315_975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,GFSSContig18315_975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,GFSSContig19146_697,PF03552,"PTHR13301,PTHR13301:SF47",,2.4.2.24,,"GO:0030244,GO:0016760,GO:0016020",AT5G16910,"ATCSLD2,CSLD2",cellulose-synthase like D2,LOC_Os07g36630,NA,"CSLF8 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
46,GFSSContig19146_697,PF03552,"PTHR13301,PTHR13301:SF38",,2.4.2.24,,"GO:0030244,GO:0016760,GO:0016020",AT3G03050,"ATCSLD3,CSLD3,KJK",cellulose synthase-like D3,LOC_Os07g36690,NA,"CSLF2 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
47,GFSSContig19146_697,PF03552,"PTHR13301,PTHR13301:SF71",,2.4.2.24,,"GO:0030244,GO:0016760,GO:0016020",AT1G02730,"ATCSLD5,CSLD5,SOS6",cellulose synthase-like D5,LOC_Os07g36750,NA,"CSLF3 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
48,GFSSContig19146_697,PF03552,"PTHR13301,PTHR13301:SF44",,2.4.2.24,,"GO:0030244,GO:0016760,GO:0016020",AT1G02730,"ATCSLD5,CSLD5,SOS6",cellulose synthase-like D5,LOC_Os07g36750,NA,"CSLF3 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
49,GFSSContig19333_2734,PF01936,PTHR38134,,2.7.1.46,,,AT2G15560,,Putative endonuclease or glycosyl hydrolase,LOC_Os08g13390,NA,expressed protein
50,GFSSContig19333_2734,,,,,,,AT4G26020,,,LOC_Os02g05520,NA,expressed protein
51,GFSSContig19333_2734,PF08920,"PTHR12097,PTHR12097:SF1",,,K12828,,AT5G64270,,"splicing factor, putative",LOC_Os02g05310,NA,"splicing factor 3B subunit 1, putative, expressed"
53,GFSSContig19333_2734,,"PTHR13205,PTHR13205:SF15",KOG2468,2.7.1.108,K00902,,AT3G45040,,phosphatidate cytidylyltransferase family protein,LOC_Os02g05320,NA,"phosphatidate cytidylyltransferase family protein, putative, expressed"
55,GFSSContig19333_2734,PF10357,PTHR12805,KOG2837,,K13102,,AT1G55460,,"DNA/RNA-binding protein Kin17, conserved region",LOC_Os03g37330,NA,"KIN, antigenic determinant of recA protein, putative, expressed"
56,GFSSContig3389_148,"PF00271,PF12513","PTHR12131,PTHR12131:SF2",,3.6.4.13,K17675,GO:0016817,AT4G14790,"ATSUV3,EDA15","ATP-dependent RNA helicase, mitochondrial (SUV3)",LOC_Os03g53500,NA,"helicase conserved C-terminal domain containing protein, expressed"
60,GFSSContig3389_148,,,,,,,,,,,NA,
61,GFSSContig3389_148,"PF12854,PF13041","PTHR24015,PTHR24015:SF589",,,,,AT3G22670,,Pentatricopeptide repeat (PPR) superfamily protein,LOC_Os03g53490,NA,"PPR repeat containing protein, expressed"
62,GFSSContig3389_148,,,,,,,,,,,NA,
63,GFSSContig3389_148,PF07714,"PTHR23257,PTHR23257:SF353",KOG0192,2.7.12.1,,"GO:0006468,GO:0004672",AT3G22750,,Protein kinase superfamily protein,LOC_Os03g53410,NA,"protein kinase domain containing protein, expressed"
64,GFSSContig4510_767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,GFSSContig4757_256,PF02990,"PTHR10766,PTHR10766:SF44",,,K17086,GO:0016021,AT4G12650,,Endomembrane protein 70 protein family,LOC_Os08g38820,NA,"transmembrane 9 superfamily member, putative, expressed"
66,GFSSContig4757_256,,"PTHR33287,PTHR33287:SF3",,,,,AT5G56120,,,LOC_Os08g38790,NA,expressed protein
67,GFSSContig4757_256,PF03181,"PTHR31236,PTHR31236:SF10",,,,,AT5G25610,"ATRD22,RD22",BURP domain-containing protein,LOC_Os08g38810,NA,"BURP domain containing protein, expressed"
68,GFSSContig4757_256,PF00808,"PTHR10252,PTHR10252:SF46",,,,,AT1G56170,"ATHAP5B,HAP5B,NF-YC2","nuclear factor Y, subunit C2",LOC_Os08g38780,NA,"core histone H2A/H2B/H3/H4, putative, expressed"
69,GFSSContig4787_601,PF00240,"PTHR10666,PTHR10666:SF146","KOG0005,KOG0001",,K08770,GO:0005515,AT4G05320,UBQ10,polyubiquitin 10,LOC_Os10g33620,NA,"ubiquitin family protein, putative, expressed"
70,GFSSContig4787_601,PF00240,"PTHR10666,PTHR10666:SF146","KOG0005,KOG0001",,K08770,GO:0005515,AT4G05320,UBQ10,polyubiquitin 10,LOC_Os10g33620,NA,"ubiquitin family protein, putative, expressed"
72,NsiI.TP1005,,"PTHR14237,PTHR14237:SF24",,2.8.1.9,,,AT2G23520,,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein,LOC_Os12g40010,NA,expressed protein
73,NsiI.TP1005,PF02362,"PTHR31391,PTHR31391:SF11",,,,GO:0003677,AT4G33280,,AP2/B3-like transcriptional factor family protein,LOC_Os12g40080,NA,"B3 DNA binding domain containing protein, expressed"
74,NsiI.TP1005,PF02362,"PTHR31391,PTHR31391:SF11",,,,GO:0003677,AT4G33280,,AP2/B3-like transcriptional factor family protein,LOC_Os12g40080,NA,"B3 DNA binding domain containing protein, expressed"
75,NsiI.TP101439,PF00641,"PTHR23111,PTHR23111:SF33",,,,GO:0008270,AT3G15680,,Ran BP2/NZF zinc finger-like superfamily protein,LOC_Os01g37460,NA,"zinc finger family protein, putative, expressed"
76,NsiI.TP102705,,,,,,,,,,,NA,
77,NsiI.TP102705,,"PTHR31827,PTHR31827:SF10",,,,,AT1G64140,,,LOC_Os02g15885,NA,expressed protein
78,NsiI.TP102705,PF00829,"PTHR21349,PTHR21349:SF2",KOG1686,,K02888,GO:0005840,AT1G35680,,Ribosomal protein L21,LOC_Os02g15900,NA,"50S ribosomal protein L21, chloroplast precursor, putative, expressed"
79,NsiI.TP102705,,"PTHR33527,PTHR33527:SF2",,,,,AT1G49290,,,LOC_Os07g17300,NA,expressed protein
80,NsiI.TP10339,PF02365,"PTHR31989,PTHR31989:SF47",,,,"GO:0006355,GO:0003677",AT1G12260,"ANAC007,EMB2749,NAC007,VND4",NAC 007,LOC_Os02g42970,NA,"NAC domain containing protein, putative, expressed"
83,NsiI.TP10339,,,,,,,,,,,NA,
84,NsiI.TP10339,PF00134,"PTHR10026,PTHR10026:SF77",KOG0834,,K15188,"GO:0019901,GO:0006355,GO:0000079",AT5G45190,,Cyclin family protein,LOC_Os02g24190,NA,"cyclin-T1-2, putative, expressed"
85,NsiI.TP10339,PF13599,"PTHR14136,PTHR14136:SF3",,,,,AT1G12250,,Pentapeptide repeat-containing protein,LOC_Os02g42960,NA,"thylakoid lumenal protein, putative, expressed"
86,NsiI.TP104065,PF01008,"PTHR10233,PTHR10233:SF19",,,K03680,GO:0044237,AT5G38640,,NagB/RpiA/CoA transferase-like superfamily protein,LOC_Os03g44310,NA,"initiation factor 2 subunit family domain containing protein, expressed"
89,NsiI.TP108822,"PF14226,PF03171","PTHR10209,PTHR10209:SF123",KOG0143,,,"GO:0055114,GO:0016491",AT1G06620,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,LOC_Os04g10350,NA,"1-aminocyclopropane-1-carboxylate oxidase homolog 2, putative, expressed"
90,NsiI.TP108822,"PF14226,PF03171","PTHR10209,PTHR10209:SF123",KOG0143,1.14.11.20,,"GO:0055114,GO:0016491",AT1G06620,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,LOC_Os04g10350,NA,"1-aminocyclopropane-1-carboxylate oxidase homolog 2, putative, expressed"
95,NsiI.TP111392,,,,,,,,,,,NA,
97,NsiI.TP111392,PF13365,"PTHR18868,PTHR18868:SF19",,,,,,,,LOC_Os03g01940,NA,expressed protein
100,NsiI.TP115800,PF12695,"PTHR33428,PTHR33428:SF2",,3.1.1.14,K08099,,AT5G43860,"ATCLH2,CLH2",chlorophyllase 2,LOC_Os10g28370,NA,"chlorophyllase-2, chloroplast precursor, putative, expressed"
102,NsiI.TP11763,PF00071,"PTHR24073,PTHR24073:SF515",,,K07976,"GO:0007264,GO:0005525",AT5G54840,"ATSGP1,SGP1",Ras-related small GTP-binding family protein,LOC_Os07g33850,NA,"ras-related protein, putative, expressed"
103,NsiI.TP11763,,,,,,,,,,,NA,
104,NsiI.TP117758,"PF01798,PF08156",PTHR10894,,,K14565,,AT3G05060,,NOP56-like pre RNA processing ribonucleoprotein,LOC_Os03g22730,NA,"nucleolar protein NOP5-1, putative, expressed"
106,NsiI.TP117758,PF00069,"PTHR24056,PTHR24056:SF207",KOG0663,"2.7.11.22,2.7.11.23",K08819,"GO:0006468,GO:0005524,GO:0004672",AT1G54610,,Protein kinase superfamily protein,LOC_Os07g47180,NA,"transposon protein, putative, unclassified, expressed"
109,NsiI.TP117758,PF04097,PTHR11225,,,K14309,"GO:0006810,GO:0005643",AT2G41620,,Nucleoporin interacting component (Nup93/Nic96-like) family protein,LOC_Os03g22690,NA,"nucleoporin interacting component, putative, expressed"
111,NsiI.TP119595,PF00924,"PTHR30566,PTHR30566:SF13",,,K16052,"GO:0055085,GO:0016020",AT5G10490,MSL2,MSCS-like 2,LOC_Os02g45690,NA,"uncharacterized mscS family protein, putative, expressed"
115,NsiI.TP120901,"PF00070,PF02852","PTHR22912,PTHR22912:SF106",,1.8.1.7,K00383,"GO:0055114,GO:0016491,GO:0045454",AT3G24170,"ATGR1,GR1",glutathione-disulfide reductase,LOC_Os02g56850,NA,"glutathione reductase, putative, expressed"
117,NsiI.TP120901,"PF08541,PF08392","PTHR31561,PTHR31561:SF7",,2.3.1.199,K15397,"GO:0016747,GO:0008610,GO:0016020,GO:0006633",AT2G28630,KCS12,3-ketoacyl-CoA synthase 12,LOC_Os02g56860,NA,"3-ketoacyl-CoA synthase, putative, expressed"
119,NsiI.TP123409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NsiI.TP123409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NsiI.TP123778,"PF13410,PF13417","PTHR11260,PTHR11260:SF200",KOG0406,2.5.1.18,K00799,GO:0005515,AT1G59670,"ATGSTU15,GSTU15",glutathione S-transferase TAU 15,LOC_Os10g38700,NA,"glutathione S-transferase, putative, expressed"
122,NsiI.TP123778,,,,,,,,,,,NA,
123,NsiI.TP123778,"PF00043,PF13417","PTHR11260,PTHR11260:SF232",KOG0406,2.5.1.18,K00799,GO:0005515,AT1G10360,"ATGSTU18,GST29,GSTU18",glutathione S-transferase TAU 18,LOC_Os10g38160,NA,"glutathione S-transferase, putative, expressed"
124,NsiI.TP123778,"PF13410,PF13417","PTHR11260,PTHR11260:SF243",KOG0406,2.5.1.18,K00799,GO:0005515,AT1G10370,"ATGSTU17,ERD9,GST30,GST30B",Glutathione S-transferase family protein,LOC_Os10g38660,NA,"glutathione S-transferase, putative, expressed"
125,NsiI.TP123780,PF00201,"PTHR11926,PTHR11926:SF255",KOG1192,,K08237,"GO:0016758,GO:0008152",AT4G01070,"GT72B1,UGT72B1",UDP-Glycosyltransferase superfamily protein,LOC_Os01g43280,NA,"hydroquinone glucosyltransferase, putative, expressed"
126,NsiI.TP123780,,"PTHR11926,PTHR11926:SF255",,2.4.1.218,K08237,"GO:0016758,GO:0008152",AT1G01420,UGT72B3,UDP-glucosyl transferase 72B3,LOC_Os01g43280,NA,"hydroquinone glucosyltransferase, putative, expressed"
127,NsiI.TP125412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,NsiI.TP125412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,NsiI.TP125412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,NsiI.TP125412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,NsiI.TP125412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,NsiI.TP125422,PF00141,"PTHR31388,PTHR31388:SF44",,1.11.1.7,K00430,"GO:0055114,GO:0020037,GO:0006979,GO:0004601",AT4G16270,,Peroxidase superfamily protein,LOC_Os08g20730,NA,"peroxidase precursor, putative, expressed"
133,NsiI.TP127048,PF01764,"PTHR21493,PTHR21493:SF136",,3.1.1.3,,GO:0006629,AT5G67050,,alpha/beta-Hydrolases superfamily protein,LOC_Os05g06140,NA,"lipase, putative, expressed"
134,NsiI.TP127103,,PTHR16684,,,,"GO:0000776,GO:0019237,GO:0051382",AT1G15660,CENP-C,centromere protein C,LOC_Os01g43050,NA,"CENP-C1, putative, expressed"
135,NsiI.TP127103,PF01789,"PTHR31407,PTHR31407:SF7",,1.10.3.9,,"GO:0019898,GO:0015979,GO:0009654,GO:0009523,GO:0005509",AT5G11450,,Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein,LOC_Os01g43070,NA,"psbP-related thylakoid lumenal protein 4, chloroplast precursor, putative, expressed"
138,NsiI.TP127103,PF15370,PTHR28674,,,,,AT1G71430,,,LOC_Os01g43060,NA,expressed protein
139,NsiI.TP127103,,,,,,,,,,,NA,
140,NsiI.TP127103,PF00248,"PTHR11732,PTHR11732:SF253",KOG1575,1.1.1.317,,,AT1G60690,,NAD(P)-linked oxidoreductase superfamily protein,LOC_Os01g43090,NA,"oxidoreductase, aldo/keto reductase family protein, putative, expressed"
141,NsiI.TP127922,PF00025,"PTHR24073,PTHR24073:SF545",KOG0098,3.6.5.2,K07877,GO:0005525,AT4G17170,"AT-RAB2,ATRAB-B1B,ATRAB2A,ATRABB1C,RAB-B1B,RAB2A,RABB1C",RAB GTPase homolog B1C,LOC_Os02g37420,NA,"ras-related protein, putative, expressed"
142,NsiI.TP127922,PF00561,"PTHR10992,PTHR10992:SF869",KOG4178,3.3.2.10,,,AT3G51000,,alpha/beta-Hydrolases superfamily protein,LOC_Os10g35520,NA,"hydrolase, alpha/beta fold family domain containing protein, expressed"
143,NsiI.TP127922,,,,,,,,,,LOC_Os02g38980,NA,"bromodomain domain containing protein, expressed"
144,NsiI.TP127922,PF01423,PTHR23338,KOG3428,,K11087,GO:0006396,AT4G02840,,Small nuclear ribonucleoprotein family protein,LOC_Os04g39444,NA,"LSM domain containing protein, expressed"
145,NsiI.TP128678,PF00076,"PTHR24012,PTHR24012:SF421",KOG0149,,,GO:0003676,AT1G33470,,RNA-binding (RRM/RBD/RNP motifs) family protein,LOC_Os01g65550,NA,"RNA recognition motif containing protein, putative, expressed"
146,NsiI.TP128678,PF05557,"PTHR23168,PTHR23168:SF0",KOG4593,,K06638,GO:0007094,AT5G49880,,mitotic checkpoint family protein,LOC_Os01g65580,NA,"mitotic checkpoint family protein, putative, expressed"
147,NsiI.TP128678,"PF13334,PF01762","PTHR11214,PTHR11214:SF100",KOG2288,2.4.1.134,,"GO:0016020,GO:0008378,GO:0006486",AT1G33430,,Galactosyltransferase family protein,LOC_Os01g65590,NA,"galactosyltransferase, putative, expressed"
150,NsiI.TP128678,,"PTHR34050:SF1,PTHR34050",,,,,AT1G71310,,cobalt ion binding,LOC_Os01g65560,NA,"snRK1-interacting protein 1, putative, expressed"
151,NsiI.TP129464,,"PTHR36311,PTHR36311:SF1",,1.97.1.12,K14332,,AT1G08380,PSAO,photosystem I subunit O,LOC_Os04g33830,NA,"membrane protein, putative, expressed"
152,NsiI.TP129464,"PF13041,PF01535","PTHR24015,PTHR24015:SF139",,,,,AT5G37570,,Pentatricopeptide repeat (PPR-like) superfamily protein,LOC_Os04g33840,NA,"pentatricopeptide, putative, expressed"
155,NsiI.TP129464,,"PTHR33177,PTHR33177:SF3",,,,,AT3G11600,,,LOC_Os04g33860,NA,expressed protein
160,NsiI.TP139027,,,,,,,,,,,NA,
163,NsiI.TP139027,PF14009,"PTHR33052,PTHR33052:SF3",,3.4.21.72,,,AT1G29195,,,LOC_Os05g07240,NA,expressed protein
164,NsiI.TP146169,PF00432,"PTHR11764,PTHR11764:SF14",,,,GO:0003824,AT2G07050,CAS1,cycloartenol synthase 1,LOC_Os11g18194,NA,"cycloartenol synthase, putative, expressed"
165,NsiI.TP146180,PF00249,"PTHR24078,PTHR24078:SF177",,,,,AT1G75250,"ATRL6,RL6,RSM3",RAD-like 6,LOC_Os01g47370,NA,"MYB family transcription factor, putative, expressed"
168,NsiI.TP149154,PF00685,"PTHR11783,PTHR11783:SF68",KOG1584,,,GO:0008146,AT3G45070,,P-loop containing nucleoside triphosphate hydrolases superfamily protein,LOC_Os08g40380,NA,"sulfotransferase domain containing protein, expressed"
169,NsiI.TP149154,,,,,,,,,,,NA,
170,NsiI.TP149154,PF00651,"PTHR24413,PTHR24413:SF136",,,,GO:0005515,AT3G06190,"ATBPM2,BPM2",BTB-POZ and MATH domain 2,LOC_Os08g41220,NA,"BTB/POZ domain containing protein, expressed"
171,NsiI.TP149154,"PF07714,PF00139","PTHR27007,PTHR27007:SF48",KOG1187,2.7.11.1,,"GO:0006468,GO:0004672,GO:0030246",AT5G06740,,Concanavalin A-like lectin protein kinase family protein,LOC_Os08g40280,NA,"lectin-like protein kinase, putative, expressed"
172,NsiI.TP149154,"PF00069,PF00139","PTHR27007,PTHR27007:SF34",KOG1187,2.7.11.1,,"GO:0006468,GO:0005524,GO:0004672,GO:0030246",AT5G06740,,Concanavalin A-like lectin protein kinase family protein,LOC_Os08g40270,NA,"lectin-like protein kinase, putative, expressed"
173,NsiI.TP150749,PF00034,"PTHR11961:SF8,PTHR11961",KOG3453,,K08738,"GO:0009055,GO:0020037",AT4G10040,CYTC-2,cytochrome c-2,LOC_Os05g34770,NA,"cytochrome c, putative, expressed"
174,NsiI.TP150749,,"PTHR34116,PTHR34116:SF2",,,,,AT1G57680,,,LOC_Os01g66190,NA,expressed protein
175,NsiI.TP150749,,"PTHR31358,PTHR31358:SF7",,,,,AT1G24160,,,LOC_Os01g66200,NA,expressed protein
177,NsiI.TP151058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,NsiI.TP151058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,NsiI.TP152015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,NsiI.TP152015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,NsiI.TP152015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NsiI.TP152677,PF04195,"PTHR33026,PTHR33026:SF2",,,,,,,,LOC_Os07g45660,NA,"retrotransposon protein, putative, Ty3-gypsy subclass, expressed"
190,NsiI.TP152677,"PF00013,PF10469","PTHR13360,PTHR13360:SF1",KOG2814,3.5.1.1,,GO:0003723,AT3G16230,,Predicted eukaryotic LigT,LOC_Os01g13100,NA,"KH domain containing protein, putative, expressed"
191,NsiI.TP152677,,"PTHR25952,PTHR25952:SF206",,,,,,,,LOC_Os07g48590,NA,"retrotransposon protein, putative, unclassified"
193,NsiI.TP154359,,"PTHR31264,PTHR31264:SF4",,,,,,,,LOC_Os01g28520,NA,"OsFBX8 - F-box domain containing protein, expressed"
195,NsiI.TP154359,"PF01363,PF00118,PF01504","PTHR11353,PTHR11353:SF98",,2.7.1.150,K00921,"GO:0046872,GO:0005524,GO:0046488,GO:0016307",AT3G14270,FAB1B,phosphatidylinositol-4-phosphate 5-kinase family protein,LOC_Os03g28140,NA,"1-phosphatidylinositol-4-phosphate 5-kinase/ zinc ion binding protein, putative, expressed"
196,NsiI.TP15605,PF04833,"PTHR31673,PTHR31673:SF3",,,,"GO:0031225,GO:0016049,GO:0010215",AT5G60920,COB,COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family,LOC_Os05g32110,NA,"COBRA, putative, expressed"
197,NsiI.TP15605,PF00400,PTHR22840,KOG0640,,K14406,GO:0005515,AT5G60940,,Transducin/WD40 repeat-like superfamily protein,LOC_Os03g54770,NA,"WD domain, G-beta repeat domain containing protein, expressed"
199,NsiI.TP15605,PF00153,"PTHR24089,PTHR24089:SF391",KOG0765,,K15121,,AT5G15640,,Mitochondrial substrate carrier family protein,LOC_Os03g54760,NA,"mitochondrial carrier protein, putative, expressed"
202,NsiI.TP156560,"PF01588,PF09334","PTHR11946,PTHR11946:SF78",,6.1.1.10,K01874,"GO:0000049,GO:0006418,GO:0005524,GO:0004812,GO:0000166",AT4G13780,,"methionine--tRNA ligase, putative / methionyl-tRNA synthetase, putative / MetRS, putative",LOC_Os06g31210,NA,"methionyl-tRNA synthetase, putative, expressed"
203,NsiI.TP156560,PF00291,"PTHR10314,PTHR10314:SF35",,4.2.1.22,K01738,,AT1G55880,,Pyridoxal-5\'-phosphate-dependent enzyme family protein,LOC_Os03g11660,NA,"cysteine synthase, putative, expressed"
209,NsiI.TP156560,PF07058,"PTHR31246,PTHR31246:SF5",,,,"GO:0008017,GO:0007010",AT1G24764,"ATMAP70-2,MAP70-2",microtubule-associated proteins 70-2,LOC_Os03g11650,NA,"ATMAP70 protein, putative, expressed"
211,NsiI.TP159695,"PF00664,PF00005","PTHR24221,PTHR24221:SF149",,3.6.3.44,,"GO:0055085,GO:0042626,GO:0016021,GO:0006810,GO:0005524,GO:0016887",AT3G28860,"ABCB19,ATABCB19,ATMDR1,ATMDR11,ATPGP19,MDR1,MDR11,PGP19",ATP binding cassette subfamily B19,LOC_Os04g38570,NA,"multidrug resistance protein, putative, expressed"
215,NsiI.TP166838,PF00348,"PTHR11525,PTHR11525:SF5",KOG0711,"2.5.1.29,2.5.1.10",K00787,GO:0008299,AT5G47770,FPS1,farnesyl diphosphate synthase 1,LOC_Os01g50760,NA,"polyprenyl synthetase, putative, expressed"
216,NsiI.TP166838,"PF01217,PF00928",PTHR10529,,,K12393,,AT1G60780,HAP13,Clathrin adaptor complexes medium subunit family protein,LOC_Os01g50770,NA,"adaptor complexes medium subunit family domain containing protein, expressed"
