"","SNP","Gene","Chromosome","Position","Grand.Total","PS","Ind.SNP","Heading_1","Heading_50","Flowering_1","Flowering_50","PCA","SUPER","FarmCPU","mrMLM.1","mrMLM.2","MAF","PVE","chr","start","end","width","strand","dis_start.positon","dis_positon.end","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"72","GFSSContig11619_923","Sobic.002G249900",2,63686436,3,"PS_Y","F116+36088im","GHW_1;HM_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.3711,2.567,"Chr02",63692031,63694541,2511,"-",5595,-8105,"PF13947,PF00069","PTHR27005,PTHR27005:SF12","KOG1187","2.7.11.1","","GO:0030247,GO:0006468,GO:0005524,GO:0004672","AT1G21230","WAK5","wall associated kinase 5","LOC_Os09g29510",NA,"OsWAK80 - OsWAK receptor-like protein kinase, expressed"
"77","GFSSContig14485_1273","Sobic.001G532600",1,79597601,1,"PS_Y","F116+36088im","HM_1","","","","","MLM+SUPER","","","",0.3764,3.277,"Chr01",79587920,79592040,4121,"-",-9681,5561,"PF12766","PTHR10851,PTHR10851:SF3","KOG4558","1.4.3.5","","GO:0010181,GO:0055114,GO:0008615,GO:0004733","AT2G46580","","Pyridoxamine 5\'-phosphate oxidase family protein","LOC_Os03g02450",NA,"pyridoxamine 5\'-phosphate oxidase family protein, putative, expressed"
"85","GFSSContig14485_1273","Sobic.001G532700",1,79597601,1,"PS_Y","F116+36088im","HM_1","","","","","MLM+SUPER","","","",0.3764,3.277,"Chr01",79596097,79601102,5006,"-",-1504,-3501,"PF12766","PTHR10851,PTHR10851:SF3","KOG4558","1.4.3.5","","GO:0010181,GO:0055114,GO:0008615,GO:0004733","AT2G46580","","Pyridoxamine 5\'-phosphate oxidase family protein","LOC_Os03g02450",NA,"pyridoxamine 5\'-phosphate oxidase family protein, putative, expressed"
"91","GFSSContig15044_1090","Sobic.004G086200",4,7164817,5,"PS_Y","F116+36088im","","","","FD_50;FW_50;FM_50","fprinW;fprind","CMLM+SUPER;MLM+SUPER","","","",0.1863,0.412,"Chr04",7155714,7166856,11143,"+",-9103,-2039,"PF00160","PTHR11071,PTHR11071:SF297","KOG0879","5.2.1.8","K09566","GO:0006457,GO:0003755,GO:0000413","AT3G63400","","Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein","LOC_Os02g10970",NA,"peptidyl-prolyl cis-trans isomerase, putative, expressed"
"95","GFSSContig15044_1090","Sobic.004G086300",4,7164817,5,"PS_Y","F116+36088im","","","","FD_50;FW_50;FM_50","fprinW;fprind","CMLM+SUPER;MLM+SUPER","","","",0.1863,0.412,"Chr04",7169366,7173095,3730,"+",4549,-8278,"PF00160","PTHR11071,PTHR11071:SF297","KOG0879","5.2.1.8","K09566","GO:0006457,GO:0003755,GO:0000413","AT3G63400","","Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein","LOC_Os02g10970",NA,"peptidyl-prolyl cis-trans isomerase, putative, expressed"
"97","GFSSContig16256_300","Sobic.003G062300",3,5453936,15,"PS_Y","F116+36088im","GHW_1;HM_1","","FW_1;GFW_1","FD_50;FW_50;GFW_50;FM_50","fprinW;fprind;fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.1496,2.187,"Chr03",5438686,5444182,5497,"+",-15250,9754,"PF01422","PTHR12360","KOG1952","","K15683","GO:0008270,GO:0006355,GO:0005634,GO:0003700","AT5G05660","ATNFXL2","sequence-specific DNA binding transcription factors;zinc ion binding;sequence-specific DNA binding transcription factors","LOC_Os01g06550",NA,"NF-X1-type zinc finger protein, putative, expressed"
"105","GFSSContig16256_300","Sobic.003G062400",3,5453936,15,"PS_Y","F116+36088im","GHW_1;HM_1","","FW_1;GFW_1","FD_50;FW_50;GFW_50;FM_50","fprinW;fprind;fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.1496,2.187,"Chr03",5445422,5451615,6194,"+",-8514,2321,"PF01422","PTHR12360","KOG1952","","K15683","GO:0008270,GO:0006355,GO:0005634,GO:0003700","AT5G05660","ATNFXL2","sequence-specific DNA binding transcription factors;zinc ion binding;sequence-specific DNA binding transcription factors","LOC_Os01g06550",NA,"NF-X1-type zinc finger protein, putative, expressed"
"109","GFSSContig16256_300","Sobic.003G062500",3,5453936,15,"PS_Y","F116+36088im","GHW_1;HM_1","","FW_1;GFW_1","FD_50;FW_50;GFW_50;FM_50","fprinW;fprind;fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.1496,2.187,"Chr03",5452782,5454358,1577,"+",-1154,-422,"PF01422","PTHR12360","KOG1952","","K15683","GO:0008270,GO:0006355,GO:0005634,GO:0003700","AT5G05660","ATNFXL2","sequence-specific DNA binding transcription factors;zinc ion binding;sequence-specific DNA binding transcription factors","LOC_Os01g06550",NA,"NF-X1-type zinc finger protein, putative, expressed"
"117","GFSSContig16256_300","Sobic.003G062600",3,5453936,15,"PS_Y","F116+36088im","GHW_1;HM_1","","FW_1;GFW_1","FD_50;FW_50;GFW_50;FM_50","fprinW;fprind;fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.1496,2.187,"Chr03",5457757,5459243,1487,"+",3821,-5307,"PF01422","PTHR12360","KOG1952","","K15683","GO:0008270,GO:0006355,GO:0005634,GO:0003700","AT5G05660","ATNFXL2","sequence-specific DNA binding transcription factors;zinc ion binding;sequence-specific DNA binding transcription factors","LOC_Os01g06550",NA,"NF-X1-type zinc finger protein, putative, expressed"
"121","GFSSContig16952_694","Sobic.005G109000",5,21260380,4,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1","","","CMLM+SUPER;MLM+SUPER","","","",0.4237,7.668,"Chr05",21259432,21261780,2349,"-",-948,-1400,"PF00067","PTHR24296,PTHR24296:SF5","KOG0157","","","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G48520","CYP94B3","cytochrome P450, family 94, subfamily B, polypeptide 3","LOC_Os11g29290",NA,"cytochrome P450, putative, expressed"
"122","GFSSContig17419_591","Sobic.010G260300",10,59706968,3,"PS_Y","F116+36088im","","","GFW_1","","fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.4273,3.358,"Chr10",59696142,59700239,4098,"+",-10826,6729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","GFSSContig17419_591","Sobic.010G260400",10,59706968,3,"PS_Y","F116+36088im","","","GFW_1","","fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.4273,3.358,"Chr10",59702634,59706098,3465,"-",-4334,870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","GFSSContig17419_591","Sobic.010G260500",10,59706968,3,"PS_Y","F116+36088im","","","GFW_1","","fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.4273,3.358,"Chr10",59706329,59709209,2881,"+",-639,-2241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","GFSSContig17419_591","Sobic.010G260600",10,59706968,3,"PS_Y","F116+36088im","","","GFW_1","","fprinGW","CMLM+SUPER;MLM+SUPER","","","",0.4273,3.358,"Chr10",59709324,59713263,3940,"+",2356,-6295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","GFSSContig18315_975","Sobic.009G187100",9,53976945,2,"PS_Y","F116+36088im","GHW_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.2024,0.03153,"Chr09",53975946,53977915,1970,"-",-999,-970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","GFSSContig18315_975","Sobic.009G187150",9,53976945,2,"PS_Y","F116+36088im","GHW_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.2024,0.03153,"Chr09",53978163,53980040,1878,"+",1218,-3095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","GFSSContig18315_975","Sobic.009G187200",9,53976945,2,"PS_Y","F116+36088im","GHW_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.2024,0.03153,"Chr09",53981394,53983493,2100,"-",4449,-6548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","GFSSContig18315_975","Sobic.009G187300",9,53976945,2,"PS_Y","F116+36088im","GHW_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.2024,0.03153,"Chr09",53985664,53987371,1708,"-",8719,-10426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","GFSSContig19146_697","Sobic.002G333800",2,70229911,2,"PS_Y","F116+36088im","GHW_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.204,0.51,"Chr02",70217098,70222538,5441,"-",-12813,7373,"PF03552","PTHR13301,PTHR13301:SF47","","2.4.2.24","","GO:0030244,GO:0016760,GO:0016020","AT5G16910","ATCSLD2,CSLD2","cellulose-synthase like D2","LOC_Os07g36630",NA,"CSLF8 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
"170","GFSSContig19146_697","Sobic.002G333900",2,70229911,2,"PS_Y","F116+36088im","GHW_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.204,0.51,"Chr02",70227888,70231133,3246,"-",-2023,-1222,"PF03552","PTHR13301,PTHR13301:SF47","","2.4.2.24","","GO:0030244,GO:0016760,GO:0016020","AT5G16910","ATCSLD2,CSLD2","cellulose-synthase like D2","LOC_Os07g36630",NA,"CSLF8 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
"174","GFSSContig19146_697","Sobic.002G334000",2,70229911,2,"PS_Y","F116+36088im","GHW_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.204,0.51,"Chr02",70232865,70236367,3503,"-",2954,-6456,"PF03552","PTHR13301,PTHR13301:SF47","","2.4.2.24","","GO:0030244,GO:0016760,GO:0016020","AT5G16910","ATCSLD2,CSLD2","cellulose-synthase like D2","LOC_Os07g36630",NA,"CSLF8 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
"178","GFSSContig19146_697","Sobic.002G334100",2,70229911,2,"PS_Y","F116+36088im","GHW_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.204,0.51,"Chr02",70238027,70241354,3328,"-",8116,-11443,"PF03552","PTHR13301,PTHR13301:SF47","","2.4.2.24","","GO:0030244,GO:0016760,GO:0016020","AT5G16910","ATCSLD2,CSLD2","cellulose-synthase like D2","LOC_Os07g36630",NA,"CSLF8 - cellulose synthase-like family F; beta1,3;1,4 glucan synthase, expressed"
"182","GFSSContig19333_2734","Sobic.004G038900",4,3228803,5,"PS_Y","F116+36088im","","","GFW_1","FD_50;FM_50","fprind","CMLM+SUPER;MLM+SUPER","","","",0.5,0.0275,"Chr04",3216012,3219779,3768,"+",-12791,9024,"PF01936","PTHR38134","","2.7.1.46","","","AT2G15560","","Putative endonuclease or glycosyl hydrolase","LOC_Os08g13390",NA,"expressed protein"
"187","GFSSContig19333_2734","Sobic.004G039000",4,3228803,5,"PS_Y","F116+36088im","","","GFW_1","FD_50;FM_50","fprind","CMLM+SUPER;MLM+SUPER","","","",0.5,0.0275,"Chr04",3221824,3224808,2985,"+",-6979,3995,"PF01936","PTHR38134","","2.7.1.46","","","AT2G15560","","Putative endonuclease or glycosyl hydrolase","LOC_Os08g13390",NA,"expressed protein"
"212","GFSSContig19333_2734","Sobic.004G039100",4,3228803,5,"PS_Y","F116+36088im","","","GFW_1","FD_50;FM_50","fprind","CMLM+SUPER;MLM+SUPER","","","",0.5,0.0275,"Chr04",3225405,3227478,2074,"-",-3398,1325,"PF01936","PTHR38134","","2.7.1.46","","","AT2G15560","","Putative endonuclease or glycosyl hydrolase","LOC_Os08g13390",NA,"expressed protein"
"192","GFSSContig19333_2734","Sobic.004G039200",4,3228803,5,"PS_Y","F116+36088im","","","GFW_1","FD_50;FM_50","fprind","CMLM+SUPER;MLM+SUPER","","","",0.5,0.0275,"Chr04",3227419,3233511,6093,"+",-1384,-4708,"PF01936","PTHR38134","","2.7.1.46","","","AT2G15560","","Putative endonuclease or glycosyl hydrolase","LOC_Os08g13390",NA,"expressed protein"
"202","GFSSContig19333_2734","Sobic.004G039300",4,3228803,5,"PS_Y","F116+36088im","","","GFW_1","FD_50;FM_50","fprind","CMLM+SUPER;MLM+SUPER","","","",0.5,0.0275,"Chr04",3234423,3238897,4475,"+",5620,-10094,"PF01936","PTHR38134","","2.7.1.46","","","AT2G15560","","Putative endonuclease or glycosyl hydrolase","LOC_Os08g13390",NA,"expressed protein"
"217","GFSSContig3389_148","Sobic.001G092200",1,7132238,1,"PS_Y","F116+36088im","","","GFW_1","","","MLM+SUPER","","","",0.09227,2.041,"Chr01",7120670,7129472,8803,"+",-11568,2766,"PF00271,PF12513","PTHR12131,PTHR12131:SF2","","3.6.4.13","K17675","GO:0016817","AT4G14790","ATSUV3,EDA15","ATP-dependent RNA helicase, mitochondrial (SUV3)","LOC_Os03g53500",NA,"helicase conserved C-terminal domain containing protein, expressed"
"237","GFSSContig3389_148","Sobic.001G092250",1,7132238,1,"PS_Y","F116+36088im","","","GFW_1","","","MLM+SUPER","","","",0.09227,2.041,"Chr01",7129663,7131337,1675,"-",-2575,901,"PF00271,PF12513","PTHR12131,PTHR12131:SF2","","3.6.4.13","K17675","GO:0016817","AT4G14790","ATSUV3,EDA15","ATP-dependent RNA helicase, mitochondrial (SUV3)","LOC_Os03g53500",NA,"helicase conserved C-terminal domain containing protein, expressed"
"242","GFSSContig3389_148","Sobic.001G092300",1,7132238,1,"PS_Y","F116+36088im","","","GFW_1","","","MLM+SUPER","","","",0.09227,2.041,"Chr01",7131639,7134325,2687,"-",-599,-2087,"PF00271,PF12513","PTHR12131,PTHR12131:SF2","","3.6.4.13","K17675","GO:0016817","AT4G14790","ATSUV3,EDA15","ATP-dependent RNA helicase, mitochondrial (SUV3)","LOC_Os03g53500",NA,"helicase conserved C-terminal domain containing protein, expressed"
"247","GFSSContig3389_148","Sobic.001G092400",1,7132238,1,"PS_Y","F116+36088im","","","GFW_1","","","MLM+SUPER","","","",0.09227,2.041,"Chr01",7134385,7137059,2675,"-",2147,-4821,"PF00271,PF12513","PTHR12131,PTHR12131:SF2","","3.6.4.13","K17675","GO:0016817","AT4G14790","ATSUV3,EDA15","ATP-dependent RNA helicase, mitochondrial (SUV3)","LOC_Os03g53500",NA,"helicase conserved C-terminal domain containing protein, expressed"
"252","GFSSContig3389_148","Sobic.001G092500",1,7132238,1,"PS_Y","F116+36088im","","","GFW_1","","","MLM+SUPER","","","",0.09227,2.041,"Chr01",7139764,7143580,3817,"-",7526,-11342,"PF00271,PF12513","PTHR12131,PTHR12131:SF2","","3.6.4.13","K17675","GO:0016817","AT4G14790","ATSUV3,EDA15","ATP-dependent RNA helicase, mitochondrial (SUV3)","LOC_Os03g53500",NA,"helicase conserved C-terminal domain containing protein, expressed"
"257","GFSSContig4510_767","Sobic.010G149500",10,43025569,1,"PS_Y","F116+36088im","HM_1","","","","","MLM+SUPER","","","",0.1399,1.66,"Chr10",43024057,43031942,7886,"-",-1512,-6373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","GFSSContig4757_256","Sobic.007G219200",7,64751316,13,"PS_Y","F116+36088im","GHW_1;HM_1","GHW_50","GFW_1","FD_50;FW_50;GFW_50;FM_50","fprind","CMLM+SUPER;MLM+SUPER","","","",0.1241,0.1005,"Chr07",64749936,64753450,3515,"+",-1380,-2134,"PF02990","PTHR10766,PTHR10766:SF44","","","K17086","GO:0016021","AT4G12650","","Endomembrane protein 70 protein family","LOC_Os08g38820",NA,"transmembrane 9 superfamily member, putative, expressed"
"266","GFSSContig4757_256","Sobic.007G219300",7,64751316,13,"PS_Y","F116+36088im","GHW_1;HM_1","GHW_50","GFW_1","FD_50;FW_50;GFW_50;FM_50","fprind","CMLM+SUPER;MLM+SUPER","","","",0.1241,0.1005,"Chr07",64755435,64756352,918,"-",4119,-5036,"PF02990","PTHR10766,PTHR10766:SF44","","","K17086","GO:0016021","AT4G12650","","Endomembrane protein 70 protein family","LOC_Os08g38820",NA,"transmembrane 9 superfamily member, putative, expressed"
"262","GFSSContig4757_256","Sobic.007G219400",7,64751316,13,"PS_Y","F116+36088im","GHW_1;HM_1","GHW_50","GFW_1","FD_50;FW_50;GFW_50;FM_50","fprind","CMLM+SUPER;MLM+SUPER","","","",0.1241,0.1005,"Chr07",64757195,64758821,1627,"+",5879,-7505,"PF02990","PTHR10766,PTHR10766:SF44","","","K17086","GO:0016021","AT4G12650","","Endomembrane protein 70 protein family","LOC_Os08g38820",NA,"transmembrane 9 superfamily member, putative, expressed"
"270","GFSSContig4757_256","Sobic.007G219500",7,64751316,13,"PS_Y","F116+36088im","GHW_1;HM_1","GHW_50","GFW_1","FD_50;FW_50;GFW_50;FM_50","fprind","CMLM+SUPER;MLM+SUPER","","","",0.1241,0.1005,"Chr07",64760094,64761344,1251,"-",8778,-10028,"PF02990","PTHR10766,PTHR10766:SF44","","","K17086","GO:0016021","AT4G12650","","Endomembrane protein 70 protein family","LOC_Os08g38820",NA,"transmembrane 9 superfamily member, putative, expressed"
"274","GFSSContig4787_601","Sobic.001G221000",1,20799071,1,"PS_Y","F116+36088im","","","FM_1","","","CMLM+SUPER","","","",0.0703,3.701,"Chr01",20794473,20796516,2044,"-",-4598,2555,"PF00240","PTHR10666,PTHR10666:SF146","KOG0005,KOG0001","","K08770","GO:0005515","AT4G05320","UBQ10","polyubiquitin 10","LOC_Os10g33620",NA,"ubiquitin family protein, putative, expressed"
"276","GFSSContig4787_601","Sobic.001G221100",1,20799071,1,"PS_Y","F116+36088im","","","FM_1","","","CMLM+SUPER","","","",0.0703,3.701,"Chr01",20798755,20801624,2870,"-",-316,-2553,"PF00240","PTHR10666,PTHR10666:SF146","KOG0005,KOG0001","","K08770","GO:0005515","AT4G05320","UBQ10","polyubiquitin 10","LOC_Os10g33620",NA,"ubiquitin family protein, putative, expressed"
"280","NsiI.TP1005","Sobic.008G148500",8,58192884,3,"PS_Y","F116+36088im","HM_1","","GFW_1","GFW_50","","CMLM+SUPER;MLM+SUPER","","","",0.1136,1.267,"Chr08",58184263,58187827,3565,"+",-8621,5057,"","PTHR14237,PTHR14237:SF24","","2.8.1.9","","","AT2G23520","","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","LOC_Os12g40010",NA,"expressed protein"
"283","NsiI.TP1005","Sobic.008G148600",8,58192884,3,"PS_Y","F116+36088im","HM_1","","GFW_1","GFW_50","","CMLM+SUPER;MLM+SUPER","","","",0.1136,1.267,"Chr08",58193309,58197051,3743,"+",425,-4167,"","PTHR14237,PTHR14237:SF24","","2.8.1.9","","","AT2G23520","","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","LOC_Os12g40010",NA,"expressed protein"
"286","NsiI.TP1005","Sobic.008G148700",8,58192884,3,"PS_Y","F116+36088im","HM_1","","GFW_1","GFW_50","","CMLM+SUPER;MLM+SUPER","","","",0.1136,1.267,"Chr08",58200637,58210149,9513,"+",7753,-17265,"","PTHR14237,PTHR14237:SF24","","2.8.1.9","","","AT2G23520","","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","LOC_Os12g40010",NA,"expressed protein"
"289","NsiI.TP101439","Sobic.003G185700",3,50050903,13,"PS_Y","F116+36088im","GHW_1;HM_1","","GFW_1","FD_50;FW_50;GFW_50;FM_50","fprinW;fprind","CMLM+SUPER;MLM+SUPER","","","",0.3149,2.589,"Chr03",50048644,50050228,1585,"-",-2259,675,"PF00641","PTHR23111,PTHR23111:SF33","","","","GO:0008270","AT3G15680","","Ran BP2/NZF zinc finger-like superfamily protein","LOC_Os01g37460",NA,"zinc finger family protein, putative, expressed"
"294","NsiI.TP102705","Sobic.004G116000",4,12103867,2,"PS_Y","F116+36088im","HM_1","","GFW_1","","","MLM+SUPER","","","",0.27,2.215,"Chr04",12088737,12094061,5325,"-",-15130,9806,"","","","","","","","","","",NA,""
"290","NsiI.TP102705","Sobic.004G116050",4,12103867,2,"PS_Y","F116+36088im","HM_1","","GFW_1","","","MLM+SUPER","","","",0.27,2.215,"Chr04",12097090,12098839,1750,"+",-6777,5028,"","","","","","","","","","",NA,""
"298","NsiI.TP102705","Sobic.004G116100",4,12103867,2,"PS_Y","F116+36088im","HM_1","","GFW_1","","","MLM+SUPER","","","",0.27,2.215,"Chr04",12101470,12105836,4367,"-",-2397,-1969,"","","","","","","","","","",NA,""
"302","NsiI.TP102705","Sobic.004G116200",4,12103867,2,"PS_Y","F116+36088im","HM_1","","GFW_1","","","MLM+SUPER","","","",0.27,2.215,"Chr04",12113077,12117628,4552,"-",9210,-13761,"","","","","","","","","","",NA,""
"306","NsiI.TP10339","Sobic.004G302400",4,64117829,1,"PS_Y","F116+36088im","","","GFW_1","","","MLM+SUPER","","","",0.3533,0.01946,"Chr04",64103336,64112306,8971,"+",-14493,5523,"PF02365","PTHR31989,PTHR31989:SF47","","","","GO:0006355,GO:0003677","AT1G12260","ANAC007,EMB2749,NAC007,VND4","NAC 007","LOC_Os02g42970",NA,"NAC domain containing protein, putative, expressed"
"326","NsiI.TP10339","Sobic.004G302500",4,64117829,1,"PS_Y","F116+36088im","","","GFW_1","","","MLM+SUPER","","","",0.3533,0.01946,"Chr04",64107892,64115724,7833,"-",-9937,2105,"PF02365","PTHR31989,PTHR31989:SF47","","","","GO:0006355,GO:0003677","AT1G12260","ANAC007,EMB2749,NAC007,VND4","NAC 007","LOC_Os02g42970",NA,"NAC domain containing protein, putative, expressed"
"318","NsiI.TP10339","Sobic.004G302550",4,64117829,1,"PS_Y","F116+36088im","","","GFW_1","","","MLM+SUPER","","","",0.3533,0.01946,"Chr04",64109435,64110582,1148,"+",-8394,7247,"PF02365","PTHR31989,PTHR31989:SF47","","","","GO:0006355,GO:0003677","AT1G12260","ANAC007,EMB2749,NAC007,VND4","NAC 007","LOC_Os02g42970",NA,"NAC domain containing protein, putative, expressed"
"322","NsiI.TP10339","Sobic.004G302600",4,64117829,1,"PS_Y","F116+36088im","","","GFW_1","","","MLM+SUPER","","","",0.3533,0.01946,"Chr04",64113858,64125536,11679,"+",-3971,-7707,"PF02365","PTHR31989,PTHR31989:SF47","","","","GO:0006355,GO:0003677","AT1G12260","ANAC007,EMB2749,NAC007,VND4","NAC 007","LOC_Os02g42970",NA,"NAC domain containing protein, putative, expressed"
