SNP,Chromosome,Position,Grand Total,PS,Ind.SNP,Heading_1,Heading_50,Flowering_1,Flowering_50,PCA,SUPER,FarmCPU,mrMLM.1,mrMLM.2,MAF,PVE
NsiI.TP146180,3,58570743,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.205,0.2752
NsiI.TP146839,11,10736,10,PS_Y(10),F116+36088im(10),GHW_1(2);HM_1(1),,GFW_1(2),FW_50(1);GFW_50(2);FM_50(1),fprinW(1),CMLM+SUPER(3)MLM+SUPER(7),,,,0.4285,3.038
NsiI.TP149102,11,10766,12,PS_Y(12),F116+36088im(12),HD_1(1);HW_1(1),,FD_1(2);GFW_1(2),FD_50(1);FW_50(1),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(6)MLM+SUPER(6),,,,0.1437,0.8238
NsiI.TP149154,7,63638573,8,PS_Y(8),F96+4814(8),HD_1(1);HW_1(1);GHW_1(1),HD_50(1);GHW_50(1);HW_50(1),FW_1(1),FD_50(1),,,,,ISIS EM-BLASSO(8),0.4062,6.337
NsiI.TP150749,3,69413427,3,PS_N(1)PS_Y(2),F116+36088im(3),,HM_50(1),,FM_50(1),fprinW(1),,,FASTmrMLM(1),ISIS EM-BLASSO(1);pLARmEB(1),0.1293,0.916
NsiI.TP151058,9,52613984,1,PS_N(1),F116+36088im(1),,,,,fprinM(1),,,FASTmrMLM(1),,0.0259,0
NsiI.TP152015,10,54557245,10,PS_Y(10),F116+36088im(10),HW_1(1);GHW_1(2);HM_1(1),,GFW_1(2),FW_50(1);GFW_50(2),fprinW(1),CMLM+SUPER(3)MLM+SUPER(7),,,,0.3589,0.973
NsiI.TP152255,11,10814,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.06559,0.1916
NsiI.TP152677,3,602439,29,PS_Y(29),F116+36088im(29),HD_1(2);HW_1(2);GHW_1(2);HM_1(1),HD_50(2);GHW_50(2);HW_50(1),FD_1(2);FW_1(2);GFW_1(2),FD_50(1);FW_50(2);GFW_50(2);FM_50(2),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(15)MLM+SUPER(14),,,,0.1209,0.7564
NsiI.TP154316,11,10839,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.0547,3.285
NsiI.TP154359,1,63371844,3,PS_Y(3),F116+36088im(3),GHW_1(2),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.2417,1.359
NsiI.TP15605,1,6652808,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.1508,0.1045
NsiI.TP156555,11,10854,9,PS_Y(9),F116+36088im(9),HD_1(1);HW_1(1);GHW_1(1);HM_1(1),,FD_1(1);FW_1(1);FM_1(1),FD_50(1),fprinM(1),,,,ISIS EM-BLASSO(9),0.2802,7.723
NsiI.TP156560,1,73170217,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.265,1.78
NsiI.TP159695,6,57820247,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.172,2.329
NsiI.TP16416,11,9311,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.06897,3.362
NsiI.TP166838,3,60735782,20,PS_Y(20),F116+36088im(20),HD_1(1);HW_1(1);GHW_1(2),HW_50(1),FD_1(1);FW_1(1);GFW_1(2),FD_50(1);FW_50(2);GFW_50(2);FM_50(2),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(11)MLM+SUPER(9),,,,0.346,3.291
NsiI.TP167396,2,75013814,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,CMLM+SUPER(1),,,,0.4767,7.559
NsiI.TP167708,11,10993,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.4987,0.4292
NsiI.TP169322,5,71759480,13,PS_Y(13),F116+36088im(13),GHW_1(2);HM_1(2),,GFW_1(2);FM_1(2),FD_50(1);GFW_50(2),fprind(1);fprinGW(1),CMLM+SUPER(8)MLM+SUPER(5),,,,0.3539,3.683
NsiI.TP169977,1,60857389,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.08515,9.931
NsiI.TP171370,1,21618374,3,PS_Y(3),F116+36088im(3),,,GFW_1(1),FD_50(1),fprind(1),MLM+SUPER(3),,,,0.2537,0.02049
NsiI.TP17176,4,55259103,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.08927,1.479
NsiI.TP172212,1,67605060,8,PS_Y(8),F116+36088im(8),GHW_1(2);HM_1(1),,GFW_1(2),FW_50(1);GFW_50(2),,CMLM+SUPER(3)MLM+SUPER(5),,,,0.3031,0.2521
NsiI.TP172371,11,11040,5,PS_Y(5),F116+36088im(5),HW_1(1);GHW_1(2),,GFW_1(1);FM_1(1),,,CMLM+SUPER(3)MLM+SUPER(2),,,,0.1778,1.598
NsiI.TP174370,1,6704694,5,PS_Y(5),F116+36088im(5),GHW_1(2);HM_1(1),,GFW_1(1),,fprinGW(1),CMLM+SUPER(1)MLM+SUPER(4),,,,0.4142,0.6057
NsiI.TP175336,1,56033904,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.3616,0.4818
NsiI.TP175409,11,11076,6,PS_Y(6),F116+36088im(6),GHW_1(2);HM_1(1),,GFW_1(2),FM_50(1),,CMLM+SUPER(2)MLM+SUPER(4),,,,0.1362,2.392
NsiI.TP176730,4,56998426,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.1303,1.02E-05
NsiI.TP176915,11,11099,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.3848,7.949
NsiI.TP1783,11,9157,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(2),,,,,CMLM+SUPER(2)MLM+SUPER(2),,,,0.3987,18.66
NsiI.TP179941,8,55948810,5,PS_N(5),F116+3098(5),,GHW_50(1),GFW_1(1);FM_1(1),GFW_50(1),fprinGW(1),,,,pLARmEB(5),0.0474,0
NsiI.TP179961,11,11131,2,PS_Y(2),F116+36088im(2),HM_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.4137,2.424
NsiI.TP180786,11,11146,3,PS_Y(3),F116+36088im(3),GHW_1(2),,GFW_1(1),,,CMLM+SUPER(2)MLM+SUPER(1),,,,0.4622,3.631
NsiI.TP183334,2,21523636,1,PS_Y(1),F116+36088im(1),,,FM_1(1),,,CMLM+SUPER(1),,,,0.09987,0.09499
NsiI.TP185806,11,11194,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.1566,2.942
NsiI.TP185826,11,11195,5,PS_Y(5),F116+36088im(5),GHW_1(2);HM_1(2),,GFW_1(1),,,CMLM+SUPER(2)MLM+SUPER(3),,,,0.4249,0.06987
NsiI.TP187694,11,11221,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.4547,2.719
NsiI.TP188522,2,12102013,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.06881,0.06224
NsiI.TP189044,5,34971,13,PS_Y(13),F116+36088im(13),GHW_1(2);HM_1(2),,GFW_1(2),FD_50(1);FW_50(1);GFW_50(2);FM_50(1),fprinW(1);fprind(1),CMLM+SUPER(4)MLM+SUPER(9),,,,0.1798,0.1987
NsiI.TP190912,11,11244,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.2318,0.4689
NsiI.TP191077,11,11250,3,PS_Y(3),F116+36088im(3),HW_1(1);GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.4503,4.583
NsiI.TP19314,8,52151314,5,PS_Y(5),F116+36088im(5),GHW_1(2);HM_1(1),,GFW_1(1),GFW_50(1),,CMLM+SUPER(2)MLM+SUPER(3),,,,0.1723,3.154
NsiI.TP194619,6,55228277,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.1238,7.021
NsiI.TP195045,1,76748463,2,PS_Y(2),F116+36088im(2),HM_1(1),,GFW_1(1),,,MLM+SUPER(2),,,,0.4752,2.318
NsiI.TP195180,1,12857502,19,PS_Y(19),F116+36088im(19),GHW_1(2);HM_1(2),HW_50(1),FW_1(1);GFW_1(1),FD_50(2);FW_50(2);GFW_50(2);FM_50(2),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(10)MLM+SUPER(9),,,,0.1034,1.041
NsiI.TP196097,11,11301,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),GHW_50(1),,,,CMLM+SUPER(2)MLM+SUPER(2),,,,0.2897,1.316
NsiI.TP196221,11,11304,7,PS_Y(7),F116+36088im(7),GHW_1(2);HM_1(1),,,FW_50(1);GFW_50(2),fprinW(1),CMLM+SUPER(2)MLM+SUPER(5),,,,0.07654,1.833
NsiI.TP196281,11,11305,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.4926,0.4155
NsiI.TP197957,11,11330,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.2113,0.07672
NsiI.TP198999,1,1902613,6,PS_Y(6),F116+36088im(6),,,,FD_50(1);FW_50(1),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(3)MLM+SUPER(3),,,,0.0786,0.4571
NsiI.TP203570,6,2078276,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.2069,14.18
NsiI.TP204910,2,65965770,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.4525,0.01017
NsiI.TP205252,4,63574731,17,PS_Y(17),F116+36088im(17),HW_1(1);GHW_1(2);HM_1(1),,GFW_1(2);FM_1(1),FD_50(1);FW_50(2);GFW_50(2);FM_50(2),fprinW(2);fprind(1),CMLM+SUPER(7)MLM+SUPER(10),,,,0.1568,0.8147
NsiI.TP205267,4,64749548,1,PS_N(1),F116+36088im(1),,,,,fprinM(1),,,FASTmrMLM(1),,0.0776,2.00E-04
NsiI.TP208407,11,11453,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),,FM_1(1),,,CMLM+SUPER(2)MLM+SUPER(2),,,,0.1201,2.334
NsiI.TP208538,11,11454,7,PS_Y(7),F116+36088im(7),,,GFW_1(2);FM_1(2),FW_50(1);GFW_50(2),,CMLM+SUPER(3)MLM+SUPER(4),,,,0.1491,4.44
NsiI.TP208628,11,11458,16,PS_Y(16),F116+36088im(16),GHW_1(2);HM_1(2),HD_50(1),GFW_1(2),FD_50(1);FW_50(2);GFW_50(2),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(7)MLM+SUPER(9),,,,0.2159,1.071
NsiI.TP208710,1,66025194,3,PS_N(2)PS_Y(1),F116+36088im(3),HM_1(2),,FW_1(1),,,MLM+SUPER(1),FarmCPU(2),,,0.1168,3.813
NsiI.TP210176,2,63098520,14,PS_Y(14),F116+36088im(14),,,FD_1(1);FW_1(2);GFW_1(1),FD_50(1);FW_50(2);GFW_50(2);FM_50(2),fprinW(2);fprind(1),CMLM+SUPER(7)MLM+SUPER(7),,,,0.4755,7.378
NsiI.TP210502,11,11473,16,PS_Y(16),F116+36088im(16),GHW_1(2);HM_1(1),,GFW_1(2),FD_50(1);FW_50(2);GFW_50(2);FM_50(2),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(7)MLM+SUPER(9),,,,0.3428,0.9489
NsiI.TP210953,1,17586467,1,PS_N(1),F116+3098(1),,,,FM_50(1),,,,,ISIS EM-BLASSO(1),0.0474,0
NsiI.TP211131,6,32284894,3,PS_N(3),F116+36088im(3),,,,FW_50(1),fprinW(1);fprinGW(1),,,,pLARmEB(3),0.0647,4.046
NsiI.TP211144,4,67377179,12,PS_Y(12),F116+36088im(12),HW_1(1);GHW_1(2);HM_1(1),,GFW_1(2),FD_50(1);FW_50(1);GFW_50(2),fprinW(1);fprinGW(1),CMLM+SUPER(4)MLM+SUPER(8),,,,0.196,0.02418
NsiI.TP212267,1,1974353,3,PS_N(3),F116+36088im(3),,HD_50(1);GHW_50(1),,GFW_50(1),,,FarmCPU(3),,,0.3025,1.857
NsiI.TP214052,9,47684954,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.05812,0.7294
NsiI.TP214170,2,70879253,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.3558,0.1793
NsiI.TP215974,3,56338222,3,PS_N(3),F116+36088im(3),HW_1(1),,FM_1(1),,fprinM(1),,,FASTmrMLM(3),,0.0172,0
NsiI.TP21698,1,4937940,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.1639,5.811
NsiI.TP217157,11,11553,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.1512,0.4843
NsiI.TP217249,1,78346901,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.0995,0.62
NsiI.TP218127,4,65196239,5,PS_Y(5),F116+36088im(5),GHW_1(2);HM_1(1),,GFW_1(1),FM_50(1),,CMLM+SUPER(1)MLM+SUPER(4),,,,0.2782,0.2993
NsiI.TP219720,2,552699,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.2173,0.02808
NsiI.TP222046,1,73576744,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.1113,0.1283
NsiI.TP222605,7,1240431,2,PS_N(2),F116+36088im(2),,HD_50(1);GHW_50(1),,,,,FarmCPU(2),,,0.1786,0.2528
NsiI.TP222867,11,11625,4,PS_Y(4),F116+36088im(4),HW_1(1);GHW_1(2),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.3101,1.61
NsiI.TP223397,4,62086809,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.399,0.175
NsiI.TP223943,2,73061862,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.2234,6.123
NsiI.TP224600,6,54280091,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.3889,0.7323
NsiI.TP225733,11,11660,12,PS_Y(12),F116+36088im(12),HD_1(1);HW_1(1);HM_1(2),HD_50(1),FD_1(1),FD_50(1);FW_50(1);GFW_50(1),fprinW(1);fprind(1);fprinGW(1),CMLM+SUPER(4)MLM+SUPER(8),,,,0.05408,0.9684
NsiI.TP22693,11,9369,1,PS_Y(1),F116+36088im(1),,,FD_1(1),,,MLM+SUPER(1),,,,0.1965,3.837
NsiI.TP229129,11,11700,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.4595,4.814
NsiI.TP230244,11,11712,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.1701,0.5977
NsiI.TP23197,10,49925074,2,PS_Y(2),F116+36088im(2),,,GFW_1(2),,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.4888,0.371
NsiI.TP234466,11,11758,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.08643,2.395
NsiI.TP23487,11,9381,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.09354,5.08
NsiI.TP234912,11,11767,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.1057,0.08691
NsiI.TP237545,10,5377137,25,PS_Y(25),F116+36088im(25),HD_1(1);HW_1(2);GHW_1(2);HM_1(1),GHW_50(2);HW_50(1),FD_1(2);FW_1(1);GFW_1(2),FD_50(1);FW_50(2);GFW_50(2);FM_50(1),fprinW(2);fprind(1);fprinGW(2),CMLM+SUPER(11)MLM+SUPER(14),,,,0.4836,1.343
NsiI.TP237994,4,4237089,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.1308,0.004262
NsiI.TP238740,10,52633081,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.09273,3.44
NsiI.TP238741,10,52633058,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.3052,0.01009
NsiI.TP241069,1,56195369,16,PS_Y(16),F116+36088im(16),HW_1(1);GHW_1(2);HM_1(1),,GFW_1(2);FM_1(2),FD_50(2);FW_50(1);GFW_50(2);FM_50(1),fprind(2),CMLM+SUPER(6)MLM+SUPER(10),,,,0.3984,6.116
