"","SNP","Chromosome","Position","P.value","MAF","Ind.SNP","PS","Software","Method","Trait.name","PVE","maf","P.value.1","MAF.1"
"990","PstI.TP133136",5,65324990,3.46896565446054e-08,0.194,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","HW_50",5.8505,NA,3e-08,0.194
"991","PstI.TP125419",10,50424324,0.000162929603263972,0.2241,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","HW_50",2.3324,NA,2e-04,0.2241
"992","NsiI.TP495572",11,15165,1.39155379484467e-06,0.2328,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","HW_50",10.2443,NA,1e-06,0.2328
"993","NsiI.TP524956",11,15612,3.83795607523298e-05,0.2974,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","HW_50",5.0801,NA,4e-05,0.2974
"994","NsiI.TP388861",4,53760575,0.000196336027683605,0.1974,"F116+36088im","PS_Y","mrMLMM","mrMLM","FW_50",14.52,NA,2e-04,0.1974
"995","PstI.TP133136",5,65324990,3.23072505689288e-07,0.193,"F116+36088im","PS_Y","mrMLMM","mrMLM","FW_50",9.8308,NA,3e-07,0.193
"996","PstI.TP532426",7,64966356,1.10077865589407e-05,0.4561,"F116+36088im","PS_Y","mrMLMM","mrMLM","FW_50",6.934,NA,1e-05,0.4561
"997","PstI.TP1107958",9,50254652,5.67806029548664e-05,0.0175,"F116+36088im","PS_Y","mrMLMM","mrMLM","FW_50",15.4481,NA,6e-05,0.0175
"998","PstI.TP898128",9,54591637,0.000102447178031038,0.2198,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","FW_50",7.0968,NA,1e-04,0.2198
"999","PstI.TP115244",11,953,8.51726186645918e-06,0.4397,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","FW_50",8.687,NA,9e-06,0.4397
"1000","PstI.TP187918",11,1532,1.7056895942394e-05,0.25,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","FW_50",6.0083,NA,2e-05,0.25
"1001","NsiI.TP495572",11,15165,6.4758980046495e-05,0.2328,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","FW_50",7.5084,NA,6e-05,0.2328
"1002","PstI.TP325669",4,67124681,5.07341046037298e-06,0.3233,"F116+36088im","PS_Y","mrMLMM","pLARmEB","FW_50",6.2991,NA,5e-06,0.3233
"1003","PstI.TP133136",5,65324990,0.000109951206687935,0.194,"F116+36088im","PS_Y","mrMLMM","pLARmEB","FW_50",3.4463,NA,1e-04,0.194
"1004","PstI.TP187918",11,1532,6.90398755727844e-05,0.25,"F116+36088im","PS_Y","mrMLMM","pLARmEB","FW_50",5.6358,NA,7e-05,0.25
"1005","PstI.TP874146",11,6098,3.25237040095297e-05,0.056,"F116+36088im","PS_Y","mrMLMM","pLARmEB","FW_50",8.5808,NA,3e-05,0.056
"1006","NsiI.TP495572",11,15165,6.59173895244321e-07,0.2328,"F116+36088im","PS_Y","mrMLMM","pLARmEB","FW_50",9.8081,NA,7e-07,0.2328
"1007","PstI.TP133136",5,65324990,2.17220095352193e-07,0.194,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","FW_50",4.7685,NA,2e-07,0.194
"1008","PstI.TP125419",10,50424324,3.13617291651299e-06,0.2241,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","FW_50",3.6634,NA,3e-06,0.2241
"1009","NsiI.TP30868",1,51136397,3.32736159806162e-05,0.1009,"F116+36088im","PS_Y","mrMLMM","mrMLM","GHW_1",5.0473,NA,3e-05,0.1009
"1010","NsiI.TP766568",1,13943502,2.27771824185732e-07,0.4693,"F116+36088im","PS_Y","mrMLMM","mrMLM","GHW_1",13.0326,NA,2e-07,0.4693
"1011","PstI.TP513949",3,61369495,0.000196110117547605,0.3421,"F116+36088im","PS_Y","mrMLMM","mrMLM","GHW_1",7.8314,NA,2e-04,0.3421
"1012","NsiI.TP388861",4,53760575,1.36113123433131e-06,0.1974,"F116+36088im","PS_Y","mrMLMM","mrMLM","GHW_1",11.7103,NA,1e-06,0.1974
"1013","PstI.TP133136",5,65324990,3.07751373590787e-10,0.193,"F116+36088im","PS_Y","mrMLMM","mrMLM","GHW_1",8.514,NA,3e-10,0.193
"1014","PstI.TP532426",7,64966356,9.44495732507707e-05,0.4561,"F116+36088im","PS_Y","mrMLMM","mrMLM","GHW_1",5.9875,NA,9e-05,0.4561
"1015","PstI.TP133136",5,65324990,0.000154489867251544,0.194,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GHW_1",2.2991,NA,2e-04,0.194
"1016","PstI.TP125419",10,50424324,5.838482731072e-05,0.2241,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GHW_1",2.3748,NA,6e-05,0.2241
"1017","NsiI.TP767179",11,18585,4.74241985260245e-05,0.2328,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GHW_1",12.1744,NA,5e-05,0.2328
"1018","PstI.TP133136",5,65324990,2.67855149453233e-07,0.194,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GHW_1",3.5661,NA,3e-07,0.194
"1019","PstI.TP1282314",9,15059279,1.62255714050954e-07,0.1595,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GHW_1",8.7486,NA,2e-07,0.1595
"1020","PstI.TP607810",11,4293,8.43723217211829e-05,0.1422,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GHW_1",3.2592,NA,8e-05,0.1422
"1021","NsiI.TP493263",11,15110,6.01727694025024e-07,0.1767,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GHW_1",7.0151,NA,6e-07,0.1767
"1022","NsiI.TP767179",11,18585,4.87191833643679e-07,0.2328,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GHW_1",11.5103,NA,5e-07,0.2328
"1023","PstI.TP133136",5,65324990,0.000129449387536629,0.194,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GHW_1",2.7341,NA,1e-04,0.194
"1024","PstI.TP1282314",9,15059279,6.17447448050682e-07,0.1595,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GHW_1",8.6635,NA,6e-07,0.1595
"1025","PstI.TP125419",10,50424324,1.41971117232527e-05,0.2241,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GHW_1",2.0389,NA,1e-05,0.2241
"1026","PstI.TP1177996",11,8302,1.22800461798879e-05,0.1552,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GHW_1",2.1504,NA,1e-05,0.1552
"1027","NsiI.TP156555",11,10854,4.36013564000399e-07,0.2802,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GHW_1",5.8745,NA,4e-07,0.2802
"1028","NsiI.TP767179",11,18585,1.10789856537429e-08,0.2328,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GHW_1",12.1678,NA,1e-08,0.2328
"1029","PstI.TP277421",1,17621133,3.5107507718483e-05,0.2456,"F116+36088im","PS_Y","mrMLMM","mrMLM","GFW_1",16.295,NA,4e-05,0.2456
"1030","PstI.TP133136",5,65324990,5.19278091540884e-09,0.193,"F116+36088im","PS_Y","mrMLMM","mrMLM","GFW_1",11.0401,NA,5e-09,0.193
"1031","PstI.TP852912",6,60106545,0.000115106540103597,0.136,"F116+36088im","PS_Y","mrMLMM","mrMLM","GFW_1",25.4855,NA,1e-04,0.136
"1032","PstI.TP661215",3,54129611,0.00018454402985937,0.2198,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GFW_1",2.9186,NA,2e-04,0.2198
"1033","NsiI.TP469438",6,52124718,4.92606343349577e-05,0.056,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GFW_1",1.4356,NA,5e-05,0.056
"1034","PstI.TP1282314",9,15059279,8.92277619587827e-07,0.1595,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GFW_1",5.1831,NA,9e-07,0.1595
"1035","PstI.TP125419",10,50424324,3.14485046547696e-09,0.2241,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GFW_1",3.1102,NA,3e-09,0.2241
"1036","PstI.TP219629",11,1793,3.14992345278448e-07,0.125,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GFW_1",2.0718,NA,3e-07,0.125
"1037","PstI.TP1020545",11,7078,4.08037426689669e-06,0.3405,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GFW_1",6.5346,NA,4e-06,0.3405
"1038","NsiI.TP276353",11,12193,2.19381499189791e-05,0.2026,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GFW_1",1.2439,NA,2e-05,0.2026
"1039","NsiI.TP767179",11,18585,9.49073833896476e-07,0.2328,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GFW_1",13.4278,NA,9e-07,0.2328
"1040","PstI.TP1280528",1,5674758,0.000142101937699601,0.1638,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GFW_1",1.9837,NA,1e-04,0.1638
"1041","PstI.TP133136",5,65324990,2.05305223927947e-07,0.194,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GFW_1",2.3639,NA,2e-07,0.194
"1042","PstI.TP874146",11,6098,2.90803748273531e-05,0.056,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GFW_1",11.3979,NA,3e-05,0.056
"1043","NsiI.TP767179",11,18585,2.9120578615297e-05,0.2328,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GFW_1",8.4139,NA,3e-05,0.2328
"1044","NsiI.TP30868",1,51136397,4.75773227541204e-05,0.0991,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GFW_1",1.6535,NA,5e-05,0.0991
"1045","PstI.TP133136",5,65324990,9.25337153477778e-07,0.194,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GFW_1",4.2238,NA,9e-07,0.194
"1046","PstI.TP125419",10,50424324,3.78878533748437e-05,0.2241,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GFW_1",1.6053,NA,4e-05,0.2241
"1047","NsiI.TP495572",11,15165,7.2011192024979e-05,0.2328,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GFW_1",5.7263,NA,7e-05,0.2328
"1048","NsiI.TP524956",11,15612,7.83429642766212e-07,0.2974,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GFW_1",5.1618,NA,8e-07,0.2974
"1049","NsiI.TP767179",11,18585,0.000115931111574166,0.2328,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GFW_1",4.6963,NA,1e-04,0.2328
"1050","NsiI.TP30868",1,51136397,0.000140766722836226,0.1009,"F116+36088im","PS_Y","mrMLMM","mrMLM","GHW_50",8.286,NA,1e-04,0.1009
"1051","NsiI.TP766568",1,13943502,3.97191549469441e-05,0.4693,"F116+36088im","PS_Y","mrMLMM","mrMLM","GHW_50",17.7745,NA,4e-05,0.4693
"1052","PstI.TP133136",5,65324990,1.37879595296886e-08,0.193,"F116+36088im","PS_Y","mrMLMM","mrMLM","GHW_50",7.2058,NA,1e-08,0.193
"1053","PstI.TP572438",3,71178778,0.000138579822266568,0.125,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GHW_50",2.2748,NA,1e-04,0.125
"1054","PstI.TP133136",5,65324990,3.39078302251927e-06,0.194,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GHW_50",4.9655,NA,3e-06,0.194
"1055","NsiI.TP614958",6,45639721,0.000146588533467099,0.0905,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GHW_50",1.6566,NA,1e-04,0.0905
"1056","PstI.TP852912",6,60106545,6.96786936762077e-07,0.1336,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GHW_50",15.323,NA,7e-07,0.1336
"1057","PstI.TP513949",3,61369495,0.000103395110098237,0.3448,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GHW_50",6.5243,NA,1e-04,0.3448
"1058","PstI.TP133136",5,65324990,2.7720432375777e-05,0.194,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GHW_50",2.7648,NA,3e-05,0.194
"1059","NsiI.TP495572",11,15165,5.2119471110508e-07,0.2328,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GHW_50",6.6606,NA,5e-07,0.2328
"1060","NsiI.TP441453",3,57267022,4.40554863506553e-05,0.1767,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GHW_50",5.2951,NA,4e-05,0.1767
"1061","NsiI.TP388861",4,53760575,1.05584459243008e-06,0.194,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GHW_50",9.8729,NA,1e-06,0.194
"1062","PstI.TP133136",5,65324990,3.19153785510076e-11,0.194,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GHW_50",8.2372,NA,3e-11,0.194
"1063","PstI.TP532426",7,64966356,3.22998124059562e-08,0.4655,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GHW_50",7.9992,NA,3e-08,0.4655
"1064","PstI.TP1282314",9,15059279,4.99574198175964e-05,0.1595,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GHW_50",4.4554,NA,5e-05,0.1595
"1065","PstI.TP187918",11,1532,4.83058802039773e-05,0.25,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GHW_50",4.9782,NA,5e-05,0.25
"1066","NsiI.TP495572",11,15165,2.50380210375374e-06,0.2328,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GHW_50",6.4617,NA,3e-06,0.2328
"1067","PstI.TP277421",1,17621133,5.03500608787905e-05,0.2456,"F116+36088im","PS_Y","mrMLMM","mrMLM","GFW_50",6.4466,NA,5e-05,0.2456
"1068","NsiI.TP772099",3,52480890,4.93400971187958e-06,0.0921,"F116+36088im","PS_Y","mrMLMM","mrMLM","GFW_50",13.7893,NA,5e-06,0.0921
"1069","PstI.TP242436",4,2670410,6.87226661584249e-06,0.3026,"F116+36088im","PS_Y","mrMLMM","mrMLM","GFW_50",5.3832,NA,7e-06,0.3026
"1070","PstI.TP133136",5,65324990,8.08537188525547e-09,0.193,"F116+36088im","PS_Y","mrMLMM","mrMLM","GFW_50",7.394,NA,8e-09,0.193
"1071","PstI.TP532426",7,64966356,9.349750030886e-06,0.4561,"F116+36088im","PS_Y","mrMLMM","mrMLM","GFW_50",6.2835,NA,9e-06,0.4561
"1072","PstI.TP1107958",9,50254652,3.44667234871789e-08,0.0175,"F116+36088im","PS_Y","mrMLMM","mrMLM","GFW_50",25.6353,NA,3e-08,0.0175
"1073","NsiI.TP496851",3,61267172,2.18977755509858e-06,0.1164,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GFW_50",3.7518,NA,2e-06,0.1164
"1074","PstI.TP133136",5,65324990,1.34400226308216e-08,0.194,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GFW_50",6.2602,NA,1e-08,0.194
"1075","PstI.TP115244",11,953,6.22443591603289e-08,0.4397,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GFW_50",9.774,NA,6e-08,0.4397
"1076","PstI.TP187918",11,1532,3.30217435267076e-05,0.25,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","GFW_50",3.903,NA,3e-05,0.25
"1077","PstI.TP325669",4,67124681,5.90744925867226e-08,0.3233,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GFW_50",7.8459,NA,6e-08,0.3233
"1078","PstI.TP133136",5,65324990,6.13620697509689e-06,0.194,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GFW_50",4.106,NA,6e-06,0.194
"1079","PstI.TP187918",11,1532,0.000169121958773965,0.25,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GFW_50",5.5536,NA,2e-04,0.25
"1080","NsiI.TP495572",11,15165,1.35550149217308e-07,0.2328,"F116+36088im","PS_Y","mrMLMM","pLARmEB","GFW_50",12.2752,NA,1e-07,0.2328
"1081","NsiI.TP30868",1,51136397,4.66659380314288e-05,0.0991,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GFW_50",3.1077,NA,5e-05,0.0991
"1082","PstI.TP8376",4,59384691,9.22146665124265e-05,0.2026,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GFW_50",14.7268,NA,9e-05,0.2026
"1083","PstI.TP133136",5,65324990,2.5822601906346e-05,0.194,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GFW_50",4.6594,NA,3e-05,0.194
"1084","PstI.TP125419",10,50424324,2.94917130750827e-05,0.2241,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GFW_50",1.9671,NA,3e-05,0.2241
"1085","PstI.TP693499",11,4804,3.25911736313484e-05,0.0776,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","GFW_50",1.9499,NA,3e-05,0.0776
"1086","NsiI.TP30868",1,51136397,4.33710563500441e-08,0.1009,"F116+36088im","PS_Y","mrMLMM","mrMLM","HM_1",10.1468,NA,4e-08,0.1009
"1087","NsiI.TP766568",1,13943502,2.76184944207529e-06,0.4693,"F116+36088im","PS_Y","mrMLMM","mrMLM","HM_1",15.177,NA,3e-06,0.4693
"1088","NsiI.TP388861",4,53760575,1.26969672678094e-05,0.1974,"F116+36088im","PS_Y","mrMLMM","mrMLM","HM_1",10.4903,NA,1e-05,0.1974
"1089","PstI.TP133136",5,65324990,8.72569442770117e-08,0.193,"F116+36088im","PS_Y","mrMLMM","mrMLM","HM_1",6.589,NA,9e-08,0.193
"1090","PstI.TP133136",5,65324990,7.22270704312172e-06,0.194,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","HM_1",4.6794,NA,7e-06,0.194
"1091","PstI.TP874146",11,6098,0.000180592620541615,0.056,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","HM_1",2.1845,NA,2e-04,0.056
"1092","NsiI.TP406542",11,13590,4.47713304176362e-07,0.2716,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","HM_1",5.8925,NA,4e-07,0.2716
"1093","NsiI.TP767179",11,18585,1.27497009994371e-05,0.2328,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","HM_1",10.3219,NA,1e-05,0.2328
"1094","PstI.TP242436",4,2670410,2.35993477555164e-06,0.306,"F116+36088im","PS_Y","mrMLMM","pLARmEB","HM_1",2.92,NA,2e-06,0.306
"1095","PstI.TP874146",11,6098,3.20184275820278e-05,0.056,"F116+36088im","PS_Y","mrMLMM","pLARmEB","HM_1",8.1581,NA,3e-05,0.056
"1096","PstI.TP1020545",11,7078,0.000144643859010688,0.3405,"F116+36088im","PS_Y","mrMLMM","pLARmEB","HM_1",2.8117,NA,1e-04,0.3405
"1097","NsiI.TP495572",11,15165,1.7262353266051e-05,0.2328,"F116+36088im","PS_Y","mrMLMM","pLARmEB","HM_1",4.1425,NA,2e-05,0.2328
"1098","NsiI.TP767179",11,18585,1.0164827197221e-06,0.2328,"F116+36088im","PS_Y","mrMLMM","pLARmEB","HM_1",8.7994,NA,1e-06,0.2328
"1099","PstI.TP661215",3,54129611,6.90080888548451e-06,0.2198,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","HM_1",9.5794,NA,7e-06,0.2198
"1100","PstI.TP133136",5,65324990,0.000109018449238513,0.194,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","HM_1",1.7906,NA,1e-04,0.194
"1101","PstI.TP1282314",9,15059279,2.91004697783771e-05,0.1595,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","HM_1",4.0294,NA,3e-05,0.1595
"1102","PstI.TP125419",10,50424324,6.75149577160642e-07,0.2241,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","HM_1",2.8659,NA,7e-07,0.2241
"1103","PstI.TP219629",11,1793,2.75867157507639e-05,0.125,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","HM_1",2.3236,NA,3e-05,0.125
"1104","PstI.TP1020545",11,7078,2.73086354512082e-10,0.3405,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","HM_1",9.1081,NA,3e-10,0.3405
"1105","NsiI.TP156555",11,10854,6.98393196540885e-07,0.2802,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","HM_1",4.8717,NA,7e-07,0.2802
"1106","NsiI.TP767179",11,18585,8.007556285067e-11,0.2328,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","HM_1",16.5679,NA,8e-11,0.2328
"1107","NsiI.TP766568",1,13943502,2.68163706676073e-05,0.4693,"F116+36088im","PS_Y","mrMLMM","mrMLM","FM_1",12.7668,NA,3e-05,0.4693
"1108","PstI.TP208292",2,66325675,1.01601471989976e-05,0.307,"F116+36088im","PS_Y","mrMLMM","mrMLM","FM_1",19.3085,NA,1e-05,0.307
"1109","NsiI.TP772099",3,52480890,1.73500208088157e-06,0.0921,"F116+36088im","PS_Y","mrMLMM","mrMLM","FM_1",21.0667,NA,2e-06,0.0921
"1110","PstI.TP133136",5,65324990,1.58562323083355e-08,0.193,"F116+36088im","PS_Y","mrMLMM","mrMLM","FM_1",6.416,NA,2e-08,0.193
"1111","PstI.TP794382",6,14220994,2.51015188099533e-05,0.0175,"F116+36088im","PS_Y","mrMLMM","mrMLM","FM_1",8.79,NA,3e-05,0.0175
"1112","PstI.TP532426",7,64966356,5.44126653615445e-06,0.4561,"F116+36088im","PS_Y","mrMLMM","mrMLM","FM_1",5.8593,NA,5e-06,0.4561
"1113","PstI.TP115244",11,953,5.95936519255937e-09,0.4397,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","FM_1",7.1179,NA,6e-09,0.4397
"1114","PstI.TP187918",11,1532,3.51398578235399e-09,0.25,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","FM_1",9.8101,NA,4e-09,0.25
"1115","PstI.TP714290",11,4942,5.02342589522387e-05,0.2328,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","FM_1",6.7673,NA,5e-05,0.2328
"1116","PstI.TP1020545",11,7078,1.55095786692872e-06,0.3405,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","FM_1",7.4696,NA,2e-06,0.3405
"1117","NsiI.TP652578",11,17171,1.0155469355497e-06,0.1509,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","FM_1",9.3567,NA,1e-06,0.1509
"1118","NsiI.TP767179",11,18585,5.16178605496672e-10,0.2328,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","FM_1",24.2184,NA,5e-10,0.2328
"1119","PstI.TP242436",4,2670410,1.33813521515402e-06,0.306,"F116+36088im","PS_Y","mrMLMM","pLARmEB","FM_1",2.0897,NA,1e-06,0.306
"1120","PstI.TP187918",11,1532,6.5222884246564e-06,0.25,"F116+36088im","PS_Y","mrMLMM","pLARmEB","FM_1",2.7234,NA,7e-06,0.25
"1121","PstI.TP714290",11,4942,8.40814127170447e-05,0.2328,"F116+36088im","PS_Y","mrMLMM","pLARmEB","FM_1",2.9595,NA,8e-05,0.2328
"1122","PstI.TP1020545",11,7078,1.25689789819555e-07,0.3405,"F116+36088im","PS_Y","mrMLMM","pLARmEB","FM_1",3.9501,NA,1e-07,0.3405
"1123","NsiI.TP495572",11,15165,6.12350391724773e-06,0.2328,"F116+36088im","PS_Y","mrMLMM","pLARmEB","FM_1",4.1218,NA,6e-06,0.2328
"1124","NsiI.TP767179",11,18585,4.42486474355665e-08,0.2328,"F116+36088im","PS_Y","mrMLMM","pLARmEB","FM_1",9.4056,NA,4e-08,0.2328
"1125","PstI.TP242436",4,2670410,6.54334772373758e-06,0.306,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","FM_1",2.6266,NA,7e-06,0.306
"1126","PstI.TP133136",5,65324990,1.65196179822901e-05,0.194,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","FM_1",1.9005,NA,2e-05,0.194
"1127","NsiI.TP823356",6,49820945,0.000180925591025382,0.3103,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","FM_1",1.9319,NA,2e-04,0.3103
"1128","PstI.TP874146",11,6098,9.33254300796991e-06,0.056,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","FM_1",7.5301,NA,9e-06,0.056
"1129","PstI.TP1177996",11,8302,6.99358729211692e-07,0.1552,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","FM_1",1.9846,NA,7e-07,0.1552
"1130","NsiI.TP156555",11,10854,3.83177500361384e-06,0.2802,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","FM_1",3.8777,NA,4e-06,0.2802
"1131","NsiI.TP652578",11,17171,1.30647167972202e-05,0.1509,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","FM_1",4.199,NA,1e-05,0.1509
"1132","NsiI.TP767179",11,18585,1.2998702373886e-07,0.2328,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","FM_1",12.7968,NA,1e-07,0.2328
