"","SNP","Chromosome","Position","P.value","MAF","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name","PVE","QTN.effect","LOD.score","Genotype.for.code.1","Var_error","Var_phen..total.","X","P.value.1"
"4047","PstI.TP459121",1,78162835,2.38726153234149e-11,0.0735,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","pLARmEB","OWA19",0,-0.0248,9.6904,"C",NA,NA,NA,2e-11
"4048","PstI.TP729855",3,65126133,3.07893130974161e-06,0.0343,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","pLARmEB","OWA19",0.7303,-0.015,4.7268,"C",NA,NA,NA,3e-06
"4049","PstI.TP124945",5,41255313,0.000126881995421561,0.1373,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","pLARmEB","OWA19",0,-0.0077,3.1895,"A",NA,NA,NA,1e-04
"4050","PstI.TP166492",6,2200069,3.75404954472084e-06,0.1225,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","pLARmEB","OWA19",1.0135,0.0058,4.6442,"A",NA,NA,NA,4e-06
"4051","PstI.TP459121",1,78162835,2.91138741261876e-10,0.0735,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA19",0,-0.0265,8.6283,"C",2e-04,3e-04,NA,3e-10
"4052","PstI.TP108989",1,2588793,7.44903474524108e-06,0.0446,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","FASTmrMLM","OWA18",4.8792,-0.2363,4.3592,"C",0.0312,0.0405,NA,7e-06
"4053","PstI.TP108989",1,2588793,1.16923013483392e-05,0.0446,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","FASTmrEMMA","OWA18",16.0617,-0.5122,4.1722,"C",0.0326,0.0405,NA,1e-05
"4054","PstI.TP108989",1,2588793,7.44903474524108e-06,0.0446,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","pLARmEB","OWA18",2.5321,-0.2546,4.3592,"C",0.0326,0.0405,NA,7e-06
"4055","PstI.TP108989",1,2588793,1.58489319246111e-06,0.0446,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA18",5.6658,-0.2546,5.0037,"C",0.0326,0.0405,NA,2e-06
"4056","PstI.TP392482",1,17611146,2.81384389371248e-09,0.0227,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","mrMLM","OWA19",0,-0.0352,7.6675,"A",1e-04,3e-04,NA,3e-09
"4057","PstI.TP459121",1,78162835,9.74092052491858e-08,0.0727,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","mrMLM","OWA19",0,-0.0159,6.1726,"C",NA,NA,NA,1e-07
"4058","PstI.TP729855",3,65126133,1.22630923830874e-09,0.0318,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","mrMLM","OWA19",11.1936,-0.0205,8.0189,"C",NA,NA,NA,1e-09
"4059","PstI.TP1010623",3,2603844,3.44112144396091e-06,0.0136,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","mrMLM","OWA19",0,-0.0333,4.6804,"C",NA,NA,NA,3e-06
"4060","PstI.TP459121",1,78162835,2.41490471806165e-10,0.0714,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","FASTmrMLM","OWA19",0,-0.025,8.7076,"C",1e-04,3e-04,NA,2e-10
"4061","PstI.TP729855",3,65126133,2.03798038628705e-07,0.0312,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","FASTmrMLM","OWA19",8.7954,-0.0182,5.8625,"C",NA,NA,NA,2e-07
"4062","PstI.TP392482",1,17611146,1.55345973137658e-06,0.0223,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","FASTmrEMMA","OWA19",13.1231,-0.057,5.012,"A",1e-04,3e-04,NA,2e-06
"4063","PstI.TP459121",1,78162835,3.08034953654257e-07,0.0714,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","FASTmrEMMA","OWA19",11.2654,-0.0312,5.6892,"C",NA,NA,NA,3e-07
"4064","PstI.TP1010623",3,2603844,1.44877185354476e-08,0.0134,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","FASTmrEMMA","OWA19",8.7994,-0.0597,6.9752,"C",NA,NA,NA,1e-08
"4065","PstI.TP729855",3,65126133,7.32655813479639e-06,0.0312,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","FASTmrEMMA","OWA19",7.7292,-0.0294,4.3662,"C",NA,NA,NA,7e-06
"4066","PstI.TP678255",1,67745947,0.000190414492684038,0.2679,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","pLARmEB","OWA19",0.1622,-0.0033,3.0235,"A",1e-04,3e-04,NA,2e-04
"4067","PstI.TP459121",1,78162835,3.8264848659511e-12,0.0714,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","pLARmEB","OWA19",0,-0.0248,10.4694,"C",NA,NA,NA,4e-12
"4068","PstI.TP729855",3,65126133,1.7934942968627e-06,0.0312,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","pLARmEB","OWA19",0.9595,-0.0174,4.9521,"C",NA,NA,NA,2e-06
"4069","PstI.TP459121",1,78162835,9.36914585672732e-09,0.0714,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA19",0,-0.0244,7.1592,"C",1e-04,3e-04,NA,9e-09
"4070","PstI.TP729855",3,65126133,4.26874291292974e-08,0.0312,NA,NA,NA,NA,NA,NA,"O112+3450","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA19",8.9468,-0.0184,6.5197,"C",NA,NA,NA,4e-08
"4071","NsiI.TP424080",8,62210912,3.58261384583867e-05,0.041,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","FASTmrEMMA","OWA18",11.1134,-0.5083,3.7092,"A",0.0352,0.0437,NA,4e-05
"4072","PstI.TP459121",1,78162835,2.3861624108795e-09,0.0708,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","mrMLM","OWA19",0,-0.019,7.7372,"C",1e-04,3e-04,NA,2e-09
"4073","PstI.TP1200270",2,13518060,7.76068399701105e-05,0.1125,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","mrMLM","OWA19",1.0833,-0.0107,3.391,"A",NA,NA,NA,8e-05
"4074","PstI.TP268085",2,64265265,4.37119317926224e-08,0.05,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","mrMLM","OWA19",55.2399,0.0223,6.5097,"A",NA,NA,NA,4e-08
"4075","PstI.TP459121",1,78162835,9.00326431059722e-07,0.0697,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","FASTmrMLM","OWA19",0,-0.0184,5.24,"C",2e-04,3e-04,NA,9e-07
"4076","PstI.TP1200270",2,13518060,5.4538099509656e-05,0.1107,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","FASTmrMLM","OWA19",1.178,-0.0099,3.536,"A",NA,NA,NA,5e-05
"4077","PstI.TP166492",6,2200069,6.58567053154378e-08,0.1189,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","FASTmrMLM","OWA19",31.0856,0.011,6.3372,"A",NA,NA,NA,7e-08
"4078","PstI.TP459121",1,78162835,4.08319386332692e-05,0.0697,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","FASTmrEMMA","OWA19",11.9413,-0.0327,3.6553,"C",1e-04,3e-04,NA,4e-05
"4079","PstI.TP1010623",3,2603844,1.0587660331137e-05,0.0123,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","FASTmrEMMA","OWA19",4.7186,-0.046,4.2133,"C",NA,NA,NA,1e-05
"4080","NsiI.TP424080",8,62210912,8.06491881595098e-08,0.041,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","FASTmrEMMA","OWA19",14.2891,-0.0452,6.252,"A",NA,NA,NA,8e-08
"4081","PstI.TP459121",1,78162835,9.62055219186215e-06,0.0697,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","pLARmEB","OWA19",0,-0.0199,4.2531,"C",2e-04,3e-04,NA,1e-05
"4082","PstI.TP1200270",2,13518060,4.08883890267698e-06,0.1107,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","pLARmEB","OWA19",0.1575,-0.0078,4.6086,"A",NA,NA,NA,4e-06
"4083","PstI.TP982120",2,21428233,2.2913952052729e-07,0.0328,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","pLARmEB","OWA19",6.9491e-06,2.0182e-05,5.8133,"A",NA,NA,NA,2e-07
"4084","PstI.TP166492",6,2200069,2.60735400445539e-10,0.1189,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","pLARmEB","OWA19",5.8861,0.0104,8.675,"A",NA,NA,NA,3e-10
"4085","PstI.TP459121",1,78162835,2.40657832011161e-06,0.0697,NA,NA,NA,NA,NA,NA,"O122+2646","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA19",0,-0.0183,4.8294,"C",2e-04,3e-04,NA,2e-06
