Nearest.S..bicolor.gene,Chr.a,Positionb,Trialc,Winterd,Miscanthus.SNPe,Arabidopsis.gene,Gene.symbol,SB,Chromosome.Name,Gene.Start..bp.,Gene.End..bp.,PFAM.ID,PFAM.Description,KOG.ID,KOG.Desctiption,KO.ID,GO.ID,KO.Description,GO.Description,PAC.Transcript.ID,Transcript.Start..bp.,Transcript.End..bp.
Sobic.003G345100,3,66 638 290,NEF 2012,2,UIMiscanthus118372,AT3G11180,,Sb03g038880,chromosome_3,66677935,66682300,PF03171,2OG-Fe(II) oxygenase superfamily,KOG0143,Iron/ascorbate family oxidoreductases,,55114,,oxidation reduction,1963796,66677935,66682300
Sobic.003G352200,3,67 125 342,HU 2012,2,UIMiscanthus017647,AT5G02320,"ATMYB3R5, MYB3R‐5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.003G413600,3,72 078 520,KNU 2012,2,UIMiscanthus019389,AT4G13420,"ATHAK5, HAK5",Sb03g044780,chromosome_3,72136141,72140648,PF02705,K+ potassium transporter,,,,16020,,membrane,1964498,72136141,72140648
Sobic.004G005200,4,446 677,UI 2013,1,UIMiscanthus096439,AT1G33230,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.004G039500,4,3 252 258,CSU 2013,1,UIMiscanthus118373,AT4G01070,"GT72B1, UGT72B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.004G042100,4,3 460 776,UI 2012,1,UIMiscanthus091689,AT5G24870,,Sb04g003650,chromosome_4,3471971,3475507,,,,,,NA,,,1965313,3471971,3475507
Sobic.004G073500,4,5 948 390,CSU 2013,1,UIMiscanthus100262,AT3G28345,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.004G087800,4,7 436 056,CSU 2013,1,UIMiscanthus118374,AT1G15520,"ABCG40, ATABCG40, ATPDR12, PDR12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.004G248700,4,59 577 953,CSU 2012,2,UIMiscanthus005328,AT5G16600,"AtMYB43, MYB43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.004G279300,4,62 207 466,NEF 2012,1,UIMiscanthus022071,AT5G37260,"CIR1, RVE2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.004G283800,4,62 602 070,KNU 2012,2,UIMiscanthus021451,AT4G00750,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.004G286600,4,62 928 690,KNU 2012,2,UIMiscanthus016552,AT1G20440,COR47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.004G321400,4,65 644 782,KNU 2012,1,UIMiscanthus107624,AT3G18730,"BRU1, MGO3, TSK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.006G018100,6,3 007 286,HU 2012,2,UIMiscanthus107102,AT3G05950,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.006G092300,6,46 253 326,NEF 2012,1,UIMiscanthus014960,AT5G10970,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.006G127500,6,49 249 029,HU 2012,2,UIMiscanthus118375,AT3G22320,"ATRPABC24.3, NRPB5, NRPD5, RPB5A",Sb06g020760,chromosome_6,50172750,50173815,PF03871,"RNA polymerase Rpb5, N-terminal domain",KOG3218,"RNA polymerase, 25-kDa subunit (common to polymerases I, II and III)",,5634,,nucleus,1972943,50172750,50173815
Sobic.006G247700,6,58 727 756,HU 2012,2,UIMiscanthus116154,AT1G02065,SPL8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.006G260800,6,59 583 985,CSU 2012,1,UIMiscanthus018713,AT5G04490,VTE5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.007G018100,7,1 678 335,HU 2012,2,UIMiscanthus110730,AT2G46770,"ANAC043, EMB2301, NST1",Sb07g001550,chromosome_7,1762525,1765711,PF02365,No apical meristem (NAM) protein,,,,3677,,DNA binding,1974746,1762525,1765711
Sobic.007G181100,7,61 432 860,KNU 2012,2,UIMiscanthus118376,AT5G19700,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.008G002950,8,255 984,UI 2013,1,UIMiscanthus010426,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.008G028600,8,2 549 936,CSU 2012,2,UIMiscanthus097991,AT2G40750,"ATWRKY54, WRKY54",Sb08g002520,chromosome_8,2586470,2588302,PF03106,WRKY DNA -binding domain,,,,6355,,"regulation of transcription, DNA-dependent",1977413,2586470,2588302
Sobic.009G111000,9,44 647 057,NEF 2012,2,UIMiscanthus118377,AT4G02330,ATPMEPCRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.009G234500,9,57 313 789,CSU 2013,1,UIMiscanthus012595,AT1G29390,COR314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.010G016100,10,1 280 469,CSU 2012,2,UIMiscanthus012279,AT2G21480,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.010G075500,10,6 194 258,KNU 2013,1,UIMiscanthus118378,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.010G152900,10,44 512 735,CSU 2013,1,UIMiscanthus118379,AT5G64570,"ATBXL4, XYL4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.010G168900,10,49 849 126,CSU 2012,1,UIMiscanthus118380,AT2G19600,"ATKEA4, KEA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.001G431500,,2014,OWA1,QTL1,UIMiscanthus061802,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.002G351400,,2014,OWA2,QTL2,UIMiscanthus059172,,,Sb02g037350,chromosome_2,71664482,71665453,PF00314,Thaumatin family,,,,NA,,,1959155,71664482,71665453
Sobic.003G237201,,2014,OWA3,QTL3,UIMiscanthus069638,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.004G286600,,2014,OWA4,QTL4,UIMiscanthus064552,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.005G103000,,2014,OWA5,QTL5,UIMiscanthus072736,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.006G098300,,,OWA6,QTL6,UIMiscanthus036875,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.006G115700,,2014,OWA6,QTL6,UIMiscanthus036875,WRKY2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.006G228000,,,OWA6,QTL6,UIMiscanthus036875,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.008G029400,,2014,OWA8,QTL8,UIMiscanthus016483,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.008G030600,,,OWA8,QTL8,UIMiscanthus016483,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,2014,OWA9,QTL9,UIMiscanthus012370,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,2014,OWA7,QTL7,UIMiscanthus011134,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
