"","SB","GI"
"1991","Sb10g023370","Sobic.010G182700"
"2030","Sb10g023690","Sobic.010G186400"
"2047","Sb10g023850","Sobic.010G188300"
"2094","Sb10g024260","Sobic.010G193000"
"2096","Sb10g024280","Sobic.010G193200"
"2098","Sb10g024300","Sobic.010G193400"
"2131","Sb10g024580","Sobic.010G196600"
"2153","Sb10g024770","Sobic.010G199000"
"2195","Sb10g025150","Sobic.010G204100"
"2211","Sb10g025286","null"
"2249","Sb10g025590","Sobic.010G209100"
"2250","Sb10g025600","Sobic.010G209200"
"2266","Sb10g025730","Sobic.010G210600"
"2267","Sb10g025740","Sobic.010G210700"
"2281","Sb10g025880","Sobic.010G212100"
"2285","Sb10g025910","Sobic.010G212500"
"2298","Sb10g026030","Sobic.010G213700"
"2299","Sb10g026040","Sobic.010G213800"
"2345","Sb10g026450","Sobic.010G218500"
"2346","Sb10g026460","Sobic.010G218600"
"2372","Sb10g026660","Sobic.010G221200"
"2381","Sb10g026740","Sobic.010G222100"
"2410","Sb10g026970","null"
"2425","Sb10g027100","Sobic.010G227300"
"2455","Sb10g027340","Sobic.010G230800"
"2468","Sb10g027460","Sobic.010G231900"
"2471","Sb10g027485","null"
"2479","Sb10g027540","Sobic.010G233200"
"2488","Sb10g027610","Sobic.010G234000"
"2493","Sb10g027640","Sobic.010G234400"
"2495","Sb10g027660","Sobic.010G234600"
"2556","Sb10g028070","Sobic.010G240400"
"2564","Sb10g028140","Sobic.010G241200"
"2565","Sb10g028150","Sobic.010G241300"
"2589","Sb10g028360","Sobic.010G244100"
"2601","Sb10g028480","Sobic.010G245500"
"2611","Sb10g028570","Sobic.010G246600"
"2615","Sb10g028610","Sobic.010G247300"
"2624","Sb10g028690","Sobic.010G248200"
"2625","Sb10g028700","null"
"2632","Sb10g028770","Sobic.010G249400"
"2690","Sb10g029280","Sobic.010G255300"
"2698","Sb10g029330","null"
"2728","Sb10g029590","Sobic.010G259300"
"2741","Sb10g029710","Sobic.010G260700"
"2751","Sb10g029810","Sobic.010G261800"
"2781","Sb10g030080","Sobic.010G265500"
"2794","Sb10g030200","Sobic.010G267000"
"2813","Sb10g030380","Sobic.010G268800"
"2833","Sb10g030570","Sobic.010G270900"
"2845","Sb10g030660","Sobic.010G272000"
"2921","Sb10g031320","null"
"2948","Sb09g000440","Sobic.009G002500"
"2949","Sb09g000450","Sobic.009G002600"
"2958","Sb09g000520","Sobic.009G003600"
"2967","Sb09g000600","Sobic.009G004500"
"2969","Sb09g000620","null"
"2970","Sb09g000630","null"
"2982","Sb09g000700","Sobic.009G005600"
"2989","Sb09g000770","Sobic.009G006300"
"3002","Sb09g000870","null"
"3014","Sb09g000980","null"
"3015","Sb09g000990","Sobic.009G009200"
"3016","Sb09g001000","null"
"3017","Sb09g001010","Sobic.009G009400"
"3020","Sb09g001040","null"
"3021","Sb09g001050","Sobic.009G009700"
"3022","Sb09g001060","Sobic.009G009800"
"3031","Sb09g001120","Sobic.009G010700"
"3042","Sb09g001200","Sobic.009G012000"
"3045","Sb09g001230","Sobic.009G012300"
"3047","Sb09g001250","null"
"3059","Sb09g001320","Sobic.009G013500"
"3071","Sb09g001430","Sobic.009G014700"
"3107","Sb09g001740","null"
"3110","Sb09g001750","Sobic.009G019200"
"3113","Sb09g001780","Sobic.009G019800"
"3121","Sb09g001860","Sobic.009G021300"
"3124","Sb09g001880","Sobic.009G021600"
"3131","Sb09g001940","Sobic.009G022500"
"3178","Sb09g002300","null"
"3184","Sb09g002350","Sobic.009G028200"
"3261","Sb09g003060","Sobic.009G036100"
"3311","Sb09g003470","null"
"3324","Sb09g003580","Sobic.009G042600"
"3335","Sb09g003690","Sobic.009G043600"
"3347","Sb09g003790","Sobic.009G044400"
"3359","Sb09g003900","Sobic.009G045600"
"3367","Sb09g003980","null"
"3368","Sb09g003990","Sobic.009G046500"
"3393","Sb09g004170","Sobic.009G048900"
"3425","Sb09g004390","Sobic.009G051800"
"3443","Sb09g004520","Sobic.009G053700"
"3456","Sb09g004640","Sobic.009G054900"
"3458","Sb09g004660","Sobic.009G055300"
"3471","Sb09g004750","Sobic.009G056400"
"3481","Sb09g004850","Sobic.009G057400"
"3517","Sb09g005140","Sobic.009G061200"
"3528","Sb09g005230","Sobic.009G062800"
"3540","Sb09g005340","Sobic.009G064100"
"3576","Sb09g005610","Sobic.009G067400"
"3606","Sb09g005830","Sobic.009G069700"
"3622","Sb09g005940","Sobic.009G070600"
"3624","Sb09g005960","Sobic.009G070700"
"3631","Sb09g006010","Sobic.009G071300"
"3697","Sb09g006490","null"
"3703","Sb09g006534","null"
"3704","Sb09g006536","null"
"3769","Sb09g007360","Sobic.009G083600"
"3795","Sb09g007940","Sobic.009G085900"
"3813","Sb09g008070","Sobic.009G087600"
"4052","Sb09g017210","Sobic.009G106700"
"4092","Sb09g017860","Sobic.009G110200"
"4143","Sb09g018250","Sobic.009G115200"
"4146","Sb09g018280","Sobic.009G115400"
"4148","Sb09g018300","Sobic.009G115500"
"4151","Sb09g018310","Sobic.009G115600"
"4169","Sb09g018440","Sobic.009G116800"
"4207","Sb09g018730","Sobic.009G119200"
"4224","Sb09g018860","Sobic.009G120800"
"4232","Sb09g018930","Sobic.009G121600"
"4242","Sb09g019020","Sobic.009G122400"
"4282","Sb09g019300","Sobic.009G125500"
"4358","Sb09g019940","Sobic.009G133000"
"4365","Sb09g019990","Sobic.009G133800"
"4373","Sb09g020060","null"
"4392","Sb09g020230","Sobic.009G136400"
"4393","Sb09g020240","Sobic.009G136500"
"4442","Sb09g020690","Sobic.009G141500"
"4453","Sb09g020800","Sobic.009G142900"
"4474","Sb09g020960","Sobic.009G144600"
"4478","Sb09g021000","Sobic.009G144900"
"4483","Sb09g021030","Sobic.009G145500"
"4484","Sb09g021040","Sobic.009G145600"
"4485","Sb09g021050","Sobic.009G145700"
"4528","Sb09g021420","Sobic.009G150000"
"4568","Sb09g021770","Sobic.009G154200"
"4569","Sb09g021780","Sobic.009G154300"
"4575","Sb09g021840","null"
"4641","Sb09g022400","Sobic.009G161700"
"4663","Sb09g022580","Sobic.009G163900"
"4675","Sb09g022700","Sobic.009G165000"
"4712","Sb09g023060","Sobic.009G169000"
"4784","Sb09g023700","Sobic.009G176600"
"4805","Sb09g023870","Sobic.009G178500"
"4844","Sb09g024230","Sobic.009G182000"
"4885","Sb09g024580","Sobic.009G186500"
"4890","Sb09g024620","null"
"4896","Sb09g024680","Sobic.009G187400"
"4908","Sb09g024790","Sobic.009G189000"
"4932","Sb09g025010","null"
"4941","Sb09g025090","Sobic.009G192100"
"4946","Sb09g025140","Sobic.009G192600"
"4982","Sb09g025470","Sobic.009G196300"
"4986","Sb09g025510","Sobic.009G197000"
"4987","Sb09g025520","null"
"4990","Sb09g025540","Sobic.009G197600"
"4995","Sb09g025570","Sobic.009G198000"
"5031","Sb09g025900","Sobic.009G201500"
"5040","Sb09g025990","Sobic.009G202400"
"5052","Sb09g026100","Sobic.009G203700"
"5057","Sb09g026141","Sobic.009G204300"
"5064","Sb09g026180","Sobic.009G204900"
"5091","Sb09g026410","Sobic.009G207600"
"5115","Sb09g026640","Sobic.009G210200"
"5160","Sb09g027030","Sobic.009G214700"
"5185","Sb09g027223","null"
"5190","Sb09g027260","Sobic.009G217500"
"5191","Sb09g027270","Sobic.009G217600"
"5229","Sb09g027610","Sobic.009G222100"
"5241","Sb09g027710","Sobic.009G223500"
"5247","Sb09g027770","Sobic.009G224200"
"5259","Sb09g027890","Sobic.009G225600"
"5301","Sb09g028260","Sobic.009G229700"
"5305","Sb09g028290","Sobic.009G230000"
"5307","Sb09g028310","Sobic.009G230200"
"5310","Sb09g028340","Sobic.009G230600"
"5372","Sb09g028890","Sobic.009G236400"
"5379","Sb09g028960","Sobic.009G237200"
"5389","Sb09g029050","Sobic.009G238200"
"5419","Sb09g029300","Sobic.009G241300"
"5421","Sb09g029320","Sobic.009G241500"
"5426","Sb09g029360","Sobic.009G242100"
"5434","Sb09g029430","Sobic.009G242700"
"5439","Sb09g029480","Sobic.009G243200"
"5458","Sb09g029640","Sobic.009G245400"
"5494","Sb09g029910","Sobic.009G248500"
"5504","Sb09g030010","Sobic.009G249600"
"5516","Sb09g030110","Sobic.009G250400"
"5583","Sb09g030670","Sobic.009G256900"
"5613","Sb09g030950","Sobic.009G260600"
"5634","Sb08g000330","Sobic.008G001700"
"5644","Sb08g000420","Sobic.008G002700"
"5645","Sb08g000430","Sobic.008G002800"
"5669","Sb08g000600","Sobic.008G005300"
"5671","Sb08g000620","Sobic.008G005600"
"5686","Sb08g000740","Sobic.008G007100"
"5773","Sb08g001440","Sobic.008G016500"
"5774","Sb08g001450","Sobic.008G016600"
"5792","Sb08g001610","Sobic.008G018600"
"5828","Sb08g001890","Sobic.008G021300"
"5839","Sb08g001960","Sobic.008G022000"
"5866","Sb08g002130","Sobic.008G024500"
"5870","Sb08g002170","Sobic.008G024900"
"5874","Sb08g002210","Sobic.008G025300"
"5884","Sb08g002290","Sobic.008G026200"
"5889","Sb08g002320","Sobic.008G026700"
"5896","Sb08g002380","Sobic.008G027300"
"5911","Sb08g002520","Sobic.008G028600"
"5926","Sb08g002630","Sobic.008G030200"
"5929","Sb08g002655","null"
"5932","Sb08g002680","Sobic.008G030800"
"5968","Sb08g002950","null"
"5989","Sb08g003140","Sobic.008G036300"
"5997","Sb08g003190","Sobic.008G037000"
"6006","Sb08g003270","Sobic.008G038000"
"6032","Sb08g003520","Sobic.008G040800"
"6062","Sb08g003790","Sobic.008G044300"
"6068","Sb08g003850","Sobic.008G044900"
"6100","Sb08g004120","null"
"6112","Sb08g004200","Sobic.008G049300"
"6121","Sb08g004260","Sobic.008G050600"
"6155","Sb08g004580","Sobic.008G054100"
"6200","Sb08g004920","null"
"6207","Sb08g004960","Sobic.008G058900"
"6251","Sb08g005300","Sobic.008G063500"
"6264","Sb08g005390","Sobic.008G064500"
"6269","Sb08g005430","Sobic.008G065000"
"6285","Sb08g005510","Sobic.008G066200"
"6286","Sb08g005513","null"
"6288","Sb08g005520","Sobic.008G066700"
"6293","Sb08g005570","Sobic.008G067200"
"6296","Sb08g005590","null"
"6297","Sb08g005600","null"
"6301","Sb08g005620","Sobic.008G067700"
"6302","Sb08g005630","Sobic.008G067800"
"6384","Sb08g006540","Sobic.008G073700"
"6390","Sb08g006600","Sobic.008G073900"
"6467","Sb08g007570","Sobic.008G079800"
"6486","Sb08g007700","Sobic.008G081200"
"6488","Sb08g007710","Sobic.008G081400"
"6529","Sb08g008410","Sobic.008G084800"
"6552","Sb08g008813","null"
"6572","Sb08g009550","Sobic.008G088000"
"6659","Sb08g013840","Sobic.008G094300"
"6663","Sb08g014065","Sobic.008G094800"
"6691","Sb08g014620","Sobic.008G096900"
"6727","Sb08g015237","null"
"6728","Sb08g015240","null"
"6734","Sb08g015290","Sobic.008G100300"
"6813","Sb08g016190","Sobic.008G107000"
"6835","Sb08g016350","Sobic.008G109300"
"6837","Sb08g016370","Sobic.008G109400"
"6841","Sb08g016390","Sobic.008G109600"
"6870","Sb08g016550","Sobic.008G111500"
"6878","Sb08g016610","Sobic.008G112100"
"6935","Sb08g017090","Sobic.008G117300"
"6938","Sb08g017120","Sobic.008G117600"
"6944","Sb08g017170","Sobic.008G118000"
"6981","Sb08g017420","null"
"7001","Sb08g017520","Sobic.008G122700"
"7004","Sb08g017540","Sobic.008G122800"
"7078","Sb08g018265","null"
"7125","Sb08g018600","null"
"7156","Sb08g018850","null"
"7171","Sb08g018980","Sobic.008G138900"
"7177","Sb08g019030","Sobic.008G139500"
"7215","Sb08g019270","Sobic.008G142000"
"7232","Sb08g019420","Sobic.008G143900"
"7252","Sb08g019550","Sobic.008G145200"
"7268","Sb08g019670","Sobic.008G146700"
"7290","Sb08g019860","Sobic.008G148400"
"7304","Sb08g019960","Sobic.008G149900"
"7358","Sb08g020415","Sobic.008G155000"
"7372","Sb08g020530","Sobic.008G156500"
"7384","Sb08g020650","Sobic.008G157600"
"7423","Sb08g020880","null"
"7426","Sb08g020910","Sobic.008G162700"
"7430","Sb08g020950","Sobic.008G163200"
"7434","Sb08g020990","Sobic.008G163600"
"7435","Sb08g021000","Sobic.008G163700"
"7473","Sb08g021260","Sobic.008G167100"
"7475","Sb08g021280","Sobic.008G167300"
"7493","Sb08g021390","Sobic.008G168700"
"7535","Sb08g021750","Sobic.008G172800"
"7547","Sb08g021870","Sobic.008G174100"
"7578","Sb08g022145","null"
"7579","Sb08g022150","Sobic.008G177900"
"7582","Sb08g022180","Sobic.008G178300"
"7598","Sb08g022295","null"
"7610","Sb08g022350","Sobic.008G181300"
"7616","Sb08g022390","Sobic.008G182300"
"7617","Sb08g022400","Sobic.008G182400"
"7619","Sb08g022420","Sobic.008G182600"
"7620","Sb08g022430","Sobic.008G182700"
"7621","Sb08g022440","Sobic.008G182800"
"7622","Sb08g022450","Sobic.008G182900"
"7625","Sb08g022480","Sobic.008G183200"
"7630","Sb08g022520","Sobic.008G183400"
"7676","Sb08g022883","Sobic.008G187900"
"7678","Sb08g022890","Sobic.008G188000"
"7691","Sb08g023000","Sobic.008G189500"
"7701","Sb08g023067","null"
"7710","Sb08g023150","Sobic.008G191300"
"7714","Sb08g023190","Sobic.008G191700"
"7741","Sb07g000280","Sobic.007G001100"
"7766","Sb07g000500","Sobic.007G003400"
"7767","Sb07g000510","Sobic.007G003500"
"7769","Sb07g000520","Sobic.007G003600"
"7795","Sb07g000720","Sobic.007G006300"
"7861","Sb07g001185","Sobic.007G012800"
"7875","Sb07g001310","Sobic.007G014600"
"7972","Sb07g002060","Sobic.007G023300"
"7997","Sb07g002260","Sobic.007G025800"
"7998","Sb07g002265","Sobic.007G025900"
"8014","Sb07g002380","null"
"8039","Sb07g002600","Sobic.007G029800"
"8064","Sb07g002840","Sobic.007G032900"
"8077","Sb07g002950","Sobic.007G034300"
"8087","Sb07g003040","Sobic.007G035500"
"8100","Sb07g003150","Sobic.007G036900"
"8105","Sb07g003180","Sobic.007G037600"
"8116","Sb07g003260","null"
"8117","Sb07g003270","Sobic.007G038500"
"8202","Sb07g003870","Sobic.007G047400"
"8209","Sb07g003920","Sobic.007G048200"
"8245","Sb07g004190","Sobic.007G051800"
"8281","Sb07g004480","Sobic.007G055600"
"8299","Sb07g004635","Sobic.007G057700"
"8303","Sb07g004660","null"
"8306","Sb07g004680","Sobic.007G058600"
"8307","Sb07g004690","Sobic.007G058800"
"8308","Sb07g004700","Sobic.007G058900"
"8310","Sb07g004720","Sobic.007G059200"
"8329","Sb07g004880","Sobic.007G060900"
"8333","Sb07g004920","Sobic.007G061600"
"8362","Sb07g005130","Sobic.007G064800"
"8371","Sb07g005210","Sobic.007G065600"
"8375","Sb07g005240","Sobic.007G065900"
"8390","Sb07g005350","Sobic.007G067600"
"8398","Sb07g005430","Sobic.007G068700"
"8405","Sb07g005480","Sobic.007G069500"
"8423","Sb07g005596","Sobic.007G070700"
"8430","Sb07g005660","Sobic.007G071500"
"8432","Sb07g005680","Sobic.007G071700"
"8436","Sb07g005710","null"
"8440","Sb07g005750","Sobic.007G072300"
"8445","Sb07g005780","Sobic.007G073100"
"8450","Sb07g005810","null"
"8451","Sb07g005820","Sobic.007G073400"
"8458","Sb07g005880","Sobic.007G074000"
"8467","Sb07g005970","Sobic.007G074800"
"8478","Sb07g006060","Sobic.007G075700"
"8481","Sb07g006090","Sobic.007G076000"
"8493","Sb07g006190","null"
"8494","Sb07g006195","Sobic.007G077100"
"8495","Sb07g006200","Sobic.007G077200"
"8496","Sb07g006210","Sobic.007G077300"
"8558","Sb07g006840","Sobic.007G083200"
"8619","Sb07g007640","Sobic.007G088000"
"8627","Sb07g007710","Sobic.007G088500"
"8628","Sb07g007720","Sobic.007G088600"
"8655","Sb07g008300","Sobic.007G091100"
"8683","Sb07g008850","null"
"8703","Sb07g009390","Sobic.007G094600"
"8827","Sb07g014860","Sobic.007G105500"
"8840","Sb07g014960","Sobic.007G106500"
"8850","Sb07g015030","Sobic.007G107000"
"8860","Sb07g015110","null"
"8887","Sb07g015581","null"
"8989","Sb07g019400","null"
"9037","Sb07g019930","Sobic.007G122500"
"9059","Sb07g020100","Sobic.007G124200"
"9071","Sb07g020180","Sobic.007G125100"
"9104","Sb07g020430","Sobic.007G128100"
"9111","Sb07g020500","null"
"9135","Sb07g020690","Sobic.007G131200"
"9143","Sb07g020750","Sobic.007G131700"
"9278","Sb07g021840","Sobic.007G143100"
"9280","Sb07g021860","null"
"9282","Sb07g021870","Sobic.007G143400"
"9289","Sb07g021915","Sobic.007G144100"
"9293","Sb07g021940","null"
"9305","Sb07g022040","Sobic.007G145600"
"9327","Sb07g022220","Sobic.007G148000"
"9340","Sb07g022340","Sobic.007G149300"
"9361","Sb07g022520","Sobic.007G151300"
"9374","Sb07g022650","Sobic.007G152600"
"9385","Sb07g022750","Sobic.007G153900"
"9398","Sb07g022860","Sobic.007G154800"
"9421","Sb07g023020","Sobic.007G156500"
"9422","Sb07g023030","Sobic.007G156700"
"9435","Sb07g023130","Sobic.007G157700"
"9436","Sb07g023140","Sobic.007G157800"
"9444","Sb07g023200","Sobic.007G158500"
"9445","Sb07g023210","Sobic.007G158600"
"9446","Sb07g023220","Sobic.007G158700"
"9474","Sb07g023470","Sobic.007G161500"
"9502","Sb07g023700","Sobic.007G163500"
"9509","Sb07g023750","Sobic.007G164200"
"9511","Sb07g023770","Sobic.007G164300"
"9513","Sb07g023790","Sobic.007G164500"
"9516","Sb07g023800","null"
"9553","Sb07g024090","Sobic.007G168000"
"9565","Sb07g024200","Sobic.007G169500"
"9575","Sb07g024280","Sobic.007G170700"
"9586","Sb07g024380","Sobic.007G171600"
"9601","Sb07g024510","Sobic.007G172800"
"9648","Sb07g024890","Sobic.007G177100"
"9770","Sb07g025900","Sobic.007G189300"
"9787","Sb07g026040","Sobic.007G191200"
"9823","Sb07g026330","Sobic.007G194800"
"9867","Sb07g026735","null"
"9888","Sb07g026870","Sobic.007G201100"
"9901","Sb07g026980","Sobic.007G202400"
"9923","Sb07g027180","Sobic.007G204400"
"9978","Sb07g027710","Sobic.007G209900"
"9989","Sb07g027795","null"
"10022","Sb07g028090","Sobic.007G213800"
"10052","Sb07g028310","Sobic.007G216700"
"10053","Sb07g028320","Sobic.007G216800"
"10058","Sb07g028370","null"
"10074","Sb07g028520","Sobic.007G218700"
"10122","Sb07g028920","Sobic.007G223900"
"10176","Sb06g000340","Sobic.006G001800"
"10216","Sb06g000656","Sobic.006G005500"
"10217","Sb06g000660","Sobic.006G005600"
"10235","Sb06g000780","Sobic.006G007100"
"10237","Sb06g000790","Sobic.006G007300"
"10239","Sb06g000810","Sobic.006G007800"
"10242","Sb06g000820","Sobic.006G007900"
"10265","Sb06g001030","Sobic.006G010200"
"10268","Sb06g001040","null"
"10284","Sb06g001175","null"
"10316","Sb06g001440","Sobic.006G014800"
"10317","Sb06g001450","Sobic.006G014900"
"10348","Sb06g001640","Sobic.006G017200"
"10349","Sb06g001645","Sobic.006G017400"
"10350","Sb06g001650","Sobic.006G017500"
"10357","Sb06g001690","Sobic.006G018100"
"10369","Sb06g001780","Sobic.006G019100"
"10373","Sb06g001820","null"
"10381","Sb06g001870","Sobic.006G020200"
"10384","Sb06g001890","Sobic.006G020300"
"10387","Sb06g001920","Sobic.006G020500"
"10388","Sb06g001930","null"
"10392","Sb06g001960","Sobic.006G021000"
"10412","Sb06g002090","Sobic.006G022400"
"10425","Sb06g002200","Sobic.006G024200"
"10442","Sb06g002500","null"
"10445","Sb06g002520","Sobic.006G026700"
"10451","Sb06g002560","Sobic.006G026900"
"10466","Sb06g002820","Sobic.006G027500"
"10472","Sb06g002870","Sobic.006G028000"
"10491","Sb06g002990","Sobic.006G028900"
"10518","Sb06g003180","Sobic.006G031100"
"10527","Sb06g003250","Sobic.006G031900"
"10558","Sb06g004060","Sobic.006G034200"
"10568","Sb06g004280","Sobic.006G034300"
"10569","Sb06g004290","Sobic.006G034400"
"10595","Sb06g005000","Sobic.006G036300"
"10599","Sb06g005420","null"
"10651","Sb06g008990","Sobic.006G041000"
"10682","Sb06g010870","Sobic.006G043800"
"10698","Sb06g011401","Sobic.006G045000"
"10707","Sb06g011760","Sobic.006G045500"
"10710","Sb06g011767","Sobic.006G045900"
"10711","Sb06g011770","null"
"10712","Sb06g011772","null"
"10754","Sb06g012980","null"
"10783","Sb06g013770","null"
"10790","Sb06g013820","Sobic.006G051300"
"10812","Sb06g014210","Sobic.006G053700"
"10817","Sb06g014250","Sobic.006G054200"
"10827","Sb06g014320","Sobic.006G054800"
"10828","Sb06g014330","Sobic.006G054900"
"10829","Sb06g014340","Sobic.006G055000"
"10838","Sb06g014400","Sobic.006G055600"
"10845","Sb06g014460","Sobic.006G056400"
"10858","Sb06g014550","Sobic.006G057300"
"10889","Sb06g014790","Sobic.006G059700"
"10896","Sb06g014840","Sobic.006G060200"
"10903","Sb06g014900","Sobic.006G060900"
"10917","Sb06g014950","Sobic.006G061700"
"10926","Sb06g015025","Sobic.006G062600"
"10935","Sb06g015080","Sobic.006G063200"
"10987","Sb06g015520","Sobic.006G068400"
"10996","Sb06g015590","Sobic.006G069200"
"11008","Sb06g015660","Sobic.006G070300"
"11031","Sb06g016010","null"
"11035","Sb06g016043","null"
"11065","Sb06g016280","Sobic.006G075400"
"11091","Sb06g016500","Sobic.006G078100"
"11129","Sb06g016770","Sobic.006G080800"
"11140","Sb06g016870","Sobic.006G082100"
"11194","Sb06g017330","Sobic.006G087500"
"11205","Sb06g017410","Sobic.006G088400"
"11208","Sb06g017417","null"
"11210","Sb06g017430","null"
"11251","Sb06g017800","Sobic.006G093100"
"11256","Sb06g017850","Sobic.006G093500"
"11278","Sb06g018040","Sobic.006G095600"
"11282","Sb06g018070","Sobic.006G095900"
"11302","Sb06g018240","Sobic.006G097800"
"11335","Sb06g018480","Sobic.006G101100"
"11336","Sb06g018490","Sobic.006G101200"
"11349","Sb06g018620","Sobic.006G102700"
"11353","Sb06g018650","Sobic.006G103000"
"11356","Sb06g018680","Sobic.006G103300"
"11362","Sb06g018698","null"
"11405","Sb06g019050","Sobic.006G107900"
"11461","Sb06g019530","Sobic.006G113900"
"11464","Sb06g019560","Sobic.006G114200"
"11485","Sb06g019740","null"
"11537","Sb06g020180","Sobic.006G121200"
"11540","Sb06g020210","Sobic.006G121500"
"11541","Sb06g020220","Sobic.006G121600"
"11543","Sb06g020240","Sobic.006G121800"
"11553","Sb06g020290","Sobic.006G122500"
"11569","Sb06g020420","Sobic.006G124000"
"11606","Sb06g020720","Sobic.006G127100"
"11608","Sb06g020740","Sobic.006G127300"
"11658","Sb06g021210","Sobic.006G132100"
"11659","Sb06g021220","Sobic.006G132200"
"11660","Sb06g021230","Sobic.006G132300"
"11661","Sb06g021240","Sobic.006G132400"
"11662","Sb06g021250","Sobic.006G132500"
"11663","Sb06g021260","Sobic.006G132700"
"11664","Sb06g021270","Sobic.006G132800"
"11665","Sb06g021280","Sobic.006G132900"
"11666","Sb06g021290","Sobic.006G133000"
"11685","Sb06g021480","Sobic.006G135100"
"11699","Sb06g021610","Sobic.006G136500"
"11724","Sb06g021860","Sobic.006G139300"
"11734","Sb06g021960","Sobic.006G140500"
"11793","Sb06g022420","null"
"11796","Sb06g022450","Sobic.006G145700"
"11823","Sb06g022710","Sobic.006G148500"
"11824","Sb06g022720","Sobic.006G148600"
"11841","Sb06g022870","Sobic.006G150700"
"11842","Sb06g022880","Sobic.006G150800"
"11847","Sb06g022930","Sobic.006G151500"
"11848","Sb06g022940","Sobic.006G151600"
"11918","Sb06g023550","Sobic.006G158500"
"11946","Sb06g023830","Sobic.006G161400"
"11950","Sb06g023860","Sobic.006G161800"
