"","X","SNP","Gene","ID","Chromosome","Position","P.value","MAF","PVE","Trait.names","PS","Ind.SNP","FarmCPU","mrMLM","GAPIT","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"22",36,"NsiI.TP164112","Sobic.002G409000","OWA19.8",2,75774037,1.04e-05,0.058745893,0.007161003,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr02",75773614,75775575,1962,"-",-423,-1538,37953670,"Sobic.002G409000","Sobic.002G409000.1","Sobic.002G409000.1.p","PF00657","PTHR22835,PTHR22835:SF147","","3.1.1.3","","GO:0016788","AT2G23540.1","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os07g47210.1",NA,"GDSL-like lipase/acylhydrolase, putative, expressed"
"23",37,"NsiI.TP164112","Sobic.002G409100","OWA19.8",2,75774037,1.04e-05,0.058745893,0.007161003,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr02",75779345,75779904,560,"-",5308,-5867,37952696,"Sobic.002G409100","Sobic.002G409100.1","Sobic.002G409100.1.p","","","","","","","","","","",NA,""
"24",38,"NsiI.TP164112","Sobic.002G409200","OWA19.8",2,75774037,1.04e-05,0.058745893,0.007161003,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",2,"Chr02",75780712,75784318,3607,"-",6675,-10281,37951326,"Sobic.002G409200","Sobic.002G409200.2","Sobic.002G409200.2.p","PF01657,PF07714","PTHR27002,PTHR27002:SF99","KOG1187","2.7.11.1","","GO:0006468,GO:0004672","AT4G23310.1","CRK23","cysteine-rich RLK (RECEPTOR-like protein kinase) 23","LOC_Os07g47230.1",NA,"TKL_IRAK_DUF26-lh.10 - DUF26 kinases have homology to DUF26 containing loci, expressed"
"29",49,"NsiI.TP195995","Sobic.002G307900","OWA19.12",2,68227771,8.45e-06,0.401960784,7.550182358,"OWA19","PS_N(1)","O102+4322(1)","FarmCPU(1)","","",1,"Chr02",68228301,68230517,2217,"-",530,-2746,37953399,"Sobic.002G307900","Sobic.002G307900.1","Sobic.002G307900.1.p","PF00141","PTHR31235,PTHR31235:SF8","","1.11.1.7","K00430","GO:0055114,GO:0020037,GO:0006979,GO:0004601","AT1G30870.1","","Peroxidase superfamily protein","LOC_Os07g31610.1",NA,"peroxidase precursor, putative, expressed"
"30",50,"NsiI.TP195995","Sobic.002G308000","OWA19.12",2,68227771,8.45e-06,0.401960784,7.550182358,"OWA19","PS_N(1)","O102+4322(1)","FarmCPU(1)","","",1,"Chr02",68230609,68234478,3870,"-",2838,-6707,37952512,"Sobic.002G308000","Sobic.002G308000.1","Sobic.002G308000.1.p","PF14416,PF13839","PTHR32285,PTHR32285:SF12","","","","","AT2G14530.1","TBL13","TRICHOME BIREFRINGENCE-LIKE 13","LOC_Os07g31550.1",NA,"powdery mildew resistant protein 5, putative, expressed"
"31",51,"NsiI.TP204910","Sobic.002G276800","OWA19.13",2,65965770,2.77e-24,0.0343,0.1146,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr02",65958977,65962368,3392,"+",-6793,3402,37951364,"Sobic.002G276800","Sobic.002G276800.1","Sobic.002G276800.1.p","PF00810","PTHR10585,PTHR10585:SF35","KOG3106","","","GO:0046923,GO:0016021,GO:0006621","AT1G75760.1","","ER lumen protein retaining receptor family protein","LOC_Os08g43470.1",NA,"ER lumen protein retaining receptor, putative, expressed"
"32",52,"NsiI.TP204910","Sobic.002G276900","OWA19.13",2,65965770,2.77e-24,0.0343,0.1146,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr02",65966085,65970564,4480,"+",315,-4794,37953024,"Sobic.002G276900","Sobic.002G276900.1","Sobic.002G276900.1.p","PF08271,PF00382","PTHR11618,PTHR11618:SF27","KOG1597","","K03124","GO:0017025,GO:0008270,GO:0006355,GO:0006352","AT3G10330.1","","Cyclin-like family protein","LOC_Os09g36440.1",NA,"transcription initiation factor IIB, putative, expressed"
"33",53,"NsiI.TP204910","Sobic.002G277000","OWA19.13",2,65965770,2.77e-24,0.0343,0.1146,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr02",65971126,65971560,435,"+",5356,-5790,37951420,"Sobic.002G277000","Sobic.002G277000.1","Sobic.002G277000.1.p","","","","","","","","","","",NA,""
"34",54,"NsiI.TP204910","Sobic.002G277100","OWA19.13",2,65965770,2.77e-24,0.0343,0.1146,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr02",65971938,65975798,3861,"-",6168,-10028,37950042,"Sobic.002G277100","Sobic.002G277100.1","Sobic.002G277100.1.p","PF00121","PTHR21139,PTHR21139:SF7","KOG1643","5.3.1.1","K01803","GO:0008152,GO:0004807","AT2G21170.1","PDTPI,TIM","triosephosphate isomerase","LOC_Os09g36450.1",NA,"triosephosphate isomerase, chloroplast precursor, putative, expressed"
"35",55,"NsiI.TP208625","Sobic.008G107500","OWA19.14",8,50606712,4.65e-05,0.041,38.5407,"OWA19","PCA=3(1);PS_N(2);PS_Y(1)","122+35256im(4)","","FASTmrMLM(2);pLARmEB(1)","rrBLUP(1)",1,"Chr08",50603514,50609969,6456,"+",-3198,-3257,37927321,"Sobic.008G107500","Sobic.008G107500.1","Sobic.008G107500.1.p","PF03106","PTHR31221,PTHR31221:SF22","","","","GO:0043565,GO:0006355,GO:0003700","AT2G03340.1","WRKY3","WRKY DNA-binding protein 3","LOC_Os12g32250.1",NA,"WRKY96, expressed"
"36",56,"NsiI.TP208625","Sobic.008G107600","OWA19.14",8,50606712,4.65e-05,0.041,38.5407,"OWA19","PCA=3(1);PS_N(2);PS_Y(1)","122+35256im(4)","","FASTmrMLM(2);pLARmEB(1)","rrBLUP(1)",1,"Chr08",50610901,50613264,2364,"-",4189,-6552,37928125,"Sobic.008G107600","Sobic.008G107600.1","Sobic.008G107600.1.p","","PTHR33133,PTHR33133:SF11","","","","","AT5G61340.1","","","LOC_Os12g32260.1",NA,"expressed protein"
"37",57,"NsiI.TP208625","Sobic.008G107800","OWA19.14",8,50606712,4.65e-05,0.041,38.5407,"OWA19","PCA=3(1);PS_N(2);PS_Y(1)","122+35256im(4)","","FASTmrMLM(2);pLARmEB(1)","rrBLUP(1)",1,"Chr08",50616202,50620205,4004,"-",9490,-13493,37927757,"Sobic.008G107800","Sobic.008G107800.1","Sobic.008G107800.1.p","PF02201","PTHR13844,PTHR13844:SF8","","","","GO:0005515","AT2G14880.1","","SWIB/MDM2 domain superfamily protein","LOC_Os12g32280.1",NA,"SWIB/MDM2 domain containing protein, expressed"
"38",58,"NsiI.TP224586","Sobic.003G046300","OWA18.3",3,4243452,0.000170608,0.3333,3.9973,"OWA18","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr03",4229020,4237524,8505,"-",-14432,5928,37912470,"Sobic.003G046300","Sobic.003G046300.1","Sobic.003G046300.1.p","PF13423,PF02148,PF00627","PTHR24006,PTHR24006:SF449","","3.4.19.12","K11836","GO:0008270","AT3G20630.1","ATUBP14,PER1,TTN6,UBP14","ubiquitin-specific protease 14","LOC_Os01g08200.1",NA,"ubiquitin carboxyl-terminal hydrolase 14, putative, expressed"
"39",59,"NsiI.TP224586","Sobic.003G046400","OWA18.3",3,4243452,0.000170608,0.3333,3.9973,"OWA18","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",2,"Chr03",4238060,4248215,10156,"-",-5392,-4763,37915440,"Sobic.003G046400","Sobic.003G046400.2","Sobic.003G046400.2.p","PF08513,PF00400","PTHR22847,PTHR22847:SF437","KOG0266","","","GO:0005515","AT4G32551.1","LUG,RON2","LisH dimerisation motif;WD40/YVTN repeat-like-containing domain","LOC_Os01g08190.1",NA,"transcriptional corepressor LEUNIG, putative, expressed"
"42",64,"NsiI.TP241500","Sobic.001G397600","OWA19.16",1,68301853,2.26e-05,0.110194393,0.68176264,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr01",68291785,68294851,3067,"+",-10068,7002,37938429,"Sobic.001G397600","Sobic.001G397600.1","Sobic.001G397600.1.p","PF04667","PTHR34804:SF1,PTHR34804","","","","","AT4G16146.1","","cAMP-regulated phosphoprotein 19-related protein","LOC_Os03g19220.2",NA,"expressed protein"
"45",68,"NsiI.TP349989","Sobic.009G000200","OWA19.17",9,48138,7.5e-05,0.2049,0.3393,"OWA19","PS_Y(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr09",45063,50274,5212,"+",-3075,-2136,37922573,"Sobic.009G000200","Sobic.009G000200.1","Sobic.009G000200.1.p","PF00122,PF12710,PF16209,PF16212","PTHR24092,PTHR24092:SF65","","3.6.3.1","K01530","GO:0046872,GO:0000166,GO:0016021,GO:0015914,GO:0005524,GO:0004012,GO:0000287","AT1G68710.1","","ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein","LOC_Os05g01030.1",NA,"phospholipid-transporting ATPase, putative, expressed"
"46",69,"NsiI.TP349989","Sobic.009G000300","OWA19.17",9,48138,7.5e-05,0.2049,0.3393,"OWA19","PS_Y(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr09",54111,58498,4388,"-",5973,-10360,37919118,"Sobic.009G000300","Sobic.009G000300.1","Sobic.009G000300.1.p","PF00069","PTHR27001,PTHR27001:SF132","KOG1187","2.7.11.1","","GO:0006468,GO:0005524,GO:0004672","AT5G38560.1","","Protein kinase superfamily protein","LOC_Os05g01040.1",NA,"serine/threonine-protein kinase, putative, expressed"
"47",70,"NsiI.TP360999","Sobic.001G132800","OWA19.18",1,10465743,1.23e-05,0.086065574,0.004917308,"OWA19","PS_Y(1)","O122+2646(1)","FarmCPU(1)","","",1,"Chr01",10464458,10469295,4838,"-",-1285,-3552,37939038,"Sobic.001G132800","Sobic.001G132800.1","Sobic.001G132800.1.p","PF13499,PF07714","PTHR24349,PTHR24349:SF167","KOG0032","2.7.11.1","K13412","GO:0006468,GO:0004672","AT1G74740.1","ATCPK30,CDPK1A,CPK30","calcium-dependent protein kinase 30","LOC_Os03g48270.1",NA,"CAMK_CAMK_like.21 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
"48",71,"NsiI.TP360999","Sobic.001G132900","OWA19.18",1,10465743,1.23e-05,0.086065574,0.004917308,"OWA19","PS_Y(1)","O122+2646(1)","FarmCPU(1)","","",1,"Chr01",10471579,10477906,6328,"-",5836,-12163,37938073,"Sobic.001G132900","Sobic.001G132900.1","Sobic.001G132900.1.p","","PTHR37736,PTHR37736:SF1","","","","","AT1G27090.1","","glycine-rich protein","LOC_Os03g48260.1",NA,"expressed protein"
"49",72,"NsiI.TP408031","Sobic.002G359600","OWA19.19",2,72193245,4.76e-05,0.0492,1.49e-06,"OWA19","PS_N(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr02",72180189,72188126,7938,"+",-13056,5119,37950255,"Sobic.002G359600","Sobic.002G359600.1","Sobic.002G359600.1.p","PF10343","PTHR21314,PTHR21314:SF0","KOG2524","","","","","","","LOC_Os07g39980.1",NA,"GA22009-PA, putative, expressed"
"50",73,"NsiI.TP408031","Sobic.002G359700","OWA19.19",2,72193245,4.76e-05,0.0492,1.49e-06,"OWA19","PS_N(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr02",72192356,72193761,1406,"+",-889,-516,37951271,"Sobic.002G359700","Sobic.002G359700.1","Sobic.002G359700.1.p","PF03195","PTHR31304,PTHR31304:SF4","","","","","AT5G67420.1","ASL39,LBD37","LOB domain-containing protein 37","LOC_Os07g40000.1",NA,"DUF260 domain containing protein, putative, expressed"
"51",74,"NsiI.TP422411","Sobic.003G399101","OWA19.20",3,70832262,2.65e-06,0.056576111,0.821332693,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr03",70823990,70825135,1146,"+",-8272,7127,37913668,"Sobic.003G399101","Sobic.003G399101.1","Sobic.003G399101.1.p","","","","","","","","","","",NA,""
"52",75,"NsiI.TP422411","Sobic.003G399200","OWA19.20",3,70832262,2.65e-06,0.056576111,0.821332693,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr03",70833427,70836457,3031,"+",1165,-4195,37913875,"Sobic.003G399200","Sobic.003G399200.1","Sobic.003G399200.1.p","PF00854","PTHR11654,PTHR11654:SF20","","","","GO:0016020,GO:0006810,GO:0005215","AT1G27080.1","NRT1.6","nitrate transporter 1.6","LOC_Os01g68510.1",NA,"peptide transporter PTR2, putative, expressed"
"53",76,"NsiI.TP422411","Sobic.003G399000","OWA19.20",3,70832262,2.65e-06,0.056576111,0.821332693,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr03",70819204,70823721,4518,"-",-13058,8541,37916039,"Sobic.003G399000","Sobic.003G399000.1","Sobic.003G399000.1.p","PF04398","PTHR31676,PTHR31676:SF8","","","","","AT3G07470.1","","Protein of unknown function, DUF538","LOC_Os01g68500.1",NA,"expressed protein"
"54",78,"NsiI.TP422411","Sobic.003G399266","OWA19.20",3,70832262,2.65e-06,0.056576111,0.821332693,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr03",70837534,70837807,274,"-",5272,-5545,37914126,"Sobic.003G399266","Sobic.003G399266.1","Sobic.003G399266.1.p","PF00076","PTHR24012","","","","GO:0003676","AT3G08000.1","","RNA-binding (RRM/RBD/RNP motifs) family protein","LOC_Os01g68524.2",NA,"pentatricopeptide, putative, expressed"
"55",79,"NsiI.TP422411","Sobic.003G399100","OWA19.20",3,70832262,2.65e-06,0.056576111,0.821332693,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr03",70838766,70841473,2708,"-",6504,-9211,37916823,"Sobic.003G399100","Sobic.003G399100.1","Sobic.003G399100.1.p","PF01535,PF13041","PTHR24015,PTHR24015:SF389","","","","","AT4G18750.1","DOT4","Pentatricopeptide repeat (PPR) superfamily protein","LOC_Os01g68524.1",NA,"pentatricopeptide, putative, expressed"
"56",81,"NsiI.TP424080","Sobic.008G187450","OWA19.22",8,62210912,8.06e-08,0.041,14.2891,"OWA19","PS_Y(1)","O122+2646(1)","","FASTmrEMMA(1)","",1,"Chr08",62205130,62206641,1512,"+",-5782,4271,37928515,"Sobic.008G187450","Sobic.008G187450.1","Sobic.008G187450.1.p","","","","","","","","","","",NA,""
"57",82,"NsiI.TP424080","Sobic.008G187566","OWA19.22",8,62210912,8.06e-08,0.041,14.2891,"OWA19","PS_Y(1)","O122+2646(1)","","FASTmrEMMA(1)","",1,"Chr08",62209984,62211116,1133,"+",-928,-204,37927168,"Sobic.008G187566","Sobic.008G187566.1","Sobic.008G187566.1.p","","","","","","","","","","",NA,""
"58",83,"NsiI.TP424080","Sobic.008G187400","OWA19.22",8,62210912,8.06e-08,0.041,14.2891,"OWA19","PS_Y(1)","O122+2646(1)","","FASTmrEMMA(1)","",2,"Chr08",62193789,62201413,7625,"-",-17123,9499,37926795,"Sobic.008G187400","Sobic.008G187400.2","Sobic.008G187400.2.p","","PTHR36885,PTHR36885:SF2","","","","","","","","",NA,""
"59",85,"NsiI.TP424080","Sobic.008G187500","OWA19.22",8,62210912,8.06e-08,0.041,14.2891,"OWA19","PS_Y(1)","O122+2646(1)","","FASTmrEMMA(1)","",1,"Chr08",62206984,62207628,645,"-",-3928,3284,37926968,"Sobic.008G187500","Sobic.008G187500.1","Sobic.008G187500.1.p","PF00170","PTHR22952,PTHR22952:SF181","","","","GO:0043565,GO:0006355,GO:0003700","","","","LOC_Os12g43790.1",NA,"bZIP transcription factor domain containing protein, expressed"
"60",86,"NsiI.TP424080","Sobic.008G187632","OWA19.22",8,62210912,8.06e-08,0.041,14.2891,"OWA19","PS_Y(1)","O122+2646(1)","","FASTmrEMMA(1)","",1,"Chr08",62212099,62214380,2282,"-",1187,-3468,37928808,"Sobic.008G187632","Sobic.008G187632.1","Sobic.008G187632.1.p","","","","","","","","","","",NA,""
"61",87,"NsiI.TP424080","Sobic.008G187700","OWA19.22",8,62210912,8.06e-08,0.041,14.2891,"OWA19","PS_Y(1)","O122+2646(1)","","FASTmrEMMA(1)","",1,"Chr08",62220131,62220595,465,"-",9219,-9683,37927567,"Sobic.008G187700","Sobic.008G187700.1","Sobic.008G187700.1.p","","PTHR34061,PTHR34061:SF1","","","","","","","","LOC_Os03g47210.1",NA,"expressed protein"
"65",114,"NsiI.TP444479","Sobic.002G326200","OWA19.24",2,69620402,4.82e-08,0.025,26.0684,"OWA19","PS_N(1);PS_Y(1)","122+35256im(2)","","mrMLM(1);FASTmrMLM(1)","",1,"Chr02",69610553,69613401,2849,"+",-9849,7001,37952559,"Sobic.002G326200","Sobic.002G326200.1","Sobic.002G326200.1.p","PF01657,PF07714","PTHR27002,PTHR27002:SF90","KOG1187","2.7.11.1","","GO:0006468,GO:0004672","AT4G23310.1","CRK23","cysteine-rich RLK (RECEPTOR-like protein kinase) 23","LOC_Os07g35004.1",NA,"TKL_IRAK_DUF26-la.4 - DUF26 kinases have homology to DUF26 containing loci, expressed"
"66",115,"NsiI.TP444479","Sobic.002G326300","OWA19.24",2,69620402,4.82e-08,0.025,26.0684,"OWA19","PS_N(1);PS_Y(1)","122+35256im(2)","","mrMLM(1);FASTmrMLM(1)","",1,"Chr02",69616465,69617511,1047,"+",-3937,2891,37949528,"Sobic.002G326300","Sobic.002G326300.1","Sobic.002G326300.1.p","PF07714","PTHR27002,PTHR27002:SF99","","2.7.10.2","","GO:0006468,GO:0004672","AT4G23180.1","CRK10,RLK4","cysteine-rich RLK (RECEPTOR-like protein kinase) 10","LOC_Os07g34980.1",NA,"TKL_IRAK_DUF26-lh.9 - DUF26 kinases have homology to DUF26 containing loci, expressed"
"67",116,"NsiI.TP444479","Sobic.002G326400","OWA19.24",2,69620402,4.82e-08,0.025,26.0684,"OWA19","PS_N(1);PS_Y(1)","122+35256im(2)","","mrMLM(1);FASTmrMLM(1)","",1,"Chr02",69620241,69623720,3480,"+",-161,-3318,37953097,"Sobic.002G326400","Sobic.002G326400.1","Sobic.002G326400.1.p","PF01657,PF07714","PTHR27002,PTHR27002:SF159","KOG1187","2.7.11.1","","GO:0006468,GO:0004672","AT4G23310.1","CRK23","cysteine-rich RLK (RECEPTOR-like protein kinase) 23","LOC_Os07g34980.1",NA,"TKL_IRAK_DUF26-lh.9 - DUF26 kinases have homology to DUF26 containing loci, expressed"
"68",117,"NsiI.TP460633","Sobic.004G280301","OWA19.25",4,62266318,8.86e-06,0.041,15.7579345,"OWA19","PCA=3(1);PS_N(1)","122+35256im(2)","","ISIS EM-BLASSO(1)","rrBLUP(1)",1,"Chr04",62258710,62260788,2079,"-",-7608,5530,37933332,"Sobic.004G280301","Sobic.004G280301.1","Sobic.004G280301.1.p","PF00403","PTHR22814,PTHR22814:SF85","KOG1603","","","GO:0046872,GO:0030001","AT3G56891.1","","Heavy metal transport/detoxification superfamily protein ","LOC_Os03g02860.1",NA,"heavy metal-associated domain containing protein, expressed"
