"","Nearest.S..bicolor.gene","Chr.a","Positionb","Trialc","Winterd","Miscanthus.SNPe","Pvaluef","Position.relative.to.the.geneg","Arabidopsis.gene","Gene.ontology","Gene.symbol","X.x","X.1","X.2","X.3","X.4","X.5","SB","X.y","Transcript.Name","Chromosome.Name","Description","Organism.Name","Strand","Gene.Start..bp.","Gene.End..bp.","Peptide.Name","PFAM.ID","PFAM.Description","SMART.ID","SMART.Description","Panther.ID","Panther.Description","KOG.ID","KOG.Desctiption","EC.ID","EC.Description","KO.ID","GO.ID","KO.Description","GO.Description","PAC.Transcript.ID","Transcript.Start..bp.","Transcript.End..bp."
"11","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF09334","tRNA synthetases class I (M)","","","PTHR11946:SF20","SUBFAMILY NOT NAMED","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",49,"methionyl-tRNA synthetase [EC:6.1.1.10]","tRNA binding",1954278,66064192,66070982
"12","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF09334","tRNA synthetases class I (M)","","","PTHR11946","ISOLEUCYL, LEUCYL, TYROSYL, VALYL AND METHIONYL-TRNA SYNTHETASES","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",166,"methionyl-tRNA synthetase [EC:6.1.1.10]","nucleotide binding",1954278,66064192,66070982
"13","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF09334","tRNA synthetases class I (M)","","","PTHR11946:SF20","SUBFAMILY NOT NAMED","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",6418,"methionyl-tRNA synthetase [EC:6.1.1.10]","amino acid activation",1954278,66064192,66070982
"14","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF01588","Putative tRNA binding domain","","","PTHR11946","ISOLEUCYL, LEUCYL, TYROSYL, VALYL AND METHIONYL-TRNA SYNTHETASES","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",5737,"methionyl-tRNA synthetase [EC:6.1.1.10]","cytoplasm",1954278,66064192,66070982
"15","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF01588","Putative tRNA binding domain","","","PTHR11946","ISOLEUCYL, LEUCYL, TYROSYL, VALYL AND METHIONYL-TRNA SYNTHETASES","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",5524,"methionyl-tRNA synthetase [EC:6.1.1.10]","ATP binding",1954278,66064192,66070982
"16","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF01588","Putative tRNA binding domain","","","PTHR11946","ISOLEUCYL, LEUCYL, TYROSYL, VALYL AND METHIONYL-TRNA SYNTHETASES","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",6418,"methionyl-tRNA synthetase [EC:6.1.1.10]","amino acid activation",1954278,66064192,66070982
"17","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF09334","tRNA synthetases class I (M)","","","PTHR11946","ISOLEUCYL, LEUCYL, TYROSYL, VALYL AND METHIONYL-TRNA SYNTHETASES","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",5524,"methionyl-tRNA synthetase [EC:6.1.1.10]","ATP binding",1954278,66064192,66070982
"18","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF01588","Putative tRNA binding domain","","","PTHR11946","ISOLEUCYL, LEUCYL, TYROSYL, VALYL AND METHIONYL-TRNA SYNTHETASES","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",49,"methionyl-tRNA synthetase [EC:6.1.1.10]","tRNA binding",1954278,66064192,66070982
"19","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF09334","tRNA synthetases class I (M)","","","PTHR11946","ISOLEUCYL, LEUCYL, TYROSYL, VALYL AND METHIONYL-TRNA SYNTHETASES","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",49,"methionyl-tRNA synthetase [EC:6.1.1.10]","tRNA binding",1954278,66064192,66070982
"20","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF09334","tRNA synthetases class I (M)","","","PTHR11946","ISOLEUCYL, LEUCYL, TYROSYL, VALYL AND METHIONYL-TRNA SYNTHETASES","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",4812,"methionyl-tRNA synthetase [EC:6.1.1.10]","tRNA ligase activity",1954278,66064192,66070982
"21","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF09334","tRNA synthetases class I (M)","","","PTHR11946:SF20","SUBFAMILY NOT NAMED","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",166,"methionyl-tRNA synthetase [EC:6.1.1.10]","nucleotide binding",1954278,66064192,66070982
"22","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF09334","tRNA synthetases class I (M)","","","PTHR11946:SF20","SUBFAMILY NOT NAMED","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",5524,"methionyl-tRNA synthetase [EC:6.1.1.10]","ATP binding",1954278,66064192,66070982
"23","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF09334","tRNA synthetases class I (M)","","","PTHR11946:SF20","SUBFAMILY NOT NAMED","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",4812,"methionyl-tRNA synthetase [EC:6.1.1.10]","tRNA ligase activity",1954278,66064192,66070982
"24","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF01588","Putative tRNA binding domain","","","PTHR11946:SF20","SUBFAMILY NOT NAMED","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",5524,"methionyl-tRNA synthetase [EC:6.1.1.10]","ATP binding",1954278,66064192,66070982
"25","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF01588","Putative tRNA binding domain","","","PTHR11946","ISOLEUCYL, LEUCYL, TYROSYL, VALYL AND METHIONYL-TRNA SYNTHETASES","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",4812,"methionyl-tRNA synthetase [EC:6.1.1.10]","tRNA ligase activity",1954278,66064192,66070982
"26","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF09334","tRNA synthetases class I (M)","","","PTHR11946","ISOLEUCYL, LEUCYL, TYROSYL, VALYL AND METHIONYL-TRNA SYNTHETASES","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",5737,"methionyl-tRNA synthetase [EC:6.1.1.10]","cytoplasm",1954278,66064192,66070982
"27","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF01588","Putative tRNA binding domain","","","PTHR11946","ISOLEUCYL, LEUCYL, TYROSYL, VALYL AND METHIONYL-TRNA SYNTHETASES","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",166,"methionyl-tRNA synthetase [EC:6.1.1.10]","nucleotide binding",1954278,66064192,66070982
"28","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF01588","Putative tRNA binding domain","","","PTHR11946:SF20","SUBFAMILY NOT NAMED","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",5737,"methionyl-tRNA synthetase [EC:6.1.1.10]","cytoplasm",1954278,66064192,66070982
"29","Sobic.001G465900",1,"73 966 201","KNU 2013","2","UIMiscanthus104319","2.07E‐10","3' UTR ‐> 6,387 bp","AT3G03900","Adenosine‐5'‐phosphosulfate (APS) kinase 3","APK3",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF00069","Protein kinase domain","SM00369","Leucine-rich repeats, typical (most populated) subfamily","PTHR24420:SF883","","KOG1187","Serine/threonine protein kinase","","","",6468,"","protein amino acid phosphorylation",1954821,70350087,70353601
"31","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF00560","Leucine Rich Repeat","SM00219","Tyrosine kinase, catalytic domain","PTHR24420:SF883","","KOG1187","Serine/threonine protein kinase","","","",5524,"","ATP binding",1954821,70350087,70353601
"32","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF00069","Protein kinase domain","SM00369","Leucine-rich repeats, typical (most populated) subfamily","PTHR24420:SF883","","KOG1187","Serine/threonine protein kinase","","","",5515,"","protein binding",1954821,70350087,70353601
"33","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF00560","Leucine Rich Repeat","SM00369","Leucine-rich repeats, typical (most populated) subfamily","PTHR24420:SF883","","KOG1187","Serine/threonine protein kinase","","","",5515,"","protein binding",1954821,70350087,70353601
"34","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF08263","Leucine rich repeat N-terminal domain","SM00219","Tyrosine kinase, catalytic domain","PTHR24420","FAMILY NOT NAMED","KOG1187","Serine/threonine protein kinase","","","",6468,"","protein amino acid phosphorylation",1954821,70350087,70353601
"35","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF08263","Leucine rich repeat N-terminal domain","SM00219","Tyrosine kinase, catalytic domain","PTHR24420:SF883","","KOG1187","Serine/threonine protein kinase","","","",5515,"","protein binding",1954821,70350087,70353601
"36","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF08263","Leucine rich repeat N-terminal domain","SM00220","Serine/Threonine protein kinases, catalytic domain","PTHR24420","FAMILY NOT NAMED","KOG1187","Serine/threonine protein kinase","","","",4672,"","protein kinase activity",1954821,70350087,70353601
"37","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF08263","Leucine rich repeat N-terminal domain","SM00219","Tyrosine kinase, catalytic domain","PTHR24420","FAMILY NOT NAMED","KOG1187","Serine/threonine protein kinase","","","",5515,"","protein binding",1954821,70350087,70353601
"38","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF00069","Protein kinase domain","SM00220","Serine/Threonine protein kinases, catalytic domain","PTHR24420:SF883","","KOG1187","Serine/threonine protein kinase","","","",5524,"","ATP binding",1954821,70350087,70353601
"39","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF00560","Leucine Rich Repeat","SM00219","Tyrosine kinase, catalytic domain","PTHR24420:SF883","","KOG1187","Serine/threonine protein kinase","","","",5515,"","protein binding",1954821,70350087,70353601
"40","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF00560","Leucine Rich Repeat","SM00219","Tyrosine kinase, catalytic domain","PTHR24420","FAMILY NOT NAMED","KOG1187","Serine/threonine protein kinase","","","",5524,"","ATP binding",1954821,70350087,70353601
"41","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF00069","Protein kinase domain","SM00369","Leucine-rich repeats, typical (most populated) subfamily","PTHR24420:SF883","","KOG1187","Serine/threonine protein kinase","","","",5524,"","ATP binding",1954821,70350087,70353601
"42","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF00560","Leucine Rich Repeat","SM00219","Tyrosine kinase, catalytic domain","PTHR24420","FAMILY NOT NAMED","KOG1187","Serine/threonine protein kinase","","","",4672,"","protein kinase activity",1954821,70350087,70353601
"43","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF00069","Protein kinase domain","SM00219","Tyrosine kinase, catalytic domain","PTHR24420:SF883","","KOG1187","Serine/threonine protein kinase","","","",4672,"","protein kinase activity",1954821,70350087,70353601
"44","Sobic.001G506100",1,"77 425 506","NEF 2012","2","UIMiscanthus111533","2.84E‐116","3,342 bp ‐> 5' UTR","AT4G28650","Leucine‐rich repeat transmembrane protein kinase","",NA,"",NA,NA,NA,"","Sb01g047250","","Sb01g047250.1","chromosome_1","similar to Os03g0145000 protein","Sbicolor_v1.0",1,70350087,70353601,"1954821_peptide","PF08263","Leucine rich repeat N-terminal domain","SM00219","Tyrosine kinase, catalytic domain","PTHR24420:SF883","","KOG1187","Serine/threonine protein kinase","","","",6468,"","protein amino acid phosphorylation",1954821,70350087,70353601
