ID,SNP,Chromosome,Position,P.value,MAF,PVE,Trait.names,PS,Ind.SNP,FarmCPU,mrMLM,GAPIT,Total.N
OWA19.31,NsiI.TP501941,3,65413138,6.16E-05,0.0245,0.0018,OWA19,PS_N,O102+4322,,FASTmrMLM,,1
OWA19.32,NsiI.TP523625,4,62611853,2.34E-06,0.0738,7.0541,OWA19,PS_N,122+35256im,,FASTmrMLM;pLARmEB,,2
OWA19.33,NsiI.TP554032,3,50563424,1.00E-05,0.2254,9.6979,OWA19,PS_Y,122+35256im,,ISIS EM-BLASSO,,1
OWA19.34,NsiI.TP58591,1,11198433,1.45E-06,0.3083,8.0227,OWA19,PS_Y,122+35256im,,mrMLM,,1
OWA19.35,NsiI.TP60110,11,9843,9.27E-08,0.1516,2.7168,OWA19,PS_N;PS_Y,122+35256im,,FASTmrMLM;pLARmEB,,2
OWA19.36,NsiI.TP614629,2,62417756,4.72E-22,0.0294,0.0075,OWA19,PS_N,O102+4322,,FASTmrMLM,,1
OWA19.37,NsiI.TP640755,2,16850781,0.000110624,0.058035714,7.074583692,OWA19,PS_Y,O112+3450,FarmCPU,,,1
OWA19.38,NsiI.TP671324,4,2161341,3.40E-13,0.0147,0,OWA19,PS_N,O102+4322,,FASTmrMLM,,1
OWA19.39,NsiI.TP678261,8,55967248,4.39E-06,0.0205,0.056,OWA19,PS_N,122+35256im,,pLARmEB,,1
OWA19.40,NsiI.TP732055,11,18109,5.25E-06,0.050142848,0.165110885,OWA19,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA19.41,NsiI.TP744543,11,18252,9.34E-07,0.09651342,0.103715702,OWA19,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA19.42,NsiI.TP756808,10,59848770,1.75E-05,0.279411765,4.424123776,OWA19,PS_Y,O102+4322,FarmCPU,,,1
OWA19.43,NsiI.TP806172,2,58871698,7.56E-06,0.2869,3.921,OWA19,PS_N;PS_Y,122+35256im,,FASTmrMLM;pLARmEB,,2
OWA19.44,PstI.TP1000873,7,57426488,0.000140896,0.0588,0,OWA19,PS_N,O102+4322,,pLARmEB,,1
OWA19.45,PstI.TP1010623,3,2603844,0.000141873,0.015,8.7994,OWA19,PS_N;PS_Y,O102+4322;O112+3450;O122+2646,,mrMLM;FASTmrMLM;FASTmrEMMA;pLARmEB,,9
OWA19.46,PstI.TP1014707,1,60949616,1.47E-05,0.192622951,1.530129317,OWA19,PS_N,O122+2646,FarmCPU,,,1
OWA19.47,PstI.TP1040489,4,4932783,0.000147877,0.0292,9.2999,OWA19,PS_Y,122+35256im,,mrMLM;FASTmrMLM,,2
OWA19.48,PstI.TP1075817,1,10117174,2.25E-14,0.0167,21.8535,OWA19,PS_Y,122+35256im,,mrMLM,,1
OWA19.49,PstI.TP1084308,4,42752899,4.51E-05,0.073770492,1.450292086,OWA19,PS_Y,O122+2646,FarmCPU,,,1
OWA19.50,PstI.TP1094695,1,67135061,1.32E-07,0.123,23.1753,OWA19,PS_Y,122+35256im,,ISIS EM-BLASSO,,1
OWA19.51,PstI.TP1098875,4,67156223,4.00E-05,0.053571429,1.366324481,OWA19,PS_N,O112+3450,FarmCPU,,,1
OWA19.52,PstI.TP1099377,11,7691,9.41E-05,0.0205,3.55E-07,OWA19,PS_N,122+35256im,,pLARmEB,,1
OWA19.53,PstI.TP1102210,6,55405319,8.12E-05,0.3811,4.80E-06,OWA19,PS_N,122+35256im,,pLARmEB,,1
OWA19.54,PstI.TP1151255,1,77213117,5.95E-08,0.0625,1.541500873,OWA19,PS_N;PS_Y,O112+3450;O122+2646,FarmCPU,,,2
OWA19.55,PstI.TP1164091,6,56319647,0.00022679,0.286885246,2.709887709,OWA19,PS_N,O122+2646,FarmCPU,,,1
OWA19.56,PstI.TP117081,2,45986549,1.56E-06,0.080357143,8.778082824,OWA19,PS_N,O112+3450,FarmCPU,,,1
OWA19.57,PstI.TP1172225,6,3890042,1.79E-16,0.0147,0.0026,OWA19,PS_N,O102+4322,,FASTmrMLM,,1
OWA19.58,PstI.TP1200270,2,13518060,7.76E-05,0.1125,13.32959188,OWA19,PCA=3;PS_N;PS_Y,O122+2646,FarmCPU,mrMLM;FASTmrMLM;pLARmEB,rrBLUP,6
OWA19.59,PstI.TP1220022,5,55219391,0.000100415,0.1189,4.81E-05,OWA19,PS_N,122+35256im,,pLARmEB,,1
OWA19.60,PstI.TP1227790,9,48696731,1.82E-14,0.0134,7.87E-07,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.61,PstI.TP124945,5,41255313,0.000126882,0.1373,16.38446814,OWA19,PS_N;PS_Y,O102+4322,FarmCPU,pLARmEB,,3
OWA19.62,PstI.TP1250222,11,8799,2.29E-08,0.053921569,10.17522261,OWA19,PS_N;PS_Y,122+35256im;O102+4322;O112+3450,FarmCPU,FASTmrMLM;ISIS EM-BLASSO,,9
OWA19.63,PstI.TP1275729,11,8987,1.94E-05,0.062810097,0.952100065,OWA19,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA19.64,PstI.TP141051,3,54726050,2.10E-11,0.0134,0,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.65,PstI.TP141494,11,1179,8.96E-06,0.246397716,0.502889167,OWA19,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA19.66,PstI.TP166492,6,2200069,3.02E-14,0.125,31.2797,OWA19,PS_N;PS_Y,O102+4322;O112+3450;O122+2646,FarmCPU,mrMLM;FASTmrMLM;FASTmrEMMA;ISIS EM-BLASSO;pLARmEB,CMLM+SUPER;MLM+SUPER,14
OWA19.67,PstI.TP181967,2,63225229,2.66E-09,0.0451,0.0223,OWA19,PS_N,122+35256im,,pLARmEB,,1
OWA19.68,PstI.TP198015,3,67910785,4.28E-06,0.0625,1.263074733,OWA19,PS_N,O112+3450,FarmCPU,pLARmEB,,2
OWA19.69,PstI.TP207713,3,3436667,1.52E-05,0.063541959,5.570578062,OWA19,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA19.70,PstI.TP268085,2,64265265,2.43E-09,0.053278689,55.2399,OWA19,PS_N;PS_Y,O102+4322;O122+2646,FarmCPU,mrMLM;FASTmrMLM,CMLM+SUPER;MLM+SUPER,7
OWA19.71,PstI.TP282657,10,58159508,2.98E-17,0.0223,6.96E-06,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.72,PstI.TP288641,1,27158173,9.07E-06,0.0492,4.10E-05,OWA19,PS_N,122+35256im,,pLARmEB,,1
OWA19.73,PstI.TP298201,6,1375822,2.34E-05,0.098039216,12.02327353,OWA19,PCA=3;PS_N;PS_Y,O102+4322;O112+3450;O122+2646,FarmCPU,pLARmEB,rrBLUP,6
OWA19.74,PstI.TP33096,6,3180162,3.10E-05,0.1071,0,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.75,PstI.TP334601,11,2644,1.94E-07,0.0902,15.138287,OWA19,PCA=3;PS_N;PS_Y,122+35256im,,FASTmrMLM;ISIS EM-BLASSO;pLARmEB,rrBLUP,7
OWA19.76,PstI.TP349163,11,2748,2.34E-06,0.168,1.6565,OWA19,PS_N;PS_Y,122+35256im,,pLARmEB,,2
OWA19.77,PstI.TP373577,11,2924,5.97E-06,NA,12.20235321,OWA19,PCA=3,122+35256im,,,rrBLUP,1
OWA19.78,PstI.TP383939,2,56907410,0.00012428,0.0588,7.00E-04,OWA19,PS_N,O102+4322,,FASTmrMLM,,1
OWA19.79,PstI.TP392482,1,17611146,1.08E-08,0.025,13.1231,OWA19,PS_N;PS_Y,122+35256im;O102+4322;O112+3450,,mrMLM;FASTmrEMMA;pLARmEB,,5
OWA19.80,PstI.TP404885,6,51199851,2.93E-05,0.0357,6.08E-06,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.81,PstI.TP410505,3,68268137,3.56E-07,0.2054,6.00E-04,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.82,PstI.TP419219,9,1650258,1.48E-06,0.0893,4.00E-04,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.83,PstI.TP419801,8,1077354,4.34E-06,0.235294118,3.021392616,OWA19,PS_N,O102+4322,FarmCPU,,,1
OWA19.84,PstI.TP425356,1,569039,0.000290012,0.053278689,1.292787666,OWA19,PS_N,O122+2646,FarmCPU,,,1
OWA19.85,PstI.TP459121,1,78162835,1.74E-06,0.075,28.51569115,OWA19,PCA=3;PS_N;PS_Y,122+35256im;O102+4322;O112+3450;O122+2646,FarmCPU,mrMLM;FASTmrMLM;FASTmrEMMA;ISIS EM-BLASSO;pLARmEB,CMLM+SUPER;MLM+SUPER;rrBLUP;GLM;CMLM;MLM,46
OWA19.86,PstI.TP476886,2,55394288,1.65E-05,0.2143,0,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.87,PstI.TP483920,2,71246128,1.83E-07,0.071428571,4.381843907,OWA19,PS_Y,O102+4322;O112+3450,FarmCPU,,,2
OWA19.88,PstI.TP49139,1,80477608,1.41E-05,0.055,5.98813818,OWA19,PS_Y,O102+4322,FarmCPU,mrMLM,,2
OWA19.89,PstI.TP53152,6,56671658,1.21E-05,0.0625,2.56E-05,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.90,PstI.TP532325,5,18806244,4.99E-05,0.2054,9.21E-05,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.91,PstI.TP57213,1,59006419,1.51E-05,0.127,6.8703,OWA19,PS_N;PS_Y,122+35256im,,FASTmrMLM;pLARmEB,,2
OWA19.92,PstI.TP65271,3,2656013,0.00024278,0.135245902,7.484550434,OWA19,PS_N,O122+2646,FarmCPU,,,1
OWA19.93,PstI.TP678255,1,67745947,5.75E-05,0.27,11.67627677,OWA19,PS_N;PS_Y,122+35256im;O102+4322;O112+3450;O122+2646,FarmCPU,mrMLM;FASTmrEMMA;ISIS EM-BLASSO;pLARmEB,,9
OWA19.94,PstI.TP729855,3,65126133,1.07E-10,0.035,12.6417,OWA19,PS_N;PS_Y,O102+4322;O112+3450,,mrMLM;FASTmrMLM;FASTmrEMMA;ISIS EM-BLASSO;pLARmEB,,16
OWA19.95,PstI.TP770204,3,67523376,7.42E-05,0.06147541,3.175595444,OWA19,PS_Y,O122+2646,FarmCPU,,,1
OWA19.96,PstI.TP774948,9,243415,6.23E-05,0.071428571,3.899962586,OWA19,PS_N;PS_Y,O112+3450,FarmCPU,pLARmEB,,2
OWA19.97,PstI.TP775725,1,1175417,3.27E-06,0.067,4.27E-06,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.98,PstI.TP775845,1,13537099,3.63E-05,0.0268,0,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.99,PstI.TP790069,2,699673,1.32E-11,0.2723,0.0202,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.100,PstI.TP833228,2,23342056,5.63E-20,0.0392,0,OWA19,PS_N,O102+4322,,FASTmrMLM,,1
OWA19.101,PstI.TP836173,11,5793,1.60E-06,0.180327869,7.678704618,OWA19,PS_N,O122+2646,FarmCPU,,,1
OWA19.102,PstI.TP881184,2,76620224,6.16E-08,0.0938,4.00E-04,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.103,PstI.TP947087,2,13610693,0.000153285,0.308,0,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.104,PstI.TP949022,11,6628,8.89E-06,0.0273,0,OWA19,PS_N,O112+3450,,mrMLM;pLARmEB,,2
OWA19.105,PstI.TP982120,2,21428233,3.23E-31,0.0343,21.7636,OWA19,PS_N;PS_Y,O102+4322;O112+3450;O122+2646,,mrMLM;FASTmrMLM;pLARmEB,,4
OWA19.106,PstI.TP982139,4,41445278,2.70E-06,0.058035714,3.175772857,OWA19,PS_N,O112+3450,FarmCPU,,,1
OWA18.1,NsiI.TP128483,10,59308875,2.66E-05,0.2869,7.2943,OWA18,PS_N;PS_Y,122+35256im,,ISIS EM-BLASSO;pLARmEB,,3
OWA18.2,NsiI.TP159883,11,10892,1.81E-06,0.294540304,0.402805104,OWA18,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA18.3,NsiI.TP224586,3,4243452,0.000170608,0.3333,3.9973,OWA18,PS_Y,122+35256im,,mrMLM,,1
OWA18.4,NsiI.TP2469,11,9161,4.89E-05,0.1598,20.7754,OWA18,PS_Y,122+35256im,,ISIS EM-BLASSO,,1
OWA18.5,NsiI.TP299143,10,7147645,1.62E-06,0.162482766,0.494916681,OWA18,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA18.6,NsiI.TP424080,8,62210912,3.58E-05,0.041,11.1134,OWA18,PS_Y,O122+2646,,FASTmrEMMA,,1
OWA18.7,NsiI.TP504649,4,67177683,5.81E-10,0.1311,18.2118,OWA18,PS_Y,122+35256im,,FASTmrMLM;pLARmEB,,2
OWA18.8,NsiI.TP512189,3,61885782,6.13E-05,0.1708,18.5,OWA18,PS_Y,122+35256im,,mrMLM,,1
OWA18.9,NsiI.TP624872,4,60455775,0.000170373,0.0245,5.1705,OWA18,PS_Y,O102+4322,,FASTmrEMMA,,1
OWA18.10,NsiI.TP641200,1,3051168,2.34E-05,0.025,35.1614,OWA18,PS_N;PS_Y,122+35256im,,mrMLM,,2
OWA18.11,NsiI.TP702393,7,54899243,1.12E-05,0.3934,13.9988,OWA18,PS_Y,122+35256im,,FASTmrMLM;pLARmEB,,2
OWA18.12,NsiI.TP718157,3,8632016,2.84E-05,0.0458,15.7514,OWA18,PS_N,122+35256im,,mrMLM,,1
OWA18.13,NsiI.TP724799,4,68146066,0.000185738,0.0697,14.4361,OWA18,PS_Y,122+35256im,,ISIS EM-BLASSO,,1
OWA18.14,PstI.TP1009084,8,3978036,2.95E-07,0.2828,1.69E-06,OWA18,PS_N,122+35256im,,pLARmEB,,1
OWA18.15,PstI.TP108989,1,2588793,7.45E-06,0.0446,16.0617,OWA18,PS_N;PS_Y,O102+4322;O112+3450,,FASTmrMLM;FASTmrEMMA;ISIS EM-BLASSO;pKWmEB;pLARmEB,,15
OWA18.16,PstI.TP110898,10,9880843,2.36E-05,0.0588,17.9191,OWA18,PS_N,O102+4322;O112+3450,,FASTmrMLM;ISIS EM-BLASSO;pLARmEB,,4
OWA18.17,PstI.TP1257104,3,2916484,1.16E-05,0.2336,3.5612,OWA18,PS_N,O122+2646,,pLARmEB,,1
OWA18.18,PstI.TP1286748,11,9066,5.10E-06,0.069786604,0.290191372,OWA18,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA18.19,PstI.TP234382,1,67947376,0.000163757,0.425,12.582,OWA18,PS_Y,122+35256im,,mrMLM,,1
OWA18.20,PstI.TP244587,11,1996,0.00010985,0.1107,6.4075,OWA18,PS_N,O122+2646,,FASTmrEMMA,,1
OWA18.21,PstI.TP312639,2,3911470,0.000101205,0.1148,3.88E-07,OWA18,PS_N,122+35256im,,pLARmEB,,1
OWA18.22,PstI.TP349355,4,51739537,6.98E-08,0.0833,5.3993,OWA18,PS_N;PS_Y,122+35256im,,mrMLM,,2
OWA18.23,PstI.TP392482,1,17611146,1.91E-05,0.0245,10.9578,OWA18,PS_N;PS_Y,O102+4322;O112+3450,,FASTmrEMMA,,3
OWA18.24,PstI.TP437620,11,3351,0.000192486,0.2623,10.292,OWA18,PS_N;PS_Y,122+35256im,,FASTmrMLM;ISIS EM-BLASSO,,2
OWA18.25,PstI.TP642933,6,57096182,2.04E-05,0.4314,7.8633,OWA18,PS_Y,O102+4322,,ISIS EM-BLASSO;pLARmEB,,2
OWA18.26,PstI.TP65061,2,73159281,0.000193731,0.3566,2.6315,OWA18,PS_N;PS_Y,122+35256im,,pLARmEB,,2
OWA18.27,PstI.TP702483,11,4867,5.83E-05,0.0125,29.4062,OWA18,PS_N,122+35256im,,mrMLM,,1
OWA18.28,PstI.TP727705,4,2828636,0.000170687,0.2255,5.8759,OWA18,PS_Y,O102+4322,,FASTmrEMMA,,1
OWA18.29,PstI.TP789647,3,69354547,4.59E-05,0.3648,3.4706,OWA18,PS_N,O122+2646,,ISIS EM-BLASSO,,1
OWA18.30,PstI.TP841525,3,59531363,7.45E-07,0.1352,0.0702,OWA18,PS_N,122+35256im,,pLARmEB,,1
OWA18.31,PstI.TP980214,1,10687788,6.45E-05,0.4375,7.0313,OWA18,PS_N,O112+3450,,FASTmrMLM;ISIS EM-BLASSO,,2
