"","X","SNP","Gene","ID","Chromosome","Position","P.value","MAF","PVE","Trait.names","PS","Ind.SNP","FarmCPU","mrMLM","GAPIT","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"34",54,"NsiI.TP204910","Sobic.002G277100","OWA19.13",2,65965770,2.77e-24,0.0343,0.1146,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr02",65971938,65975798,3861,"-",6168,-10028,37950042,"Sobic.002G277100","Sobic.002G277100.1","Sobic.002G277100.1.p","PF00121","PTHR21139,PTHR21139:SF7","KOG1643","5.3.1.1","K01803","GO:0008152,GO:0004807","AT2G21170.1","PDTPI,TIM","triosephosphate isomerase","LOC_Os09g36450.1",NA,"triosephosphate isomerase, chloroplast precursor, putative, expressed"
"35",55,"NsiI.TP208625","Sobic.008G107500","OWA19.14",8,50606712,4.65e-05,0.041,38.5407,"OWA19","PCA=3(1);PS_N(2);PS_Y(1)","122+35256im(4)","","FASTmrMLM(2);pLARmEB(1)","rrBLUP(1)",1,"Chr08",50603514,50609969,6456,"+",-3198,-3257,37927321,"Sobic.008G107500","Sobic.008G107500.1","Sobic.008G107500.1.p","PF03106","PTHR31221,PTHR31221:SF22","","","","GO:0043565,GO:0006355,GO:0003700","AT2G03340.1","WRKY3","WRKY DNA-binding protein 3","LOC_Os12g32250.1",NA,"WRKY96, expressed"
"37",57,"NsiI.TP208625","Sobic.008G107800","OWA19.14",8,50606712,4.65e-05,0.041,38.5407,"OWA19","PCA=3(1);PS_N(2);PS_Y(1)","122+35256im(4)","","FASTmrMLM(2);pLARmEB(1)","rrBLUP(1)",1,"Chr08",50616202,50620205,4004,"-",9490,-13493,37927757,"Sobic.008G107800","Sobic.008G107800.1","Sobic.008G107800.1.p","PF02201","PTHR13844,PTHR13844:SF8","","","","GO:0005515","AT2G14880.1","","SWIB/MDM2 domain superfamily protein","LOC_Os12g32280.1",NA,"SWIB/MDM2 domain containing protein, expressed"
"38",58,"NsiI.TP224586","Sobic.003G046300","OWA18.3",3,4243452,0.000170608,0.3333,3.9973,"OWA18","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr03",4229020,4237524,8505,"-",-14432,5928,37912470,"Sobic.003G046300","Sobic.003G046300.1","Sobic.003G046300.1.p","PF13423,PF02148,PF00627","PTHR24006,PTHR24006:SF449","","3.4.19.12","K11836","GO:0008270","AT3G20630.1","ATUBP14,PER1,TTN6,UBP14","ubiquitin-specific protease 14","LOC_Os01g08200.1",NA,"ubiquitin carboxyl-terminal hydrolase 14, putative, expressed"
"39",59,"NsiI.TP224586","Sobic.003G046400","OWA18.3",3,4243452,0.000170608,0.3333,3.9973,"OWA18","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",2,"Chr03",4238060,4248215,10156,"-",-5392,-4763,37915440,"Sobic.003G046400","Sobic.003G046400.2","Sobic.003G046400.2.p","PF08513,PF00400","PTHR22847,PTHR22847:SF437","KOG0266","","","GO:0005515","AT4G32551.1","LUG,RON2","LisH dimerisation motif;WD40/YVTN repeat-like-containing domain","LOC_Os01g08190.1",NA,"transcriptional corepressor LEUNIG, putative, expressed"
"45",68,"NsiI.TP349989","Sobic.009G000200","OWA19.17",9,48138,7.5e-05,0.2049,0.3393,"OWA19","PS_Y(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr09",45063,50274,5212,"+",-3075,-2136,37922573,"Sobic.009G000200","Sobic.009G000200.1","Sobic.009G000200.1.p","PF00122,PF12710,PF16209,PF16212","PTHR24092,PTHR24092:SF65","","3.6.3.1","K01530","GO:0046872,GO:0000166,GO:0016021,GO:0015914,GO:0005524,GO:0004012,GO:0000287","AT1G68710.1","","ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein","LOC_Os05g01030.1",NA,"phospholipid-transporting ATPase, putative, expressed"
"46",69,"NsiI.TP349989","Sobic.009G000300","OWA19.17",9,48138,7.5e-05,0.2049,0.3393,"OWA19","PS_Y(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr09",54111,58498,4388,"-",5973,-10360,37919118,"Sobic.009G000300","Sobic.009G000300.1","Sobic.009G000300.1.p","PF00069","PTHR27001,PTHR27001:SF132","KOG1187","2.7.11.1","","GO:0006468,GO:0005524,GO:0004672","AT5G38560.1","","Protein kinase superfamily protein","LOC_Os05g01040.1",NA,"serine/threonine-protein kinase, putative, expressed"
"47",70,"NsiI.TP360999","Sobic.001G132800","OWA19.18",1,10465743,1.23e-05,0.086065574,0.004917308,"OWA19","PS_Y(1)","O122+2646(1)","FarmCPU(1)","","",1,"Chr01",10464458,10469295,4838,"-",-1285,-3552,37939038,"Sobic.001G132800","Sobic.001G132800.1","Sobic.001G132800.1.p","PF13499,PF07714","PTHR24349,PTHR24349:SF167","KOG0032","2.7.11.1","K13412","GO:0006468,GO:0004672","AT1G74740.1","ATCPK30,CDPK1A,CPK30","calcium-dependent protein kinase 30","LOC_Os03g48270.1",NA,"CAMK_CAMK_like.21 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
"52",75,"NsiI.TP422411","Sobic.003G399200","OWA19.20",3,70832262,2.65e-06,0.056576111,0.821332693,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr03",70833427,70836457,3031,"+",1165,-4195,37913875,"Sobic.003G399200","Sobic.003G399200.1","Sobic.003G399200.1.p","PF00854","PTHR11654,PTHR11654:SF20","","","","GO:0016020,GO:0006810,GO:0005215","AT1G27080.1","NRT1.6","nitrate transporter 1.6","LOC_Os01g68510.1",NA,"peptide transporter PTR2, putative, expressed"
"54",78,"NsiI.TP422411","Sobic.003G399266","OWA19.20",3,70832262,2.65e-06,0.056576111,0.821332693,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr03",70837534,70837807,274,"-",5272,-5545,37914126,"Sobic.003G399266","Sobic.003G399266.1","Sobic.003G399266.1.p","PF00076","PTHR24012","","","","GO:0003676","AT3G08000.1","","RNA-binding (RRM/RBD/RNP motifs) family protein","LOC_Os01g68524.2",NA,"pentatricopeptide, putative, expressed"
"59",85,"NsiI.TP424080","Sobic.008G187500","OWA19.22",8,62210912,8.06e-08,0.041,14.2891,"OWA19","PS_Y(1)","O122+2646(1)","","FASTmrEMMA(1)","",1,"Chr08",62206984,62207628,645,"-",-3928,3284,37926968,"Sobic.008G187500","Sobic.008G187500.1","Sobic.008G187500.1.p","PF00170","PTHR22952,PTHR22952:SF181","","","","GO:0043565,GO:0006355,GO:0003700","","","","LOC_Os12g43790.1",NA,"bZIP transcription factor domain containing protein, expressed"
"65",114,"NsiI.TP444479","Sobic.002G326200","OWA19.24",2,69620402,4.82e-08,0.025,26.0684,"OWA19","PS_N(1);PS_Y(1)","122+35256im(2)","","mrMLM(1);FASTmrMLM(1)","",1,"Chr02",69610553,69613401,2849,"+",-9849,7001,37952559,"Sobic.002G326200","Sobic.002G326200.1","Sobic.002G326200.1.p","PF01657,PF07714","PTHR27002,PTHR27002:SF90","KOG1187","2.7.11.1","","GO:0006468,GO:0004672","AT4G23310.1","CRK23","cysteine-rich RLK (RECEPTOR-like protein kinase) 23","LOC_Os07g35004.1",NA,"TKL_IRAK_DUF26-la.4 - DUF26 kinases have homology to DUF26 containing loci, expressed"
"66",115,"NsiI.TP444479","Sobic.002G326300","OWA19.24",2,69620402,4.82e-08,0.025,26.0684,"OWA19","PS_N(1);PS_Y(1)","122+35256im(2)","","mrMLM(1);FASTmrMLM(1)","",1,"Chr02",69616465,69617511,1047,"+",-3937,2891,37949528,"Sobic.002G326300","Sobic.002G326300.1","Sobic.002G326300.1.p","PF07714","PTHR27002,PTHR27002:SF99","","2.7.10.2","","GO:0006468,GO:0004672","AT4G23180.1","CRK10,RLK4","cysteine-rich RLK (RECEPTOR-like protein kinase) 10","LOC_Os07g34980.1",NA,"TKL_IRAK_DUF26-lh.9 - DUF26 kinases have homology to DUF26 containing loci, expressed"
"67",116,"NsiI.TP444479","Sobic.002G326400","OWA19.24",2,69620402,4.82e-08,0.025,26.0684,"OWA19","PS_N(1);PS_Y(1)","122+35256im(2)","","mrMLM(1);FASTmrMLM(1)","",1,"Chr02",69620241,69623720,3480,"+",-161,-3318,37953097,"Sobic.002G326400","Sobic.002G326400.1","Sobic.002G326400.1.p","PF01657,PF07714","PTHR27002,PTHR27002:SF159","KOG1187","2.7.11.1","","GO:0006468,GO:0004672","AT4G23310.1","CRK23","cysteine-rich RLK (RECEPTOR-like protein kinase) 23","LOC_Os07g34980.1",NA,"TKL_IRAK_DUF26-lh.9 - DUF26 kinases have homology to DUF26 containing loci, expressed"
"68",117,"NsiI.TP460633","Sobic.004G280301","OWA19.25",4,62266318,8.86e-06,0.041,15.7579345,"OWA19","PCA=3(1);PS_N(1)","122+35256im(2)","","ISIS EM-BLASSO(1)","rrBLUP(1)",1,"Chr04",62258710,62260788,2079,"-",-7608,5530,37933332,"Sobic.004G280301","Sobic.004G280301.1","Sobic.004G280301.1.p","PF00403","PTHR22814,PTHR22814:SF85","KOG1603","","","GO:0046872,GO:0030001","AT3G56891.1","","Heavy metal transport/detoxification superfamily protein ","LOC_Os03g02860.1",NA,"heavy metal-associated domain containing protein, expressed"
"71",121,"NsiI.TP468343","Sobic.003G390800","OWA19.26",3,70187996,3.36e-05,0.3167,2.4089,"OWA19","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",5,"Chr03",70178275,70185159,6885,"+",-9721,2837,37914929,"Sobic.003G390800","Sobic.003G390800.5","Sobic.003G390800.5.p","PF01764","PTHR21493,PTHR21493:SF140","","","","GO:0006629","AT1G05790.1","","lipase class 3 family protein","LOC_Os01g67420.1",NA,"lipase, putative, expressed"
"72",125,"NsiI.TP474172","Sobic.001G335100","OWA19.27",1,62376131,8.04e-10,0.1542,17.4437,"OWA19","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr01",62383516,62385906,2391,"+",7385,-9775,37940254,"Sobic.001G335100","Sobic.001G335100.1","Sobic.001G335100.1.p","PF00646,PF08387","PTHR32212,PTHR32212:SF76","","","","GO:0005515","AT3G59200.1","","F-box/RNI-like superfamily protein","LOC_Os04g13160.1",NA,"OsFBD9 - F-box and FBD domain containing protein, expressed"
"76",130,"NsiI.TP486731","Sobic.002G414400","OWA19.29",2,76163097,2.08e-05,0.079050252,0.041900767,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr02",76165885,76169873,3989,"-",2788,-6776,37949585,"Sobic.002G414400","Sobic.002G414400.1","Sobic.002G414400.1.p","PF06596","PTHR34455,PTHR34455:SF1","","","","GO:0016020,GO:0015979,GO:0009523","AT2G06520.1","PSBX","photosystem II subunit X","LOC_Os07g47640.1",NA,"ultraviolet-B-repressible protein, putative, expressed"
"78",132,"NsiI.TP487417","Sobic.002G140700","OWA19.30",2,22482603,3.72e-19,0.0637,0.0405,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr02",22491963,22504186,12224,"+",9360,-21583,37951143,"Sobic.002G140700","Sobic.002G140700.1","Sobic.002G140700.1.p","PF04083","PTHR11005,PTHR11005:SF37","KOG2624","3.1.1.3","","GO:0006629","AT2G15230.1","ATLIP1,LIP1","lipase 1","LOC_Os09g01590.1",NA,"triacylglycerol lipase 1 precursor, putative, expressed"
"79",133,"NsiI.TP487417","Sobic.002G140400","OWA19.30",2,22482603,3.72e-19,0.0637,0.0405,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr02",22482460,22483405,946,"+",-143,-802,37949608,"Sobic.002G140400","Sobic.002G140400.1","Sobic.002G140400.1.p","PF02298","PTHR33021,PTHR33021:SF69","","","","GO:0009055","AT2G32300.1","UCC1","uclacyanin 1","LOC_Os09g39940.1",NA,"plastocyanin-like domain containing protein, putative, expressed"
"80",135,"NsiI.TP487417","Sobic.002G140600","OWA19.30",2,22482603,3.72e-19,0.0637,0.0405,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr02",22484413,22489881,5469,"-",1810,-7278,37951427,"Sobic.002G140600","Sobic.002G140600.1","Sobic.002G140600.1.p","PF02212,PF00350,PF01031","PTHR11566,PTHR11566:SF73","","","","GO:0005525,GO:0003924","AT3G60190.1","ADL1E,ADL4,ADLP2,DL1E,DRP1E,EDR3","DYNAMIN-like 1E","LOC_Os09g39960.1",NA,"dynamin family protein, putative, expressed"
"81",136,"NsiI.TP501941","Sobic.003G328700","OWA19.31",3,65413138,6.16e-05,0.0245,0.0018,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr03",65405997,65408752,2756,"-",-7141,4386,37918239,"Sobic.003G328700","Sobic.003G328700.1","Sobic.003G328700.1.p","PF03871,PF01191","PTHR10535","KOG3218","2.7.7.6","K03013","GO:0006351,GO:0005634,GO:0003899,GO:0003677","AT3G22320.1","ATRPABC24.3,NRPB5,NRPD5,RPB5A","Eukaryotic rpb5 RNA polymerase subunit family protein","LOC_Os01g59140.1",NA,"DNA-directed RNA polymerases I, II, and III subunit RPABC1, putative, expressed"
"82",137,"NsiI.TP501941","Sobic.003G328800","OWA19.31",3,65413138,6.16e-05,0.0245,0.0018,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr03",65410780,65414721,3942,"+",-2358,-1583,37914684,"Sobic.003G328800","Sobic.003G328800.1","Sobic.003G328800.1.p","PF03953,PF00091","PTHR11588,PTHR11588:SF114","","2.4.2.1","K07375","GO:0003924,GO:0007017,GO:0005874","AT5G12250.1","TUB6","beta-6 tubulin","LOC_Os01g59150.1",NA,"tubulin/FtsZ domain containing protein, putative, expressed"
"83",139,"NsiI.TP501941","Sobic.003G328900","OWA19.31",3,65413138,6.16e-05,0.0245,0.0018,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr03",65414383,65417430,3048,"-",1245,-4292,37917146,"Sobic.003G328900","Sobic.003G328900.1","Sobic.003G328900.1.p","PF01694,PF00627","PTHR12917,PTHR12917:SF20","KOG4463","","","GO:0016021,GO:0004252","AT3G56740.1","","Ubiquitin-associated (UBA) protein","LOC_Os01g59160.1",NA,"UBA/TS-N domain containing protein, expressed"
"84",140,"NsiI.TP501941","Sobic.003G329000","OWA19.31",3,65413138,6.16e-05,0.0245,0.0018,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",2,"Chr03",65420017,65423158,3142,"-",6879,-10020,37915713,"Sobic.003G329000","Sobic.003G329000.2","Sobic.003G329000.2.p","PF00646","PTHR31482,PTHR31482:SF4","","","","GO:0005515","AT2G26850.1","","F-box family protein","LOC_Os01g59180.1",NA,"OsFBX27 - F-box domain containing protein, expressed"
"88",146,"NsiI.TP512189","Sobic.003G285500","OWA18.8",3,61885782,6.13e-05,0.1708,18.5,"OWA18","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr03",61880213,61882652,2440,"-",-5569,3130,37915061,"Sobic.003G285500","Sobic.003G285500.1","Sobic.003G285500.1.p","PF03106","PTHR31282,PTHR31282:SF9","","","","GO:0043565,GO:0006355,GO:0003700","AT3G58710.1","ATWRKY69,WRKY69","WRKY DNA-binding protein 69","LOC_Os01g53040.1",NA,"WRKY14, expressed"
"89",147,"NsiI.TP512189","Sobic.003G285700","OWA18.8",3,61885782,6.13e-05,0.1708,18.5,"OWA18","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr03",61889763,61895885,6123,"-",3981,-10103,37914134,"Sobic.003G285700","Sobic.003G285700.1","Sobic.003G285700.1.p","PF12169,PF13177","PTHR11669,PTHR11669:SF16","KOG0989","2.7.7.7","","GO:0003887","AT4G18820.1","","AAA-type ATPase family protein","LOC_Os01g53070.1",NA,"ATP binding protein, putative, expressed"
"91",149,"NsiI.TP512189","Sobic.003G285600","OWA18.8",3,61885782,6.13e-05,0.1708,18.5,"OWA18","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr03",61881940,61888207,6268,"+",-3842,-2425,37913604,"Sobic.003G285600","Sobic.003G285600.1","Sobic.003G285600.1.p","PF04117","PTHR11266,PTHR11266:SF37","KOG1944","","K13348","GO:0016021","AT2G42770.1","","Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein","LOC_Os01g53060.1",NA,"peroxisomal membrane protein, putative, expressed"
"92",151,"NsiI.TP523625","Sobic.004G283900","OWA19.32",4,62611853,2.34e-06,0.0738,7.0541,"OWA19","PS_N(2)","122+35256im(2)","","FASTmrMLM(1);pLARmEB(1)","",1,"Chr04",62617908,62622646,4739,"+",6055,-10793,37933639,"Sobic.004G283900","Sobic.004G283900.1","Sobic.004G283900.1.p","PF00067","PTHR24286,PTHR24286:SF11","KOG0157","","","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT1G12740.1","CYP87A2","cytochrome P450, family 87, subfamily A, polypeptide 2","LOC_Os02g45280.1",NA,"cytochrome P450, putative, expressed"
"93",152,"NsiI.TP523625","Sobic.004G283800","OWA19.32",4,62611853,2.34e-06,0.0738,7.0541,"OWA19","PS_N(2)","122+35256im(2)","","FASTmrMLM(1);pLARmEB(1)","",1,"Chr04",62599054,62603155,4102,"+",-12799,8698,37930248,"Sobic.004G283800","Sobic.004G283800.1","Sobic.004G283800.1.p","PF03141","PTHR10108,PTHR10108:SF842","","","","GO:0008168","AT4G00750.1","","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","LOC_Os02g45310.1",NA,"dehydration response related protein, putative, expressed"
"94",153,"NsiI.TP554032","Sobic.003G186900","OWA19.33",3,50563424,1e-05,0.2254,9.6979,"OWA19","PS_Y(1)","122+35256im(1)","","ISIS EM-BLASSO(1)","",2,"Chr03",50552617,50560653,8037,"-",-10807,2771,37913425,"Sobic.003G186900","Sobic.003G186900.2","Sobic.003G186900.2.p","PF04851,PF00271","PTHR24031,PTHR24031:SF246","","3.6.4.13","K12812","GO:0016787,GO:0005524,GO:0003677","AT5G11170.1","","DEAD/DEAH box RNA helicase family protein ","LOC_Os01g36920.2",NA,"DEAD-box ATP-dependent RNA helicase, putative, expressed"
"95",157,"NsiI.TP554032","Sobic.003G187000","OWA19.33",3,50563424,1e-05,0.2254,9.6979,"OWA19","PS_Y(1)","122+35256im(1)","","ISIS EM-BLASSO(1)","",1,"Chr03",50563518,50564817,1300,"+",94,-1393,37918124,"Sobic.003G187000","Sobic.003G187000.1","Sobic.003G187000.1.p","PF14497,PF13417","PTHR11260,PTHR11260:SF269","KOG0406","2.5.1.18","K00799","GO:0005515","AT1G10370.1","ATGSTU17,ERD9,GST30,GST30B","Glutathione S-transferase family protein","LOC_Os10g38470.1",NA,"glutathione S-transferase, putative, expressed"
"96",158,"NsiI.TP58591","Sobic.001G140200","OWA19.34",1,11198433,1.45e-06,0.3083,8.0227,"OWA19","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr01",11185282,11192665,7384,"+",-13151,5768,37940928,"Sobic.001G140200","Sobic.001G140200.1","Sobic.001G140200.1.p","PF03789,PF05920,PF03790,PF03791","PTHR11850,PTHR11850:SF106","KOG0773","","","GO:0003677,GO:0006355,GO:0005634","AT4G08150.1","BP,BP1,KNAT1","KNOTTED-like from Arabidopsis thaliana","LOC_Os07g03770.1",NA,"Homeobox domain containing protein, expressed"
