"","X","SNP","Gene","ID","Chromosome","Position","P.value","MAF","PVE","Trait.names","PS","Ind.SNP","FarmCPU","mrMLM","GAPIT","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"125",195,"NsiI.TP756808","Sobic.010G261800","OWA19.42",10,59848770,1.75e-05,0.279411765,4.424123776,"OWA19","PS_Y(1)","O102+4322(1)","FarmCPU(1)","","",1,"Chr10",59837462,59842467,5006,"-",-11308,6303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",196,"NsiI.TP756808","Sobic.010G262000","OWA19.42",10,59848770,1.75e-05,0.279411765,4.424123776,"OWA19","PS_Y(1)","O102+4322(1)","FarmCPU(1)","","",1,"Chr10",59851073,59853622,2550,"-",2303,-4852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",197,"NsiI.TP756808","Sobic.010G261900","OWA19.42",10,59848770,1.75e-05,0.279411765,4.424123776,"OWA19","PS_Y(1)","O102+4322(1)","FarmCPU(1)","","",1,"Chr10",59847394,59851087,3694,"+",-1376,-2317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",198,"NsiI.TP756808","Sobic.010G262100","OWA19.42",10,59848770,1.75e-05,0.279411765,4.424123776,"OWA19","PS_Y(1)","O102+4322(1)","FarmCPU(1)","","",4,"Chr10",59857228,59860319,3092,"-",8458,-11549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",240,"PstI.TP110898","Sobic.010G104800","OWA18.16",10,9880843,2.36e-05,0.0588,17.9191,"OWA18","PS_N(4)","O102+4322(1);O112+3450(3)","","FASTmrMLM(1);ISIS EM-BLASSO(2);pLARmEB(1)","",1,"Chr10",9868809,9873508,4700,"-",-12034,7335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",241,"PstI.TP110898","Sobic.010G104900","OWA18.16",10,9880843,2.36e-05,0.0588,17.9191,"OWA18","PS_N(4)","O102+4322(1);O112+3450(3)","","FASTmrMLM(1);ISIS EM-BLASSO(2);pLARmEB(1)","",4,"Chr10",9875884,9881144,5261,"-",-4959,-301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",245,"PstI.TP110898","Sobic.010G105000","OWA18.16",10,9880843,2.36e-05,0.0588,17.9191,"OWA18","PS_N(4)","O102+4322(1);O112+3450(3)","","FASTmrMLM(1);ISIS EM-BLASSO(2);pLARmEB(1)","",1,"Chr10",9886926,9890083,3158,"-",6083,-9240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",268,"PstI.TP1227790","Sobic.009G132650","OWA19.60",9,48696731,1.82e-14,0.0134,7.87e-07,"OWA19","PS_N(1)","O112+3450(1)","","pLARmEB(1)","",1,"Chr09",48689078,48701273,12196,"-",-7653,-4542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",269,"PstI.TP1227790","Sobic.009G132600","OWA19.60",9,48696731,1.82e-14,0.0134,7.87e-07,"OWA19","PS_N(1)","O112+3450(1)","","pLARmEB(1)","",3,"Chr09",48691051,48701272,10222,"-",-5680,-4541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",270,"PstI.TP1227790","Sobic.009G132700","OWA19.60",9,48696731,1.82e-14,0.0134,7.87e-07,"OWA19","PS_N(1)","O112+3450(1)","","pLARmEB(1)","",1,"Chr09",48703418,48707870,4453,"-",6687,-11139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",298,"PstI.TP282657","Sobic.010G239600","OWA19.71",10,58159508,2.98e-17,0.0223,6.96e-06,"OWA19","PS_N(1)","O112+3450(1)","","pLARmEB(1)","",2,"Chr10",58160461,58166804,6344,"+",953,-7296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",299,"PstI.TP282657","Sobic.010G239700","OWA19.71",10,58159508,2.98e-17,0.0223,6.96e-06,"OWA19","PS_N(1)","O112+3450(1)","","pLARmEB(1)","",1,"Chr10",58168736,58173007,4272,"-",9228,-13499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
