TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2043297	AT2G47730	AT2G47730.1	protein_coding	Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).	ARABIDOPSIS THALIANA GLUTATHIONE S-TRANSFERASE PHI 8; ATGSTF5; ATGSTF8; GLUTATHIONE S-TRANSFERASE (CLASS PHI) 5; GLUTATHIONE S-TRANSFERASE PHI 8; GST6; GSTF8	 chloroplast, chloroplast stroma, nucleus, thylakoid, vacuolar membrane, chloroplast envelope, defense response to bacterium, glutathione binding, fruit, cotyledon, root, vascular leaf, cultured plant cell, seedling development stage, pollen, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cellular response to hypoxia, chloroplast, chloroplast envelope, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, defense response, defense response to bacterium, flower, flower pedicel, flowering stage, fruit, glutathione binding, glutathione metabolic process, glutathione transferase activity, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, oxidation-reduction process, peroxidase activity, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, pollen tube cell, response to cold, response to karrikin, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, stromule, thylakoid, toxin catabolic process, vacuolar membrane, vascular leaf, vascular leaf senescent stage	true
Gene:2062927	AT2G46210	AT2G46210.1	protein_coding	Fatty acid/sphingolipid desaturase;(source:Araport11)	ATSLD2; SLD2; SPHINGOID LCB DESATURASE 2	 L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cellular response to cold, collective leaf structure, cotyledon, endoplasmic reticulum, endoplasmic reticulum membrane, flower, flower pedicel, flowering stage, guard cell, hypocotyl, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, metal ion binding, oxidation-reduction process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, root, seed, sepal, shoot apex, shoot system, sphingolipid biosynthetic process, sphingolipid delta-8 desaturase activity, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2087501	AT3G14210	AT3G14210.1	protein_coding	A semidominant QTL which has an epistatic effect on the Epithiospecifier gene. Represses nitrile formation and favors isothiocyanate production during glucosinolate hydrolysis. The functional allele deters the insect herbivory T. ni.	EPITHIOSPECIFIER MODIFIER 1; ESM1	 chloroplast, extracellular region, nucleus, peroxisome, plasmodesma, vacuole, chloroplast envelope, apoplast, defense response to bacterium, vascular leaf, seedling development stage, cytosolic ribosome, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, carpel, cauline leaf, chloroplast, chloroplast envelope, collective leaf structure, cotyledon, cytosol, cytosolic ribosome, defense response to bacterium, extracellular region, flower, flower pedicel, flowering stage, glucosinolate catabolic process, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, peroxisome, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasmodesma, response to cold, response to insect, root, rosette leaf, secretory vesicle, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:2149248	AT5G20230	AT5G20230.1	protein_coding	Encodes a Al-stress-induced gene. Along with TCF, it promotes lignin biosynthesis in response to cold stress. The mRNA is cell-to-cell mobile.	ATBCB; BCB; BLUE COPPER BINDING PROTEIN; BLUE-COPPER-BINDING PROTEIN; SAG14; SENESCENCE ASSOCIATED GENE 14	 extracellular region, plasma membrane, vacuole, anchored component of plasma membrane, plant callus, cultured plant cell, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, aluminum cation transport, anchored component of membrane, anchored component of plasma membrane, carpel, cauline leaf, cell-to-cell mobile RNA, cellular response to cold, cellular response to hypoxia, collective leaf structure, cotyledon, cultured plant cell, defense response to fungus, electron transfer activity, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, metal ion binding, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo globular stage, plasma membrane, plastid, pollen, pollen tube cell, protein binding, regulation of lignin biosynthetic process, response to absence of light, response to oxidative stress, response to wounding, root, rosette leaf, sepal, shoot apex, shoot system, stamen, stem, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:1005714575	AT3G01500	AT3G01500.2	protein_coding	Encodes a putative beta-carbonic anhydrase betaCA1.  Together with betaCA4 (At1g70410) regulates CO2-controlled stomatal movements in guard cells.	CA1; CARBONIC ANHYDRASE 1	 chloroplast, chloroplast stroma, thylakoid, chloroplast thylakoid membrane, chloroplast envelope, apoplast, defense response to bacterium, fruit, cotyledon, vascular leaf, juvenile vascular leaf, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, carbon utilization, carbonate dehydratase activity, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, collective leaf structure, cotyledon, cyanate catabolic process, cytoplasm, cytosol, defense response to bacterium, defense response to fungus, incompatible interaction, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of stomatal complex development, petal, petal differentiation and expansion stage, petiole, photosynthesis, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, regulation of stomatal movement, response to carbon dioxide, response to cold, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, stromule, thylakoid, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:1005715023	AT2G42540	AT2G42540.2	protein_coding	A cold-regulated gene whose product is targeted to the chloroplast. Cor15am  protects stromal proteins from aggregation under various stress conditions. Constitutive expression increases freezing tolerance in protoplasts in vitro and chloroplasts in vivo. NMR and x-ray diffraction studies suggest that COR15a alters the intrinsic curvature of the inner membrane of chloroplast envelope.  Late Embryogenesis abundant protein (LEA). Protects chloroplast membranes during freezing.	ATCOR15A; COLD-REGULATED 15A; COR15; COR15A	 chloroplast, chloroplast envelope, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT chaperone-mediated protein folding, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast stroma, circadian rhythm, cold acclimation, collective leaf structure, cotyledon, cytosol, drought recovery, flower, flower pedicel, flowering stage, galactose binding, guard cell, heat acclimation, inflorescence meristem, leaf apex, leaf lamina base, leaf senescence, lipid binding, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid inner membrane organization, pollen, portion of vascular tissue, protein complex oligomerization, protein homooligomerization, protein stabilization, red or far-red light signaling pathway, response to abscisic acid, response to cold, response to freezing, response to high light intensity, response to light stimulus, response to osmotic stress, response to salt stress, response to water deprivation, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1005715570	AT1G03680	AT1G03680.1	protein_coding	encodes a chloroplast thioredoxin similar to prokaryotic thioredoxins.	ARABIDOPSIS THIOREDOXIN M-TYPE 1; ATHM1; ATM1; THIOREDOXIN M-TYPE 1; THM1; TRX-M1	 chloroplast, chloroplast stroma, thylakoid, chloroplast thylakoid, chloroplast envelope, apoplast, vascular leaf, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT chloroplast thylakoid, apoplast, carpel, cauline leaf, cell redox homeostasis, chloroplast, chloroplast envelope, chloroplast stroma, collective leaf structure, cotyledon, cytoplasm, enzyme activator activity, enzyme inhibitor activity, extracellular region, flower, flower pedicel, flowering stage, glycerol ether metabolic process, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, negative regulation of catalytic activity, oxidation-reduction process, oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, positive regulation of catalytic activity, protein binding, protein disulfide oxidoreductase activity, protein-disulfide reductase activity, regulation of carbohydrate metabolic process, response to cold, response to oxidative stress, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, stromule, thylakoid, vascular leaf, vascular leaf senescent stage	true
Gene:1006228862	AT4G31420	AT4G31420.2	protein_coding	Zinc finger protein 622;(source:Araport11)	REI1-LIKE 1; REIL1	 nucleus, DNA-binding transcription factor activity, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleic acid binding, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen tube cell, positive regulation of ribosome biogenesis, preribosome, large subunit precursor, protein binding, regulation of transcription, DNA-templated, ribosomal large subunit biogenesis, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, transcription regulatory region DNA binding, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:6532559302	AT1G28520	AT1G28520.5	protein_coding	VOZ transcription factor which acts as positive regulator of several salt-responsive genes. Functionally redundant in salt stress with VOZ2.		 LP.04 four leaves visible stage, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, cytoplasm, defense response to bacterium, incompatible interaction, filament, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, long-day photoperiodism, flowering, mature plant embryo stage, metal ion binding, nucleus, petal, petal differentiation and expansion stage, phloem, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, positive regulation of long-day photoperiodism, flowering, positive regulation of transcription, DNA-templated, protein binding, red, far-red light phototransduction, response to heat, response to salt stress, response to water deprivation, root, seed, sepal, sequence-specific DNA binding, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532559074	AT1G01860	AT1G01860.3	protein_coding	dimethyladenosine transferase		 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, RNA binding, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity, mRNA methylation, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, rRNA (adenine-N6,N6-)-dimethyltransferase activity, rRNA methylation, response to cold, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532549171	AT2G46810	AT2G46810.2	protein_coding	MYC-type transcription factor which interacts with ICE1 and negatively regulates cold-responsive genes and cold tolerance.	MYC-TYPE TRANSCRIPTION FACTOR 70; MYC70	 nucleus, DNA binding, DNA-binding transcription factor activity, cold acclimation, floral organ, guard cell, nucleus, protein binding, protein homodimerization activity, regulation of transcription, DNA-templated, rosette leaf	false
Gene:4010713098	AT5G10140	AT5G10140.2	protein_coding	MADS-box protein encoded by FLOWERING LOCUS C - transcription factor that functions as a repressor of floral transition and contributes to temperature compensation of the circadian clock. Expression is downregulated during cold treatment. Vernalization, FRI and the autonomous pathway all influence the state of FLC chromatin.  Histone H3 trimethylation at lysine 4 and histone acetylation are associated with active FLC expression, whereas histone deacetylation and histone H3 dimethylation at lysines 9 and 27 are involved in FLC repression. Expression is also repressed by two small RNAs (30- and 24-nt) complementary to the FLC sense strand 3’ to the polyA site. The small RNAs are most likely derived from an antisense transcript of FLC. Interacts with SOC1 and FT chromatin in vivo. Member of a protein complex.	AGAMOUS-LIKE 25; AGL25; FLC; FLF; FLOWERING LOCUS C; FLOWERING LOCUS F; REDUCED STEM BRANCHING 6; RSB6	 nucleus, DNA-binding transcription factor activity, RNA polymerase II regulatory region sequence-specific DNA binding, anther, cell differentiation, collective leaf structure, cotyledon, flower, flower development, guard cell, hypocotyl, integument, multicellular organism development, negative regulation of flower development, nucleus, petal differentiation and expansion stage, plant embryo, plant embryo cotyledonary stage, portion of meristem tissue, positive regulation of transcription by RNA polymerase II, protein binding, protein dimerization activity, regulation of circadian rhythm, response to temperature stimulus, root, root tip, seed, seed dormant stage, seed germination stage, sepal, sequence-specific DNA binding, shoot apex, transcription factor binding, transcription regulatory region DNA binding, vernalization response	true
Gene:6532560570	AT5G10030	AT5G10030.4	protein_coding	Encodes a member of basic leucine zipper transcription gene family.  Nomenclature according to Xiang, et al. (1997).		 nucleus, DNA binding, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, defense response to bacterium, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, nucleus, petal, petal differentiation and expansion stage, petiole, protein binding, regulation of transcription, DNA-templated, response to cold, root, sepal, sequence-specific DNA binding, shoot apex, shoot system, stamen, stem, transcription regulatory region DNA binding, transcription, DNA-templated, vascular leaf, vascular leaf senescent stage	true
Gene:6532557722	AT1G50460	AT1G50460.3	protein_coding	Involved in glucose-ethylene crosstalk.		 chloroplast, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT fructokinase activity, NOT glucokinase activity, carpel, cauline leaf, cellular glucose homeostasis, chloroplast, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flower pedicel, flowering stage, fructokinase activity, fruit, glucokinase activity, glucose binding, glycolytic process, guard cell, hexose metabolic process, hypocotyl, inflorescence meristem, integral component of mitochondrial outer membrane, leaf apex, leaf lamina base, mannokinase activity, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, protein binding, response to cold, response to osmotic stress, response to salt stress, root, root hair cell development, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532550455	AT1G16540	AT1G16540.2	protein_coding	Encodes molybdenum cofactor sulfurase. Involved in Moco biosynthesis. Involved in the conversion of ABA-aldehyde to ABA, the last step of abscisic acid (ABA) biosynthesis. <i>sir</i> loss-of-function mutants are resistant to sirtinol, a modulator of auxin signaling.N terminal domain is similar to bacterial NifS suggesting a common mechanism for sulphur mobilization and transfer.  Also involved in protein import into chloroplasts.		 cytoplasm, Mo-molybdopterin cofactor sulfurase activity, abscisic acid biosynthetic process, auxin-activated signaling pathway, carpel, collective leaf structure, cytoplasm, defense response to bacterium, flower, flower pedicel, flowering stage, guard cell, inflorescence meristem, mature plant embryo stage, molybdenum cofactor sulfurtransferase activity, molybdenum incorporation into molybdenum-molybdopterin complex, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein import into chloroplast stroma, response to cold, response to heat, response to osmotic stress, response to salt stress, root, seed, selenocysteine lyase activity, sepal, stamen, stem, stomatal movement, sugar mediated signaling pathway	true
