"","X.2","X","SNP","Chromosome","Position","P.value","MAF","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name","PVE","X.1","Method2","QTN.effect","LOD.score","Genotype..for.code.1","Var_Error","Var_phen..total.","P.value.1","MAF.1","PVE.1"
"793",793,674,"PstI.TP617275",6,55265681,2.32283796573483e-05,0.0790536190242115,142,0.0697803917026962,0.204434452837545,0.0442948588337582,-0.320379992376414,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",13.4654061134849,NA,NA,NA,NA,NA,NA,NA,2e-05,"0.0791",13.5
"794",794,675,"PstI.TP720409",1,58165134,2.35017410118529e-05,0.150897751328658,142,0.0697803917026962,0.204255361152163,0.0442948588337582,0.228248223296169,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",13.4474969449467,NA,NA,NA,NA,NA,NA,NA,2e-05,"0.1509",13.4
"795",795,676,"PstI.TP163721",6,49248981,2.43309449660464e-05,0.080084867182183,142,0.0697803917026962,0.203724822691505,0.0442948588337582,-0.298349136485111,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",13.3944430988809,NA,NA,NA,NA,NA,NA,NA,2e-05,"0.0801",13.4
"796",796,677,"PstI.TP139515",1,60150577,2.46247433398819e-05,0.0711502238903094,142,0.0697803917026962,0.203541256255744,0.0442948588337582,0.342373811180391,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",13.3760864553048,NA,NA,NA,NA,NA,NA,NA,2e-05,"0.0712",13.4
"797",797,678,"PstI.TP1086817",10,46074,2.53267851835928e-05,0.0646887672392419,142,0.0697803917026962,0.203111505198109,0.0442948588337582,0.258483101073135,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",13.3331113495413,NA,NA,NA,NA,NA,NA,NA,3e-05,"0.0647",13.3
"798",798,679,"PstI.TP897409",6,56637189,2.78713159579313e-05,0.148449454646423,142,0.0697803917026962,0.201649669604139,0.0456985064275231,0.500779994767304,0.05,"+36088im","PS_Y","GAPIT","GLM","OWA",13.1869277901443,NA,NA,NA,NA,NA,NA,NA,3e-05,"0.1484",13.2
"799",799,680,"GFSSContig14210_1233",3,63619163,3.55060971494681e-05,0.120628703370704,142,0.0697803917026962,0.197964910756838,0.0495239425879156,0.27645581291757,0.05,"+36088im","PS_Y","GAPIT","GLM","OWA",12.8184519054142,NA,NA,NA,NA,NA,NA,NA,4e-05,"0.1206",12.8
"800",800,681,"NsiI.TP361343",11,13112,3.68262024098802e-05,0.10215178364015,142,0.0697803917026962,0.197410825294624,0.0495239425879156,0.237636815576898,0.05,"+36088im","PS_Y","GAPIT","GLM","OWA",12.7630433591928,NA,NA,NA,NA,NA,NA,NA,4e-05,"0.1022",12.8
"801",801,682,"NsiI.TP406783",10,3329382,3.76358686885109e-05,0.12807100225117,142,0.0697803917026962,0.197080917663723,0.0495239425879156,0.200966206317414,0.05,"+36088im","PS_Y","GAPIT","GLM","OWA",12.7300525961027,NA,NA,NA,NA,NA,NA,NA,4e-05,"0.1281",12.7
"802",802,683,"NsiI.TP770402",9,48714255,3.77555405869601e-05,0.113911354130383,142,0.0697803917026962,0.197032770710214,0.0495239425879156,-0.250546059068962,0.05,"+36088im","PS_Y","GAPIT","GLM","OWA",12.7252379007518,NA,NA,NA,NA,NA,NA,NA,4e-05,"0.1139",12.7
"966",966,847,"NsiI.TP403662",1,3957731,2.90853086526997e-05,0.116379310344828,116,0.086155387557976,0.249247530422612,0.0357230455236355,0.273161980296959,0.04,"O116+4232","PS_Y","GAPIT","GLM","OWA",16.3092142864636,NA,NA,NA,NA,NA,NA,NA,3e-05,"0.1164",16.3
"967",967,848,"NsiI.TP267317",1,63808055,3.18282586648384e-05,0.456896551724138,116,0.086155387557976,0.247514512803077,0.0357230455236355,-0.228824494175187,0.04,"O116+4232","PS_Y","GAPIT","GLM","OWA",16.1359125245101,NA,NA,NA,NA,NA,NA,NA,3e-05,"0.4569",16.1
"968",968,849,"NsiI.TP440500",9,59299455,3.94584449819243e-05,0.0732758620689655,116,0.086155387557976,0.243396652782623,0.0357230455236355,-0.445531791207924,0.04,"O116+4232","PS_Y","GAPIT","GLM","OWA",15.7241265224647,NA,NA,NA,NA,NA,NA,NA,4e-05,"0.0733",15.7
"969",969,850,"PstI.TP90936",11,768,1.76976010436572e-05,0.0703703703703704,135,0.0502464413141132,0.200500121101963,0.0315017298577099,0.374802166255973,0.03,"O135+2855","PS_Y","GAPIT","GLM","OWA",15.025367978785,NA,NA,NA,NA,NA,NA,NA,2e-05,"0.0704",15
"970",970,851,"NsiI.TP440500",9,59299455,4.83040214392421e-05,0.0740740740740741,135,0.0502464413141132,0.183880527786139,0.0374257181968414,-0.395211086529235,0.04,"O135+2855","PS_Y","GAPIT","GLM","OWA",13.3634086472026,NA,NA,NA,NA,NA,NA,NA,5e-05,"0.0741",13.4
"971",971,852,"PstI.TP461927",1,9014162,6.3077053140744e-05,0.118518518518518,135,0.0502464413141132,0.179520857774263,0.0374257181968414,0.308676056971036,0.04,"O135+2855","PS_Y","GAPIT","GLM","OWA",12.927441646015,NA,NA,NA,NA,NA,NA,NA,6e-05,"0.1185",12.9
"1090",1090,7816,"NsiI.TP267317",1,63808055,2.51324251610637e-07,0.457547169811321,96,NA,NA,0.000802227011141154,NA,8e-04,"O106+4834","PS_Y","GAPIT","MLM+SUPER","OWA",13.4431086087582,119,"SUPER",NA,NA,NA,NA,NA,3e-07,"0.4575",13.4
"1091",1091,7817,"NsiI.TP403662",1,3957731,7.32879621180142e-07,0.117924528301887,96,NA,NA,0.00116967587540351,NA,0.001,"O106+4834","PS_Y","GAPIT","MLM+SUPER","OWA",15.5243395021429,120,"SUPER",NA,NA,NA,NA,NA,7e-07,"0.1179",15.5
"1092",1092,7819,"PstI.TP242731",3,28459042,1.9257834055324e-05,0.0943396226415094,96,NA,NA,0.0153677515761486,NA,0.02,"O106+4834","PS_Y","GAPIT","MLM+SUPER","OWA",12.0906368044907,121,"SUPER",NA,NA,NA,NA,NA,2e-05,"0.0943",12.1
"1093",1093,7818,"PstI.TP461927",1,9014162,9.7766510621008e-06,0.136792452830189,96,NA,NA,0.0104023567300753,NA,0.01,"O106+4834","PS_Y","GAPIT","MLM+SUPER","OWA",12.570299077235,122,"SUPER",NA,NA,NA,NA,NA,1e-05,"0.1368",12.6
"1094",1094,7843,"NsiI.TP267317",1,63808055,2.89013011465713e-06,0.456896551724138,106,NA,NA,0.00261653113046959,NA,0.003,"O116+4232","PS_Y","GAPIT","MLM+SUPER","OWA",12.743384009909,123,"SUPER",NA,NA,NA,NA,NA,3e-06,"0.4569",12.7
"1095",1095,7841,"NsiI.TP403662",1,3957731,1.26020234100629e-09,0.116379310344828,106,NA,NA,3.42270955817308e-06,NA,3e-06,"O116+4232","PS_Y","GAPIT","MLM+SUPER","OWA",15.2638951673178,124,"SUPER",NA,NA,NA,NA,NA,1e-09,"0.1164",15.3
"1096",1096,7845,"PstI.TP242731",3,28459042,2.615766547629e-05,0.0948275862068966,106,NA,NA,0.0119221883426326,NA,0.01,"O116+4232","PS_Y","GAPIT","MLM+SUPER","OWA",11.433990415264,125,"SUPER",NA,NA,NA,NA,NA,3e-05,"0.0948",11.4
"1097",1097,7846,"PstI.TP285571",3,56007559,2.63376767510294e-05,0.0948275862068966,106,NA,NA,0.0119221883426326,NA,0.01,"O116+4232","PS_Y","GAPIT","MLM+SUPER","OWA",12.8884916536856,126,"SUPER",NA,NA,NA,NA,NA,3e-05,"0.0948",12.9
"1098",1098,7842,"PstI.TP461927",1,9014162,4.15307635455834e-07,0.129310344827586,106,NA,NA,0.000563987768949023,NA,6e-04,"O116+4232","PS_Y","GAPIT","MLM+SUPER","OWA",12.8137768859085,127,"SUPER",NA,NA,NA,NA,NA,4e-07,"0.1293",12.8
"1099",1099,7844,"PstI.TP897375",11,6255,9.31218083788129e-06,0.0775862068965517,106,NA,NA,0.0063229707889214,NA,0.006,"O116+4232","PS_Y","GAPIT","MLM+SUPER","OWA",11.2579726712311,128,"SUPER",NA,NA,NA,NA,NA,9e-06,"0.0776",11.3
"1100",1100,7847,"PstI.TP931840",6,60969038,6.11899278045052e-05,0.150862068965517,106,NA,NA,0.023741691988148,NA,0.02,"O116+4232","PS_Y","GAPIT","MLM+SUPER","OWA",9.80550745848831,129,"SUPER",NA,NA,NA,NA,NA,6e-05,"0.1509",9.81
"1101",1101,7865,"NsiI.TP165213",4,51172928,4.58396345208191e-05,0.119047619047619,116,NA,NA,0.0211958813789045,NA,0.02,"O126+3659","PS_Y","GAPIT","MLM+SUPER","OWA",11.9277036817996,130,"SUPER",NA,NA,NA,NA,NA,5e-05,"0.1190",11.9
"1102",1102,7875,"NsiI.TP267317",1,63808055,0.000263554750377046,0.44047619047619,116,NA,NA,0.043411232454962,NA,0.04,"O126+3659","PS_Y","GAPIT","MLM+SUPER","OWA",8.96908034238554,131,"SUPER",NA,NA,NA,NA,NA,3e-04,"0.4405",8.97
"1103",1103,7870,"NsiI.TP403662",1,3957731,8.96105801817481e-05,0.111111111111111,116,NA,NA,0.0211958813789045,NA,0.02,"O126+3659","PS_Y","GAPIT","MLM+SUPER","OWA",12.8443023096365,132,"SUPER",NA,NA,NA,NA,NA,9e-05,"0.1111",12.8
"1104",1104,7871,"NsiI.TP440500",9,59299455,9.19162245399154e-05,0.0714285714285714,116,NA,NA,0.0211958813789045,NA,0.02,"O126+3659","PS_Y","GAPIT","MLM+SUPER","OWA",10.597225920475,133,"SUPER",NA,NA,NA,NA,NA,9e-05,"0.0714",10.6
"1105",1105,7866,"NsiI.TP570294",11,16176,4.859102670264e-05,0.0793650793650794,116,NA,NA,0.0211958813789045,NA,0.02,"O126+3659","PS_Y","GAPIT","MLM+SUPER","OWA",5.35433514357119,134,"SUPER",NA,NA,NA,NA,NA,5e-05,"0.0794",5.35
"1106",1106,7872,"NsiI.TP83928",6,48792860,0.000114674337484296,0.26984126984127,116,NA,NA,0.0240399111126169,NA,0.02,"O126+3659","PS_Y","GAPIT","MLM+SUPER","OWA",5.74196131189973,135,"SUPER",NA,NA,NA,NA,NA,1e-04,"0.2698",5.74
"1107",1107,7874,"PstI.TP1200707",4,58878410,0.000150279135263416,0.0674603174603174,116,NA,NA,0.0266572066090336,NA,0.03,"O126+3659","PS_Y","GAPIT","MLM+SUPER","OWA",5.34923831107431,136,"SUPER",NA,NA,NA,NA,NA,2e-04,"0.0675",5.35
"1108",1108,7873,"PstI.TP1277536",2,23996480,0.00013824724038393,0.0753968253968254,116,NA,NA,0.0265665113604451,NA,0.03,"O126+3659","PS_Y","GAPIT","MLM+SUPER","OWA",4.35790709710362,137,"SUPER",NA,NA,NA,NA,NA,1e-04,"0.0754",4.36
"1109",1109,7869,"PstI.TP242731",3,28459042,8.95796524114492e-05,0.0873015873015873,116,NA,NA,0.0211958813789045,NA,0.02,"O126+3659","PS_Y","GAPIT","MLM+SUPER","OWA",10.5013604265616,138,"SUPER",NA,NA,NA,NA,NA,9e-05,"0.0873",10.5
"1110",1110,7862,"PstI.TP461927",1,9014162,1.03977419587018e-07,0.123015873015873,116,NA,NA,0.000239771929567664,NA,2e-04,"O126+3659","PS_Y","GAPIT","MLM+SUPER","OWA",12.3466347905904,139,"SUPER",NA,NA,NA,NA,NA,1e-07,"0.1230",12.3
"1111",1111,7868,"PstI.TP522635",11,3904,6.51635077220603e-05,0.234126984126984,116,NA,NA,0.0211958813789045,NA,0.02,"O126+3659","PS_Y","GAPIT","MLM+SUPER","OWA",5.28933881739141,140,"SUPER",NA,NA,NA,NA,NA,7e-05,"0.2341",5.29
"1112",1112,7864,"PstI.TP709133",4,64107407,3.5843553988782e-05,0.0753968253968254,116,NA,NA,0.0211958813789045,NA,0.02,"O126+3659","PS_Y","GAPIT","MLM+SUPER","OWA",6.10274181525364,141,"SUPER",NA,NA,NA,NA,NA,4e-05,"0.0754",6.1
"1113",1113,7867,"PstI.TP773027",3,16863797,5.66056753244349e-05,0.337301587301587,116,NA,NA,0.0211958813789045,NA,0.02,"O126+3659","PS_Y","GAPIT","MLM+SUPER","OWA",2.68715165240037,142,"SUPER",NA,NA,NA,NA,NA,6e-05,"0.3373",2.69
"1114",1114,7863,"PstI.TP90936",11,768,2.40860268621168e-05,0.0674603174603174,116,NA,NA,0.0211958813789045,NA,0.02,"O126+3659","PS_Y","GAPIT","MLM+SUPER","OWA",10.042036083077,143,"SUPER",NA,NA,NA,NA,NA,2e-05,"0.0675",10
"1115",1115,7895,"NsiI.TP403662",1,3957731,4.80785707230304e-06,0.103703703703704,125,NA,NA,0.0028526618628998,NA,0.003,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",9.83019187194787,144,"SUPER",NA,NA,NA,NA,NA,5e-06,"0.1037",9.83
"1116",1116,7900,"NsiI.TP440500",9,59299455,5.21160749654507e-05,0.0740740740740741,125,NA,NA,0.0115958266798128,NA,0.01,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",9.50553506108539,145,"SUPER",NA,NA,NA,NA,NA,5e-05,"0.0741",9.51
"1117",1117,7897,"NsiI.TP570294",11,16176,2.62750332679678e-05,0.0777777777777777,125,NA,NA,0.00935391184339653,NA,0.009,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",5.65047001582572,146,"SUPER",NA,NA,NA,NA,NA,3e-05,"0.0778",5.65
"1118",1118,7906,"NsiI.TP688992",4,66776482,0.000249621705390179,0.0851851851851851,125,NA,NA,0.0317376168281799,NA,0.03,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",5.68923229711746,147,"SUPER",NA,NA,NA,NA,NA,2e-04,"0.0852",5.69
"1119",1119,7904,"NsiI.TP70557",7,59141689,0.00019077859992678,0.0518518518518518,125,NA,NA,0.0282988256558057,NA,0.03,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",1.56776882801866,148,"SUPER",NA,NA,NA,NA,NA,2e-04,"0.0519",1.57
"1120",1120,7908,"PstI.TP1000572",4,59072057,0.000441320902653893,0.0703703703703704,125,NA,NA,0.0483551026184222,NA,0.05,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",3.97607239291002,149,"SUPER",NA,NA,NA,NA,NA,4e-04,"0.0704",3.98
"1121",1121,7907,"PstI.TP103806",11,849,0.000395467892215499,0.411111111111111,125,NA,NA,0.0469288565429058,NA,0.05,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",8.02323690851673,150,"SUPER",NA,NA,NA,NA,NA,4e-04,"0.4111",8.02
"1122",1122,7898,"PstI.TP1277536",2,23996480,4.24988813093129e-05,0.0777777777777777,125,NA,NA,0.0115958266798128,NA,0.01,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",3.07442672735108,151,"SUPER",NA,NA,NA,NA,NA,4e-05,"0.0778",3.07
"1123",1123,7901,"PstI.TP349556",9,56207028,6.46883056283514e-05,0.0703703703703704,125,NA,NA,0.0127939093353851,NA,0.01,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",4.26896158167391,152,"SUPER",NA,NA,NA,NA,NA,6e-05,"0.0704",4.27
"1124",1124,7903,"PstI.TP452364",1,70416615,0.000182267532819452,0.0518518518518518,125,NA,NA,0.0282988256558057,NA,0.03,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",6.82293321967848,153,"SUPER",NA,NA,NA,NA,NA,2e-04,"0.0519",6.82
"1125",1125,7894,"PstI.TP461927",1,9014162,4.3833414341088e-06,0.118518518518518,125,NA,NA,0.0028526618628998,NA,0.003,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",10.1948346428134,154,"SUPER",NA,NA,NA,NA,NA,4e-06,"0.1185",10.2
"1126",1126,7899,"PstI.TP522635",11,3904,4.72898972228716e-05,0.225925925925926,125,NA,NA,0.0115958266798128,NA,0.01,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",4.27073289000633,155,"SUPER",NA,NA,NA,NA,NA,5e-05,"0.2259",4.27
"1127",1127,7902,"PstI.TP715604",4,64992446,0.000106732425137286,0.0777777777777777,125,NA,NA,0.0189983716744369,NA,0.02,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",3.51439147355522,156,"SUPER",NA,NA,NA,NA,NA,1e-04,"0.0778",3.51
"1128",1128,7905,"PstI.TP773027",3,16863797,0.000216996518300385,0.340740740740741,125,NA,NA,0.0297118309672835,NA,0.03,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",3.39653871113046,157,"SUPER",NA,NA,NA,NA,NA,2e-04,"0.3407",3.4
"1129",1129,7896,"PstI.TP857720",4,67675201,6.59041838499499e-06,0.0703703703703704,125,NA,NA,0.00293273618132277,NA,0.003,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",4.82100790647617,158,"SUPER",NA,NA,NA,NA,NA,7e-06,"0.0704",4.82
"1130",1130,7909,"PstI.TP897375",11,6255,0.00046181839579392,0.0666666666666667,125,NA,NA,0.0483551026184222,NA,0.05,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",8.03791840922628,159,"SUPER",NA,NA,NA,NA,NA,5e-04,"0.0667",8.04
"1131",1131,7893,"PstI.TP90936",11,768,5.52295814151659e-07,0.0703703703703704,125,NA,NA,0.000983086549189954,NA,0.001,"O135+2855","PS_Y","GAPIT","MLM+SUPER","OWA",11.3411598371325,160,"SUPER",NA,NA,NA,NA,NA,6e-07,"0.0704",11.3
"1136",1136,7321,"GFSSContig14210_1233",3,63619163,4.8385884942081e-06,0.118491999206797,132,NA,NA,0.0336066448053445,NA,0.03,"+36088im","PS_Y","GAPIT","MLM+SUPER","OWA",0.0951395945699839,165,"SUPER",NA,NA,NA,NA,NA,5e-06,"0.1185",0.0951
"3116",3116,7325,"NsiI.TP762102",2,64194218,1.32824507110071e-05,0.176980974472118,132,NA,NA,0.0497788302789372,NA,0.05,"+36088im","PS_Y","GAPIT","MLM+SUPER","OWA",0.521789281170191,2145,"SUPER",NA,NA,NA,NA,NA,1e-05,"0.1770",0.522
"3657",3657,7324,"PstI.TP1188697",11,8395,7.68620373683261e-06,0.0691286257166008,132,NA,NA,0.0336066448053445,NA,0.03,"+36088im","PS_Y","GAPIT","MLM+SUPER","OWA",0.0587108903941294,2686,"SUPER",NA,NA,NA,NA,NA,8e-06,"0.0691",0.0587
"3706",3706,7323,"PstI.TP1219194",11,8585,7.66686633976719e-06,0.0656229641012925,132,NA,NA,0.0336066448053445,NA,0.03,"+36088im","PS_Y","GAPIT","MLM+SUPER","OWA",0.583436010812096,2735,"SUPER",NA,NA,NA,NA,NA,8e-06,"0.0656",0.583
"4715",4715,7320,"PstI.TP598337",11,4249,2.63219665420071e-06,0.0908316421766214,132,NA,NA,0.0336066448053445,NA,0.03,"+36088im","PS_Y","GAPIT","MLM+SUPER","OWA",0.0266903445929164,3744,"SUPER",NA,NA,NA,NA,NA,3e-06,"0.0908",0.0267
"4971",4971,7322,"PstI.TP735032",3,9654444,5.19596886321536e-06,0.0693260896780069,132,NA,NA,0.0336066448053445,NA,0.03,"+36088im","PS_Y","GAPIT","MLM+SUPER","OWA",1.77460343725245,4000,"SUPER",NA,NA,NA,NA,NA,5e-06,"0.0693",1.77
"5020",5020,7319,"PstI.TP75643",11,633,1.12174575310484e-06,0.263560535795298,132,NA,NA,0.0294278780869523,NA,0.03,"+36088im","PS_Y","GAPIT","MLM+SUPER","OWA",0.0136494772566865,4049,"SUPER",NA,NA,NA,NA,NA,1e-06,"0.2636",0.0136
"5628",5628,7812,"GFSSContig17930_1907",4,176618,0.000240794948289554,0.127358490566038,96,NA,NA,0.0300575415256593,NA,0.03,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",8.14274022135345,4657,"SUPER",NA,NA,NA,NA,NA,2e-04,"0.1274",8.14
"5629",5629,7814,"NsiI.TP151943",11,10810,0.000275969413755728,0.160377358490566,96,NA,NA,0.032625717359566,NA,0.03,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",5.82317233501729,4658,"SUPER",NA,NA,NA,NA,NA,3e-04,"0.1604",5.82
"5630",5630,7796,"NsiI.TP165213",4,51172928,2.14872738645797e-05,0.127358490566038,96,NA,NA,0.00762081979730427,NA,0.008,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",14.9819223075505,4659,"SUPER",NA,NA,NA,NA,NA,2e-05,"0.1274",15
"5631",5631,7791,"NsiI.TP267317",1,63808055,1.83995236689864e-06,0.457547169811321,96,NA,NA,0.00146828198878511,NA,0.001,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",13.4431086087582,4660,"SUPER",NA,NA,NA,NA,NA,2e-06,"0.4575",13.4
"5632",5632,7788,"NsiI.TP403662",1,3957731,3.08211711348653e-08,0.117924528301887,96,NA,NA,9.83811782624901e-05,NA,1e-04,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",15.5243395021429,4661,"SUPER",NA,NA,NA,NA,NA,3e-08,"0.1179",15.5
"5633",5633,7793,"NsiI.TP440500",9,59299455,1.10752637929062e-05,0.0801886792452831,96,NA,NA,0.00589204033782612,NA,0.006,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",13.9824101705388,4662,"SUPER",NA,NA,NA,NA,NA,1e-05,"0.0802",14
"5634",5634,7795,"NsiI.TP453296",1,15160906,1.63713659461412e-05,0.113207547169811,96,NA,NA,0.00653217501251035,NA,0.007,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",15.2295002335072,4663,"SUPER",NA,NA,NA,NA,NA,2e-05,"0.1132",15.2
"5635",5635,7794,"NsiI.TP470396",7,65424581,1.58555470412417e-05,0.193396226415094,96,NA,NA,0.00653217501251035,NA,0.007,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",7.27965632132878,4664,"SUPER",NA,NA,NA,NA,NA,2e-05,"0.1934",7.28
"5636",5636,7810,"NsiI.TP688992",4,66776482,0.000221439318258866,0.089622641509434,96,NA,NA,0.0300575415256593,NA,0.03,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",7.75633714386446,4665,"SUPER",NA,NA,NA,NA,NA,2e-04,"0.0896",7.76
"5637",5637,7811,"PstI.TP1045835",11,7256,0.000227866497466614,0.0754716981132075,96,NA,NA,0.0300575415256593,NA,0.03,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",6.17295235330233,4666,"SUPER",NA,NA,NA,NA,NA,2e-04,"0.0755",6.17
"5638",5638,7809,"PstI.TP1277536",2,23996480,0.000203107164478127,0.0849056603773585,96,NA,NA,0.0294690031370082,NA,0.03,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",4.29027690600499,4667,"SUPER",NA,NA,NA,NA,NA,2e-04,"0.0849",4.29
"5639",5639,7801,"PstI.TP167190",7,62053736,8.50046790374258e-05,0.0707547169811321,96,NA,NA,0.0193810668205331,NA,0.02,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",3.19687469403396,4668,"SUPER",NA,NA,NA,NA,NA,9e-05,"0.0708",3.2
"5640",5640,7792,"PstI.TP242731",3,28459042,8.8316569781343e-06,0.0943396226415094,96,NA,NA,0.00563812981484094,NA,0.006,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",12.0906368044907,4669,"SUPER",NA,NA,NA,NA,NA,9e-06,"0.0943",12.1
"5641",5641,7815,"PstI.TP276751",1,80694115,0.000337993861183858,0.0566037735849056,96,NA,NA,0.0385313001749599,NA,0.04,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",8.79229388284135,4670,"SUPER",NA,NA,NA,NA,NA,3e-04,"0.0566",8.79
"5642",5642,7799,"PstI.TP420996",11,3261,3.14104474246931e-05,0.10377358490566,96,NA,NA,0.00835517901496837,NA,0.008,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",10.3418919540282,4671,"SUPER",NA,NA,NA,NA,NA,3e-05,"0.1038",10.3
"5643",5643,7789,"PstI.TP461927",1,9014162,7.0575122142066e-08,0.136792452830189,96,NA,NA,0.000112637894938737,NA,1e-04,"O106+4834","PS_Y","GAPIT","CMLM+SUPER","OWA",12.570299077235,4672,"SUPER",NA,NA,NA,NA,NA,7e-08,"0.1368",12.6
