7844,Sb02g038130,Sb02g038130,Sobic.002G361100,,Sb02g038130
7925,Sb02g040260,Sb02g040260,Sobic.002G386400,,Sb02g040260
8035,Sb02g040990,Sb02g040990,Sobic.002G394600,,Sb02g040990
8061,Sb02g043070,Sb02g043070,Sobic.002G419000,,Sb02g043070
8062,Sb02g043450,Sb02g043450,Sobic.002G423600,,Sb02g043450
8118,Sb02g043950,Sb02g043950,Sobic.002G429800,,Sb02g043950
8195,Sb02g043980,Sb02g043980,Sobic.002G430100,,Sb02g043980
8253,Sb03g001360,Sb03g001360,Sobic.003G013700,,Sb03g001360
8331,Sb03g003650,Sb03g003650,Sobic.003G040900,,Sb03g003650
8472,Sb03g004490,Sb03g004490,Sobic.003G051600,,Sb03g004490
8971,Sb03g008890,Sb03g008890,Sobic.003G105900,,Sb03g008890
9218,Sb03g011510,Sb03g011510,Sobic.003G135400,,Sb03g011510
9246,Sb03g011700,Sb03g011700,Sobic.003G137400,,Sb03g011700
9259,Sb03g011930,Sb03g011930,Sobic.003G140000,,Sb03g011930
9383,Sb03g013170,Sb03g013170,Sobic.003G151600,,Sb03g013170
11146,Sb03g024040,Sb03g024040,Sobic.003G182400,,Sb03g024040
11342,Sb03g026070,Sb03g026070,Sobic.003G198200,,Sb03g026070
11383,Sb03g028080,Sb03g028080,Sobic.003G222500,,Sb03g028080
11704,Sb03g028090,Sb03g028090,Sobic.003G222600,,Sb03g028090
11773,Sb03g028100,Sb03g028100,Sobic.003G222700,,Sb03g028100
11907,Sb03g029570,Sb03g029570,Sobic.003G238500,,Sb03g029570
12185,Sb03g030060,Sb03g030060,Sobic.003G244200,,Sb03g030060
12347,Sb03g030100,Sb03g030100,Sobic.003G244600,,Sb03g030100
12481,Sb03g034200,Sb03g034200,Sobic.003G291500,,Sb03g034200
12633,Sb03g037270,Sb03g037270,Sobic.003G326700,,Sb03g037270
12681,Sb03g037370,Sb03g037370,Sobic.003G327700,,Sb03g037370
13035,Sb03g037640,Sb03g037640,Sobic.003G330500,,Sb03g037640
13173,Sb03g038020,Sb03g038020,Sobic.003G336000,,Sb03g038020
13174,Sb03g038800,Sb03g038800,Sobic.003G344200,,Sb03g038800
13190,Sb03g039630,Sb03g039630,Sobic.003G354000,,Sb03g039630
13435,Sb03g039910,Sb03g039910,Sobic.003G356800,,Sb03g039910
13560,Sb03g040600,Sb03g040600,Sobic.003G364300,,Sb03g040600
14562,Sb03g043460,Sb03g043460,Sobic.003G397900,,Sb03g043460
14563,Sb03g044230,Sb03g044230,Sobic.003G407300,,Sb03g044230
14682,Sb03g045450,Sb03g045450,Sobic.003G421500,,Sb03g045450
15694,Sb03g045460,Sb03g045460,Sobic.003G421700,,Sb03g045460
15695,Sb03g045480,Sb03g045480,Sobic.003G421900,,Sb03g045480
15724,Sb03g045490,Sb03g045490,Sobic.003G422000,,Sb03g045490
15924,Sb03g045510,Sb03g045510,Sobic.003G422100,,Sb03g045510
15926,Sb03g045630,Sb03g045630,Sobic.003G423500,,Sb03g045630
16214,Sb03g047420,Sb03g047420,Sobic.003G444700,,Sb03g047420
16568,Sb04g000370,Sb04g000370,Sobic.004G002200,,Sb04g000370
16854,Sb04g001913,Sb04g001913,Sobic.004G020800,,Sb04g001913
16918,Sb04g001920,Sb04g001920,Sobic.004G021000,,Sb04g001920
17508,Sb04g004250,Sb04g004250,Sobic.004G049800,,Sb04g004250
17970,Sb04g007190,Sb04g007190,Sobic.004G086800,,Sb04g007190
18124,Sb04g009660,Sb04g009660,Sobic.004G116100,,Sb04g009660
18197,Sb04g010130,Sb04g010130,Sobic.004G121400,,Sb04g010130
18215,Sb04g021990,Sb04g021990,Sobic.004G168500,,Sb04g021990
18552,Sb04g025860,Sb04g025860,Sobic.004G213100,,Sb04g025860
18667,Sb04g027260,Sb04g027260,Sobic.004G228200,,Sb04g027260
19025,Sb04g027810,Sb04g027810,Sobic.004G235200,,Sb04g027810
19141,Sb04g027950,Sb04g027950,Sobic.004G237200,,Sb04g027950
19161,Sb04g030950,Sb04g030950,Sobic.004G272100,,Sb04g030950
19235,Sb04g031950,Sb04g031950,Sobic.004G283200,,Sb04g031950
19572,Sb04g035040,Sb04g035040,Sobic.004G319800,,Sb04g035040
19841,Sb04g036060,Sb04g036060,Sobic.004G331700,,Sb04g036060
19944,Sb04g036240,Sb04g036240,Sobic.004G334000,,Sb04g036240
20475,Sb04g036880,Sb04g036880,Sobic.004G341300,,Sb04g036880
20771,Sb05g000390,Sb05g000390,Sobic.005G002700,,Sb05g000390
20792,Sb05g000400,Sb05g000400,Sobic.005G002800,,Sb05g000400
20822,Sb05g000530,Sb05g000530,Sobic.005G004500,,Sb05g000530
20955,Sb05g002450,Sb05g002450,Sobic.005G029100,,Sb05g002450
21367,Sb05g003480,Sb05g003480,Sobic.005G042000,,Sb05g003480
21537,Sb05g017940,Sb05g017940,Sobic.005G121200,,Sb05g017940
21787,Sb05g017950,Sb05g017950,Sobic.005G121300,,Sb05g017950
21788,Sb05g019530,Sb05g019530,Sobic.005G131900,,Sb05g019530
21789,Sb05g027870,Sb05g027870,Sobic.005G231500,,Sb05g027870
21955,Sb05g027880,Sb05g027880,Sobic.005G231600,,Sb05g027880
22008,Sb06g016930,Sb06g016930,Sobic.006G082600,,Sb06g016930
22012,Sb06g018550,Sb06g018550,Sobic.006G102000,,Sb06g018550
22500,Sb06g018880,Sb06g018880,Sobic.006G105900,,Sb06g018880
22853,Sb06g021660,Sb06g021660,Sobic.006G137100,,Sb06g021660
22864,Sb06g022280,Sb06g022280,Sobic.006G143600,,Sb06g022280
22894,Sb06g023440,Sb06g023440,Sobic.006G157600,,Sb06g023440
22938,Sb06g025900,Sb06g025900,Sobic.006G184800,,Sb06g025900
23019,Sb06g027270,Sb06g027270,Sobic.006G200800,,Sb06g027270
23106,Sb06g028370,Sb06g028370,Sobic.006G213400,,Sb06g028370
23136,Sb06g029650,Sb06g029650,Sobic.006G228000,,Sb06g029650
23210,Sb06g030100,Sb06g030100,Sobic.006G233500,,Sb06g030100
23539,Sb06g033230,Sb06g033230,Sobic.006G270900,,Sb06g033230
23624,Sb07g000400,Sb07g000400,Sobic.007G002200,,Sb07g000400
23761,Sb07g001060,Sb07g001060,Sobic.007G010800,,Sb07g001060
23762,Sb07g001680,Sb07g001680,null,,Sb07g001680
23764,Sb07g002560,Sb07g002560,Sobic.007G029400,,Sb07g002560
23765,Sb07g002810,Sb07g002810,Sobic.007G032400,,Sb07g002810
23767,Sb07g002820,Sb07g002820,Sobic.007G032500,,Sb07g002820
23780,Sb07g003280,Sb07g003280,Sobic.007G038600,,Sb07g003280
23988,Sb07g003810,Sb07g003810,Sobic.007G046100,,Sb07g003810
24098,Sb07g004260,Sb07g004260,Sobic.007G052700,,Sb07g004260
24325,Sb07g004900,Sb07g004900,Sobic.007G061100,,Sb07g004900
24361,Sb07g006010,Sb07g006010,Sobic.007G075200,,Sb07g006010
24511,Sb07g019260,Sb07g019260,Sobic.007G116700,,Sb07g019260
24956,Sb07g021320,Sb07g021320,null,,Sb07g021320
25898,Sb07g021580,Sb07g021580,Sobic.007G140200,,Sb07g021580
25914,Sb07g021680,Sb07g021680,Sobic.007G141200,,Sb07g021680
26176,Sb07g022730,Sb07g022730,Sobic.007G153600,,Sb07g022730
26348,Sb08g000430,Sb08g000430,Sobic.008G002800,,Sb08g000430
26419,Sb08g000460,Sb08g000460,Sobic.008G003200,,Sb08g000460
27002,Sb08g000470,Sb08g000470,Sobic.008G003600,,Sb08g000470
27034,Sb08g000550,Sb08g000550,Sobic.008G004800,,Sb08g000550
27753,Sb08g004720,Sb08g004720,Sobic.008G055800,,Sb08g004720
27793,Sb08g005190,Sb08g005190,Sobic.008G062300,,Sb08g005190
28050,Sb08g005200,Sb08g005200,Sobic.008G062400,,Sb08g005200
28129,Sb08g005500,Sb08g005500,Sobic.008G066100,,Sb08g005500
28371,Sb08g009580,Sb08g009580,Sobic.008G088200,,Sb08g009580
28416,Sb08g016670,Sb08g016670,8G112800,,Sb08g016670
28479,Sb08g019670,Sb08g019670,Sobic.008G146700,,Sb08g019670
28482,Sb08g020080,Sb08g020080,Sobic.008G151600,,Sb08g020080
28601,Sb08g021180,Sb08g021180,Sobic.008G165900,,Sb08g021180
28648,Sb08g022740,Sb08g022740,Sobic.008G185900,,Sb08g022740
28713,Sb09g001310,Sb09g001310,Sobic.009G013400,,Sb09g001310
28724,Sb09g002320,Sb09g002320,Sobic.009G027800,,Sb09g002320
29165,Sb09g002840,Sb09g002840,Sobic.009G033600,,Sb09g002840
29166,Sb09g003050,Sb09g003050,Sobic.009G036000,,Sb09g003050
29271,Sb09g003060,Sb09g003060,Sobic.009G036100,,Sb09g003060
29385,Sb09g004470,Sb09g004470,Sobic.009G052600,,Sb09g004470
29471,Sb09g005140,Sb09g005140,Sobic.009G061200,,Sb09g005140
29722,Sb09g006110,Sb09g006110,Sobic.009G072700,,Sb09g006110
30039,Sb09g007910,Sb09g007910,Sobic.009G085200,,Sb09g007910
30262,Sb09g018730,Sb09g018730,Sobic.009G119200,,Sb09g018730
30395,Sb09g018750,Sb09g018750,Sobic.009G119400,,Sb09g018750
30553,Sb09g022230,Sb09g022230,Sobic.009G159400,,Sb09g022230
30720,Sb09g022410,Sb09g022410,Sobic.009G161800,,Sb09g022410
31038,Sb09g024320,Sb09g024320,Sobic.009G183400,,Sb09g024320
31175,Sb09g024340,Sb09g024340,Sobic.009G183700,,Sb09g024340
31203,Sb09g024840,Sb09g024840,Sobic.009G189400,,Sb09g024840
31446,Sb09g025890,Sb09g025890,Sobic.009G201400,,Sb09g025890
31448,Sb09g028230,Sb09g028230,Sobic.009G229400,,Sb09g028230
31507,Sb09g028710,Sb09g028710,Sobic.009G234500,,Sb09g028710
31544,Sb09g028860,Sb09g028860,Sobic.009G236100,,Sb09g028710
31549,Sb09g029240,Sb09g029240,Sobic.009G240700,,Sb09g028860
31776,Sb09g030600,Sb09g030600,Sobic.009G255900,,Sb09g029240
31790,Sb10g000980,Sb10g000980,Sobic.010G008600,,Sb09g030600
31926,Sb10g001120,Sb10g001120,Sobic.010G011200,,Sb10g000980
32065,Sb10g001270,Sb10g001270,Sobic.010G012800,,Sb10g001120
32167,Sb10g002070,Sb10g002070,Sobic.010G021800,,Sb10g001270
32189,Sb10g003310,Sb10g003310,Sobic.010G037300,,Sb10g002070
32214,Sb10g003810,Sb10g003810,Sobic.010G043200,,Sb10g003310
32432,Sb10g004950,Sb10g004950,Sobic.010G057300,,Sb10g003810
32530,Sb10g004960,Sb10g004960,Sobic.010G057400,,Sb10g004950
32560,Sb10g005700,Sb10g005700,Sobic.010G066000,,Sb10g004960
32686,Sb10g006330,Sb10g006330,Sobic.010G072300,,Sb10g005700
32692,Sb10g006450,Sb10g006450,Sobic.010G073700,,Sb10g006330
32718,Sb10g008020,Sb10g008020,Sobic.010G091900,,Sb10g006450
32857,Sb10g008960,Sb10g008960,Sobic.010G102800,,Sb10g008020
32867,Sb10g009520,Sb10g009520,Sobic.010G108900,,Sb10g008960
32907,Sb10g017820,Sb10g017820,Sobic.010G143500,,Sb10g009520
32998,Sb10g022270,Sb10g022270,Sobic.010G170000,,Sb10g017820
33154,Sb10g023290,Sb10g023290,Sobic.010G181500,,Sb10g022270
33311,Sb10g025040,Sb10g025040,Sobic.010G202500,,Sb10g023290
33431,Sb10g026910,Sb10g026910,Sobic.010G224000,,Sb10g025040
33521,Sb10g027490,Sb10g027490,Sobic.010G232500,,Sb10g026910
33602,Sb10g028550,Sb10g028550,Sobic.010G246400,,Sb10g027490
33823,Sb10g028580,Sb10g028580,Sobic.010G246700,,Sb10g028550
33852,Sb10g030240,Sb10g030240,Sobic.010G267400,,Sb10g028580
33887,Sb10g030260,Sb10g030260,Sobic.010G267600,,Sb10g030240
33923,Sb10g030840,Sb10g030840,Sobic.010G274500,,Sb10g030260
,,,,,Sb10g030840
