TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2013742	AT1G29390	AT1G29390.1	protein_coding	Integral membrane protein in the inner  envelope of chloroplasts. Provide  freezing tolerance.	COLD REGULATED 314 INNER MEMBRANE 2; COLD REGULATED 314 THYLAKOID MEMBRANE 2; COR314-TM2; COR413IM2	 mitochondrion, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cellular response to cold, chloroplast envelope, chloroplast thylakoid membrane, cold acclimation, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of chloroplast inner membrane, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, molecular function unknown, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2133558	AT4G08500	AT4G08500.1	protein_coding	Encodes a member of the A1 subgroup of the MEKK (MAPK/ERK kinase kinase) family. MEKK is another name for Mitogen-Activated Protein Kinase Kinase Kinase (MAPKKK or MAP3K).  This subgroup has four members: At4g08500 (MEKK1, also known as ARAKIN, MAP3Kb1, MAPKKK8), At4g08480 (MEKK2, also known as MAP3Kb4, MAPKKK9),  At4g08470 (MEKK3, also known as MAP3Kb3, MAPKKK10) and At4g12020 (MEKK4, also known as MAP3Kb5, MAPKKK11, WRKY19). Nomenclatures for mitogen-activated protein kinases are described in Trends in Plant Science 2002, 7(7):301. Mediates cold, salt, cadmium and wounding stress signalling. Phosphorylates MEK1.	ARAKIN; ATMEKK1; MAPK/ERK KINASE KINASE 1; MAPKKK8; MEKK1	 nucleus, cultured plant cell, ATP binding, DNA binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, MAP kinase kinase kinase activity, MAPK cascade, activation of protein kinase activity, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, endosome, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, innate immune response, kinase binding, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, pollen tube cell, protein autophosphorylation, protein binding, protein serine/threonine kinase activity, response to L-glutamate, response to cadmium ion, response to cold, response to osmotic stress, response to salt stress, response to wounding, root, root meristem growth, root system development, seed, sepal, shoot apex, shoot system, signal transduction by protein phosphorylation, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2007416	AT1G06960	AT1G06960.1	protein_coding	Similar to U2B'. Functions in  cold stress induced alternative splicing.	U2B"-LIKE; U2BL	 nucleus, Cajal body, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.12 twelve leaves visible stage, RNA binding, U2 snRNP, carpel, cauline leaf, cold acclimation, collective leaf structure, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA splicing, via spliceosome, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, root, seed, sepal, shoot apex, shoot system, spliceosomal complex, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2130608	AT4G16420	AT4G16420.1	protein_coding	Transcriptional co-activator. Essential for the developmental switch from cell proliferation to cell differentiation in response to variations in auxin and cytokinin concentrations.	ADA2B; HOMOLOG OF YEAST ADA2 2B; PROPORZ1; PRZ1	 nucleus, DNA binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, chromatin binding, chromatin remodeling, cold acclimation, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, histone acetyltransferase activity, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, portion of meristem tissue, positive regulation of histone acetylation, protein binding, regulation of cell population proliferation, regulation of transcription by RNA polymerase II, response to auxin, response to cytokinin, root, seed, sepal, shoot apex, shoot system, stamen, stem, transcription coactivator activity, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:3688643	AT1G10760	AT1G10760.1	protein_coding	Encodes an &#945;-glucan, water dikinase required for starch degradation. Involved  in cold-induced freezing tolerance. Mutations that eliminate the GWD protein or affect the dikinase domain of the enzyme dramatically reduce both the amount of phosphate in the amylopectin and the rate of starch degradation. Mature leaves of these mutants accumulate amounts of starch up to seven times greater than those in wild-type leaves. NMR analysis of the mutants, suggests that the gene is specifically involved in the phosphorylation of the glucosyl residues of starch at the C6 position.	GWD; GWD1; SEX1; SOP; SOP1; STARCH EXCESS 1	 chloroplast, chloroplast stroma, chloroplast envelope, vascular leaf, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, alpha-glucan, water dikinase activity, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast stroma, cold acclimation, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, maltodextrin water dikinase, mature plant embryo stage, metal ion binding, mitochondrion, petal, petal differentiation and expansion stage, petiole, phosphorylation, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, protein binding, response to symbiotic fungus, response to trehalose, root, seed, sepal, shoot apex, shoot system, stamen, starch catabolic process, starch, H2O dikinase activity, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532547451	AT3G61950	AT3G61950.5	protein_coding	MYC-type transcription factor which interacts with ICE1 and negatively regulates cold-responsive genes and cold tolerance.	MYC-TYPE TRANSCRIPTION FACTOR 67; MYC67	 nucleus, DNA binding, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cold acclimation, collective leaf structure, floral organ, flower, flower pedicel, flowering stage, guard cell, inflorescence meristem, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, protein binding, protein homodimerization activity, regulation of transcription, DNA-templated, rosette leaf, seed, sepal, shoot apex, shoot system, vascular leaf, vascular leaf senescent stage	true
Gene:6532549171	AT2G46810	AT2G46810.2	protein_coding	MYC-type transcription factor which interacts with ICE1 and negatively regulates cold-responsive genes and cold tolerance.	MYC-TYPE TRANSCRIPTION FACTOR 70; MYC70	 nucleus, DNA binding, DNA-binding transcription factor activity, cold acclimation, floral organ, guard cell, nucleus, protein binding, protein homodimerization activity, regulation of transcription, DNA-templated, rosette leaf	false
Gene:6530297354	AT4G04920	AT4G04920.2	protein_coding	Encodes a nuclear targeted protein that plays a role in the CBF pathway -downstream of CBF translation. Mutants have impaired cold responses, reduced levels of cold induced RNA transcripts, are sensitive to osmotic stress. Required for expression of CBF-controlled cold-upregulated genes and some, but not all, other cold up-regulated genes. Required for recruitment of the Mediator complex and RNA polymerase II to CBF-controlled cold-responsive genes. Required for expression of some dark-upregulated genes. SFR6 was isolated as a suppressor of cell wall defects in cob6 mutant background.	ATSFR6; GLASSY HAIR 2; GLH2; IEN1; INSENSITIVE TO EXOGENOUS NAD+ 1; MED16; MEDIATOR 16; SENSITIVE TO FREEZING 6; SFR6; YELLOW AND SENSITIVE TO IRON-DEFICIENCY 1; YID1	 nucleus, LP.04 four leaves visible stage, LP.08 eight leaves visible stage, carpel, circadian regulation of gene expression, cold acclimation, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf lamina base, mature plant embryo stage, molecular function unknown, nucleus, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, positive regulation of systemic acquired resistance, regulation of cell wall pectin metabolic process, regulation of ethylene-activated signaling pathway, regulation of jasmonic acid mediated signaling pathway, regulation of long-day photoperiodism, flowering, regulation of plant-type cell wall cellulose biosynthetic process, regulation of transcription, DNA-templated, response to osmotic stress, root, root development, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	false
Gene:2034375	AT1G20440	AT1G20440.1	protein_coding	Belongs to the dehydrin protein family, which contains highly conserved stretches of 7-17 residues that are repetitively scattered in their sequences, the K-, S-, Y- and lysine rich segments. Cold regulated gene, amino acid sequence homology with Group II LEA (late  embryogenesis abundant) proteins. Also responds to osmotic stress, ABA, dehydration and inhibits e.coli growth while overexpressed. COR47 and RAB18 double overexpressor plants are cold tolerant. Regulated by heat shock.	ATCOR47; COLD-REGULATED 47; COR47; RD17	 Golgi apparatus, cytosol, nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT Golgi apparatus, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, cytosol, defense response to fungus, flower, flower pedicel, flowering stage, guard cell, heat acclimation, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, membrane, molecular function unknown, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, response to abscisic acid, response to cold, response to heat, response to osmotic stress, response to water deprivation, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, trichome, vascular leaf, vascular leaf senescent stage	true
Gene:1005714680	AT3G07020	AT3G07020.2	protein_coding	encodes a 3beta-hydroxy sterol UDP-glucosyltransferase. ugt80a2 mutant plants have reduced steryl glycoside and acyl steryl glycoside levels and reduced seed size. ugt80a2/b1 double mutants have normal levels of celluose and normal cold stress tolerance.	SGT; STEROL GLUCOSYLTRANSFERASE; UDP-GLUCOSYL TRANSFERASE 80A2; UGT80A2	 plasma membrane, vascular leaf, cultured plant cell, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT cellulose biosynthetic process, NOT cold acclimation, beta-sitosterol UDP-glucosyltransferase activity, brassicasterol glucosyltransferase activity, carpel, cauline leaf, cholesterol allpha-glucosyltransferase activity, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, lipid glycosylation, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen tube cell, root, rosette leaf, seed, seed development, sepal, shoot apex, shoot system, soladodine glucosyltransferase activity, stamen, stem, sterol 3-beta-glucosyltransferase activity, sterol biosynthetic process, sterol metabolic process, transferase activity, transferring glycosyl groups, vascular leaf, vascular leaf senescent stage	true
Gene:1005715101	AT1G56070	AT1G56070.1	protein_coding	encodes a translation elongation factor 2-like protein that is involved in cold-induced translation. Mutations in this gene specifically blocks low temperature-induced transcription of cold-responsive genes but induces the expression of CBF genes and mutants carrying the recessive mutations fail to acclimate to cold and is freezing sensitive.	LOS1; LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 1	 Golgi apparatus, chloroplast, cytoplasm, cytosol, nucleolus, plasma membrane, plasmodesma, vacuolar membrane, copper ion binding, seed, cotyledon, root, vascular leaf, juvenile vascular leaf, plant callus, cultured plant cell, seedling development stage, GTP binding, GTPase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT Golgi apparatus, carpel, cauline leaf, chloroplast, cold acclimation, collective leaf structure, copper ion binding, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, mRNA binding, mature plant embryo stage, nucleolus, nucleus, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, pollen, response to cold, ribonucleoprotein complex, ribosome binding, root, rosette leaf, seed, seed development stage, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, translation elongation factor activity, translational elongation, trichome, vacuolar membrane, vascular bundle, vascular leaf, vascular leaf senescent stage	true
Gene:6532556110	AT1G77490	AT1G77490.2	protein_coding	Encodes a chloroplastic thylakoid ascorbate peroxidase tAPX.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms.		 chloroplast, L-ascorbate peroxidase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cellular response to oxidative stress, chloroplast, chloroplast thylakoid, chloroplast thylakoid membrane, chloroplast-nucleus signaling pathway, cold acclimation, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, heme binding, hydrogen peroxide catabolic process, hydrogen peroxide mediated signaling pathway, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, metal ion binding, mitochondrion, oxidation-reduction process, peroxidase activity, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, response to reactive oxygen species, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, thylakoid, vascular leaf, vascular leaf senescent stage	true
Gene:6532560683	AT5G50950	AT5G50950.4	protein_coding	Encodes a fumarase enzyme initially shown to be in the mitochondria through proteomic studies but later shown to be present in the cytosol using an RFP fluorescent protein tag. It appears to be important for the accumulation of fumarate from malate in leaves in the light, and helps to promote nitrogen assimilation under high nitrogen conditions. It does not appear to be necessary for lipid metabolism and seedling growth. Inhibition of fumarate accumulation results in an overall shift in the cold response of leaves, with a complete inhibition of cold acclimation of photosynthesis.		 L mature pollen stage, M germinated pollen stage, chloroplast, cold acclimation, cytosol, fumarate hydratase activity, fumarate metabolic process, guard cell, malate metabolic process, mitochondrion, nitrate assimilation, plastid, pollen, pollen tube cell, protein binding, protein tetramerization, regulation of photosynthesis, root, rosette leaf, tricarboxylic acid cycle, tricarboxylic acid cycle enzyme complex	true
Gene:3706515	AT4G25480	AT4G25480.1	protein_coding	Encodes a member of the DREB subfamily A-1 of ERF/AP2 transcription factor family (CBF3). The protein contains one AP2 domain. There are six members in this subfamily, including CBF1, CBF2, and CBF3. This gene is involved in response to low temperature and abscisic acid.	ATCBF3; C-REPEAT BINDING FACTOR  3; CBF3; DEHYDRATION RESPONSE ELEMENT B1A; DREB1A	 nucleus, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, fruit, guard cell, gynoecium, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, positive regulation of gene expression, protein binding, proximal promoter sequence-specific DNA binding, regulation of transcription, DNA-templated, response to cold, response to water deprivation, root, seed, sepal, shoot apex, stamen, stem, transcription regulatory region DNA binding, vascular leaf, vascular leaf senescent stage	true
