,,SB,GI
1212,Sb01g010420,Sb01g010420,Sobic.001G118100
1292,Sb01g011000,Sb01g011000,Sobic.001G125100
1313,Sb01g011030,Sb01g011030,Sobic.001G125700
1318,Sb01g011370,Sb01g011370,Sobic.001G129700
1372,Sb01g011500,Sb01g011500,Sobic.001G131200
1415,Sb01g011890,Sb01g011890,Sobic.001G136300
1420,Sb01g011900,Sb01g011900,Sobic.001G136400
1424,Sb01g012020,Sb01g012020,Sobic.001G137600
1434,Sb01g012050,Sb01g012050,Sobic.001G138000
1493,Sb01g012060,Sb01g012060,Sobic.001G138200
1639,Sb01g012100,Sb01g012100,Sobic.001G138600
1678,Sb01g012320,Sb01g012320,Sobic.001G141600
1688,Sb01g012460,Sb01g012460,Sobic.001G143100
1718,Sb01g012580,Sb01g012580,Sobic.001G144300
1735,Sb01g012590,Sb01g012590,Sobic.001G144400
1743,Sb01g012700,Sb01g012700,Sobic.001G145600
1763,Sb01g012710,Sb01g012710,Sobic.001G145700
1774,Sb01g012780,Sb01g012780,Sobic.001G146400
1775,Sb01g013060,Sb01g013060,Sobic.001G150200
1777,Sb01g013150,Sb01g013150,Sobic.001G151400
1778,Sb01g013300,Sb01g013300,Sobic.001G153200
1810,Sb01g013610,Sb01g013610,Sobic.001G156200
1816,Sb01g013650,Sb01g013650,Sobic.001G156600
1819,Sb01g013740,Sb01g013740,Sobic.001G157700
1867,Sb01g013760,Sb01g013760,Sobic.001G157900
1881,Sb01g013790,Sb01g013790,Sobic.001G158200
1884,Sb01g013840,Sb01g013840,Sobic.001G158700
1925,Sb01g013910,Sb01g013910,Sobic.001G159600
1950,Sb01g014020,Sb01g014020,Sobic.001G160500
1965,Sb01g014230,Sb01g014230,Sobic.001G162700
1991,Sb01g014250,Sb01g014250,Sobic.001G162900
2030,Sb01g014270,Sb01g014270,null
2047,Sb01g014400,Sb01g014400,null
2094,Sb01g014550,Sb01g014550,null
2096,Sb01g014560,Sb01g014560,Sobic.001G166500
2098,Sb01g014840,Sb01g014840,Sobic.001G169700
2131,Sb01g014890,Sb01g014890,Sobic.001G170300
2153,Sb01g015330,Sb01g015330,Sobic.001G176300
2195,Sb01g015640,Sb01g015640,null
2211,Sb01g015650,Sb01g015650,Sobic.001G179700
2249,Sb01g015680,Sb01g015680,Sobic.001G180200
2250,Sb01g015750,Sb01g015750,Sobic.001G181000
2266,Sb01g015870,Sb01g015870,null
2267,Sb01g015990,Sb01g015990,Sobic.001G184000
2281,Sb01g016390,Sb01g016390,Sobic.001G186500
2285,Sb01g016396,Sb01g016396,null
2298,Sb01g016450,Sb01g016450,Sobic.001G187300
2299,Sb01g016580,Sb01g016580,Sobic.001G188800
2345,Sb01g016620,Sb01g016620,Sobic.001G189200
2346,Sb01g016900,Sb01g016900,Sobic.001G192100
2372,Sb01g017380,Sb01g017380,null
2381,Sb01g017440,Sb01g017440,Sobic.001G198000
2410,Sb01g017520,Sb01g017520,Sobic.001G198800
2425,Sb01g017650,Sb01g017650,Sobic.001G200000
2455,Sb01g018490,Sb01g018490,Sobic.001G209300
2468,Sb01g018600,Sb01g018600,Sobic.001G210300
2471,Sb01g018740,Sb01g018740,Sobic.001G212000
2479,Sb01g018880,Sb01g018880,Sobic.001G213900
2488,Sb01g019200,Sb01g019200,Sobic.001G218400
2493,Sb01g019830,Sb01g019830,null
2495,Sb01g019850,Sb01g019850,Sobic.001G226600
2556,Sb01g020000,Sb01g020000,Sobic.001G228100
2564,Sb01g020300,Sb01g020300,Sobic.001G231600
2565,Sb01g020350,Sb01g020350,Sobic.001G232200
2589,Sb01g020380,Sb01g020380,Sobic.001G232500
2601,Sb01g020530,Sb01g020530,Sobic.001G234300
2611,Sb01g021110,Sb01g021110,Sobic.001G238500
2615,Sb01g021130,Sb01g021130,Sobic.001G238800
2624,Sb01g021190,Sb01g021190,null
2625,Sb01g021200,Sb01g021200,Sobic.001G239600
2632,Sb01g021450,Sb01g021450,Sobic.001G242600
2690,Sb01g021660,Sb01g021660,Sobic.001G244400
2698,Sb01g021870,Sb01g021870,Sobic.001G247300
2728,Sb01g021920,Sb01g021920,Sobic.001G247900
2741,Sb01g022070,Sb01g022070,Sobic.001G249500
2751,Sb01g022080,Sb01g022080,Sobic.001G249600
2781,Sb01g022300,Sb01g022300,null
2794,Sb01g022490,Sb01g022490,Sobic.001G254600
2813,Sb01g023050,Sb01g023050,Sobic.001G256700
2833,Sb01g023100,Sb01g023100,Sobic.001G257200
2845,Sb01g023320,Sb01g023320,Sobic.001G259600
2921,Sb01g023330,Sb01g023330,Sobic.001G259700
2948,Sb01g023431,Sb01g023431,Sobic.001G259900
2949,Sb01g025580,Sb01g025580,Sobic.001G264000
2958,Sb01g026170,Sb01g026170,Sobic.001G266100
2967,Sb01g026270,Sb01g026270,Sobic.001G267600
2969,Sb01g026290,Sb01g026290,null
2970,Sb01g026400,Sb01g026400,Sobic.001G268900
2982,Sb01g026600,Sb01g026600,Sobic.001G270900
2989,Sb01g026660,Sb01g026660,Sobic.001G271500
3002,Sb01g026720,Sb01g026720,Sobic.001G272900
3014,Sb01g026730,Sb01g026730,Sobic.001G273000
3015,Sb01g026780,Sb01g026780,null
3016,Sb01g027250,Sb01g027250,Sobic.001G276100
3017,Sb01g027480,Sb01g027480,Sobic.001G279300
3020,Sb01g027540,Sb01g027540,Sobic.001G280000
3021,Sb01g027570,Sb01g027570,Sobic.001G280200
3022,Sb01g027620,Sb01g027620,Sobic.001G280800
3031,Sb01g027960,Sb01g027960,Sobic.001G284600
3042,Sb01g028190,Sb01g028190,Sobic.001G287100
3045,Sb01g028270,Sb01g028270,Sobic.001G288200
3047,Sb01g028880,Sb01g028880,Sobic.001G295700
3059,Sb01g029080,Sb01g029080,Sobic.001G298400
3071,Sb01g029210,Sb01g029210,Sobic.001G300200
3107,Sb01g029220,Sb01g029220,Sobic.001G300300
3110,Sb01g029270,Sb01g029270,Sobic.001G300800
3113,Sb01g029340,Sb01g029340,Sobic.001G301600
3121,Sb01g029410,Sb01g029410,Sobic.001G302300
3124,Sb01g029620,Sb01g029620,null
3131,Sb01g029660,Sb01g029660,Sobic.001G304700
3178,Sb01g029900,Sb01g029900,Sobic.001G306600
3184,Sb01g029950,Sb01g029950,null
3261,Sb01g030345,Sb01g030345,Sobic.001G311200
3311,Sb01g030640,Sb01g030640,Sobic.001G315200
3324,Sb01g030810,Sb01g030810,Sobic.001G317400
3335,Sb01g031030,Sb01g031030,Sobic.001G319500
3347,Sb01g031040,Sb01g031040,Sobic.001G319600
3359,Sb01g031210,Sb01g031210,Sobic.001G321800
3367,Sb01g031250,Sb01g031250,Sobic.001G322200
3368,Sb01g031370,Sb01g031370,null
3393,Sb01g031460,Sb01g031460,null
3425,Sb01g031540,Sb01g031540,Sobic.001G325400
3443,Sb01g031850,Sb01g031850,Sobic.001G329400
3456,Sb01g031890,Sb01g031890,Sobic.001G330100
3458,Sb01g031900,Sb01g031900,Sobic.001G330200
3471,Sb01g031920,Sb01g031920,Sobic.001G330400
3481,Sb01g032040,Sb01g032040,Sobic.001G331500
3517,Sb01g032150,Sb01g032150,Sobic.001G332900
3528,Sb01g032300,Sb01g032300,null
3540,Sb01g032580,Sb01g032580,Sobic.001G338600
3576,Sb01g032590,Sb01g032590,Sobic.001G338700
3606,Sb01g032610,Sb01g032610,Sobic.001G339000
3622,Sb01g032630,Sb01g032630,Sobic.001G339200
3624,Sb01g032640,Sb01g032640,Sobic.001G339300
3631,Sb01g032920,Sb01g032920,null
3697,Sb01g032970,Sb01g032970,Sobic.001G343400
3703,Sb01g032990,Sb01g032990,null
3704,Sb01g033010,Sb01g033010,null
3769,Sb01g033040,Sb01g033040,Sobic.001G344300
3795,Sb01g033070,Sb01g033070,Sobic.001G344600
3813,Sb01g033150,Sb01g033150,Sobic.001G345400
4052,Sb01g033510,Sb01g033510,Sobic.001G350100
4092,Sb01g033620,Sb01g033620,Sobic.001G351400
4143,Sb01g033855,Sb01g033855,null
4146,Sb01g033970,Sb01g033970,Sobic.001G355300
4148,Sb01g033980,Sb01g033980,Sobic.001G355400
4151,Sb01g034190,Sb01g034190,Sobic.001G357900
4169,Sb01g034310,Sb01g034310,null
4207,Sb01g034320,Sb01g034320,null
4224,Sb01g034490,Sb01g034490,Sobic.001G361000
4232,Sb01g034610,Sb01g034610,Sobic.001G362500
4242,Sb01g034700,Sb01g034700,Sobic.001G363400
4282,Sb01g034710,Sb01g034710,Sobic.001G363700
4358,Sb01g034720,Sb01g034720,Sobic.001G364100
4365,Sb01g034830,Sb01g034830,null
4373,Sb01g035010,Sb01g035010,Sobic.001G367600
4392,Sb01g035040,Sb01g035040,Sobic.001G367900
4393,Sb01g035460,Sb01g035460,Sobic.001G373300
4442,Sb01g035570,Sb01g035570,Sobic.001G374600
4453,Sb01g035710,Sb01g035710,Sobic.001G376100
4474,Sb01g036180,Sb01g036180,Sobic.001G381300
4478,Sb01g036205,Sb01g036205,Sobic.001G381700
4483,Sb01g036240,Sb01g036240,Sobic.001G382100
4484,Sb01g036380,Sb01g036380,Sobic.001G383700
4485,Sb01g036560,Sb01g036560,Sobic.001G385800
4528,Sb01g036670,Sb01g036670,Sobic.001G386600
4568,Sb01g036700,Sb01g036700,Sobic.001G387000
4569,Sb01g037090,Sb01g037090,Sobic.001G391300
4575,Sb01g037290,Sb01g037290,Sobic.001G393600
4641,Sb01g037480,Sb01g037480,Sobic.001G395900
4663,Sb01g037560,Sb01g037560,Sobic.001G396900
4675,Sb01g037730,Sb01g037730,Sobic.001G398500
4712,Sb01g037850,Sb01g037850,Sobic.001G399900
4784,Sb01g037890,Sb01g037890,Sobic.001G400300
4805,Sb01g037920,Sb01g037920,null
4844,Sb01g037940,Sb01g037940,Sobic.001G400900
4885,Sb01g038020,Sb01g038020,Sobic.001G401800
4890,Sb01g038410,Sb01g038410,Sobic.001G406300
4896,Sb01g038520,Sb01g038520,Sobic.001G407800
4908,Sb01g038650,Sb01g038650,Sobic.001G409200
4932,Sb01g038670,Sb01g038670,Sobic.001G409400
4941,Sb01g038720,Sb01g038720,null
4946,Sb01g039360,Sb01g039360,Sobic.001G418200
4982,Sb01g039390,Sb01g039390,Sobic.001G418600
4986,Sb01g039990,Sb01g039990,Sobic.001G425500
4987,Sb01g040000,Sb01g040000,Sobic.001G425600
4990,Sb01g040030,Sb01g040030,Sobic.001G426000
4995,Sb01g040070,Sb01g040070,Sobic.001G426400
5031,Sb01g040100,Sb01g040100,Sobic.001G426800
5040,Sb01g040690,Sb01g040690,Sobic.001G432500
5052,Sb01g040700,Sb01g040700,Sobic.001G432600
5057,Sb01g040710,Sb01g040710,Sobic.001G432700
5064,Sb01g040720,Sb01g040720,Sobic.001G432800
5091,Sb01g040820,Sb01g040820,Sobic.001G434000
5115,Sb01g040910,Sb01g040910,Sobic.001G434800
5160,Sb01g041170,Sb01g041170,null
5185,Sb01g041180,Sb01g041180,Sobic.001G438000
5190,Sb01g041570,Sb01g041570,Sobic.001G442300
5191,Sb01g041920,Sb01g041920,Sobic.001G446100
5229,Sb01g042120,Sb01g042120,Sobic.001G448300
5241,Sb01g042160,Sb01g042160,Sobic.001G448500
5247,Sb01g042210,Sb01g042210,Sobic.001G449100
5259,Sb01g042330,Sb01g042330,null
5301,Sb01g043470,Sb01g043470,Sobic.001G463200
5305,Sb01g043530,Sb01g043530,Sobic.001G463900
5307,Sb01g043720,Sb01g043720,Sobic.001G466000
5310,Sb01g043910,Sb01g043910,Sobic.001G468400
5372,Sb01g044050,Sb01g044050,Sobic.001G470000
5379,Sb01g044290,Sb01g044290,Sobic.001G472800
5389,Sb01g044410,Sb01g044410,Sobic.001G473900
5419,Sb01g044810,Sb01g044810,Sobic.001G478400
5421,Sb01g044960,Sb01g044960,Sobic.001G480400
5426,Sb01g045030,Sb01g045030,Sobic.001G481100
5434,Sb01g045050,Sb01g045050,Sobic.001G481300
5439,Sb01g045170,Sb01g045170,null
5458,Sb01g045180,Sb01g045180,Sobic.001G482700
5494,Sb01g045190,Sb01g045190,Sobic.001G482800
5504,Sb01g045410,Sb01g045410,Sobic.001G485100
5516,Sb01g045420,Sb01g045420,Sobic.001G485200
5583,Sb01g045470,Sb01g045470,Sobic.001G485700
5613,Sb01g045620,Sb01g045620,Sobic.001G487600
5634,Sb01g045660,Sb01g045660,Sobic.001G488000
5644,Sb01g045750,Sb01g045750,Sobic.001G489000
5645,Sb01g045800,Sb01g045800,Sobic.001G489500
5669,Sb01g046120,Sb01g046120,Sobic.001G493500
5671,Sb01g046350,Sb01g046350,Sobic.001G496200
5686,Sb01g046670,Sb01g046670,Sobic.001G499600
5773,Sb01g046680,Sb01g046680,null
5774,Sb01g046730,Sb01g046730,Sobic.001G500200
5792,Sb01g046780,Sb01g046780,Sobic.001G500700
5828,Sb01g047250,Sb01g047250,Sobic.001G506100
5839,Sb01g047490,Sb01g047490,Sobic.001G508700
5866,Sb01g047780,Sb01g047780,Sobic.001G512100
5870,Sb01g048095,Sb01g048095,null
5874,Sb01g048100,Sb01g048100,Sobic.001G515500
5884,Sb01g048140,Sb01g048140,Sobic.001G516000
5889,Sb01g048280,Sb01g048280,Sobic.001G517700
5896,Sb01g048460,Sb01g048460,Sobic.001G519700
5911,Sb01g048470,Sb01g048470,Sobic.001G519800
5926,Sb01g048500,Sb01g048500,Sobic.001G520100
5929,Sb01g048565,Sb01g048565,null
5932,Sb01g048900,Sb01g048900,Sobic.001G525300
5968,Sb01g049030,Sb01g049030,Sobic.001G526900
5989,Sb01g049710,Sb01g049710,Sobic.001G533900
5997,Sb01g049800,Sb01g049800,Sobic.001G535200
6006,Sb01g049940,Sb01g049940,Sobic.001G536600
6032,Sb01g050080,Sb01g050080,Sobic.001G538100
6062,Sb01g050340,Sb01g050340,null
6068,Sb0283s002010,Sb0283s002010,Sobic.K027500
6100,Sb02g000210,Sb02g000210,Sobic.002G000300
6112,Sb02g000220,Sb02g000220,Sobic.002G000400
6121,Sb02g000230,Sb02g000230,Sobic.002G000500
6155,Sb02g000670,Sb02g000670,Sobic.002G005100
6200,Sb02g000930,Sb02g000930,Sobic.002G008300
6207,Sb02g001050,Sb02g001050,Sobic.002G009700
6251,Sb02g001140,Sb02g001140,Sobic.002G010700
6264,Sb02g001160,Sb02g001160,Sobic.002G010900
6269,Sb02g001280,Sb02g001280,null
6285,Sb02g001340,Sb02g001340,Sobic.002G012700
6286,Sb02g001370,Sb02g001370,Sobic.002G013000
6288,Sb02g001410,Sb02g001410,null
6293,Sb02g001460,Sb02g001460,Sobic.002G014500
6296,Sb02g001670,Sb02g001670,null
6297,Sb02g001970,Sb02g001970,Sobic.002G021300
6301,Sb02g002020,Sb02g002020,Sobic.002G021900
6302,Sb02g002150,Sb02g002150,Sobic.002G023300
6384,Sb02g002760,Sb02g002760,Sobic.002G031000
6390,Sb02g002830,Sb02g002830,Sobic.002G032700
6467,Sb02g002960,Sb02g002960,Sobic.002G033900
6486,Sb02g003010,Sb02g003010,Sobic.002G034500
6488,Sb02g003090,Sb02g003090,Sobic.002G035700
6529,Sb02g003130,Sb02g003130,Sobic.002G036100
6552,Sb02g003330,Sb02g003330,Sobic.002G038600
6572,Sb02g003436,Sb02g003436,Sobic.002G040100
6659,Sb02g003470,Sb02g003470,Sobic.002G040500
6663,Sb02g003510,Sb02g003510,Sobic.002G041000
6691,Sb02g003580,Sb02g003580,Sobic.002G041800
6727,Sb02g003600,Sb02g003600,Sobic.002G042000
6728,Sb02g003610,Sb02g003610,Sobic.002G042100
6734,Sb02g004000,Sb02g004000,Sobic.002G047400
6813,Sb02g004380,Sb02g004380,Sobic.002G052000
6835,Sb02g004470,Sb02g004470,Sobic.002G053200
6837,Sb02g005350,Sb02g005350,Sobic.002G064000
6841,Sb02g005380,Sb02g005380,Sobic.002G064500
6870,Sb02g005410,Sb02g005410,Sobic.002G064700
6878,Sb02g005500,Sb02g005500,Sobic.002G065700
6935,Sb02g005580,Sb02g005580,Sobic.002G066700
6938,Sb02g005600,Sb02g005600,Sobic.002G067000
6944,Sb02g006320,Sb02g006320,Sobic.002G075800
6981,Sb02g006920,Sb02g006920,Sobic.002G082800
7001,Sb02g007166,Sb02g007166,null
7004,Sb02g007280,Sb02g007280,Sobic.002G088200
7078,Sb02g007350,Sb02g007350,Sobic.002G088900
7125,Sb02g007360,Sb02g007360,Sobic.002G089100
7156,Sb02g007390,Sb02g007390,Sobic.002G089400
7171,Sb02g007650,Sb02g007650,Sobic.002G092500
7177,Sb02g007700,Sb02g007700,null
7215,Sb02g007730,Sb02g007730,Sobic.002G093500
7232,Sb02g007740,Sb02g007740,Sobic.002G093600
7252,Sb02g007750,Sb02g007750,Sobic.002G093700
7268,Sb02g007800,Sb02g007800,Sobic.002G094500
7290,Sb02g007965,Sb02g007965,Sobic.002G096800
7304,Sb02g007990,Sb02g007990,Sobic.002G097000
7358,Sb02g008065,Sb02g008065,null
7372,Sb02g008070,Sb02g008070,Sobic.002G097900
7384,Sb02g008130,Sb02g008130,Sobic.002G098900
7423,Sb02g008740,Sb02g008740,Sobic.002G102700
7426,Sb02g008900,Sb02g008900,Sobic.002G104600
7430,Sb02g009340,Sb02g009340,Sobic.002G109500
7434,Sb02g009660,Sb02g009660,Sobic.002G113100
7435,Sb02g009680,Sb02g009680,Sobic.002G113300
7473,Sb02g009720,Sb02g009720,Sobic.002G113700
7475,Sb02g009850,Sb02g009850,Sobic.002G115700
7493,Sb02g009870,Sb02g009870,Sobic.002G116000
7535,Sb02g010060,Sb02g010060,Sobic.002G117900
7547,Sb02g010065,Sb02g010065,null
7578,Sb02g010130,Sb02g010130,Sobic.002G118900
7579,Sb02g010730,Sb02g010730,Sobic.002G124500
7582,Sb02g010790,Sb02g010790,Sobic.002G125200
7598,Sb02g011050,Sb02g011050,Sobic.002G128400
7610,Sb02g011070,Sb02g011070,Sobic.002G128600
7616,Sb02g011100,Sb02g011100,Sobic.002G128700
7617,Sb02g011210,Sb02g011210,Sobic.002G130000
7619,Sb02g011340,Sb02g011340,Sobic.002G131800
7620,Sb02g011895,Sb02g011895,null
7621,Sb02g011990,Sb02g011990,null
7622,Sb02g012400,Sb02g012400,Sobic.002G137100
7625,Sb02g012910,Sb02g012910,Sobic.002G140300
7630,Sb02g015330,Sb02g015330,Sobic.002G146700
7676,Sb02g019490,Sb02g019490,Sobic.002G155900
7678,Sb02g019550,Sb02g019550,Sobic.002G156700
7691,Sb02g020030,Sb02g020030,Sobic.002G158300
7701,Sb02g020270,Sb02g020270,Sobic.002G158900
7710,Sb02g020430,Sb02g020430,Sobic.002G160600
7714,Sb02g020475,Sb02g020475,Sobic.002G161400
7741,Sb02g021490,Sb02g021490,Sobic.002G168800
7766,Sb02g022060,Sb02g022060,Sobic.002G171500
7767,Sb02g022230,Sb02g022230,Sobic.002G173500
7769,Sb02g022290,Sb02g022290,Sobic.002G174300
7795,Sb02g023210,Sb02g023210,Sobic.002G184200
7861,Sb02g023220,Sb02g023220,Sobic.002G184300
7875,Sb02g023250,Sb02g023250,Sobic.002G184500
7972,Sb02g023370,Sb02g023370,Sobic.002G185600
7997,Sb02g023630,Sb02g023630,Sobic.002G188700
7998,Sb02g023650,Sb02g023650,Sobic.002G189000
8014,Sb02g023770,Sb02g023770,Sobic.002G190300
8039,Sb02g023790,Sb02g023790,Sobic.002G190500
8064,Sb02g024170,Sb02g024170,Sobic.002G195000
8077,Sb02g024230,Sb02g024230,Sobic.002G195800
8087,Sb02g024760,Sb02g024760,Sobic.002G202700
8100,Sb02g024765,Sb02g024765,Sobic.002G202800
8105,Sb02g025150,Sb02g025150,Sobic.002G207000
8116,Sb02g025555,Sb02g025555,Sobic.002G212900
8117,Sb02g025675,Sb02g025675,Sobic.002G214300
8202,Sb02g025870,Sb02g025870,null
8209,Sb02g026070,Sb02g026070,Sobic.002G219200
8245,Sb02g026160,Sb02g026160,Sobic.002G220500
8281,Sb02g026530,Sb02g026530,Sobic.002G224500
8299,Sb02g026600,Sb02g026600,Sobic.002G225400
8303,Sb02g026620,Sb02g026620,null
8306,Sb02g026630,Sb02g026630,Sobic.002G225700
8307,Sb02g026680,Sb02g026680,Sobic.002G226400
8308,Sb02g027090,Sb02g027090,Sobic.002G231800
8310,Sb02g027250,Sb02g027250,Sobic.002G233300
8329,Sb02g027350,Sb02g027350,Sobic.002G234400
8333,Sb02g027570,Sb02g027570,Sobic.002G237900
8362,Sb02g027900,Sb02g027900,Sobic.002G242000
8371,Sb02g028000,Sb02g028000,Sobic.002G243000
8375,Sb02g028130,Sb02g028130,Sobic.002G244400
8390,Sb02g028200,Sb02g028200,Sobic.002G245300
8398,Sb02g028210,Sb02g028210,Sobic.002G245400
8405,Sb02g028370,Sb02g028370,Sobic.002G247200
8423,Sb02g028380,Sb02g028380,Sobic.002G247300
8430,Sb02g028540,Sb02g028540,Sobic.002G249500
8432,Sb02g028680,Sb02g028680,Sobic.002G251000
8436,Sb02g028900,Sb02g028900,Sobic.002G253400
8440,Sb02g028950,Sb02g028950,null
8445,Sb02g029220,Sb02g029220,Sobic.002G257100
8450,Sb02g029570,Sb02g029570,Sobic.002G261000
8451,Sb02g029580,Sb02g029580,Sobic.002G261100
8458,Sb02g029590,Sb02g029590,Sobic.002G261200
8467,Sb02g029940,Sb02g029940,Sobic.002G264800
8478,Sb02g030020,Sb02g030020,Sobic.002G265400
8481,Sb02g030060,Sb02g030060,Sobic.002G265900
8493,Sb02g030120,Sb02g030120,Sobic.002G267100
8494,Sb02g030300,Sb02g030300,Sobic.002G269000
8495,Sb02g030310,Sb02g030310,Sobic.002G269100
8496,Sb02g030320,Sb02g030320,Sobic.002G269300
8558,Sb02g030330,Sb02g030330,Sobic.002G269400
8619,Sb02g030340,Sb02g030340,Sobic.002G269500
8627,Sb02g030480,Sb02g030480,Sobic.002G271000
8628,Sb02g030500,Sb02g030500,Sobic.002G271200
8655,Sb02g030720,Sb02g030720,Sobic.002G273600
8683,Sb02g030730,Sb02g030730,Sobic.002G273700
8703,Sb02g030740,Sb02g030740,Sobic.002G273800
8827,Sb02g030880,Sb02g030880,Sobic.002G275200
8840,Sb02g031150,Sb02g031150,Sobic.002G278600
8850,Sb02g031160,Sb02g031160,Sobic.002G278700
8860,Sb02g031170,Sb02g031170,Sobic.002G278800
8887,Sb02g031390,Sb02g031390,Sobic.002G281000
8989,Sb02g031720,Sb02g031720,Sobic.002G284900
9037,Sb02g031770,Sb02g031770,Sobic.002G285300
9059,Sb02g031870,Sb02g031870,Sobic.002G286400
9071,Sb02g031940,Sb02g031940,Sobic.002G287000
9104,Sb02g031950,Sb02g031950,Sobic.002G287100
9111,Sb02g032080,Sb02g032080,Sobic.002G288900
9135,Sb02g032085,Sb02g032085,Sobic.002G289000
9143,Sb02g032300,Sb02g032300,Sobic.002G291700
9278,Sb02g032360,Sb02g032360,Sobic.002G292500
9280,Sb02g032580,Sb02g032580,Sobic.002G294500
9282,Sb02g032940,Sb02g032940,Sobic.002G298800
9289,Sb02g033080,Sb02g033080,Sobic.002G300100
9293,Sb02g033250,Sb02g033250,Sobic.002G302100
9305,Sb02g033400,Sb02g033400,Sobic.002G303700
9327,Sb02g033700,Sb02g033700,Sobic.002G306800
9340,Sb02g034050,Sb02g034050,Sobic.002G310800
9361,Sb02g034060,Sb02g034060,Sobic.002G310900
9374,Sb02g034090,Sb02g034090,Sobic.002G311200
9385,Sb02g034100,Sb02g034100,Sobic.002G311300
9398,Sb02g034370,Sb02g034370,Sobic.002G314300
9421,Sb02g034690,Sb02g034690,Sobic.002G318000
9422,Sb02g034930,Sb02g034930,Sobic.002G321100
9435,Sb02g034940,Sb02g034940,Sobic.002G321200
9436,Sb02g035020,Sb02g035020,Sobic.002G322600
9444,Sb02g035110,Sb02g035110,Sobic.002G323600
9445,Sb02g035140,Sb02g035140,Sobic.002G323900
9446,Sb02g035150,Sb02g035150,Sobic.002G324000
9474,Sb02g035200,Sb02g035200,Sobic.002G324500
9502,Sb02g035320,Sb02g035320,Sobic.002G326100
9509,Sb02g035440,Sb02g035440,Sobic.002G327700
9511,Sb02g035450,Sb02g035450,Sobic.002G327800
9513,Sb02g035530,Sb02g035530,Sobic.002G328800
9516,Sb02g035540,Sb02g035540,Sobic.002G328900
