"","V1"
"87","GFSSContig7235_407"
"88","GFSSContig19037_366"
"89","GFSSContig14156_604"
"90","GFSSContig20140_1961"
"91","GFSSContig11619_923"
"92","GFSSContig18367_562"
"93","GFSSContig20332_1836"
"94","GFSSContig19618_2015"
"95","GFSSContig16759_1172"
"96","GFSSContig19031_267"
"97","GFSSContig10862_580"
"98","GFSSContig17477_775"
"99","GFSSContig9726_926"
"100","GFSSContig18443_1437"
"101","GFk25ctg2347921_248"
"102","GFSSContig19146_697"
"103","GFSSContig16002_345"
"104","GFSSContig20018_1695"
"105","GFSSContig17549_819"
"106","GFSSContig17006_576"
"107","GFSSContig18404_380"
"108","GFSSContig3429_157"
"109","GFSSContig12299_294"
"110","GFSSContig2383_483"
"111","GFSSContig17883_3292"
"112","GFSSContig14716_1047"
"113","GFSSContig9424_249"
"114","GFSSContig12124_870"
"115","GFSSContig4415_344"
"116","GFSSContig11879_277"
"117","GFSSContig1614_738"
"118","GFSSContig5486_299"
"119","GFSSContig17910_784"
"120","GFSSContig17910_1353"
"121","GFSSContig14090_244"
"122","GFk50ctg173656_119"
"123","GFSSContig16256_300"
"124","GFSSContig11465_504"
"125","GFSSContig12703_673"
"126","GFSSContig17769_257"
"127","GFSSContig12794_648"
"128","GFSSContig19553_1853"
"129","GFSSContig12271_165"
"130","GFSSContig19896_719"
"131","GFSSContig20060_2192"
"132","GFSSContig13835_1414"
"133","GFSSContig19723_735"
"134","GFSSContig8275_336"
"135","GFSSContig17760_1991"
"136","GFSSContig10593_69"
"137","GFSSContig13202_231"
"138","GFSSContig13702_411"
"139","GFSSContig14674_1096"
"140","GFSSContig15237_626"
"141","GFSSContig10620_391"
"142","GFSSContig10620_634"
"143","GFSSContig20069_834"
"144","GFSSContig18167_254"
"145","GFk40ctg540920_180"
"146","GFSSContig18486_678"
"147","GFSSContig11715_952"
"148","GFSSContig473"
"149","GFSSContig19953_1437"
"150","GFSSContig14160_179"
"151","GFSSContig14160_962"
"152","GFSSContig17612_773"
"153","GFSSContig3855_930"
"154","GFSSContig775_598"
"155","GFSSContig5557_72"
"156","GFSSContig14210_1233"
"157","GFSSContig12527_197"
"158","GFSSContig10741_1216"
"159","SSk50ctg79047_102"
"160","GFSSContig5800_117"
"161","GFSSContig4458_856"
"162","SSk40ctg268352_219"
"163","GFSSContig19880_1376"
"164","GFSSContig19818_1869"
"165","GFSSContig20515_639"
"166","GFk50ctg127857_253"
"167","GFSSContig20112_1572"
"168","GFSSContig11128_893"
"169","GFSSContig10511_296"
"170","GFSSContig18141_379"
"171","GFSSContig18394_720"
"172","GFk45ctg47373_237"
"173","GFSSContig6446_373"
"174","GFSSContig2914_315"
"175","GFSSContig14223_306"
"176","GFSSContig17930_1907"
"177","GFSSContig19151_2029"
"178","GFSSContig16982_1242"
"179","GFSSContig15731_814"
"180","GFSSContig15731_680"
"181","GFSSContig19333_2734"
"182","GFSSContig20076_2471"
"183","GFSSContig14712_247"
"184","GFSSContig15080_288"
"185","GFSSContig20589_1320"
"186","GFSSContig15044_1090"
"187","GFSSContig13121_533"
"188","GFSSContig17278_2352"
"189","GFSSContig8400_100"
"190","GFSSContig20368_1202"
"191","GFSSContig20368_1365"
"192","GFSSContig19193_773"
"193","GFSSContig12613_658"
"194","GFSSContig2301_308"
"195","GFSSContig18299_1838"
"196","GFSSContig15381_363"
"197","GFSSContig19297_2392"
"198","GFk45ctg179201_418"
"199","GFSSContig16567_1127"
"200","GFSSContig1697_227"
"201","GFk45ctg296738_328"
"202","GFSSContig18484_975"
"203","GFSSContig19061_572"
"204","GFSSContig7525_157"
"205","GFSSContig10781_370"
"206","GFSSContig16978_83"
"207","GFSSContig19043"
"208","GFSSContig19730_2443"
"209","GFSSContig15964_682"
"210","GFSSContig12142_295"
"211","GFSSContig18615_2488"
"212","GFSSContig20528_2057"
"213","GFSSContig18947_1253"
"214","GFSSContig11593_662"
"215","GFSSContig3341_337"
"216","GFSSContig9551_264"
"217","GFSSContig17394_1831"
"218","GFSSContig20426_150"
"219","GFSSContig19603_1415"
"220","GFSSContig6638_165"
"221","GFSSContig11762_328"
"222","GFSSContig20291_500"
"223","GFSSContig11905_521"
"224","GFSSContig19131_53"
"225","GFSSContig16654_1653"
"226","GFSSContig20159_1535"
"227","GFSSContig20159_876"
"228","GFSSContig4839_373"
"229","GFSSContig15802_503"
"230","GFSSContig16380_877"
"231","GFSSContig12774_2120"
"232","GFSSContig19830_1349"
"233","GFSSContig15624_913"
"234","GFSSContig12176_444"
"235","GFSSContig16952_694"
"236","GFSSContig18633_1798"
"237","GFSSContig8931_556"
"238","GFSSContig11759_1658"
"239","GFk40ctg430575_109"
"240","GFSSContig13634_134"
"241","GFSSContig18919_2493"
"242","GFSSContig20569_1650"
"243","GFSSContig18408_1087"
"244","GFSSContig15446_474"
"245","GFSSContig8940_858"
"246","GFSSContig18771_265"
"247","GFSSContig18860_1155"
"248","GFSSContig18151_375"
"249","GFSSContig12466_180"
"250","GFSSContig17884_1449"
"251","GFSSContig7101_918"
"252","GFSSContig12235_573"
"253","GFSSContig16289_1017"
"254","GFSSContig7649_1236"
"255","GFSSContig1840_351"
"256","GFSSContig13754_1668"
"257","GFSSContig14725_908"
"258","GFSSContig12810_225"
"259","GFSSContig17265_1038"
"260","GFSSContig17265_575"
"261","GFk40ctg9752_150"
"262","GFSSContig12763_195"
"263","GFSSContig13409_253"
"264","GFSSContig9469_436"
"265","GFSSContig9469_613"
"266","GFSSContig9469_821"
"267","GFSSContig6121_100"
"268","GFSSContig10367_393"
"269","GFSSContig7996_485"
"270","GFSSContig16360_390"
"271","GFSSContig20506_2030"
"272","GFSSContig13208_795"
"273","GFSSContig17173_502"
"274","GFSSContig13400_323"
"275","GFSSContig12512_154"
"276","GFSSContig14690_690"
"277","SSk45ctg267941_175"
"278","GFSSContig14923_586"
"279","GFSSContig19719_251"
"280","GFSSContig19690_2175"
"281","GFk35ctg307257_202"
"282","GFSSContig11513_84"
"283","GFSSContig5034_412"
"284","GFSSContig18858_1415"
"285","GFSSContig18221_1150"
"286","GFSSContig16422_1031"
"287","GFSSContig19414_135"
"288","GFSSContig16458_1714"
"289","GFSSContig2952_216"
"290","GFSSContig19005_876"
"291","GFSSContig12567_692"
"292","GFSSContig16049_1267"
"293","GFSSContig18047_927"
"294","GFSSContig1966_308"
"295","GFSSContig12698_1019"
"296","GFk35ctg648025_353"
"297","GFSSContig18052_1167"
"298","GFSSContig18799_764"
"299","GFSSContig18994_311"
"300","GFSSContig8643_492"
"301","GFSSContig16609_920"
"302","GFSSContig18109_864"
"303","GFSSContig1405_481"
"304","GFSSContig13612_465"
"305","GFSSContig18384_1020"
"306","GFSSContig4757_256"
"307","GFSSContig17337_2234"
"308","GFSSContig19936_919"
"309","GFSSContig19668_777"
"310","GFSSContig19372_585"
"311","GFk45ctg342913_247"
"312","GFk40ctg229781_98"
"313","GFSSContig16447_152"
"314","GFSSContig19900_1921"
"315","GFSSContig12663_1010"
"316","GFSSContig19170_462"
"317","GFSSContig10135_1021"
"318","GFSSContig12706_492"
"319","GFSSContig19750_4048"
"320","GFSSContig19351_2904"
"321","GFSSContig18297_1609"
"322","GFSSContig20436_3127"
"323","GFSSContig16444_1496"
"324","GFSSContig17231_501"
"325","GFSSContig20039_958"
"326","GFSSContig9146_190"
"327","GFSSContig15396_715"
"328","GFSSContig14673_1168"
"329","GFk25ctg2814516_120"
"330","GFSSContig13472_457"
"331","GFSSContig17529_775"
"332","GFSSContig15761_607"
"333","GFSSContig12642_472"
"334","GFSSContig9297_330"
"335","GFSSContig8210_372"
"336","GFk40ctg144164_473"
"337","GFSSContig11849_357"
"338","GFSSContig18320_993"
"339","GFSSContig8648_564"
"340","GFSSContig4481_255"
"341","GFSSContig16403_979"
"342","GFSSContig9415_98"
"343","GFSSContig18335_922"
"344","GFSSContig4096_351"
"345","GFSSContig19578_877"
"346","GFSSContig18701_954"
"347","GFSSContig18701_2097"
"348","GFSSContig16774_1273"
"349","GFSSContig2426_408"
"350","GFSSmeganDLF1_1"
"351","GFSSContig9550_549"
"352","GFSSContig18315_975"
"353","GFSSContig15868_1101"
"354","GFSSContig10339_597"
"355","GFk40ctg123299_208"
"356","GFSSContig5277_533"
"357","GFSSContig16921_632"
"358","GFSSContig20403_1940"
"359","GFSSContig16226_576"
"360","GFSSContig18763_1001"
"361","GFSSContig15563_263"
"362","GFSSContig3933_570"
"363","GFk50ctg317996_319"
"364","GFSSContig13484_518"
"365","GFSSContig11810_723"
"366","GFSSContig10247_485"
"367","GFSSContig16519_974"
"368","GFSSContig16519_1139"
"369","GFSSContig18533_925"
"370","GFSSContig16121_677"
"371","GFSSContig20421_1653"
"372","GFSSContig18342_909"
"373","GFSSContig20177_2650"
"374","GFSSContig12758_758"
"375","GFSSContig18577_709"
"376","GFSSContig11002_434"
"377","GFSSContig13376_1381"
"378","GFk40ctg349904_126"
"379","GFSSContig19948_1337"
"380","GFSSContig4510_767"
"381","GFSSContig19122_1111"
"382","GFSSContig18986_1716"
"383","GFSSContig7223_314"
"384","GFSSContig8083_743"
"385","GFSSContig17850_1447"
"386","GFSSContig20137_812"
"387","GFk50ctg18383_265"
"388","GFSSContig19588_253"
"389","GFSSContig5387_711"
"390","GFSSContig20006_1334"
"391","GFSSContig13679_522"
"392","GFSSContig13073_887"
"393","GFSSContig20378_1618"
"394","GFSSContig17419_591"
"395","GFSSContig20549_800"
"396","PstI-TP80"
"397","PstI-TP105"
"398","PstI-TP111"
"399","PstI-TP210"
"400","PstI-TP224"
"401","PstI-TP272"
"402","PstI-TP276"
"403","PstI-TP309"
"404","PstI-TP390"
"405","PstI-TP428"
"406","PstI-TP539"
"407","PstI-TP541"
"408","PstI-TP666"
"409","PstI-TP698"
"410","PstI-TP784"
"411","PstI-TP796"
"412","PstI-TP829"
"413","PstI-TP851"
"414","PstI-TP882"
"415","PstI-TP901"
"416","PstI-TP1061"
"417","PstI-TP1079"
"418","PstI-TP1090"
"419","PstI-TP1160"
"420","PstI-TP1166"
"421","PstI-TP1206"
"422","PstI-TP1221"
"423","PstI-TP1251"
"424","PstI-TP1257"
"425","PstI-TP1270"
"426","PstI-TP1281"
"427","PstI-TP1285"
"428","PstI-TP1332"
"429","PstI-TP1552"
"430","PstI-TP1581"
"431","PstI-TP1588"
"432","PstI-TP1605"
"433","PstI-TP1711"
"434","PstI-TP1716"
"435","PstI-TP1731"
"436","PstI-TP2006"
"437","PstI-TP2084"
"438","PstI-TP2165"
"439","PstI-TP2175"
"440","PstI-TP2179"
"441","PstI-TP2196"
"442","PstI-TP2212"
"443","PstI-TP2218"
"444","PstI-TP2261"
"445","PstI-TP2338"
"446","PstI-TP2447"
"447","PstI-TP2449"
"448","PstI-TP2513"
"449","PstI-TP3770"
"450","PstI-TP3849"
"451","PstI-TP3877"
"452","PstI-TP3955"
"453","PstI-TP4022"
"454","PstI-TP4025"
"455","PstI-TP4051"
"456","PstI-TP4061"
"457","PstI-TP4086"
"458","PstI-TP4106"
"459","PstI-TP4149"
"460","PstI-TP4159"
"461","PstI-TP4184"
"462","PstI-TP4186"
"463","PstI-TP4230"
"464","PstI-TP4233"
"465","PstI-TP4279"
"466","PstI-TP4385"
"467","PstI-TP4445"
"468","PstI-TP4455"
"469","PstI-TP4501"
"470","PstI-TP4516"
"471","PstI-TP4521"
"472","PstI-TP4546"
"473","PstI-TP4547"
"474","PstI-TP4553"
"475","PstI-TP4570"
"476","PstI-TP4635"
"477","PstI-TP4691"
"478","PstI-TP4742"
"479","PstI-TP4743"
"480","PstI-TP4787"
"481","PstI-TP4797"
"482","PstI-TP4803"
"483","PstI-TP4837"
"484","PstI-TP4842"
"485","PstI-TP4851"
"486","PstI-TP4857"
"487","PstI-TP4865"
"488","PstI-TP4963"
"489","PstI-TP4998"
"490","PstI-TP5049"
"491","PstI-TP5073"
"492","PstI-TP5079"
"493","PstI-TP5100"
"494","PstI-TP5140"
"495","PstI-TP5164"
"496","PstI-TP5181"
"497","PstI-TP5214"
"498","PstI-TP5218"
"499","PstI-TP5232"
"500","PstI-TP5235"
"501","PstI-TP5302"
"502","PstI-TP5324"
"503","PstI-TP5327"
"504","PstI-TP5370"
"505","PstI-TP5387"
"506","PstI-TP5394"
"507","PstI-TP5399"
"508","PstI-TP5429"
"509","PstI-TP5441"
"510","PstI-TP5539"
"511","PstI-TP5619"
"512","PstI-TP5650"
"513","PstI-TP5684"
"514","PstI-TP5699"
"515","PstI-TP5706"
"516","PstI-TP5709"
"517","PstI-TP5716"
"518","PstI-TP5755"
"519","PstI-TP5857"
"520","PstI-TP5861"
"521","PstI-TP5871"
"522","PstI-TP5904"
"523","PstI-TP5918"
"524","PstI-TP5927"
"525","PstI-TP5950"
"526","PstI-TP6025"
"527","PstI-TP6027"
"528","PstI-TP6036"
"529","PstI-TP6058"
"530","PstI-TP6133"
"531","PstI-TP6170"
"532","PstI-TP6191"
"533","PstI-TP6271"
"534","PstI-TP6273"
"535","PstI-TP6282"
"536","PstI-TP6283"
"537","PstI-TP6380"
"538","PstI-TP6417"
"539","PstI-TP6439"
"540","PstI-TP6445"
"541","PstI-TP6461"
"542","PstI-TP6462"
"543","PstI-TP6513"
"544","PstI-TP6534"
"545","PstI-TP6568"
"546","PstI-TP6580"
"547","PstI-TP6590"
"548","PstI-TP6606"
"549","PstI-TP6645"
"550","PstI-TP6727"
"551","PstI-TP6815"
"552","PstI-TP6837"
"553","PstI-TP6918"
"554","PstI-TP6935"
"555","PstI-TP6963"
"556","PstI-TP6990"
"557","PstI-TP7017"
"558","PstI-TP7019"
"559","PstI-TP7045"
"560","PstI-TP7100"
"561","PstI-TP7115"
"562","PstI-TP7140"
"563","PstI-TP7148"
"564","PstI-TP7177"
"565","PstI-TP7209"
"566","PstI-TP7215"
"567","PstI-TP7227"
"568","PstI-TP7230"
"569","PstI-TP7355"
"570","PstI-TP7401"
"571","PstI-TP7404"
"572","PstI-TP7528"
"573","PstI-TP7533"
"574","PstI-TP7548"
"575","PstI-TP7577"
"576","PstI-TP7619"
"577","PstI-TP7620"
"578","PstI-TP7632"
"579","PstI-TP7735"
"580","PstI-TP7738"
"581","PstI-TP7752"
"582","PstI-TP7761"
"583","PstI-TP7763"
"584","PstI-TP7777"
"585","PstI-TP7858"
"586","PstI-TP7916"
"587","PstI-TP7926"
"588","PstI-TP7949"
"589","PstI-TP8007"
"590","PstI-TP8011"
"591","PstI-TP8024"
"592","PstI-TP8042"
"593","PstI-TP8057"
"594","PstI-TP8087"
"595","PstI-TP8132"
"596","PstI-TP8168"
"597","PstI-TP8195"
"598","PstI-TP8220"
"599","PstI-TP8259"
"600","PstI-TP8307"
"601","PstI-TP8376"
"602","PstI-TP8394"
"603","PstI-TP8468"
"604","PstI-TP8539"
"605","PstI-TP8566"
"606","PstI-TP8592"
"607","PstI-TP8639"
"608","PstI-TP8646"
"609","PstI-TP8659"
"610","PstI-TP8667"
"611","PstI-TP8678"
"612","PstI-TP8679"
"613","PstI-TP8703"
"614","PstI-TP8762"
"615","PstI-TP8773"
"616","PstI-TP8776"
"617","PstI-TP8793"
"618","PstI-TP8807"
"619","PstI-TP8846"
"620","PstI-TP8881"
"621","PstI-TP8915"
"622","PstI-TP8931"
"623","PstI-TP8949"
"624","PstI-TP8970"
"625","PstI-TP8983"
"626","PstI-TP9065"
"627","PstI-TP9068"
"628","PstI-TP9079"
"629","PstI-TP9082"
"630","PstI-TP9098"
"631","PstI-TP9117"
"632","PstI-TP9123"
"633","PstI-TP9129"
"634","PstI-TP9218"
"635","PstI-TP9222"
"636","PstI-TP9228"
"637","PstI-TP9243"
"638","PstI-TP9255"
"639","PstI-TP9257"
"640","PstI-TP9318"
"641","PstI-TP9327"
"642","PstI-TP9330"
"643","PstI-TP9336"
"644","PstI-TP9341"
"645","PstI-TP9355"
"646","PstI-TP9378"
"647","PstI-TP9443"
"648","PstI-TP9452"
"649","PstI-TP9466"
"650","PstI-TP9467"
"651","PstI-TP9469"
"652","PstI-TP9509"
"653","PstI-TP9547"
"654","PstI-TP9549"
"655","PstI-TP9561"
"656","PstI-TP9673"
"657","PstI-TP9697"
"658","PstI-TP9732"
"659","PstI-TP9748"
"660","PstI-TP9753"
"661","PstI-TP9793"
"662","PstI-TP9799"
"663","PstI-TP9838"
"664","PstI-TP9859"
"665","PstI-TP9962"
"666","PstI-TP10045"
"667","PstI-TP10055"
"668","PstI-TP10059"
"669","PstI-TP10109"
"670","PstI-TP10115"
"671","PstI-TP10120"
"672","PstI-TP10128"
"673","PstI-TP10152"
"674","PstI-TP10175"
"675","PstI-TP10237"
"676","PstI-TP10244"
"677","PstI-TP10284"
"678","PstI-TP10309"
"679","PstI-TP10310"
"680","PstI-TP10352"
"681","PstI-TP10354"
"682","PstI-TP10379"
"683","PstI-TP10382"
"684","PstI-TP10427"
"685","PstI-TP10461"
"686","PstI-TP10464"
"687","PstI-TP10471"
"688","PstI-TP10495"
"689","PstI-TP10501"
"690","PstI-TP10544"
"691","PstI-TP10552"
"692","PstI-TP10553"
"693","PstI-TP10606"
"694","PstI-TP10616"
"695","PstI-TP10645"
"696","PstI-TP10691"
"697","PstI-TP10692"
"698","PstI-TP10713"
"699","PstI-TP10724"
"700","PstI-TP10763"
"701","PstI-TP10764"
"702","PstI-TP10820"
"703","PstI-TP10834"
"704","PstI-TP10841"
"705","PstI-TP10852"
"706","PstI-TP10880"
"707","PstI-TP10894"
"708","PstI-TP10899"
"709","PstI-TP10901"
"710","PstI-TP10906"
"711","PstI-TP10936"
"712","PstI-TP10962"
"713","PstI-TP10996"
"714","PstI-TP10997"
"715","PstI-TP11042"
"716","PstI-TP11060"
"717","PstI-TP11070"
"718","PstI-TP11079"
"719","PstI-TP11080"
"720","PstI-TP11126"
"721","PstI-TP11152"
"722","PstI-TP11154"
"723","PstI-TP11162"
"724","PstI-TP11230"
"725","PstI-TP11240"
"726","PstI-TP11248"
"727","PstI-TP11543"
"728","PstI-TP11553"
"729","PstI-TP11565"
"730","PstI-TP11764"
"731","PstI-TP11786"
"732","PstI-TP11812"
"733","PstI-TP11835"
"734","PstI-TP11838"
"735","PstI-TP11868"
"736","PstI-TP11880"
"737","PstI-TP11912"
"738","PstI-TP11939"
"739","PstI-TP12056"
"740","PstI-TP12084"
"741","PstI-TP12145"
"742","PstI-TP12165"
"743","PstI-TP12197"
"744","PstI-TP12220"
"745","PstI-TP12228"
"746","PstI-TP12237"
"747","PstI-TP12247"
"748","PstI-TP12252"
"749","PstI-TP12300"
"750","PstI-TP12303"
"751","PstI-TP12347"
"752","PstI-TP12356"
"753","PstI-TP12358"
"754","PstI-TP12395"
"755","PstI-TP12432"
"756","PstI-TP12451"
"757","PstI-TP12467"
"758","PstI-TP12504"
"759","PstI-TP12508"
"760","PstI-TP12517"
"761","PstI-TP12521"
"762","PstI-TP12544"
"763","PstI-TP12553"
"764","PstI-TP12575"
"765","PstI-TP12619"
"766","PstI-TP12650"
"767","PstI-TP12670"
"768","PstI-TP12718"
"769","PstI-TP12740"
"770","PstI-TP12746"
"771","PstI-TP12754"
"772","PstI-TP12767"
"773","PstI-TP12783"
"774","PstI-TP12832"
"775","PstI-TP12840"
"776","PstI-TP12858"
"777","PstI-TP12893"
"778","PstI-TP12910"
"779","PstI-TP12920"
"780","PstI-TP12968"
"781","PstI-TP12971"
"782","PstI-TP12981"
"783","PstI-TP13042"
"784","PstI-TP13053"
"785","PstI-TP13077"
"786","PstI-TP13101"
"787","PstI-TP13145"
"788","PstI-TP13162"
"789","PstI-TP13203"
"790","PstI-TP13205"
"791","PstI-TP13224"
"792","PstI-TP13231"
"793","PstI-TP13311"
"794","PstI-TP13330"
"795","PstI-TP13346"
"796","PstI-TP13354"
"797","PstI-TP13355"
"798","PstI-TP13359"
"799","PstI-TP13387"
"800","PstI-TP13393"
"801","PstI-TP13397"
"802","PstI-TP13436"
"803","PstI-TP13448"
"804","PstI-TP13471"
"805","PstI-TP13498"
"806","PstI-TP13558"
"807","PstI-TP13564"
"808","PstI-TP13593"
"809","PstI-TP13618"
"810","PstI-TP13629"
"811","PstI-TP13650"
"812","PstI-TP13656"
"813","PstI-TP13666"
"814","PstI-TP13739"
"815","PstI-TP13787"
"816","PstI-TP13814"
"817","PstI-TP13833"
"818","PstI-TP13843"
"819","PstI-TP13943"
"820","PstI-TP13949"
"821","PstI-TP13958"
"822","PstI-TP14048"
"823","PstI-TP14082"
"824","PstI-TP14085"
"825","PstI-TP14094"
"826","PstI-TP14098"
"827","PstI-TP14152"
"828","PstI-TP14186"
"829","PstI-TP14194"
"830","PstI-TP14195"
"831","PstI-TP14210"
"832","PstI-TP14229"
"833","PstI-TP14292"
"834","PstI-TP14296"
"835","PstI-TP14371"
"836","PstI-TP14388"
"837","PstI-TP14413"
"838","PstI-TP14420"
"839","PstI-TP14467"
"840","PstI-TP14516"
"841","PstI-TP14582"
"842","PstI-TP14623"
"843","PstI-TP14631"
"844","PstI-TP14686"
"845","PstI-TP14722"
"846","PstI-TP14727"
"847","PstI-TP14771"
"848","PstI-TP14775"
"849","PstI-TP14788"
"850","PstI-TP14830"
"851","PstI-TP14842"
"852","PstI-TP14846"
"853","PstI-TP14886"
"854","PstI-TP14891"
"855","PstI-TP14900"
"856","PstI-TP14915"
"857","PstI-TP15018"
"858","PstI-TP15026"
"859","PstI-TP15027"
"860","PstI-TP15074"
"861","PstI-TP15122"
"862","PstI-TP15160"
"863","PstI-TP15204"
"864","PstI-TP15282"
"865","PstI-TP15364"
"866","PstI-TP15431"
"867","PstI-TP15439"
"868","PstI-TP15443"
"869","PstI-TP15444"
"870","PstI-TP15520"
"871","PstI-TP15562"
"872","PstI-TP15613"
"873","PstI-TP15637"
"874","PstI-TP15646"
"875","PstI-TP15705"
"876","PstI-TP15749"
"877","PstI-TP15772"
"878","PstI-TP15780"
"879","PstI-TP15787"
"880","PstI-TP15791"
"881","PstI-TP15872"
"882","PstI-TP15873"
"883","PstI-TP15894"
"884","PstI-TP15910"
"885","PstI-TP15960"
"886","PstI-TP16017"
"887","PstI-TP16037"
"888","PstI-TP16066"
"889","PstI-TP16079"
"890","PstI-TP16197"
"891","PstI-TP16254"
"892","PstI-TP16273"
"893","PstI-TP16284"
"894","PstI-TP16308"
"895","PstI-TP16365"
"896","PstI-TP16372"
"897","PstI-TP16436"
"898","PstI-TP16440"
"899","PstI-TP16443"
"900","PstI-TP16446"
"901","PstI-TP16464"
"902","PstI-TP16535"
"903","PstI-TP16537"
"904","PstI-TP16542"
"905","PstI-TP16574"
"906","PstI-TP16576"
"907","PstI-TP16577"
"908","PstI-TP16646"
"909","PstI-TP16677"
"910","PstI-TP16699"
"911","PstI-TP16777"
"912","PstI-TP16800"
"913","PstI-TP16840"
"914","PstI-TP16966"
"915","PstI-TP17003"
"916","PstI-TP17045"
"917","PstI-TP17078"
"918","PstI-TP17086"
"919","PstI-TP17110"
"920","PstI-TP17112"
"921","PstI-TP17132"
"922","PstI-TP17148"
"923","PstI-TP17186"
"924","PstI-TP17202"
"925","PstI-TP17203"
"926","PstI-TP17225"
"927","PstI-TP17228"
"928","PstI-TP17389"
"929","PstI-TP17400"
"930","PstI-TP17427"
"931","PstI-TP17494"
"932","PstI-TP17501"
"933","PstI-TP17523"
"934","PstI-TP17532"
"935","PstI-TP17559"
"936","PstI-TP17575"
"937","PstI-TP17591"
"938","PstI-TP17606"
"939","PstI-TP17612"
"940","PstI-TP17613"
"941","PstI-TP17617"
"942","PstI-TP17640"
"943","PstI-TP17689"
"944","PstI-TP17717"
"945","PstI-TP17740"
"946","PstI-TP17741"
"947","PstI-TP17750"
"948","PstI-TP17760"
"949","PstI-TP17778"
"950","PstI-TP17854"
"951","PstI-TP17940"
"952","PstI-TP17953"
"953","PstI-TP17972"
"954","PstI-TP17994"
"955","PstI-TP18079"
"956","PstI-TP18093"
"957","PstI-TP18098"
"958","PstI-TP18130"
"959","PstI-TP18154"
"960","PstI-TP18186"
"961","PstI-TP18189"
"962","PstI-TP18242"
"963","PstI-TP18282"
"964","PstI-TP18291"
"965","PstI-TP18321"
"966","PstI-TP18322"
"967","PstI-TP18358"
"968","PstI-TP18359"
"969","PstI-TP18360"
"970","PstI-TP18402"
"971","PstI-TP18447"
"972","PstI-TP18451"
"973","PstI-TP18454"
"974","PstI-TP18455"
"975","PstI-TP18465"
"976","PstI-TP18541"
"977","PstI-TP18553"
"978","PstI-TP18563"
"979","PstI-TP18565"
"980","PstI-TP18569"
"981","PstI-TP18605"
"982","PstI-TP18617"
"983","PstI-TP18650"
"984","PstI-TP18652"
"985","PstI-TP18656"
"986","PstI-TP18693"
"987","PstI-TP18694"
"988","PstI-TP18696"
"989","PstI-TP18714"
"990","PstI-TP18772"
"991","PstI-TP18789"
"992","PstI-TP18800"
"993","PstI-TP18806"
"994","PstI-TP18814"
"995","PstI-TP18820"
"996","PstI-TP18829"
"997","PstI-TP18847"
"998","PstI-TP18850"
"999","PstI-TP18937"
"1000","PstI-TP18946"
"1001","PstI-TP18961"
"1002","PstI-TP18963"
"1003","PstI-TP18970"
"1004","PstI-TP19003"
"1005","PstI-TP19020"
"1006","PstI-TP19065"
