Gene.1,gene.2,gene.3,gene.4,gene.5
Sb02g002790,,,,Sb07g022040
Sb02g003090,,,,Sb10g003500
Sb02g004390,,,,Sb02g035150
Sb02g007640,,,,Sb06g027900
Sb02g022090,,,,Sb06g016870
Sb02g022210,,,,Sb06g016770
Sb02g024340,,,,Sb02g027570
Sb02g025700,,,,Sb02g036030
Sb02g026270,,,,Sb06g021220
Sb02g031220,,,,Sb06g021230
Sb02g031540,,,,Sb03g017600
Sb02g037780,,,,Sb03g008940
Sb02g038130,,,,Sb02g027250
Sb02g040260,,,,Sb10g027460
Sb02g040990,,,,Sb03g035840
Sb02g043070,,,,Sb01g031460
Sb02g043450,,,,Sb08g022480
Sb02g043950,,,,Sb01g033620
Sb02g043980,,,,Sb01g007820
Sb03g001360,,,,Sb03g043220
Sb03g003650,,,,Sb09g022400
Sb03g004490,,,,Sb01g037940
Sb03g008890,,,,Sb05g022960
Sb03g011510,,,,Sb09g027223
Sb03g011700,,,,Sb03g003050
Sb03g011930,,,,Sb03g040720
Sb03g013170,,,,Sb08g000330
Sb03g024040,,,,Sb06g011767
Sb03g026070,,,,Sb01g006410
Sb03g028080,,,,Sb10g002030
Sb03g028090,,,,Sb03g026620
Sb03g028100,,,,Sb06g017330
Sb03g029570,,,,Sb03g005480
Sb03g030060,,,,Sb04g026480
Sb03g030100,,,,Sb02g043210
Sb03g034200,,,,Sb04g028960
Sb03g037270,,,,Sb01g012460
Sb03g037370,,,,Sb02g034090
Sb03g037640,,,,Sb01g026730
Sb03g038020,,,,Sb09g027890
Sb03g038800,,,,Sb08g017090
Sb03g039630,,,,Sb04g021910
Sb03g039910,,,,Sb01g017520
Sb03g040600,,,,Sb04g021920
Sb03g043460,,,,Sb05g001910
Sb03g044230,,,,Sb03g043090
Sb03g045450,,,,Sb10g003910
Sb03g045460,,,,Sb03g043100
Sb03g045480,,,,Sb10g007290
Sb03g045490,,,,Sb10g007150
Sb03g045510,,,,Sb07g008850
Sb03g045630,,,,Sb10g023370
Sb03g047420,,,,Sb09g004640
Sb04g000370,,,,Sb02g023210
Sb04g001913,,,,Sb07g022220
Sb04g001920,,,,Sb10g030200
Sb04g004250,,,,Sb03g027330
Sb04g007190,,,,Sb05g008750
Sb04g009660,,,,Sb10g006350
Sb04g010130,,,,Sb02g023220
Sb04g021990,,,,Sb04g025270
Sb04g025860,,,,Sb01g037890
Sb04g027260,,,,Sb07g022750
Sb04g027810,,,,Sb03g013850
Sb04g027950,,,,Sb02g003610
Sb04g030950,,,,Sb03g005570
Sb04g031950,,,,Sb06g015660
Sb04g035040,,,,Sb07g024380
Sb04g036060,,,,Sb08g023000
Sb04g036240,,,,Sb02g033400
Sb04g036880,,,,Sb02g003580
Sb05g000390,,,,Sb03g006680
Sb05g000400,,,,Sb07g008300
Sb05g000530,,,,Sb08g001450
Sb05g002450,,,,Sb10g028140
Sb05g003480,,,,Sb07g023140
Sb05g017940,,,,Sb08g003190
Sb05g017950,,,,Sb03g032500
Sb05g019530,,,,Sb03g035520
Sb05g027870,,,,Sb10g024300
Sb05g027880,,,,Sb10g028360
Sb06g016930,,,,Sb04g022180
Sb06g018550,,,,Sb10g030570
Sb06g018880,,,,Sb04g028415
Sb06g021660,,,,Sb03g026750
Sb06g022280,,,,Sb10g003420
Sb06g023440,,,,Sb05g026810
Sb06g025900,,,,Sb03g045490
Sb06g027270,,,,Sb09g018730
Sb06g028370,,,,Sb06g022420
Sb06g029650,,,,Sb03g030100
Sb06g030100,,,,Sb10g028570
Sb06g033230,,,,Sb01g043720
Sb07g000400,,,,Sb08g019670
Sb07g001060,,,,Sb3247s002010
Sb07g001680,,,,Sb07g021870
Sb07g002560,,,,Sb03g032190
Sb07g002810,,,,Sb04g012910
Sb07g002820,,,,Sb02g039045
Sb07g003280,,,,Sb02g019490
Sb07g003810,,,,Sb03g028680
Sb07g004260,,,,Sb04g000890
Sb07g004900,,,,Sb02g005500
Sb07g006010,,,,Sb10g022470
Sb07g019260,,,,Sb06g017800
Sb07g021320,,,,Sb01g001780
Sb07g021580,,,,Sb02g030720
Sb07g021680,,,,Sb03g028630
Sb07g022730,,,,Sb06g001030
Sb08g000430,,,,Sb10g001873
Sb08g000460,,,,Sb03g001040
Sb08g000470,,,,Sb02g008740
Sb08g000550,,,,Sb05g010360
Sb08g004720,,,,Sb02g026600
Sb08g005190,,,,Sb07g000500
Sb08g005200,,,,Sb08g020910
Sb08g005500,,,,Sb03g033740
Sb08g009580,,,,Sb02g003470
Sb08g016670,,,,Sb03g028650
Sb08g019670,,,,Sb02g007800
Sb08g020080,,,,Sb06g020210
Sb08g021180,,,,Sb02g040510
Sb08g022740,,,,Sb05g022350
Sb09g001310,,,,Sb07g000510
Sb09g002320,,,,Sb02g040500
Sb09g002840,,,,Sb05g004900
Sb09g003050,,,,Sb05g022370
Sb09g003060,,,,Sb07g023220
Sb09g004470,,,,Sb09g000990
Sb09g005140,,,,Sb01g034700
Sb09g006110,,,,Sb04g001760
Sb09g007910,,,,Sb07g005130
Sb09g018730,,,,Sb03g041000
Sb09g018750,,,,Sb04g001810
Sb09g022230,,,,Sb09g000980
Sb09g022410,,,,Sb05g019190
Sb09g024320,,,,Sb09g000770
Sb09g024340,,,,Sb10g007920
Sb09g024840,,,,Sb10g007700
Sb09g025890,,,,Sb09g024620
Sb09g028230,,,,Sb10g021320
Sb09g028710,,,,Sb09g003900
Sb09g028860,,,,Sb03g047340
Sb09g029240,,,,Sb07g006060
Sb09g030600,,,,Sb06g020290
Sb10g000980,,,,Sb03g012610
Sb10g001120,,,,Sb10g008730
Sb10g001270,,,,Sb01g012580
Sb10g002070,,,,Sb01g043530
Sb10g003310,,,,Sb01g037480
Sb10g003810,,,,Sb01g013150
Sb10g004950,,,,Sb09g029640
Sb10g004960,,,,Sb02g040350
Sb10g005700,,,,Sb01g031370
Sb10g006330,,,,Sb01g040100
Sb10g006450,,,,Sb02g004470
Sb10g008020,,,,Sb09g003980
Sb10g008960,,,,Sb05g023870
Sb10g009520,,,,Sb06g015025
Sb10g017820,,,,Sb03g013010
Sb10g022270,,,,Sb03g041300
Sb10g023290,,,,Sb01g011370
Sb10g025040,,,,Sb04g004510
Sb10g026910,,,,Sb02g011070
Sb10g027490,,,,Sb03g006290
Sb10g028550,,,,Sb04g011090
Sb10g028580,,,,Sb07g004660
Sb10g030240,,,,Sb07g004690
Sb10g030260,,,,Sb05g008830
Sb10g030840,,,,Sb05g026710
,,,,Sb07g005970
,,,,Sb05g003780
,,,,Sb07g004680
,,,,Sb07g028520
,,,,Sb09g025510
,,,,Sb10g027340
,,,,Sb02g042890
,,,,Sb01g014560
,,,,Sb10g005170
,,,,Sb06g026350
,,,,Sb01g004440
,,,,Sb06g028970
,,,,Sb06g031790
,,,,Sb01g020300
,,,,Sb08g016390
,,,,Sb05g004530
,,,,Sb06g002990
,,,,Sb09g006490
,,,,Sb04g033740
,,,,Sb07g005780
,,,,Sb10g011020
,,,,Sb09g025470
,,,,Sb07g007640
,,,,Sb09g003790
,,,,Sb01g011030
,,,,Sb06g018040
,,,,Sb04g000320
,,,,Sb10g031320
,,,,Sb05g000900
,,,,Sb07g023770
,,,,Sb09g021030
,,,,Sb06g030940
,,,,Sb03g011980
,,,,Sb09g021040
,,,,Sb06g033850
,,,,Sb01g040720
,,,,Sb04g008720
,,,,Sb03g040060
,,,,Sb02g027900
,,,,Sb07g005660
,,,,Sb03g036090
,,,,Sb02g002830
,,,,Sb09g028260
,,,,Sb03g044780
,,,,Sb05g006850
,,,,Sb05g003930
,,,,Sb06g001645
,,,,Sb01g023431
,,,,Sb05g024900
,,,,Sb07g026735
,,,,Sb09g004390
,,,,Sb08g020530
,,,,Sb02g008130
,,,,Sb01g045190
,,,,Sb02g003090
,,,,Sb10g012160
,,,,Sb01g013060
,,,,Sb04g037290
,,,,Sb07g021940
,,,,Sb07g004880
,,,,Sb02g040920
,,,,Sb01g029080
,,,,Sb05g012960
,,,,Sb01g022070
,,,,Sb01g006000
,,,,Sb04g024950
,,,,Sb05g022790
,,,,Sb08g001890
,,,,Sb08g014065
,,,,Sb09g000440
,,,,Sb05g025560
,,,,Sb03g025650
,,,,Sb10g025286
,,,,Sb02g028950
,,,,Sb01g012020
,,,,Sb09g003690
,,,,Sb06g028630
,,,,Sb10g026740
,,,,Sb08g019860
,,,,Sb01g050340
,,,,Sb02g034050
,,,,Sb06g029230
,,,,Sb09g000450
,,,,Sb01g023330
,,,,Sb03g045790
,,,,Sb04g008660
,,,,Sb06g020420
,,,,Sb02g041290
,,,,Sb05g024750
,,,,Sb02g023630
,,,,Sb09g003990
,,,,Sb08g020415
,,,,Sb08g022180
,,,,Sb10g029710
,,,,Sb05g018800
,,,,Sb02g034930
,,,,Sb07g020500
,,,,Sb01g031040
,,,,Sb02g032360
,,,,Sb04g037140
,,,,Sb06g001650
,,,,Sb06g017430
,,,,Sb05g009140
,,,,Sb01g021660
,,,,Sb02g003130
,,,,Sb10g012970
,,,,Sb01g047250
,,,,Sb02g035550
,,,,Sb09g026141
,,,,Sb05g026040
,,,,Sb07g005820
,,,,Sb04g025640
,,,,Sb02g024230
,,,,Sb03g031680
,,,,Sb09g027270
,,,,Sb04g003840
,,,,Sb07g014860
,,,,Sb09g026180
,,,,Sb04g026260
,,,,Sb06g022710
,,,,Sb05g026185
,,,,Sb04g027210
,,,,Sb08g015237
,,,,Sb05g005490
,,,,Sb03g002340
,,,,Sb05g008370
,,,,Sb03g032140
,,,,Sb04g026010
,,,,Sb03g006780
,,,,Sb02g035450
,,,,Sb02g023250
,,,,Sb06g014340
,,,,Sb06g028760
,,,,Sb09g025900
,,,,Sb01g001585
,,,,Sb10g006490
,,,,Sb09g005830
,,,,Sb2250s002010
,,,,Sb09g026100
,,,,Sb03g004490
,,,,Sb01g033070
,,,,Sb09g005140
,,,,Sb01g004140
,,,,Sb02g031160
,,,,Sb05g024460
,,,,Sb08g006600
,,,,Sb01g027540
,,,,Sb08g020950
,,,,Sb01g027570
,,,,Sb05g026670
,,,,Sb03g007170
,,,,Sb01g008960
,,,,Sb06g024130
,,,,Sb01g031210
,,,,Sb06g025250
,,,,Sb05g001300
,,,,Sb02g037680
,,,,Sb06g001450
,,,,Sb09g028960
,,,,Sb05g023220
,,,,Sb03g046410
,,,,Sb05g024150
,,,,Sb02g038850
,,,,Sb03g046780
,,,,Sb02g030330
,,,,Sb01g044810
,,,,Sb10g026450
,,,,Sb07g019400
,,,,Sb03g026170
,,,,Sb04g016540
,,,,Sb02g011050
,,,,Sb10g004000
,,,,Sb01g046350
,,,,Sb05g001170
,,,,Sb01g043910
,,,,Sb01g044410
,,,,Sb10g001620
,,,,Sb07g006200
,,,,Sb04g021490
,,,,Sb04g009800
,,,,Sb03g028470
,,,,Sb01g045050
,,,,Sb06g024540
,,,,Sb02g024760
,,,,Sb07g006190
,,,,Sb08g002520
,,,,Sb02g030300
,,,,Sb02g028380
,,,,Sb05g010090
,,,,Sb05g020220
,,,,Sb05g020200
,,,,Sb02g011210
,,,,Sb01g037090
,,,,Sb01g012060
,,,,Sb03g005870
,,,,Sb06g001870
,,,,Sb07g021915
,,,,Sb04g035390
,,,,Sb05g018520
,,,,Sb06g024830
,,,,Sb09g029910
,,,,Sb04g008850
,,,,Sb04g033330
,,,,Sb03g011240
,,,,Sb02g023370
,,,,Sb02g036310
,,,,Sb06g002560
,,,,Sb01g034610
,,,,Sb08g007700
,,,,Sb03g043020
,,,,Sb03g033045
,,,,Sb02g010790
,,,,Sb04g024090
,,,,Sb03g002490
,,,,Sb03g024850
,,,,Sb06g030980
,,,,Sb10g021250
,,,,Sb1306s002010
,,,,Sb01g028880
,,,,Sb01g026720
,,,,Sb08g003790
,,,,Sb06g016280
,,,,Sb10g021690
,,,,Sb06g022930
,,,,Sb01g003280
,,,,Sb06g012980
,,,,Sb01g014250
,,,,Sb03g040490
,,,,Sb07g006090
,,,,Sb05g027450
,,,,Sb01g030345
,,,,Sb08g022295
,,,,Sb01g031920
,,,,Sb06g021480
,,,,Sb03g039270
,,,,Sb01g003960
,,,,Sb04g009600
,,,,Sb06g011760
,,,,Sb08g022420
,,,,Sb09g023700
,,,,Sb02g035200
,,,,Sb08g002630
,,,,Sb02g002150
,,,,Sb07g023790
,,,,Sb08g005590
,,,,Sb01g001350
,,,,Sb05g026175
,,,,Sb06g024790
,,,,Sb10g001190
,,,,Sb01g013650
,,,,Sb09g029430
,,,,Sb03g007770
,,,,Sb09g030110
,,,,Sb06g018490
,,,,Sb01g043470
,,,,Sb03g038330
,,,,Sb07g023210
,,,,Sb01g046120
,,,,Sb07g015581
,,,,Sb02g031940
,,,,Sb07g006195
,,,,Sb05g006880
,,,,Sb03g002910
,,,,Sb06g004060
,,,,Sb01g046780
,,,,Sb05g019490
,,,,Sb09g019300
,,,,Sb01g009060
,,,,Sb10g013000
,,,,Sb03g003310
,,,,Sb04g024220
,,,,Sb01g016580
,,,,Sb02g036010
,,,,Sb04g007200
,,,,Sb01g029270
,,,,Sb04g001230
,,,,Sb01g006210
,,,,Sb06g030440
,,,,Sb01g016620
,,,,Sb04g010130
,,,,Sb02g029220
,,,,Sb03g002590
,,,,Sb05g027783
,,,,Sb06g031353
,,,,Sb09g029360
,,,,Sb10g005280
,,,,Sb02g035020
,,,,Sb04g028400
,,,,Sb06g002090
,,,,Sb03g000810
,,,,Sb04g022520
,,,,Sb10g029810
,,,,Sb03g044040
,,,,Sb06g014330
,,,,Sb08g000620
,,,,Sb01g041180
,,,,Sb04g023950
,,,,Sb04g026720
,,,,Sb05g008600
,,,,Sb01g008380
,,,,Sb06g025090
,,,,Sb09g005960
,,,,Sb09g030950
,,,,Sb02g031770
,,,,Sb06g001780
,,,,Sb08g005510
,,,,Sb03g032420
,,,,Sb06g027740
,,,,Sb04g021540
,,,,Sb04g033350
,,,,Sb03g012360
,,,,Sb01g005400
,,,,Sb09g030010
,,,,Sb01g001690
,,,,Sb01g036380
,,,,Sb05g024440
,,,,Sb10g003640
,,,,Sb02g035980
,,,,Sb05g001100
,,,,Sb06g020220
,,,,Sb01g001160
,,,,Sb09g020240
,,,,Sb03g031390
,,,,Sb01g040820
,,,,Sb02g039910
,,,,Sb01g045800
,,,,Sb03g006040
,,,,Sb02g007730
,,,,Sb01g038020
,,,,Sb03g047000
,,,,Sb10g002210
,,,,Sb04g001350
,,,,Sb09g023060
,,,,Sb08g018980
,,,,Sb03g032130
,,,,Sb01g033040
,,,,Sb04g031950
,,,,Sb01g021920
,,,,Sb09g020960
,,,,Sb01g021130
,,,,Sb01g027480
,,,,Sb01g026290
,,,,Sb10g030080
,,,,Sb10g021980
,,,,Sb01g030810
,,,,Sb07g009390
,,,,Sb02g025555
,,,,Sb01g030640
,,,,Sb03g038160
,,,,Sb03g026915
,,,,Sb01g045030
,,,,Sb10g028690
,,,,Sb03g000300
,,,,Sb02g036605
,,,,Sb03g008760
,,,,Sb04g035930
,,,,Sb03g003110
,,,,Sb08g020990
,,,,Sb07g001310
,,,,Sb07g024510
,,,,Sb02g038140
,,,,Sb06g027725
,,,,Sb01g017650
,,,,Sb03g010470
,,,,Sb03g042740
,,,,Sb04g030135
,,,,Sb01g034310
,,,,Sb01g046730
,,,,Sb07g020180
,,,,Sb09g019990
,,,,Sb01g033150
,,,,Sb04g023400
,,,,Sb08g005600
,,,,Sb01g013610
,,,,Sb07g023200
,,,,Sb09g002350
,,,,Sb03g044485
,,,,Sb08g022450
,,,,Sb06g000810
,,,,Sb04g001460
,,,,Sb03g006410
,,,,Sb08g020650
,,,,Sb02g036650
,,,,Sb05g026136
,,,,Sb02g001160
,,,,Sb10g028770
,,,,Sb04g025400
,,,,Sb09g029320
,,,,Sb07g024200
,,,,Sb08g019420
,,,,Sb02g035720
,,,,Sb09g000600
,,,,Sb01g048565
,,,,Sb01g007860
,,,,Sb10g023690
,,,,Sb10g023850
,,,,Sb01g038520
,,,,Sb06g033760
,,,,Sb01g009540
,,,,Sb01g031850
,,,,Sb08g022430
,,,,Sb07g004190
,,,,Sb07g002600
,,,,Sb06g013770
,,,,Sb03g045090
,,,,Sb03g034090
,,,,Sb04g027330
,,,,Sb04g035120
,,,,Sb01g034830
,,,,Sb02g035590
,,,,Sb06g033860
,,,,Sb01g008990
,,,,Sb04g036600
,,,,Sb09g027710
,,,,Sb01g014230
,,,,Sb06g002820
,,,,Sb02g035540
,,,,Sb06g004290
,,,,Sb09g001740
,,,,Sb07g005240
,,,,Sb01g032920
,,,,Sb06g013820
,,,,Sb09g026410
,,,,Sb08g002130
,,,,Sb07g002260
,,,,Sb01g036560
,,,,Sb07g005680
,,,,Sb10g002590
,,,,Sb01g002330
,,,,Sb04g031590
,,,,Sb08g006540
,,,,Sb05g001745
,,,,Sb10g007600
,,,,Sb02g032940
,,,,Sb10g027485
,,,,Sb05g022050
,,,,Sb08g002950
,,,,Sb05g002840
,,,,Sb05g003130
,,,,Sb01g031890
,,,,Sb02g009340
,,,,Sb10g003800
,,,,Sb09g001880
,,,,Sb01g018880
,,,,Sb03g001030
,,,,Sb10g003300
,,,,Sb06g025010
,,,,Sb01g029900
,,,,Sb05g024180
,,,,Sb06g030740
,,,,Sb02g010130
,,,,Sb01g020000
,,,,Sb01g035460
,,,,Sb04g019783
,,,,Sb03g013670
,,,,Sb04g012920
,,,,Sb01g013910
,,,,Sb03g031700
,,,,Sb06g031250
,,,,Sb01g025580
,,,,Sb01g018490
,,,,Sb09g008070
,,,,Sb10g009160
,,,,Sb04g006890
,,,,Sb01g008570
,,,,Sb04g024400
,,,,Sb04g027610
,,,,Sb10g025730
,,,,Sb01g000860
,,,,Sb09g004170
,,,,Sb03g029920
,,,,Sb05g022580
,,,,Sb05g004210
,,,,Sb03g033960
,,,,Sb04g011240
,,,,Sb10g001150
,,,,Sb03g025270
,,,,Sb0019s003120
,,,,Sb06g017850
,,,,Sb01g037730
,,,,Sb06g030215
,,,,Sb05g006450
,,,,Sb06g030230
,,,,Sb04g030330
,,,,Sb05g017160
,,,,Sb10g028700
,,,,Sb03g004850
,,,,Sb08g016190
,,,,Sb04g031960
,,,,Sb09g025570
,,,,Sb05g002470
,,,,Sb03g036630
,,,,Sb01g032580
,,,,Sb01g045750
,,,,Sb08g021280
,,,,Sb02g015330
,,,,Sb10g002880
,,,,Sb09g029480
,,,,Sb03g004330
,,,,Sb01g045410
,,,,Sb09g018440
,,,,Sb09g021770
,,,,Sb03g036070
,,,,Sb08g008813
,,,,Sb10g007060
,,,,Sb03g012350
,,,,Sb01g009370
,,,,Sb09g000620
,,,,Sb03g040510
,,,,Sb05g008475
,,,,Sb03g009910
,,,,Sb01g040030
,,,,Sb03g007360
,,,,Sb02g027350
,,,,Sb06g019740
,,,,Sb05g021410
,,,,Sb03g046080
,,,,Sb07g003260
,,,,Sb03g004020
,,,,Sb03g031960
,,,,Sb03g046600
,,,,Sb07g003920
,,,,Sb09g000520
,,,,Sb04g022105
,,,,Sb02g028900
,,,,Sb02g024765
,,,,Sb05g018890
,,,,Sb09g027260
,,,,Sb06g027790
,,,,Sb01g029220
,,,,Sb08g022350
,,,,Sb03g033680
,,,,Sb02g020030
,,,,Sb09g003470
,,,,Sb01g017380
,,,,Sb01g038410
,,,,Sb04g003100
,,,,Sb04g027370
,,,,Sb03g004180
,,,,Sb09g020800
,,,,Sb08g001960
,,,,Sb03g038620
,,,,Sb03g006880
,,,,Sb03g003830
,,,,Sb01g002720
,,,,Sb05g025910
,,,,Sb01g004500
,,,,Sb02g043230
,,,,Sb08g022883
,,,,Sb01g008350
,,,,Sb01g009000
,,,,Sb02g039050
,,,,Sb02g011990
,,,,Sb09g017860
,,,,Sb07g004920
,,,,Sb01g041920
,,,,Sb08g017170
,,,,Sb04g024200
,,,,Sb02g021490
,,,,Sb01g012320
,,,,Sb06g023550
,,,,Sb10g027610
,,,,Sb07g022860
,,,,Sb02g026630
,,,,Sb03g032830
,,,,Sb05g013160
,,,,Sb03g038180
,,,,Sb04g029400
,,,,Sb03g012310
,,,,Sb04g022080
,,,,Sb06g014460
,,,,Sb01g032630
,,,,Sb07g004480
,,,,Sb02g032080
,,,,Sb02g042790
,,,,Sb09g021840
,,,,Sb06g021960
,,,,Sb03g025520
,,,,Sb05g016440
,,,,Sb02g022230
,,,,Sb04g005360
,,,,Sb02g043450
,,,,Sb02g039770
,,,,Sb02g007350
,,,,Sb05g023150
,,,,Sb05g001915
,,,,Sb07g000720
,,,,Sb03g029940
,,,,Sb08g019030
,,,,Sb01g015870
,,,,Sb03g042410
,,,,Sb03g044890
,,,,Sb06g000790
,,,,Sb01g032610
,,,,Sb03g031300
,,,,Sb04g005090
,,,,Sb10g006770
,,,,Sb07g023800
,,,,Sb03g005860
,,,,Sb03g030260
,,,,Sb01g004240
,,,,Sb09g006534
,,,,Sb04g005240
,,,,Sb06g000660
,,,,Sb06g029880
,,,,Sb05g009130
,,,,Sb10g024580
,,,,Sb03g033170
,,,,Sb01g007590
,,,,Sb06g021270
,,,,Sb01g001565
,,,,Sb03g030680
,,,,Sb01g002780
,,,,Sb05g026070
,,,,Sb03g042240
,,,,Sb05g001035
,,,,Sb09g001230
,,,,Sb09g020060
,,,,Sb04g037820
,,,,Sb06g025870
,,,,Sb09g001040
,,,,Sb09g000700
,,,,Sb07g005810
,,,,Sb01g040070
,,,,Sb08g009550
,,,,Sb02g019550
,,,,Sb01g008980
,,,,Sb04g023770
,,,,Sb04g012430
,,,,Sb03g007270
,,,,Sb07g015030
,,,,Sb01g019830
,,,,Sb07g006840
,,,,Sb07g023130
,,,,Sb08g007710
,,,,Sb06g018620
,,,,Sb01g015750
,,,,Sb04g003675
,,,,Sb10g020180
,,,,Sb02g028210
,,,,Sb05g003100
,,,,Sb05g025770
,,,,Sb05g025820
,,,,Sb09g005940
,,,,Sb07g022520
,,,,Sb03g028410
,,,,Sb10g010420
,,,,Sb05g002710
,,,,Sb01g012700
,,,,Sb02g006320
,,,,Sb02g026530
,,,,Sb04g032740
,,,,Sb03g037720
,,,,Sb05g021550
,,,,Sb03g046150
,,,,Sb10g010380
,,,,Sb02g031870
,,,,Sb03g006900
,,,,Sb01g046670
,,,,Sb01g021450
,,,,Sb01g048500
,,,,Sb01g029950
,,,,Sb03g006980
,,,,Sb07g005430
,,,,Sb05g027460
,,,,Sb05g027440
,,,,Sb10g027640
,,,,Sb01g050080
,,,,Sb01g040910
,,,,Sb01g006610
,,,,Sb08g002290
,,,,Sb06g032790
,,,,Sb0283s002010
,,,,Sb09g025010
,,,,Sb05g022660
,,,,Sb10g026970
,,,,Sb04g027050
,,,,Sb06g015520
,,,,Sb03g039360
,,,,Sb08g016350
,,,,Sb06g001930
,,,,Sb01g015680
,,,,Sb01g032150
,,,,Sb03g046400
,,,,Sb09g028890
,,,,Sb02g001140
,,,,Sb08g014620
,,,,Sb09g001430
,,,,Sb06g018240
,,,,Sb03g008110
,,,,Sb03g038170
,,,,Sb06g016010
,,,,Sb01g033970
,,,,Sb02g042840
,,,,Sb09g024580
,,,,Sb06g029100
,,,,Sb02g029940
,,,,Sb02g030310
,,,,Sb01g012780
,,,,Sb01g005140
,,,,Sb03g039620
,,,,Sb02g001370
,,,,Sb10g030660
,,,,Sb04g033090
,,,,Sb03g005510
,,,,Sb06g011401
,,,,Sb02g038130
,,,,Sb01g048140
,,,,Sb02g020270
,,,,Sb0826s002010
,,,,Sb03g004360
,,,,Sb03g040350
,,,,Sb02g000210
,,,,Sb02g041680
,,,,Sb02g003600
,,,,Sb03g001930
,,,,Sb08g000740
,,,,Sb06g001820
,,,,Sb07g000520
,,,,Sb02g024170
,,,,Sb05g008910
,,,,Sb03g001180
,,,,Sb07g004635
,,,,Sb08g022150
,,,,Sb02g040740
,,,,Sb10g005950
,,,,Sb01g014840
,,,,Sb10g023140
,,,,Sb06g001890
,,,,Sb01g003270
,,,,Sb06g021290
,,,,Sb01g034490
,,,,Sb03g035290
,,,,Sb01g020350
,,,,Sb06g023830
,,,,Sb01g013840
,,,,Sb02g038520
,,,,Sb08g020880
,,,,Sb10g021670
,,,,Sb10g003280
,,,,Sb09g020690
,,,,Sb07g001185
,,,,Sb2432s002010
,,,,Sb01g034190
,,,,Sb01g045660
,,,,Sb07g023030
,,,,Sb04g038290
,,,,Sb10g027540
,,,,Sb06g018070
,,,,Sb03g007730
,,,,Sb05g007770
,,,,Sb07g021840
,,,,Sb03g033420
,,,,Sb02g009720
,,,,Sb10g024280
,,,,Sb06g021260
,,,,Sb05g021695
,,,,Sb10g007610
,,,,Sb02g037350
,,,,Sb05g003950
,,,,Sb01g048470
,,,,Sb07g024890
,,,,Sb05g024100
,,,,Sb10g002600
,,,,Sb02g032580
,,,,Sb10g001940
,,,,Sb06g016043
,,,,Sb02g011340
,,,,Sb01g039990
,,,,Sb01g009340
,,,,Sb09g021050
,,,,Sb02g039220
,,,,Sb04g002075
,,,,Sb03g006870
,,,,Sb08g017420
,,,,Sb02g012910
,,,,Sb03g041610
,,,,Sb01g017440
,,,,Sb01g010050
,,,,Sb01g028190
,,,,Sb10g028480
