reference ,Genes ID,Symbols,Descripton1 ,Regulation 1,Regulation 2,Location 
"Byun et al., 2018",LOC_Os09g36680,,ribonuclease T2 family domain containing protein expressed,Up,,
"Byun et al., 2018",LOC_Os09g39940,,plastocyanin-like domain containing protein putative expressed,,Down,
"Byun et al., 2018",LOC_Os10g21190,,expressed protein,Down,Up,
"Byun et al., 2018",LOC_Os10g21268,,ribulose bisphosphate carboxylase large chain precursor putative expressed,,Up,
"Byun et al., 2018",LOC_Os10g21352,,chloroplast 30S ribosomal protein S19 putative expressed,Down,,
"Byun et al., 2018",LOC_Os10g21358,,chloroplast 50S ribosomal protein L23 putative,Down,,
"Byun et al., 2018",LOC_Os10g22630,,expressed protein,Up,,
"Byun et al., 2018",LOC_Os10g23310,,transferase family protein putative expressed,,Down,
"Byun et al., 2018",LOC_Os10g25290,,ZIM domain containing protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os10g31330,,retrotransposon protein putative unclassified expressed,Up,,
"Byun et al., 2018",LOC_Os10g33800,,lactateFmalate dehydrogenase putative expressed,,Up,
"Byun et al., 2018",LOC_Os10g36170,,LTPL160 - Protease inhibitorFseed storageFLTP family protein precursor expressed,Up,,
"Byun et al., 2018",LOC_Os10g37340,,cystathionine gamma-synthase putative expressed,,Down,
"Byun et al., 2018",LOC_Os10g37500,,AAA-type ATPase family protein putative expressed,,Down,
"Byun et al., 2018",LOC_Os10g38238,,chloroplast 30S ribosomal protein S14 putative expressed,Down,,
"Byun et al., 2018",LOC_Os10g38272,,ATP synthase B chain putative expressed,Down,,
"Byun et al., 2018",LOC_Os10g38278,,chloroplast 30S ribosomal protein S2 putative expressed,Down,,
"Byun et al., 2018",LOC_Os10g41550,,beta-amylase putative expressed,Up,,
"Byun et al., 2018",LOC_Os11g02350,,LTPL25 - Protease inhibitorFseed storageFLTP family protein precursor expressed,Down,,
"Byun et al., 2018",LOC_Os11g07020,,fructose-bisphospate aldolase isozyme putative expressed,Up,,
"Byun et al., 2018",LOC_Os11g14140,,OsFBK25 - F-box domain and kelch repeat containing protein expressed,Down,Down,
"Byun et al., 2018",LOC_Os11g33120,,respiratory burst oxidase putative expressed,,Down,
"Byun et al., 2018",LOC_Os11g47809,,metallothionein putative expressed,,Up,
"Byun et al., 2018",LOC_Os11g47970,,AAA-type ATPase family protein putative expressed,Up,,
"Byun et al., 2018",LOC_Os12g02300,,LTPL26 - Protease inhibitorFseed storageFLTP family protein precursor expressed,Down,,
"Byun et al., 2018",LOC_Os12g04150,,alpha/beta hydrolase fold putative expressed,,Down,
"Byun et al., 2018",LOC_Os12g08760,,carboxyvinyl-carboxyphosphonate phosphorylmutase putative expressed,Up,,
"Byun et al., 2018",LOC_Os12g10580,,ribulose bisphosphate carboxylase large chain precursor putative expressed,Down,,
"Byun et al., 2018",LOC_Os12g12880,,expressed protein,,Down,
"Byun et al., 2018",LOC_Os12g13674,,expressed protein,Down,Down,
"Byun et al., 2018",LOC_Os12g14440,,Jacalin-like lectin domain containing protein putative expressed,Down,Down,
"Byun et al., 2018",LOC_Os12g15680,,laccase precursor protein putative expressed,,Down,
"Byun et al., 2018",LOC_Os12g25490,,O-methyltransferase putative expressed,Up,,
"Byun et al., 2018",LOC_Os12g29400,,GRAM domain containing protein expressed,,Down,
"Byun et al., 2018",LOC_Os12g33130,,expressed protein,Up,,
"Byun et al., 2018",LOC_Os12g36210,,inhibitor I family protein putative expressed,Up,,
"Byun et al., 2018",LOC_Os12g36240,,inhibitor I family protein putative expressed,Up,,
"Byun et al., 2018",LOC_Os12g37260,,lipoxygenase 2.1 chloroplast precursor putative expressed,Up,,
"Byun et al., 2018",LOC_Os12g38720,,expressed protein,Down,,
"Byun et al., 2018",LOC_Os12g39930,,expressed protein,Down,Up,
"zhao et al., 2017",LOC_Os09g0410300,,over‐expression plants exhibited enhanced cold tolerance at the seedling stage compared with the wild‐type plants.,,,
"Mao et al, 2019",LOC_Os11g29290 ,,candidate gene for HAN1,,,
"Ma et al., 2015",LOC_Os04g51180,,GPCR-type G protein COLD1-like,,,
"Fujino et al., 2008",LOC_Os03g0103300 ,, responsible for the vigorous low temperature germinability of qLTG3–1(putative glycine-rich cell wall structural protein 1),putative glycine-rich cell wall structural protein 1,,
"Liu et al., 2013",LOC_Os07g22494,,ncrease cold tolerance in rice seedlings. ,,,
"Nakamura et al., 2011",LOC_Os11g0523700,OsICE1  ,trehalose-6- phosphate phosphatase (OsTPP1). ,,,
"Nakamura et al., 2011",LOC_Os01g0928000,OsICE2 ,,,,
"Nakamura et al., 2011",LOC_Os09g0522000 ,OsDREB1B,,,,
"Nakamura et al., 2011",LOC_Os02g0527300 ,OsHsfA3,,,,
"Nakamura et al., 2011",LOC_Os02g0661100, OsTPP1 ,,,,
"Nakamura et al., 2011",LOC_Os03g0105600 ,b -tubulin ,,,,
