"","Name","Chromosome","Position","SRD","rrBLUP.SRD"
"6316","NsiI.TP410050",1,907438,0.219435827854678,0.603342852381469
"6317","NsiI.TP410051",1,907440,0,1
"30384","PstI.TP716618",1,918921,0,1
"25012","PstI.TP34534",1,923689,0.30596936964646,0.494345551452494
"30516","PstI.TP724910",1,925871,1.18233441845472,0.0657151618023936
"25684","PstI.TP383349",1,950724,0.731302809427558,0.185650956268252
"15233","NsiI.TP809841",1,955990,0,1
"25888","PstI.TP39577",1,959521,0,1
"20229","PstI.TP1246584",1,1015480,1.12291197621254,0.0753508271017593
"7542","NsiI.TP443042",1,1033284,1.12807139775012,0.0744609550483412
"25188","PstI.TP354591",1,1050082,0.259701071189518,0.549919258007217
"17033","PstI.TP1060928",1,1054924,0.0412774590105241,0.909332139281778
"34718","PstI.TP968458",1,1145895,0.95544800228925,0.110803122107306
"32901","PstI.TP856852",1,1153760,0.206121462276814,0.622126266286143
"16141","PstI.TP1010387",1,1174408,0,1
"5709","NsiI.TP379925",1,1174994,0.194493799298871,0.639007860808609
"31422","PstI.TP775725",1,1175417,0.818146195568782,0.152003575740126
"33423","PstI.TP885953",1,1195721,0.190192570248199,0.645368003353686
"27886","PstI.TP530416",1,1196937,0.257485055802853,0.552732427297874
"15235","NsiI.TP809990",1,1199529,0.799258450146044,0.158760168017617
"11549","NsiI.TP621329",1,1209175,0,1
"21228","PstI.TP136460",1,1229717,0.346867255160541,0.449917353947036
"2812","NsiI.TP226174",1,1247110,0,1
"11570","NsiI.TP622",1,1250740,0.00608344606529598,0.986089998452454
"34547","PstI.TP952646",1,1257515,0.133795210801918,0.734860305845987
"6983","NsiI.TP429501",1,1266624,0.267496919563212,0.540135945917935
"18131","PstI.TP112674",1,1270544,0.0362165502786865,0.919990726582601
"4472","NsiI.TP321202",1,1270981,0.00397580899186792,0.990887137606957
"4473","NsiI.TP321203",1,1270985,0.493305469073389,0.32114009456925
"31159","PstI.TP761288",1,1274696,0,1
"15732","NsiI.TP83302",1,1275020,0.0660599618036131,0.85889492813936
"23363","PstI.TP250182",1,1293920,1.18023328296575,0.0660338649258208
"1172","NsiI.TP139486",1,1336169,0.0916026301463208,0.80983654283093
"22822","PstI.TP219964",1,1343660,0.31226834108994,0.487227349924181
"3806","NsiI.TP280619",1,1353156,0,1
"8347","NsiI.TP476134",1,1354429,0.309727078264236,0.490086705609505
"33997","PstI.TP919568",1,1369588,0,1
"29338","PstI.TP646654",1,1399111,0.904936483837397,0.124469663704771
"3775","NsiI.TP279368",1,1408065,0,1
"6263","NsiI.TP408020",1,1421422,0.314578909578328,0.484642047093553
"13563","NsiI.TP72077",1,1422420,0,1
"40","GFSSContig11377_769",1,1481480,0.137170886305551,0.7291705395863
"13313","NsiI.TP707218",1,1504041,0,1
"2870","NsiI.TP229070",1,1511230,0,1
"21230","PstI.TP13650",1,1521127,0.410002882838306,0.389042562528762
"24736","PstI.TP329515",1,1537490,0.312203432879392,0.487300174747284
"18049","PstI.TP1121399",1,1542224,1.43983284573282,0.0363217825661984
"13785","NsiI.TP735901",1,1547162,0.236866439622562,0.579606917932505
"24420","PstI.TP312988",1,1615878,0.830732639837579,0.147661528672462
"18654","PstI.TP115729",1,1627848,0,1
"3936","NsiI.TP287495",1,1629591,0.148235393988935,0.710828129932526
"15677","NsiI.TP830386",1,1644699,0.563579035066636,0.273162428408888
"16505","PstI.TP1031399",1,1661159,0.787929092995182,0.162956206856258
"21066","PstI.TP1294494",1,1663938,0,1
"25869","PstI.TP394777",1,1676644,0.786912602366772,0.1633380617134
"26767","PstI.TP455158",1,1676669,0.47414482570941,0.335625673304788
"15007","NsiI.TP796534",1,1682668,0,1
"13357","NsiI.TP709976",1,1682685,1.51359714221999,0.0306480507258426
"11016","NsiI.TP595268",1,1683111,0,1
"24930","PstI.TP340129",1,1696284,0.249134237160788,0.563463466583754
"33311","PstI.TP879262",1,1711195,0.165336628739137,0.683381741600302
"25894","PstI.TP396517",1,1727743,0.10597390163312,0.783476723374994
"25329","PstI.TP362194",1,1738428,0.0436464335245735,0.904385449571186
"3405","NsiI.TP257038",1,1777966,1.19978361965824,0.063127178730257
"4703","NsiI.TP331446",1,1795203,0.127319994855368,0.745898966054254
"26050","PstI.TP404971",1,1802717,1.03108152008627,0.0930933116464228
"31008","PstI.TP752031",1,1812794,0.212374092779653,0.613233550200854
"18807","PstI.TP1164925",1,1823087,0.279165424250521,0.525816942772896
"23676","PstI.TP267190",1,1826471,0.191643047378738,0.643216168351936
"25257","PstI.TP358550",1,1827875,0,1
"21689","PstI.TP162847",1,1850794,0,1
"34798","PstI.TP973765",1,1850824,0.150944864195694,0.706407230416364
"29494","PstI.TP662746",1,1875120,0.149621725658445,0.708562680056481
"2255","NsiI.TP198999",1,1902613,0.116585731485874,0.764564745370311
"28314","PstI.TP569202",1,1913143,0.290839057983796,0.511871491109354
"22280","PstI.TP193367",1,1929457,0.358902117719491,0.437620726001127
"16023","PstI.TP1004354",1,1929463,0.37533059521936,0.421375620235479
"34164","PstI.TP929619",1,1952038,0,1
"8968","NsiI.TP501075",1,1970427,0.336583678844585,0.460697993926588
"2512","NsiI.TP212267",1,1974353,0.588822060666759,0.257737694475643
"17259","PstI.TP1073657",1,1992755,0.421660093203421,0.378738894166675
"4992","NsiI.TP346928",1,2007649,0.132975020857832,0.736249442841937
"8034","NsiI.TP465382",1,2030255,0,1
"26240","PstI.TP417865",1,2030761,0.213597318099055,0.611508758758548
"12407","NsiI.TP666080",1,2031570,0.336679580158585,0.460596273395774
"14503","NsiI.TP76995",1,2035657,0.207919809705979,0.619555462319174
"17826","PstI.TP1108087",1,2058532,1.19235978451848,0.064215551313781
"9434","NsiI.TP520381",1,2061408,0.265326613787005,0.542841930390471
"34315","PstI.TP937968",1,2082361,1.32622305618474,0.0471820649178297
"33414","PstI.TP885267",1,2084430,0.0257882746555546,0.942348894363618
"9515","NsiI.TP522007",1,2084710,0.0400417790792222,0.91192310823796
"33179","PstI.TP871791",1,2088837,0.288716361672008,0.51437948385798
"18956","PstI.TP1172854",1,2090281,0.392099262370677,0.405415862986227
"6383","NsiI.TP412045",1,2102732,0.312618751007353,0.486834389744558
"3333","NsiI.TP252447",1,2106782,0.331468945307294,0.466155759777712
"22293","PstI.TP194713",1,2118577,0.130601331159279,0.74028452143681
"35128","PstI.TP992189",1,2128106,0.0269361075334882,0.939861570799198
"2780","NsiI.TP224834",1,2135892,0,1
"15306","NsiI.TP812198",1,2141115,0,1
"17267","PstI.TP1074104",1,2141726,0.966158573713676,0.108103915997263
"18739","PstI.TP1161765",1,2167489,0,1
"35222","PstI.TP99836",1,2167938,1.18844390881508,0.0647971778482287
"20678","PstI.TP127171",1,2168030,0.176286195547936,0.666367495240315
"18374","PstI.TP1142098",1,2178144,0.0491131027466232,0.893072871639684
"14508","NsiI.TP77014",1,2184209,0,1
"24036","PstI.TP291430",1,2184590,1.10837913213693,0.0779149628377006
"22403","PstI.TP19978",1,2238336,0,1
"29018","PstI.TP627948",1,2248757,0,1
"26791","PstI.TP456950",1,2253706,0.031304884432298,0.930454446317789
"7206","NsiI.TP435455",1,2255018,0.196380620319221,0.636237671005303
"231","GFSSContig18743_720",1,2267526,0.00972262418871999,0.977861563557029
"21054","PstI.TP1294018",1,2280325,0.050971615169797,0.889259236596811
"7739","NsiI.TP452359",1,2295850,0.0186919938289198,0.957873164083707
"28282","PstI.TP56186",1,2315028,0,1
"28299","PstI.TP56795",1,2315051,0,1
"25285","PstI.TP35983",1,2316412,0,1
"17335","PstI.TP1078305",1,2344174,0.767756311707984,0.170703996268776
"10748","NsiI.TP581618",1,2360930,0,1
"21760","PstI.TP167208",1,2365447,0.399644713251471,0.398432986513043
"17208","PstI.TP1070532",1,2365508,0.0975215576008551,0.798874285993327
"26459","PstI.TP435581",1,2382439,0.218115144179259,0.605180402443154
"15530","NsiI.TP823476",1,2397333,0.17433972772675,0.669360795745373
"34641","PstI.TP962587",1,2401015,0,1
"17036","PstI.TP1061070",1,2406219,0.022318945151544,0.949906927350259
"20650","PstI.TP1270297",1,2407541,0.235077960955452,0.581998732791385
"32378","PstI.TP830503",1,2436800,0,1
"20058","PstI.TP1236997",1,2443424,0.92738018746883,0.118200635776625
"29423","PstI.TP653218",1,2466683,0.0325399317971154,0.927812177252107
"30634","PstI.TP731711",1,2484952,0.0166034746940392,0.962490663311917
"28520","PstI.TP584911",1,2497040,0.521694021421405,0.30081949550303
"16206","PstI.TP101400",1,2524399,0.54399027749075,0.285765451669867
"33192","PstI.TP87257",1,2524425,0,1
"9225","NsiI.TP509743",1,2527815,0.835899030570035,0.145915346045906
"19403","PstI.TP1194780",1,2560012,0.041033259145329,0.909843592311033
"19405","PstI.TP1194789",1,2560027,0.393277051250354,0.40431788125414
"19404","PstI.TP1194784",1,2560051,0.611564997565067,0.244587919244774
"29810","PstI.TP684585",1,2561805,0.579750947989638,0.263177678702115
"17515","PstI.TP108989",1,2588793,0,1
"19854","PstI.TP1224775",1,2595649,0,1
"15371","NsiI.TP814891",1,2595684,0.0674441909302907,0.856161725826817
"34693","PstI.TP966432",1,2596832,0,1
"24203","PstI.TP302196",1,2600097,0.146226810462098,0.714123277512166
"6682","NsiI.TP421700",1,2601493,0,1
"8566","NsiI.TP486649",1,2601704,0,1
"14023","NsiI.TP747936",1,2617302,0.0968770291226715,0.800060760869547
"19811","PstI.TP12220",1,2623236,0.0728902182013799,0.845492543389068
"32638","PstI.TP84372",1,2643915,0.244752737273906,0.569176895758693
"32639","PstI.TP84374",1,2643932,0.938608527387272,0.115183818693174
"20021","PstI.TP1234629",1,2650110,0.44783700185255,0.356584940742055
"3501","NsiI.TP262405",1,2659265,0.434961617330851,0.367314762107855
"17612","PstI.TP1095066",1,2661867,1.67957469335022,0.0209134319066687
"7237","NsiI.TP436355",1,2683471,0.0377996355162067,0.916643291716655
"33895","PstI.TP91366",1,2683935,0.108892653507683,0.778228885552264
"33896","PstI.TP91367",1,2683983,0.168171108196686,0.678936085083632
"3504","NsiI.TP262723",1,2701695,0,1
"25335","PstI.TP362461",1,2717854,0.0536138351378469,0.883865464358121
"15237","NsiI.TP810022",1,2736782,0,1
"4990","NsiI.TP346840",1,2737708,0.478411733608123,0.33234432429981
"11313","NsiI.TP612",1,2739494,0.343219410067507,0.453712338568567
"9920","NsiI.TP543728",1,2758860,0.663630883813174,0.216954726615111
"8345","NsiI.TP476081",1,2787885,0.489666743387096,0.32384206237028
"20176","PstI.TP1243434",1,2816817,0,1
"26541","PstI.TP441536",1,2816855,0.214065558895214,0.610849807152553
"17441","PstI.TP1085601",1,2820903,0,1
"15200","NsiI.TP807937",1,2822504,0,1
"4246","NsiI.TP307886",1,2823030,0.0377457898895718,0.916756947989952
"11164","NsiI.TP603286",1,2837607,0.855828209865364,0.139370799101224
"24615","PstI.TP322672",1,2846372,0.25118885055213,0.560804060461366
"29455","PstI.TP65696",1,2848477,0.609454240853002,0.245779558155684
"17445","PstI.TP1085884",1,2858599,0.12376341886782,0.752032450770484
"11373","NsiI.TP615715",1,2859563,0.309529901397107,0.490309263586277
"11105","NsiI.TP601192",1,2877217,0.39917997333973,0.398859579132419
"27813","PstI.TP525202",1,2884119,0.315259194786013,0.483883490987552
"29887","PstI.TP68906",1,2893380,0.0817785919196287,0.828364365301847
"3257","NsiI.TP248493",1,2912143,0.357154174553144,0.439385605845473
"3258","NsiI.TP248494",1,2912156,0.181271606628313,0.658761778503344
"15093","NsiI.TP800628",1,2914696,0.018799868165614,0.957635267668883
"22784","PstI.TP218456",1,2917050,0.123158261387461,0.753081083212822
"8259","NsiI.TP472422",1,2943582,1.86662420174868,0.0135948931400396
"32041","PstI.TP808618",1,2956046,0.733314711964498,0.18479290299057
"33177","PstI.TP87177",1,2958035,0.950185549160586,0.112153918246311
"33823","PstI.TP910121",1,2970548,0.17438990680212,0.669283461201892
"9001","NsiI.TP502177",1,2971516,0.138974250433762,0.726149009945634
"30793","PstI.TP740841",1,2979318,0,1
"30715","PstI.TP736503",1,2979376,1.40867278528016,0.039023589517135
"14988","NsiI.TP795690",1,2979520,0.758843160074222,0.174243601837661
"23145","PstI.TP23705",1,2985941,0.336991672387401,0.460265399102628
"20623","PstI.TP1268585",1,2988383,0.582391546095004,0.261582360141576
"23664","PstI.TP266209",1,3006594,0.713928506005797,0.193228638576314
"8306","NsiI.TP474256",1,3014149,0.266544792408063,0.541321414016208
"9563","NsiI.TP523557",1,3014710,1.00942635767039,0.0978528867636655
"20525","PstI.TP1262838",1,3015902,0.340257620291297,0.456817128667499
"27829","PstI.TP526532",1,3016481,0.234768131350926,0.582414084082143
"25338","PstI.TP362775",1,3016582,0.752368405577852,0.176860803779465
"4224","NsiI.TP307255",1,3020815,0,1
"29370","PstI.TP648800",1,3026447,0.434127702291354,0.36802074292717
"28647","PstI.TP59735",1,3027630,0,1
"32751","PstI.TP849876",1,3050119,0.473520141240217,0.336108780995721
"20633","PstI.TP1268920",1,3050813,0,1
"12038","NsiI.TP641200",1,3051168,0,1
"29465","PstI.TP66009",1,3078783,0,1
"29940","PstI.TP691644",1,3081682,0,1
"11156","NsiI.TP603018",1,3084527,0.106970199922128,0.781681439551628
"4567","NsiI.TP326185",1,3085249,1.00669076596232,0.0984712008256178
"27441","PstI.TP496269",1,3093556,0,1
"27086","PstI.TP47659",1,3099267,0,1
"27085","PstI.TP47658",1,3099273,0.853237788174764,0.140204583570606
"15261","NsiI.TP810718",1,3099667,0.0547478145171981,0.881560627743534
"11660","NsiI.TP624882",1,3100006,0.112738332305098,0.771368087713507
"31283","PstI.TP768785",1,3108150,0.716520382398954,0.192078881277652
"9450","NsiI.TP520698",1,3113038,0.879023728710217,0.132122344403445
"25866","PstI.TP394468",1,3118128,0.218238463810759,0.605008583475835
"14053","NsiI.TP749903",1,3170487,0.869605711654236,0.135018813845179
"9906","NsiI.TP542903",1,3218791,0.21896455421318,0.603997923827236
"2906","NsiI.TP231108",1,3222611,0.209378292818749,0.617478310470518
"6080","NsiI.TP400110",1,3226080,0,1
"22672","PstI.TP21363",1,3287441,0.175322423948951,0.66784791745099
"17536","PstI.TP1091652",1,3288560,0.151419190265638,0.70563613046082
"4459","NsiI.TP320544",1,3288804,0.492054967846733,0.322066113238213
"34004","PstI.TP919804",1,3298099,0.274163694269393,0.531907734823161
"2497","NsiI.TP211514",1,3302756,0,1
"22584","PstI.TP209693",1,3305106,0,1
"23712","PstI.TP269249",1,3305595,0.148782580639461,0.709933090388052
"19193","PstI.TP1184342",1,3305691,0.309375121220972,0.490484038266513
"30800","PstI.TP741170",1,3312416,0,1
"28991","PstI.TP626124",1,3342723,0.112621585344407,0.771575474610923
"1874","NsiI.TP177729",1,3353639,0.154397982875136,0.700812786635454
"9393","NsiI.TP518551",1,3353724,0,1
"20821","PstI.TP1279908",1,3354502,0.159217983444226,0.69307784530374
"16996","PstI.TP1059573",1,3357749,0.0903030401218749,0.812263540642222
"6958","NsiI.TP428684",1,3363336,0.0201528926331072,0.954656441680089
"10760","NsiI.TP582201",1,3374367,0,1
"9090","NsiI.TP504485",1,3381640,0,1
"20168","PstI.TP1243055",1,3389055,2.06766892684308,0.00855718799379597
"29170","PstI.TP637101",1,3390212,0.0902871841401933,0.812293196719997
"3485","NsiI.TP260939",1,3396877,0.201287408576658,0.629089724370899
"20190","PstI.TP1244443",1,3397749,0.781516078613369,0.165380355590173
"3143","NsiI.TP24278",1,3414839,0,1
"29095","PstI.TP632135",1,3443106,0.592603362607786,0.255503372760115
"12782","NsiI.TP679512",1,3457260,0,1
"19482","PstI.TP1199997",1,3471828,0,1
"31094","PstI.TP757375",1,3471897,0,1
"29457","PstI.TP65781",1,3479205,0.186177638223049,0.651361914875005
"21947","PstI.TP17640",1,3513489,1.09566611302392,0.0802294633007202
"30533","PstI.TP726521",1,3535515,0.0377791568864121,0.916686515938905
"21476","PstI.TP149871",1,3568761,0.706819500953012,0.196417644726308
"25533","PstI.TP374511",1,3576636,0.538069148952936,0.289688230547298
"20614","PstI.TP1267977",1,3576713,0.570936654525224,0.268573615412388
"22613","PstI.TP210807",1,3577073,0.252576830903772,0.559014623716434
"22750","PstI.TP217326",1,3620492,1.08722746696906,0.081803621958155
"18618","PstI.TP1155202",1,3620639,0,1
"199","GFSSContig18013_689",1,3623605,0.303757093672436,0.496870149426672
"176","GFSSContig1730_934",1,3627877,0.343572269789853,0.453343851756968
"22994","PstI.TP227791",1,3658866,0.338993784406239,0.458148443657688
"29591","PstI.TP669284",1,3667773,0,1
"34777","PstI.TP972367",1,3682483,0.76752423104777,0.170795242381937
"19826","PstI.TP12228",1,3683456,0.434788053426187,0.367461587195274
"25529","PstI.TP374309",1,3692759,0.331627430810705,0.465985678289714
"34624","PstI.TP961085",1,3705536,0.469683884370918,0.33909088486986
"22797","PstI.TP21889",1,3705780,0.314989496643847,0.484184077372098
"23130","PstI.TP236358",1,3737433,0.0545770942920532,0.881907235447877
"24924","PstI.TP339980",1,3742769,0.292092785678773,0.510395943804288
"1859","NsiI.TP177313",1,3751879,0,1
"21618","PstI.TP15894",1,3778286,0.274112328202657,0.531970649792516
"25166","PstI.TP353084",1,3778381,0.0225060736224011,0.949497720352962
"5714","NsiI.TP38024",1,3799851,0.173580411382557,0.670532123469129
"19019","PstI.TP1175821",1,3851577,0,1
"12540","NsiI.TP670277",1,3855543,0.0712130310968305,0.848764035282633
"19863","PstI.TP12252",1,3868495,0.241453430781392,0.57351736127956
"32748","PstI.TP84946",1,3887760,1.7083044047919,0.019574721652044
"13679","NsiI.TP730040",1,3910389,0.434510734726897,0.367696304687572
"2711","NsiI.TP221823",1,3948125,0,1
"16880","PstI.TP1053336",1,3955998,0.146804983195378,0.713173203518432
"6152","NsiI.TP403662",1,3957731,0.408953733765529,0.389983530166389
"10932","NsiI.TP591769",1,3965582,0.405537981577605,0.393062867771037
"24966","PstI.TP343137",1,3988996,0.335190849454441,0.462177874035772
"27676","PstI.TP51305",1,3991347,0.864916136385935,0.136484666727664
"22116","PstI.TP184548",1,4015875,0.237686754503147,0.578513163701674
"2840","NsiI.TP227654",1,4023324,0,1
"33501","PstI.TP891020",1,4033768,0.791323538626277,0.161687505701057
"17943","PstI.TP1114972",1,4045057,0,1
"18457","PstI.TP1146887",1,4048849,0.775449801601697,0.167706617005668
"16076","PstI.TP1007615",1,4064445,0,1
"6575","NsiI.TP418157",1,4070487,0.0872880901718786,0.817922037807187
"20598","PstI.TP1266866",1,4075813,0,1
"23068","PstI.TP231983",1,4083370,0.105995308734698,0.783438105448339
"12631","NsiI.TP673754",1,4124063,0.625695811234491,0.236757741666575
"25700","PstI.TP384512",1,4144052,0.99773051536603,0.100523935917516
"27232","PstI.TP48404",1,4196705,0,1
"8843","NsiI.TP495513",1,4196957,0.128157804855469,0.744461417917865
"14036","NsiI.TP748831",1,4198755,0.173104910999268,0.671266677794762
"18707","PstI.TP1160229",1,4204691,0,1
"22008","PstI.TP17940",1,4209698,0,1
"25039","PstI.TP346636",1,4227896,0.00443269365715693,0.989845256796482
"28048","PstI.TP539908",1,4267394,1.47125789934659,0.0337864141005254
"29037","PstI.TP629259",1,4276027,1.18862424891368,0.0647702765080875
"29036","PstI.TP629254",1,4276045,0,1
"2786","NsiI.TP225206",1,4278964,0.0429826880663161,0.905768706112286
"28676","PstI.TP599866",1,4279155,0.108266998671239,0.779350828327503
"30168","PstI.TP704354",1,4298455,0.0888994782286759,0.814892877244205
"30708","PstI.TP736289",1,4314719,0,1
"8881","NsiI.TP497468",1,4342825,0.243187061491093,0.571232539539491
"33842","PstI.TP911466",1,4343935,1.12170390273905,0.0755607216882384
"32226","PstI.TP820611",1,4393513,0,1
"2047","NsiI.TP188114",1,4401488,0,1
"2986","NsiI.TP235210",1,4408895,0.17197426077328,0.673016542612079
"22884","PstI.TP222764",1,4421935,0.052331525128587,0.886479046767983
"80","GFSSContig12925_418",1,4422459,0.0467911769751556,0.897860411445995
"13046","NsiI.TP693921",1,4440364,0.152694351221382,0.703567303913263
"16214","PstI.TP1014212",1,4444231,0.218260294035058,0.604978172909519
"18728","PstI.TP1161147",1,4451923,0,1
"6441","NsiI.TP414259",1,4455947,0,1
"21303","PstI.TP140451",1,4460094,0.116470946491264,0.764766848234867
"8098","NsiI.TP467384",1,4465685,0.145560717999994,0.715219393433412
"5972","NsiI.TP39399",1,4465777,0.836256236368429,0.145795380490919
"7113","NsiI.TP432788",1,4467622,0.727465699357806,0.187298500580782
"11106","NsiI.TP601351",1,4467655,0.392834676084953,0.404729931883519
"8567","NsiI.TP486661",1,4467735,0.138137442849654,0.72754951769702
"6456","NsiI.TP414683",1,4485212,0.281664406136393,0.522800018002823
"12688","NsiI.TP675939",1,4512107,0.204862759994272,0.623931971072887
"5520","NsiI.TP370249",1,4530033,0,1
"26029","PstI.TP403796",1,4535758,0,1
"26030","PstI.TP403850",1,4535788,0,1
"26031","PstI.TP403890",1,4535793,0.0554479548682355,0.880140579957711
"2260","NsiI.TP199266",1,4536282,0.0457965380343872,0.899919084519816
"19140","PstI.TP1181755",1,4538349,0.0800087113820091,0.831747087171415
"20293","PstI.TP1250346",1,4555696,0.107708787918294,0.780353193626721
"4888","NsiI.TP340740",1,4578881,1.13733549033022,0.0728894225546292
"21123","PstI.TP131557",1,4584058,0.510144732717414,0.308926573410725
"26358","PstI.TP426347",1,4584143,0.786883036747102,0.163349181715138
"27604","PstI.TP508233",1,4588529,0.271484395734793,0.535199383219117
"5778","NsiI.TP384361",1,4589554,0,1
"22702","PstI.TP214969",1,4591303,1.40373801138545,0.0394695330656418
"7563","NsiI.TP44353",1,4593181,0.216140886873593,0.607937751838666
"4122","NsiI.TP301688",1,4594203,1.03391594342489,0.0924877164202116
"8139","NsiI.TP468762",1,4620729,0.255894793872371,0.554760085127206
"123","GFSSContig15281_3466",1,4622395,0.160656216300292,0.690786407925104
"20897","PstI.TP1284267",1,4623696,0.0059708781861869,0.986345623267672
"16120","PstI.TP1009631",1,4625223,0.277351898512913,0.528017238555526
"15518","NsiI.TP82287",1,4640346,0.0217623836035763,0.95112504224121
"5021","NsiI.TP348206",1,4668970,1.14879470577391,0.0709913269933576
"19032","PstI.TP1176986",1,4675228,0.0412595603092136,0.909369616616689
"16607","PstI.TP1038860",1,4677799,0.0910097726821218,0.810942809462959
"34955","PstI.TP982823",1,4677828,0.412252999469069,0.387032112592542
"23413","PstI.TP253046",1,4690705,0.507019811281674,0.311157439267579
"5914","NsiI.TP391090",1,4693160,0,1
"26790","PstI.TP456930",1,4693819,0.215383219518867,0.608999281823186
"7720","NsiI.TP450894",1,4698796,0.500270566531425,0.316030816696407
"24298","PstI.TP307588",1,4762662,0.229307854088473,0.589782858343419
"34012","PstI.TP920636",1,4777048,0.183774014770389,0.65497690278653
"18870","PstI.TP1168479",1,4789991,0.0594819488165227,0.872003144809141
"12370","NsiI.TP664576",1,4800417,1.7976332071885,0.0159355402944098
"25884","PstI.TP395577",1,4836167,0,1
"33418","PstI.TP885531",1,4878428,0.120027216809326,0.758530037205983
"34469","PstI.TP947391",1,4891496,0,1
"25304","PstI.TP360448",1,4892312,0.949421394603511,0.112351430243381
"29800","PstI.TP683907",1,4900973,0.438898752017747,0.363999886292111
"4394","NsiI.TP31575",1,4926728,0,1
"947","NsiI.TP12890",1,4931988,0.409037631861123,0.38990819944794
