"","Name","Chromosome","Position","OWA18","OWA19","rrBLUP.OWA18","rrBLUP.OWA19"
"35248","PstI.TP999740",1,569491,0.137914985405104,0.00617221321016321,0.727922283808484,0.985888468263936
"22107","PstI.TP184304",1,572620,0.0776530917033122,0.63374267636874,0.836270752770258,0.232411344790763
"18224","PstI.TP1132231",1,588023,0.0101381994309709,0.11078484537159,0.976926297958498,0.774845570401724
"27985","PstI.TP536170",1,662254,0.0149225584964942,1.28913108402118,0.96622315634115,0.0513888520113851
"32864","PstI.TP854736",1,683267,0.0418950275080454,0.286387406307435,0.908039984270119,0.517145313904566
"32444","PstI.TP83381",1,713539,0.37306508851944,0.0435776900303412,0.423579478650142,0.904528614034954
"34479","PstI.TP94792",1,731905,0.121178711108766,0.406299119360136,0.756521524218821,0.392374595180942
"34724","PstI.TP968891",1,748410,0,0,1,1
"15132","NsiI.TP802651",1,754114,0.0916690907115857,0.224993519693953,0.809712622130516,0.595671031741849
"16611","PstI.TP1039014",1,759496,0.451497599526127,0.640212892852786,0.35359197550227,0.228974493569149
"20261","PstI.TP1248576",1,760805,0.760707625781252,0.0374594343711733,0.173497161622974,0.917361618295137
"3116","NsiI.TP241552",1,773227,0.371044178450171,0.0818103653360655,0.425555121489995,0.828303763557494
"3113","NsiI.TP241535",1,773253,0.559858005702398,0.665067593155254,0.275512935652808,0.216238194658965
"3845","NsiI.TP282375",1,773642,0.383810987138213,0.161345747865403,0.413227306903986,0.689690513029347
"10278","NsiI.TP559422",1,781613,0.558286339847059,0.201612165896568,0.276511794156,0.62861947864135
"28449","PstI.TP579974",1,783866,0.416887546682109,0.332532669755851,0.382923882238362,0.465015394117683
"17516","PstI.TP1090052",1,815564,0.45990639410247,0.478363894468247,0.34681159262282,0.332380935269975
"19719","PstI.TP1216290",1,817784,0.708228487210879,0.751278379916545,0.195781437434441,0.177305260146596
"2272","NsiI.TP199750",1,819727,0.561251778883476,0.396061525009966,0.274630154431137,0.401733894554254
"11483","NsiI.TP619705",1,820317,0,0,1,1
"28009","PstI.TP537601",1,822113,0.198228311326393,0.355149163705298,0.633536569558788,0.441418810671684
"10791","NsiI.TP585976",1,829048,0.269529027571662,0.470058005303913,0.53761449859954,0.338798902407996
"5254","NsiI.TP358960",1,864806,0.468279367065994,0.0476294462007624,0.340189286950055,0.896129045117078
"18565","PstI.TP1152021",1,865447,0,0,1,1
"21282","PstI.TP139718",1,866121,0,0,1,1
"11157","NsiI.TP603024",1,882892,0.142096077441205,0.903605259769009,0.720947968755388,0.124851780518675
"22862","PstI.TP2218",1,905152,0.00658035268088474,0.322266205485181,0.984962389301165,0.476139042779505
"6316","NsiI.TP410050",1,907438,0.107722328042135,0.536249149634015,0.780328864710254,0.290904775279916
"6317","NsiI.TP410051",1,907440,0,0,1,1
"30384","PstI.TP716618",1,918921,0,0,1,1
"25012","PstI.TP34534",1,923689,0.675841034265122,0.111514086136406,0.210940011686313,0.773545588782219
"30516","PstI.TP724910",1,925871,1.37928798833409,0.442217541597783,0.0417553387802797,0.361228874866523
"25684","PstI.TP383349",1,950724,0.168372122537411,0.389833204355264,0.678621910448716,0.407536766797012
"15233","NsiI.TP809841",1,955990,0,0,1,1
"25888","PstI.TP39577",1,959521,0,0,1,1
"20229","PstI.TP1246584",1,1015480,1.04652402329808,0.12949321888916,0.089841289486874,0.742175786044026
"7542","NsiI.TP443042",1,1033284,0.156113466146871,0.887837849406089,0.69805000389656,0.129467913979752
"25188","PstI.TP354591",1,1050082,0.899663891716673,0.0475795314269097,0.125990009384715,0.896232045848319
"17033","PstI.TP1060928",1,1054924,0.705812596132583,0.155254898386735,0.196873564215534,0.699431361598572
"34718","PstI.TP968458",1,1145895,0.0861697533081329,0.436650085377133,0.820030955001698,0.365889473030245
"32901","PstI.TP856852",1,1153760,0.134128376032871,0.673229339109989,0.734296780339313,0.212212353031115
"16141","PstI.TP1010387",1,1174408,0,0,1,1
"5709","NsiI.TP379925",1,1174994,0.226027512964998,0.486485938493801,0.59425451083939,0.326222612598531
"31422","PstI.TP775725",1,1175417,1.12487942242664,0.321474323259698,0.075010243895806,0.477008015372936
"33423","PstI.TP885953",1,1195721,0.750353427691695,2.19604533321785,0.177683283968269,0.00636729053373424
"27886","PstI.TP530416",1,1196937,0.986126814557146,0.567681431012295,0.103245988210397,0.270594253227893
"15235","NsiI.TP809990",1,1199529,0.427585244088522,0.165929747913483,0.373606785984456,0.682449079136773
"11549","NsiI.TP621329",1,1209175,0,0,1,1
"21228","PstI.TP136460",1,1229717,0.887940243637403,0.447958777876856,0.129437392742611,0.356484968463285
"2812","NsiI.TP226174",1,1247110,0,0,1,1
"11570","NsiI.TP622",1,1250740,0.546563537441578,0.158306810643712,0.284077254851703,0.69453348576367
"34547","PstI.TP952646",1,1257515,0.127167892976843,0.00820174979614388,0.746160246148963,0.981291981783966
"6983","NsiI.TP429501",1,1266624,0.365470334254911,0.110920198840735,0.431052001257418,0.774604117427354
"18131","PstI.TP112674",1,1270544,0.516925605187089,0.243877876610309,0.304140597507677,0.570324624731555
"4472","NsiI.TP321202",1,1270981,0.0936598318552149,0.55579006257399,0.80600951394584,0.278105730260901
"4473","NsiI.TP321203",1,1270985,2.05172437639034,0.453018633735997,0.00887719221475937,0.352355752625836
"31159","PstI.TP761288",1,1274696,0,0,1,1
"15732","NsiI.TP83302",1,1275020,0.834684008281363,1.04702029242465,0.146324143851369,0.0897386863088995
"23363","PstI.TP250182",1,1293920,0.0349616286960009,0.23858168960347,0.922652942886776,0.577322269761419
"1172","NsiI.TP139486",1,1336169,0.0678911407470425,0.0498023605309437,0.855281068798234,0.891656622424298
"22822","PstI.TP219964",1,1343660,0.490065588210293,0.184654862306632,0.323544790717552,0.65364980761655
"3806","NsiI.TP280619",1,1353156,0,0,1,1
"8347","NsiI.TP476134",1,1354429,0.165675566400786,0.120862938042355,0.682848616130701,0.757071786771041
"33997","PstI.TP919568",1,1369588,0,0,1,1
"29338","PstI.TP646654",1,1399111,0.48784513356837,1.85826163407221,0.325203241955858,0.013859206506155
"3775","NsiI.TP279368",1,1408065,0,0,1,1
"6263","NsiI.TP408020",1,1421422,0.200689524297059,0.0613382106421465,0.629956375667406,0.868283982148765
"13563","NsiI.TP72077",1,1422420,0,0,1,1
"40","GFSSContig11377_769",1,1481480,0.273574618172158,0.00890608376125945,0.532629702853073,0.979701823150809
"13313","NsiI.TP707218",1,1504041,0,0,1,1
"2870","NsiI.TP229070",1,1511230,0,0,1,1
"21230","PstI.TP13650",1,1521127,0.376965950983722,0.279141999161854,0.419791894703337,0.525845305188753
"24736","PstI.TP329515",1,1537490,1.6633765623779,0.0475969585544895,0.0217081811803684,0.896196083068479
"18049","PstI.TP1121399",1,1542224,0.0210279321592678,0.146529911876764,0.952734885790825,0.713625052760115
"13785","NsiI.TP735901",1,1547162,0.857107352471883,0.122859526576035,0.138960909378329,0.753599277519278
"24420","PstI.TP312988",1,1615878,0.0164819885161356,0.382520379834933,0.962759940663581,0.414457134640056
"18654","PstI.TP115729",1,1627848,0,0,1,1
"3936","NsiI.TP287495",1,1629591,0.0278600666559414,0.411646735696883,0.937864145983336,0.387572776618211
"15677","NsiI.TP830386",1,1644699,1.1127222891721,0.27819341942506,0.0771396583100654,0.526995104141934
"16505","PstI.TP1031399",1,1661159,0.303485302952404,0.748887828786959,0.497181198650278,0.178283918640007
"21066","PstI.TP1294494",1,1663938,0,0,1,1
"25869","PstI.TP394777",1,1676644,0.0539844113749572,0.316566680602316,0.883111598377175,0.482428903319465
"26767","PstI.TP455158",1,1676669,0.493316818726774,0.376682572503698,0.32113170215054,0.420065899585571
"15007","NsiI.TP796534",1,1682668,0,0,1,1
"13357","NsiI.TP709976",1,1682685,0.62719011773566,0.50431341703151,0.235944513102806,0.313102534365686
"11016","NsiI.TP595268",1,1683111,0,0,1,1
"24930","PstI.TP340129",1,1696284,0.806650315189207,0.355053871351195,0.156080872747744,0.44151567686387
"33311","PstI.TP879262",1,1711195,0.0487591449690047,0.333021949374128,0.893801038712415,0.464491799073861
"25894","PstI.TP396517",1,1727743,0.118109114201763,0.107989471088097,0.761887565737628,0.779849016731847
"25329","PstI.TP362194",1,1738428,0.43345069822432,0.692940758495238,0.368594882933942,0.202795933175967
"3405","NsiI.TP257038",1,1777966,0.701248612615782,0.260322610686011,0.198953410075465,0.549132805291475
"4703","NsiI.TP331446",1,1795203,0.448739076235964,0.901347591125676,0.355845045766954,0.125502509206601
"26050","PstI.TP404971",1,1802717,1.19970934763115,0.239328208216591,0.0631379755159918,0.57633074986413
"31008","PstI.TP752031",1,1812794,0.206311415591577,0.32480459799994,0.621854217915102,0.473364191679636
"18807","PstI.TP1164925",1,1823087,0.00586756486177781,0.720576605147122,0.986580290690948,0.190293254994653
"23676","PstI.TP267190",1,1826471,0.232498332391795,0.887860067397469,0.585465984394282,0.129461290724016
"25257","PstI.TP358550",1,1827875,0,0,1,1
"21689","PstI.TP162847",1,1850794,0,0,1,1
"34798","PstI.TP973765",1,1850824,0.464889101806787,0.136643824148546,0.342855324342782,0.730056002131056
"29494","PstI.TP662746",1,1875120,2.61738671790155,0.444054968781385,0.00241331094255926,0.359703804457169
"2255","NsiI.TP198999",1,1902613,1.13828444397169,0.291836132153075,0.0727303296523419,0.510697659894119
"28314","PstI.TP569202",1,1913143,0.360607911492075,0.515247796277567,0.435905238817353,0.305317855789474
"22280","PstI.TP193367",1,1929457,0.276196099013372,0.0542543338368864,0.529424336472695,0.882562897885326
"16023","PstI.TP1004354",1,1929463,0.452673309923374,0.833393025407571,0.352636035301984,0.146759753822983
"34164","PstI.TP929619",1,1952038,0,0,1,1
"8968","NsiI.TP501075",1,1970427,0.791957466111182,0.393613014567611,0.161451667145329,0.40400522830657
"2512","NsiI.TP212267",1,1974353,0.575822186940824,0.10215767829033,0.265569265886249,0.790391610250684
"17259","PstI.TP1073657",1,1992755,0.0183322592140566,1.15423028191598,0.958666917858572,0.0701083454754891
"4992","NsiI.TP346928",1,2007649,0.0719070312005808,0.3995062982669,0.847408798316643,0.398559992236717
"8034","NsiI.TP465382",1,2030255,0,0,1,1
"26240","PstI.TP417865",1,2030761,0.00453573770788265,0.104828187888521,0.989610426353814,0.785546344711473
"12407","NsiI.TP666080",1,2031570,0.531054637562437,0.596224155640687,0.294405122637184,0.253382049332304
"14503","NsiI.TP76995",1,2035657,0.0476697479217293,0.0925688652683927,0.896045889865157,0.808036790062224
"17826","PstI.TP1108087",1,2058532,1.81018956055663,0.0471454337594407,0.0154814074001468,0.897128319597117
"9434","NsiI.TP520381",1,2061408,0.245978332942999,0.455176200076413,0.567572921052849,0.350609597285146
"34315","PstI.TP937968",1,2082361,0.727700356570506,0.343562104786058,0.18719732712749,0.45335446275042
"33414","PstI.TP885267",1,2084430,0.111749069817951,0.186189024635062,0.773127159740553,0.651344837573275
"9515","NsiI.TP522007",1,2084710,0.596662584463059,0.891959181203448,0.253126384240475,0.128245111297188
"33179","PstI.TP871791",1,2088837,0.919681714216894,0.257212781968548,0.120314587325083,0.55307906251549
"18956","PstI.TP1172854",1,2090281,0.10095740004276,0.263685981612803,0.792579070769693,0.544896500064019
"6383","NsiI.TP412045",1,2102732,0.0102063109315524,0.150280284169299,0.976773096153398,0.707489039046075
"3333","NsiI.TP252447",1,2106782,0.430079310728416,0.00487198991053177,0.371467385639701,0.98884451770511
"22293","PstI.TP194713",1,2118577,0.598151671799843,0.239618336383205,0.25225996329297,0.575945863683418
"35128","PstI.TP992189",1,2128106,0.0350176406962783,0.728970329851845,0.922533953798574,0.186650720259425
"2780","NsiI.TP224834",1,2135892,0,0,1,1
"15306","NsiI.TP812198",1,2141115,0,0,1,1
"17267","PstI.TP1074104",1,2141726,1.21298624318485,0.0508652227473921,0.0612369788988424,0.889477111881754
"18739","PstI.TP1161765",1,2167489,0,0,1,1
"35222","PstI.TP99836",1,2167938,0.00632202170071124,0.960121434847184,0.985548447842321,0.109617164827285
"20678","PstI.TP127171",1,2168030,1.30717153898866,0.433331085554085,0.0492979047093425,0.368696414710155
"18374","PstI.TP1142098",1,2178144,0.155963646551282,0.769677579764772,0.69829085339982,0.169950489671167
"14508","NsiI.TP77014",1,2184209,0,0,1,1
"24036","PstI.TP291430",1,2184590,1.81655781426863,0.861090512369505,0.0152560528924488,0.13769224712261
"22403","PstI.TP19978",1,2238336,0,0,1,1
"29018","PstI.TP627948",1,2248757,0,0,1,1
"26791","PstI.TP456950",1,2253706,0.341520924583273,0.481353355590528,0.455490239828731,0.330100851354606
"7206","NsiI.TP435455",1,2255018,0.301886584363563,0.699363941129299,0.499014787734905,0.199818667655711
"231","GFSSContig18743_720",1,2267526,0.215303509865184,0.131157119269604,0.609111066750011,0.739337748696718
"21054","PstI.TP1294018",1,2280325,0.0757992893710619,0.120568632425249,0.839848035386357,0.757585000733071
"7739","NsiI.TP452359",1,2295850,0.527944139242563,0.158332112395425,0.296521276296027,0.69449302381294
"28282","PstI.TP56186",1,2315028,0,0,1,1
"28299","PstI.TP56795",1,2315051,0,0,1,1
"25285","PstI.TP35983",1,2316412,0,0,1,1
"17335","PstI.TP1078305",1,2344174,0.712614328938097,0.274795618804875,0.193814234872807,0.531134339950822
"10748","NsiI.TP581618",1,2360930,0,0,1,1
"21760","PstI.TP167208",1,2365447,1.72717343400144,0.32736557310789,0.018742458849762,0.470581041833192
"17208","PstI.TP1070532",1,2365508,1.33399787111672,0.230139761312879,0.0463449191528489,0.588654188703311
"26459","PstI.TP435581",1,2382439,0.771568080191352,0.376588307152141,0.169212296571432,0.420157086462397
"15530","NsiI.TP823476",1,2397333,0.543966945081628,0.389165169277661,0.285780804790434,0.408164125333718
"34641","PstI.TP962587",1,2401015,0,0,1,1
"17036","PstI.TP1061070",1,2406219,0.325259230895662,0.895927485393606,0.472868918682128,0.127078627201552
"20650","PstI.TP1270297",1,2407541,0.0592463061801003,0.00999742665287398,0.872476410955442,0.977243011446248
"32378","PstI.TP830503",1,2436800,0,0,1,1
"20058","PstI.TP1236997",1,2443424,0.217510237874985,0.586897824963354,0.606023914206469,0.258882190714158
"29423","PstI.TP653218",1,2466683,0.222669841835576,0.0819930180082859,0.598866690852018,0.82795547433919
"30634","PstI.TP731711",1,2484952,0.303189515334742,0.358963621201486,0.497519932250038,0.437558755854536
"28520","PstI.TP584911",1,2497040,0.143427282788443,1.01827350542943,0.718741492633009,0.095879662045011
"16206","PstI.TP101400",1,2524399,0.287940395179139,0.258085552403021,0.5152993620784,0.55196869532534
"33192","PstI.TP87257",1,2524425,0,0,1,1
"9225","NsiI.TP509743",1,2527815,0.0847057732661333,0.527853408430946,0.822799893357066,0.296583230632697
"19403","PstI.TP1194780",1,2560012,0.131167282799185,0.0425643758044314,0.739320446627576,0.906641562448115
"19405","PstI.TP1194789",1,2560027,0.472710536269082,0.0918502247751873,0.336735934103912,0.80937498036354
"19404","PstI.TP1194784",1,2560051,0.514537498132077,0.28383830646719,0.305817618410567,0.52018963390911
"29810","PstI.TP684585",1,2561805,0.642435576669353,0.241075338285838,0.227805614410028,0.574016877247012
"17515","PstI.TP108989",1,2588793,0,0,1,1
"19854","PstI.TP1224775",1,2595649,0,0,1,1
"15371","NsiI.TP814891",1,2595684,0.406787114251663,0.320146018572479,0.391933951171314,0.478469194272978
"34693","PstI.TP966432",1,2596832,0,0,1,1
"24203","PstI.TP302196",1,2600097,0.401504196954852,0.390190221137291,0.396730694968917,0.407201884168864
"6682","NsiI.TP421700",1,2601493,0,0,1,1
"8566","NsiI.TP486649",1,2601704,0,0,1,1
"14023","NsiI.TP747936",1,2617302,0.0130556474797152,0.384523286855782,0.970385620802905,0.412550115600069
"19811","PstI.TP12220",1,2623236,0.238279767149893,1.62459826702552,0.577723764983314,0.0237356829897191
"32638","PstI.TP84372",1,2643915,0.0821070479333424,0.199517576741616,0.82773811190156,0.631658614318609
"32639","PstI.TP84374",1,2643932,0.295444953664945,0.603468249660536,0.506471540151386,0.249190654254527
"20021","PstI.TP1234629",1,2650110,0.201237031882657,0.508933812306675,0.629162700887956,0.309789139055124
"3501","NsiI.TP262405",1,2659265,0.000371682556751066,0.0686927374020029,0.999144535404152,0.853703894440652
"17612","PstI.TP1095066",1,2661867,0.438628277120528,0.208955802176081,0.364226652921883,0.618079298404754
"7237","NsiI.TP436355",1,2683471,0.0949947966016955,0.132215427543472,0.803535749504599,0.737538290697997
"33895","PstI.TP91366",1,2683935,0.495713388965743,0.277148187362482,0.319364479384022,0.528264969609944
"33896","PstI.TP91367",1,2683983,0.555473665799085,0.814040755639744,0.278308412588053,0.153447297599075
"3504","NsiI.TP262723",1,2701695,0,0,1,1
"25335","PstI.TP362461",1,2717854,0.610749506349652,0.516672711206685,0.245047622720807,0.304317753166194
"15237","NsiI.TP810022",1,2736782,0,0,1,1
"4990","NsiI.TP346840",1,2737708,0.588905848273231,1.01440643703673,0.25768797442994,0.0967372111642719
"11313","NsiI.TP612",1,2739494,0.0591525316852066,0.312787486730976,0.872664819677638,0.48664527751672
"9920","NsiI.TP543728",1,2758860,0.632649384813371,0.169375107833008,0.232997153422211,0.677056469333543
"8345","NsiI.TP476081",1,2787885,0.37602380295675,0.379920756602718,0.420703569691043,0.416945454342776
"20176","PstI.TP1243434",1,2816817,0,0,1,1
"26541","PstI.TP441536",1,2816855,0.625456408614296,0.241528093251536,0.236888289143776,0.573418772547482
"17441","PstI.TP1085601",1,2820903,0,0,1,1
"15200","NsiI.TP807937",1,2822504,0,0,1,1
"4246","NsiI.TP307886",1,2823030,0.095942790795284,1.24916277833576,0.801783674642847,0.0563426437835676
"11164","NsiI.TP603286",1,2837607,0.0380142294956065,0.348275326765513,0.9161904709935,0.448460991980649
"24615","PstI.TP322672",1,2846372,0.0238459691652115,0.00487496392575716,0.946572821972734,0.988837746197056
"29455","PstI.TP65696",1,2848477,0.158884596619438,0.596147129525717,0.693610091837943,0.253426992951303
"17445","PstI.TP1085884",1,2858599,0.287292396549691,0.18610734731839,0.516068799705576,0.651467346846903
"11373","NsiI.TP615715",1,2859563,0.218224746770678,0.670021347874816,0.605027692763186,0.21378569999208
"11105","NsiI.TP601192",1,2877217,0.362307912105058,0.501815759039411,0.434202268288887,0.314908396820159
"27813","PstI.TP525202",1,2884119,0.880526291640862,0.58974179810488,0.131666020135881,0.257192441925596
"29887","PstI.TP68906",1,2893380,0.412060710436814,0.0971171560749542,0.387203513592402,0.799618519353238
"3257","NsiI.TP248493",1,2912143,0.530398533491963,1.11373268993642,0.294850227026074,0.0769603988998692
"3258","NsiI.TP248494",1,2912156,0.289799746848545,0.0444043384618417,0.513097918864109,0.902808546154932
"15093","NsiI.TP800628",1,2914696,0.820652032063573,0.152454838879543,0.151129055415554,0.703955426570668
"22784","PstI.TP218456",1,2917050,1.30584293641735,0.264366367754212,0.0494489487895862,0.544043507947365
"8259","NsiI.TP472422",1,2943582,0.204655030355869,0.624434665704462,0.624230478583569,0.237446260473845
"32041","PstI.TP808618",1,2956046,0.00683529335352931,0.229617054046398,0.984384363799565,0.589363106444084
"33177","PstI.TP87177",1,2958035,0.181607346035314,0.125672423300637,0.658252707286837,0.748734037613821
"33823","PstI.TP910121",1,2970548,0.0562309628198671,0.0537274129839474,0.878555166789274,0.883634343737888
"9001","NsiI.TP502177",1,2971516,0.352584887566989,0.259537861951073,0.444032861843937,0.550125958238703
"30793","PstI.TP740841",1,2979318,0,0,1,1
"30715","PstI.TP736503",1,2979376,1.21398936482905,1.10746597649111,0.0610956986072944,0.0780789606380312
"14988","NsiI.TP795690",1,2979520,0.99629927743385,1.96897075293769,0.10085576376257,0.0107406174135823
"23145","PstI.TP23705",1,2985941,0.105052592065979,0.0297327411970948,0.785140550132534,0.933828789302636
"20623","PstI.TP1268585",1,2988383,0.853762440608742,0.103950902048597,0.140035310725928,0.787134771991507
"23664","PstI.TP266209",1,3006594,2.02616654817162,0.661122229668057,0.0094152845927287,0.218211568158368
"8306","NsiI.TP474256",1,3014149,0.633898969673098,0.392960279131152,0.232327719962062,0.404612896176009
"9563","NsiI.TP523557",1,3014710,0.908407574123057,0.468576948349686,0.123478807288923,0.339956266974498
"20525","PstI.TP1262838",1,3015902,0.1037188855297,0.929744091524436,0.787555401470953,0.1175590068559
"27829","PstI.TP526532",1,3016481,0.0190473188148451,0.117856426688643,0.957089785324084,0.76233098719562
"25338","PstI.TP362775",1,3016582,0.111140849954861,0.158619897997208,0.774210665847386,0.694032969874065
"4224","NsiI.TP307255",1,3020815,0,0,1,1
"29370","PstI.TP648800",1,3026447,1.2966391739281,1.28129964251689,0.0505080760917102,0.052323930180898
"28647","PstI.TP59735",1,3027630,0,0,1,1
"32751","PstI.TP849876",1,3050119,0.527539711064439,0.198296742704474,0.29679753450141,0.633436751654352
"20633","PstI.TP1268920",1,3050813,0,0,1,1
"12038","NsiI.TP641200",1,3051168,0,0,1,1
"29465","PstI.TP66009",1,3078783,0,0,1,1
"29940","PstI.TP691644",1,3081682,0,0,1,1
"11156","NsiI.TP603018",1,3084527,0.221202911770685,0.109522583802128,0.600892921723433,0.777100907620668
"4567","NsiI.TP326185",1,3085249,0.0426499489995022,0.0113575876176141,0.906462935789391,0.974187185135028
"27441","PstI.TP496269",1,3093556,0,0,1,1
"27086","PstI.TP47659",1,3099267,0,0,1,1
"27085","PstI.TP47658",1,3099273,0.283295679344252,0.221233749426717,0.520839988517517,0.600850256038877
"15261","NsiI.TP810718",1,3099667,0.427390571864265,0.426943759510675,0.373774292527307,0.374159038173714
"11660","NsiI.TP624882",1,3100006,0.354868370802632,0.235502083375883,0.441704302088151,0.581430643091601
"31283","PstI.TP768785",1,3108150,0.353679603274227,0.759729443120307,0.442915008300659,0.173888378161734
"9450","NsiI.TP520698",1,3113038,0.369752689141841,0.818684037316875,0.426822505519224,0.151815447016152
"25866","PstI.TP394468",1,3118128,1.6538107222325,0.950341808984989,0.0221916338297701,0.112113572352243
"14053","NsiI.TP749903",1,3170487,1.31015865924541,0.149879065525173,0.0489599922908824,0.708142947775755
"9906","NsiI.TP542903",1,3218791,0.398617134940523,1.12676303803976,0.399376829590706,0.074685615070316
"2906","NsiI.TP231108",1,3222611,0.915451040147803,0.427186742905377,0.121492357622008,0.373949758505359
"6080","NsiI.TP400110",1,3226080,0,0,1,1
"22672","PstI.TP21363",1,3287441,0.518314804375081,0.224092841483105,0.303169282296838,0.596907668758935
"17536","PstI.TP1091652",1,3288560,0.772859947410439,0.0894650240853687,0.16870969977826,0.813832400147977
"4459","NsiI.TP320544",1,3288804,0.228222062707004,0.324669019172151,0.591259235216495,0.47351199042811
"34004","PstI.TP919804",1,3298099,0.16367993820212,0.31945146557491,0.685993596583373,0.47923500665315
"2497","NsiI.TP211514",1,3302756,0,0,1,1
"22584","PstI.TP209693",1,3305106,0,0,1,1
"23712","PstI.TP269249",1,3305595,0.773026781384597,0.160447219644691,0.168644902491338,0.691118916853604
"19193","PstI.TP1184342",1,3305691,1.28010502949861,0.178228801605303,0.0524680556496384,0.663393479308009
"30800","PstI.TP741170",1,3312416,0,0,1,1
"28991","PstI.TP626124",1,3342723,0.376822661703101,0.0678682238807559,0.419930421913089,0.855326201490113
"1874","NsiI.TP177729",1,3353639,0.165429424989413,0.920649308376818,0.683235738159682,0.120046828677573
"9393","NsiI.TP518551",1,3353724,0,0,1,1
"20821","PstI.TP1279908",1,3354502,0.0172203400039309,1.44764915628952,0.961124526588821,0.0356739207926908
"16996","PstI.TP1059573",1,3357749,0.241511826022262,1.96211833698491,0.573440251312999,0.010911429802329
"6958","NsiI.TP428684",1,3363336,1.27947359609913,0.654125125889743,0.0525443959675501,0.221755742061274
"10760","NsiI.TP582201",1,3374367,0,0,1,1
"9090","NsiI.TP504485",1,3381640,0,0,1,1
"20168","PstI.TP1243055",1,3389055,0.372582084421914,0.039740693060577,0.424050828029623,0.912555542005591
"29170","PstI.TP637101",1,3390212,0.0360542233002269,0.416703339721631,0.920334657334573,0.383086334695763
"3485","NsiI.TP260939",1,3396877,0.490475178923055,0.36793740100134,0.32323979381984,0.428610295627979
"20190","PstI.TP1244443",1,3397749,0.431450238191821,0.0360286943712186,0.370296631852928,0.920388758525529
